agg_orders_level_0,agg_orders_level_1
3648.0,14592.0
3912.0,15120.0
4080.0,12564.0
4104.0,1776.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
837.0,0.0
1920.0,0.0
2322.0,0.0
1560.0,0.0
336.0,0.0
0.0,0.0
603.0,0.0
1747.0,0.0
2215.0,0.0
1527.0,0.0
341.0,0.0
0.0,0.0
489.0,0.0
1638.0,0.0
2289.0,0.0
1773.0,0.0
454.0,0.0
0.0,0.0
255.0,0.0
1203.0,0.0
2061.0,338.0
1887.0,2297.0
828.0,2727.0
0.0,298.0
0.0,0.0
795.0,0.0
1671.0,0.0
1842.0,1501.0
1158.0,2655.0
276.0,1334.0
16.0,0.0
706.0,0.0
1645.0,0.0
2120.0,1808.0
1711.0,3567.0
428.0,2115.0
0.0,0.0
29.0,0.0
1070.0,0.0
2163.0,0.0
2126.0,1785.0
1084.0,2857.0
0.0,796.0
0.0,0.0
970.0,0.0
2224.0,0.0
2475.0,2320.0
1587.0,4027.0
255.0,1974.0
0.0,0.0
873.0,0.0
2061.0,0.0
2706.0,1985.0
1782.0,3755.0
186.0,1792.0
0.0,0.0
777.0,0.0
2073.0,0.0
2470.0,1789.0
1542.0,3307.0
263.0,1637.0
105.0,0.0
1015.0,0.0
1918.0,0.0
2265.0,2224.0
1619.0,3843.0
414.0,1877.0
141.0,0.0
909.0,0.0
1989.0,0.0
2172.0,1588.0
1153.0,2737.0
28.0,1021.0
0.0,0.0
1052.0,0.0
2378.0,741.0
2388.0,3321.0
1072.0,3664.0
0.0,223.0
0.0,0.0
898.0,0.0
2025.0,0.0
2114.0,1505.0
1235.0,2776.0
69.0,1220.0
25.0,0.0
1214.0,0.0
2342.0,757.0
2228.0,3153.0
957.0,3425.0
0.0,188.0
133.0,0.0
1435.0,0.0
2404.0,439.0
2268.0,2887.0
1076.0,3608.0
107.0,756.0
234.0,0.0
1517.0,0.0
2633.0,624.0
2349.0,3149.0
1051.0,3660.0
0.0,439.0
142.0,0.0
1429.0,0.0
2679.0,402.0
2483.0,3073.0
1180.0,3935.0
212.0,1030.0
298.0,0.0
1466.0,0.0
2672.0,377.0
2516.0,3061.0
1342.0,4134.0
115.0,1116.0
177.0,0.0
1502.0,0.0
2516.0,0.0
2370.0,2443.0
1345.0,3896.0
84.0,1465.0
0.0,0.0
1063.0,0.0
2194.0,0.0
2295.0,1668.0
1223.0,2987.0
6.0,1253.0
0.0,0.0
1077.0,0.0
2349.0,247.0
2412.0,2851.0
1296.0,3996.0
147.0,1232.0
192.0,0.0
1140.0,0.0
2343.0,0.0
2455.0,2186.0
1370.0,3664.0
138.0,1532.0
0.0,0.0
1033.0,0.0
2083.0,0.0
2200.0,1628.0
1399.0,3131.0
314.0,1733.0
179.0,0.0
1211.0,0.0
2230.0,333.0
2450.0,2951.0
1372.0,4074.0
147.0,1174.0
172.0,0.0
1448.0,0.0
2837.0,263.0
2810.0,3289.0
1467.0,4601.0
88.0,1292.0
19.0,0.0
1483.0,0.0
2796.0,0.0
2591.0,2312.0
1268.0,3644.0
4.0,1236.0
223.0,0.0
1743.0,0.0
3074.0,1276.0
2816.0,4296.0
1341.0,4457.0
0.0,41.0
55.0,0.0
1523.0,0.0
2948.0,0.0
2769.0,2910.0
1108.0,4102.0
0.0,1112.0
9.0,0.0
1245.0,0.0
2499.0,0.0
2532.0,2227.0
1188.0,3511.0
0.0,1204.0
0.0,0.0
1338.0,0.0
2605.0,272.0
2416.0,2856.0
1134.0,3794.0
0.0,850.0
15.0,0.0
1245.0,0.0
2565.0,0.0
2574.0,2617.0
1431.0,4144.0
312.0,1791.0
252.0,0.0
1372.0,0.0
2466.0,0.0
2508.0,2498.0
1509.0,4115.0
561.0,2122.0
538.0,0.0
1354.0,0.0
2307.0,0.0
2457.0,2577.0
1591.0,4276.0
556.0,2183.0
326.0,0.0
1222.0,0.0
2426.0,0.0
2896.0,2570.0
2000.0,4726.0
727.0,2823.0
260.0,0.0
1078.0,0.0
2300.0,0.0
2831.0,1731.0
1856.0,3711.0
597.0,2489.0
214.0,0.0
916.0,0.0
2209.0,0.0
2742.0,2274.0
2198.0,4652.0
935.0,3265.0
288.0,0.0
808.0,0.0
1789.0,0.0
2587.0,712.0
2267.0,3147.0
1102.0,3529.0
0.0,186.0
274.0,0.0
1892.0,0.0
3080.0,1837.0
2614.0,4655.0
911.0,3693.0
0.0,0.0
209.0,0.0
1508.0,0.0
2760.0,0.0
2815.0,2721.0
1445.0,4190.0
179.0,1456.0
253.0,0.0
1685.0,0.0
3041.0,837.0
2724.0,3753.0
974.0,3870.0
