agg_orders_level_0,agg_orders_level_1
3936.0,15744.0
3972.0,15816.0
4056.0,12168.0
4116.0,600.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
639.0,0.0
1888.0,0.0
2494.0,0.0
1851.0,0.0
608.0,0.0
0.0,0.0
627.0,0.0
1837.0,0.0
2427.0,0.0
1788.0,0.0
528.0,0.0
0.0,0.0
512.0,0.0
1649.0,0.0
2238.0,0.0
1645.0,0.0
436.0,0.0
0.0,0.0
344.0,0.0
1311.0,0.0
1925.0,1771.0
1540.0,3331.0
545.0,2013.0
0.0,0.0
236.0,0.0
1103.0,0.0
1735.0,0.0
1507.0,1054.0
609.0,1591.0
0.0,417.0
192.0,0.0
1071.0,0.0
1763.0,1379.0
1601.0,3024.0
738.0,2335.0
56.0,0.0
266.0,0.0
1206.0,0.0
1918.0,314.0
1741.0,2103.0
885.0,2650.0
231.0,706.0
464.0,0.0
1368.0,0.0
2076.0,634.0
1875.0,2341.0
1020.0,2807.0
348.0,842.0
603.0,0.0
1518.0,0.0
2220.0,1870.0
1995.0,4021.0
1089.0,3276.0
427.0,0.0
677.0,0.0
1581.0,0.0
2227.0,735.0
1987.0,2878.0
1083.0,3262.0
431.0,707.0
656.0,0.0
1521.0,0.0
2146.0,1025.0
1895.0,3072.0
1015.0,3102.0
337.0,259.0
521.0,0.0
1372.0,0.0
2033.0,788.0
1820.0,2752.0
902.0,2914.0
153.0,219.0
340.0,0.0
1240.0,0.0
1947.0,577.0
1739.0,2448.0
812.0,2731.0
84.0,295.0
278.0,0.0
1192.0,0.0
1892.0,583.0
1690.0,2413.0
791.0,2661.0
91.0,267.0
303.0,0.0
1235.0,0.0
1949.0,778.0
1779.0,2689.0
892.0,2847.0
220.0,298.0
417.0,0.0
1328.0,0.0
2060.0,910.0
1911.0,2941.0
1081.0,3160.0
421.0,580.0
631.0,0.0
1491.0,0.0
2180.0,1082.0
2033.0,3255.0
1206.0,3419.0
535.0,627.0
733.0,0.0
1599.0,0.0
2295.0,1152.0
2132.0,3412.0
1265.0,3569.0
579.0,656.0
755.0,0.0
1628.0,0.0
2277.0,1047.0
2092.0,3267.0
1219.0,3483.0
528.0,664.0
701.0,0.0
1547.0,0.0
2187.0,904.0
1951.0,2983.0
1090.0,3209.0
412.0,566.0
612.0,0.0
1413.0,0.0
2040.0,800.0
1816.0,2744.0
932.0,2924.0
297.0,405.0
478.0,0.0
1312.0,0.0
1935.0,741.0
1754.0,2623.0
917.0,2847.0
253.0,409.0
422.0,0.0
1253.0,0.0
