id,inv,demand,forecast,received_shipment,order,Order_Supplier_0,Forecast_Retailer_0,Forecast_Retailer_1,Demand_Retailer_0,Demand_Retailer_1
0.0,0.0,972.0,972.0,0.0,2916.0,2916.0,681.0,291.0,681.0,291.0
0.0,0.0,1038.0,1006.0,2916.0,2112.0,2112.0,704.0,302.0,726.0,312.0
0.0,906.0,124.0,712.0,2112.0,0.0,0.0,498.0,214.0,86.0,38.0
0.0,2894.0,389.0,631.0,0.0,0.0,0.0,442.0,189.0,273.0,116.0
0.0,2505.0,393.0,583.0,0.0,0.0,0.0,408.0,175.0,276.0,117.0
0.0,2112.0,389.0,551.0,0.0,0.0,0.0,386.0,165.0,272.0,117.0
0.0,1723.0,415.0,532.0,0.0,288.0,288.0,372.0,160.0,289.0,126.0
0.0,1308.0,386.0,513.0,288.0,329.0,329.0,359.0,154.0,271.0,115.0
0.0,1210.0,350.0,495.0,329.0,296.0,296.0,347.0,148.0,246.0,104.0
0.0,1189.0,377.0,483.0,296.0,341.0,341.0,338.0,145.0,262.0,115.0
0.0,1108.0,480.0,483.0,341.0,480.0,480.0,338.0,145.0,337.0,143.0
0.0,969.0,387.0,474.0,480.0,360.0,360.0,332.0,142.0,271.0,116.0
0.0,1062.0,387.0,468.0,360.0,369.0,369.0,328.0,140.0,271.0,116.0
0.0,1035.0,392.0,463.0,369.0,377.0,377.0,324.0,139.0,275.0,117.0
0.0,1012.0,415.0,460.0,377.0,406.0,406.0,322.0,138.0,289.0,126.0
0.0,974.0,436.0,459.0,406.0,433.0,433.0,321.0,138.0,305.0,131.0
0.0,944.0,312.0,450.0,433.0,285.0,285.0,315.0,135.0,218.0,94.0
0.0,1065.0,419.0,448.0,285.0,413.0,413.0,314.0,134.0,295.0,124.0
0.0,931.0,390.0,444.0,413.0,378.0,378.0,311.0,133.0,273.0,117.0
0.0,954.0,378.0,441.0,378.0,369.0,369.0,309.0,132.0,265.0,113.0
0.0,954.0,368.0,438.0,369.0,359.0,359.0,307.0,131.0,257.0,111.0
0.0,955.0,372.0,434.0,359.0,360.0,360.0,304.0,130.0,260.0,112.0
0.0,942.0,343.0,431.0,360.0,334.0,334.0,302.0,129.0,241.0,102.0
0.0,959.0,323.0,426.0,334.0,308.0,308.0,298.0,128.0,224.0,99.0
0.0,970.0,292.0,421.0,308.0,277.0,277.0,295.0,126.0,205.0,87.0
0.0,986.0,361.0,419.0,277.0,355.0,355.0,293.0,126.0,253.0,108.0
0.0,902.0,308.0,414.0,355.0,293.0,293.0,290.0,124.0,216.0,92.0
0.0,949.0,338.0,412.0,293.0,332.0,332.0,288.0,124.0,236.0,102.0
0.0,904.0,335.0,410.0,332.0,329.0,329.0,287.0,123.0,237.0,98.0
0.0,901.0,320.0,406.0,329.0,308.0,308.0,284.0,122.0,223.0,97.0
0.0,910.0,272.0,402.0,308.0,260.0,260.0,281.0,121.0,191.0,81.0
0.0,946.0,326.0,400.0,260.0,320.0,320.0,280.0,120.0,227.0,99.0
0.0,880.0,305.0,397.0,320.0,296.0,296.0,278.0,119.0,215.0,90.0
0.0,895.0,244.0,393.0,296.0,232.0,232.0,275.0,118.0,170.0,74.0
0.0,947.0,277.0,389.0,232.0,265.0,265.0,272.0,117.0,195.0,82.0
0.0,902.0,324.0,387.0,265.0,318.0,318.0,271.0,116.0,226.0,98.0
0.0,843.0,330.0,386.0,318.0,327.0,327.0,270.0,116.0,231.0,99.0
0.0,831.0,321.0,384.0,327.0,315.0,315.0,269.0,115.0,224.0,97.0
0.0,837.0,284.0,381.0,315.0,275.0,275.0,267.0,114.0,200.0,84.0
0.0,868.0,336.0,380.0,275.0,333.0,333.0,266.0,114.0,235.0,101.0
0.0,807.0,293.0,378.0,333.0,287.0,287.0,265.0,113.0,204.0,89.0
0.0,847.0,206.0,374.0,287.0,194.0,194.0,262.0,112.0,144.0,62.0
0.0,928.0,304.0,373.0,194.0,301.0,301.0,261.0,112.0,215.0,89.0
0.0,818.0,231.0,369.0,301.0,219.0,219.0,258.0,111.0,160.0,71.0
0.0,888.0,254.0,367.0,219.0,248.0,248.0,257.0,110.0,179.0,75.0
0.0,853.0,333.0,366.0,248.0,330.0,330.0,256.0,110.0,232.0,101.0
0.0,768.0,370.0,366.0,330.0,370.0,370.0,256.0,110.0,260.0,110.0
0.0,728.0,316.0,364.0,370.0,310.0,310.0,255.0,109.0,220.0,96.0
0.0,782.0,363.0,364.0,310.0,363.0,363.0,255.0,109.0,255.0,108.0
0.0,729.0,362.0,364.0,363.0,362.0,362.0,255.0,109.0,253.0,109.0
0.0,730.0,396.0,366.0,362.0,402.0,402.0,256.0,110.0,276.0,120.0
0.0,696.0,353.0,366.0,402.0,353.0,353.0,256.0,110.0,247.0,106.0
0.0,745.0,350.0,353.0,353.0,311.0,311.0,247.0,106.0,245.0,105.0
0.0,748.0,359.0,340.0,311.0,320.0,320.0,238.0,102.0,251.0,108.0
0.0,700.0,338.0,344.0,320.0,350.0,350.0,241.0,103.0,238.0,100.0
0.0,682.0,366.0,344.0,350.0,366.0,366.0,241.0,103.0,256.0,110.0
0.0,666.0,415.0,344.0,366.0,415.0,415.0,241.0,103.0,289.0,126.0
0.0,617.0,376.0,344.0,415.0,376.0,376.0,241.0,103.0,263.0,113.0
0.0,656.0,403.0,344.0,376.0,403.0,403.0,241.0,103.0,282.0,121.0
0.0,629.0,401.0,344.0,403.0,401.0,401.0,241.0,103.0,281.0,120.0
0.0,631.0,443.0,346.0,401.0,449.0,449.0,242.0,104.0,311.0,132.0
0.0,589.0,440.0,347.0,449.0,443.0,443.0,243.0,104.0,307.0,133.0
0.0,598.0,519.0,347.0,443.0,519.0,519.0,243.0,104.0,364.0,155.0
0.0,522.0,427.0,349.0,519.0,433.0,433.0,244.0,105.0,299.0,128.0
0.0,614.0,400.0,349.0,433.0,400.0,400.0,244.0,105.0,280.0,120.0
0.0,647.0,506.0,351.0,400.0,512.0,512.0,246.0,105.0,354.0,152.0
0.0,541.0,482.0,353.0,512.0,488.0,488.0,247.0,106.0,338.0,144.0
0.0,571.0,449.0,353.0,488.0,449.0,449.0,247.0,106.0,314.0,135.0
0.0,610.0,451.0,356.0,449.0,460.0,460.0,249.0,107.0,315.0,136.0
0.0,608.0,457.0,356.0,460.0,457.0,457.0,249.0,107.0,320.0,137.0
0.0,611.0,376.0,356.0,457.0,376.0,376.0,249.0,107.0,263.0,113.0
0.0,692.0,370.0,356.0,376.0,370.0,370.0,249.0,107.0,259.0,111.0
0.0,698.0,463.0,357.0,370.0,466.0,466.0,250.0,107.0,323.0,140.0
0.0,605.0,437.0,359.0,466.0,443.0,443.0,251.0,108.0,307.0,130.0
0.0,634.0,326.0,359.0,443.0,326.0,326.0,251.0,108.0,228.0,98.0
0.0,751.0,440.0,360.0,326.0,443.0,443.0,252.0,108.0,309.0,131.0
0.0,637.0,400.0,363.0,443.0,409.0,409.0,254.0,109.0,279.0,121.0
0.0,680.0,462.0,364.0,409.0,465.0,465.0,255.0,109.0,323.0,139.0
0.0,627.0,392.0,366.0,465.0,398.0,398.0,256.0,110.0,275.0,117.0
0.0,700.0,363.0,367.0,398.0,366.0,366.0,257.0,110.0,254.0,109.0
0.0,735.0,377.0,367.0,366.0,377.0,377.0,257.0,110.0,264.0,113.0
0.0,724.0,389.0,369.0,377.0,395.0,395.0,258.0,111.0,271.0,118.0
0.0,712.0,316.0,370.0,395.0,319.0,319.0,259.0,111.0,222.0,94.0
0.0,791.0,314.0,370.0,319.0,314.0,314.0,259.0,111.0,219.0,95.0
0.0,796.0,363.0,370.0,314.0,363.0,363.0,259.0,111.0,255.0,108.0
0.0,747.0,281.0,371.0,363.0,284.0,284.0,260.0,111.0,197.0,84.0
0.0,829.0,352.0,373.0,284.0,358.0,358.0,261.0,112.0,245.0,107.0
0.0,761.0,314.0,373.0,358.0,314.0,314.0,261.0,112.0,220.0,94.0
0.0,805.0,407.0,374.0,314.0,410.0,410.0,262.0,112.0,286.0,121.0
0.0,712.0,282.0,373.0,410.0,279.0,279.0,261.0,112.0,197.0,85.0
0.0,840.0,317.0,374.0,279.0,320.0,320.0,262.0,112.0,222.0,95.0
0.0,802.0,344.0,374.0,320.0,344.0,344.0,262.0,112.0,241.0,103.0
0.0,778.0,364.0,376.0,344.0,370.0,370.0,263.0,113.0,256.0,108.0
0.0,758.0,303.0,377.0,370.0,306.0,306.0,264.0,113.0,211.0,92.0
0.0,825.0,341.0,377.0,306.0,341.0,341.0,264.0,113.0,239.0,102.0
0.0,790.0,349.0,380.0,341.0,358.0,358.0,266.0,114.0,244.0,105.0
0.0,782.0,316.0,381.0,358.0,319.0,319.0,267.0,114.0,222.0,94.0
0.0,824.0,396.0,383.0,319.0,402.0,402.0,268.0,115.0,277.0,119.0
0.0,747.0,347.0,382.0,402.0,344.0,344.0,267.0,115.0,243.0,104.0
0.0,802.0,304.0,382.0,344.0,304.0,304.0,267.0,115.0,213.0,91.0
0.0,842.0,327.0,381.0,304.0,324.0,324.0,267.0,114.0,228.0,99.0
0.0,819.0,353.0,381.0,324.0,353.0,353.0,267.0,114.0,247.0,106.0
0.0,790.0,399.0,381.0,353.0,399.0,399.0,267.0,114.0,279.0,120.0
0.0,744.0,347.0,381.0,399.0,347.0,347.0,267.0,114.0,243.0,104.0
0.0,796.0,337.0,381.0,347.0,337.0,337.0,267.0,114.0,236.0,101.0
0.0,806.0,410.0,382.0,337.0,413.0,413.0,267.0,115.0,288.0,122.0
0.0,733.0,448.0,384.0,413.0,454.0,454.0,269.0,115.0,312.0,136.0
0.0,698.0,437.0,386.0,454.0,443.0,443.0,270.0,116.0,307.0,130.0
0.0,715.0,467.0,386.0,443.0,467.0,467.0,270.0,116.0,328.0,139.0
0.0,691.0,433.0,387.0,467.0,436.0,436.0,271.0,116.0,302.0,131.0
0.0,725.0,459.0,389.0,436.0,465.0,465.0,272.0,117.0,321.0,138.0
0.0,702.0,483.0,390.0,465.0,486.0,486.0,273.0,117.0,339.0,144.0
0.0,684.0,490.0,391.0,486.0,493.0,493.0,274.0,117.0,342.0,148.0
0.0,680.0,477.0,391.0,493.0,477.0,477.0,274.0,117.0,334.0,143.0
0.0,696.0,557.0,393.0,477.0,563.0,563.0,275.0,118.0,391.0,166.0
0.0,616.0,496.0,394.0,563.0,499.0,499.0,276.0,118.0,348.0,148.0
0.0,683.0,562.0,397.0,499.0,571.0,571.0,278.0,119.0,393.0,169.0
0.0,620.0,463.0,396.0,571.0,460.0,460.0,277.0,119.0,324.0,139.0
0.0,728.0,417.0,394.0,460.0,411.0,411.0,276.0,118.0,291.0,126.0
0.0,771.0,417.0,394.0,411.0,417.0,417.0,276.0,118.0,291.0,126.0
0.0,765.0,470.0,394.0,417.0,470.0,470.0,276.0,118.0,330.0,140.0
0.0,712.0,533.0,396.0,470.0,539.0,539.0,277.0,119.0,374.0,159.0
