agg_orders_level_0,agg_orders_level_1
4815.0,24075.0
5220.0,25080.0
5270.0,25505.0
5265.0,22195.0
5300.0,2585.0
5550.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
42.0,0.0
1142.0,0.0
2250.0,0.0
3261.0,0.0
3347.0,0.0
2336.0,0.0
322.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
695.0,0.0
1889.0,0.0
2963.0,0.0
3296.0,0.0
2401.0,0.0
281.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
645.0,0.0
1548.0,0.0
2667.0,0.0
3225.0,0.0
2846.0,0.0
1347.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
542.0,0.0
1724.0,0.0
3161.0,0.0
3893.0,0.0
3385.0,0.0
1595.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
160.0,0.0
1039.0,0.0
1957.0,0.0
2961.0,0.0
2918.0,0.0
1924.0,0.0
85.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
960.0,0.0
2439.0,2306.0
3708.0,5397.0
4269.0,5812.0
3324.0,6127.0
1864.0,6317.0
3407.0,6642.0
2271.0,3222.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
102.0,0.0
671.0,0.0
1856.0,0.0
2769.0,0.0
3190.0,0.0
2369.0,0.0
1061.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
93.0,0.0
953.0,0.0
2354.0,1679.0
3656.0,5510.0
4092.0,6282.0
3073.0,6207.0
836.0,5804.0
1509.0,1314.0
1268.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
124.0,0.0
311.0,0.0
692.0,0.0
1050.0,0.0
1722.0,0.0
2104.0,0.0
2426.0,0.0
2137.0,540.0
1498.0,1531.0
555.0,2141.0
92.0,1703.0
121.0,848.0
438.0,320.0
1195.0,0.0
2147.0,16.0
3060.0,2430.0
3286.0,4428.0
2934.0,5385.0
1865.0,6083.0
787.0,3058.0
762.0,1284.0
0.0,0.0
59.0,0.0
278.0,0.0
617.0,0.0
897.0,0.0
1132.0,0.0
1511.0,0.0
1989.0,0.0
2316.0,0.0
2229.0,609.0
1335.0,2009.0
0.0,1824.0
63.0,1018.0
350.0,0.0
734.0,0.0
1094.0,0.0
2196.0,527.0
2830.0,3431.0
3196.0,6659.0
2955.0,7005.0
1998.0,7058.0
393.0,1851.0
955.0,0.0
142.0,0.0
570.0,0.0
1011.0,0.0
1298.0,0.0
1451.0,0.0
1803.0,0.0
2089.0,0.0
2668.0,0.0
2283.0,284.0
1142.0,1404.0
0.0,1339.0
0.0,950.0
77.0,0.0
329.0,0.0
686.0,0.0
942.0,146.0
1572.0,549.0
2041.0,2439.0
2768.0,5316.0
2992.0,6870.0
2675.0,7013.0
1297.0,4486.0
903.0,0.0
694.0,0.0
1123.0,0.0
1423.0,0.0
1183.0,0.0
834.0,0.0
1296.0,0.0
2389.0,0.0
3145.0,244.0
2770.0,1932.0
1407.0,3419.0
71.0,3156.0
406.0,1565.0
838.0,0.0
1097.0,0.0
1036.0,0.0
593.0,0.0
491.0,0.0
1175.0,0.0
1926.0,754.0
2395.0,2951.0
2352.0,5463.0
1563.0,6322.0
893.0,4134.0
939.0,1108.0
1407.0,0.0
1375.0,0.0
1305.0,0.0
1392.0,0.0
2514.0,0.0
3162.0,839.0
3071.0,2482.0
1604.0,4131.0
432.0,3649.0
568.0,2266.0
1021.0,266.0
1281.0,0.0
1148.0,0.0
682.0,0.0
504.0,0.0
1108.0,0.0
1733.0,647.0
2218.0,1360.0
1972.0,3115.0
1474.0,4022.0
828.0,3890.0
640.0,2628.0
1048.0,44.0
1307.0,0.0
1467.0,0.0
1436.0,0.0
1871.0,1061.0
2483.0,2129.0
2698.0,2470.0
2144.0,3719.0
1606.0,3708.0
746.0,4158.0
1153.0,2774.0
1470.0,86.0
1513.0,0.0
1128.0,0.0
860.0,0.0
1534.0,0.0
1832.0,510.0
1922.0,649.0
1922.0,614.0
1344.0,1220.0
263.0,1314.0
472.0,1564.0
868.0,992.0
1487.0,514.0
1750.0,927.0
1634.0,2041.0
1661.0,2470.0
2177.0,3146.0
2389.0,4106.0
2511.0,5000.0
1664.0,5070.0
831.0,4090.0
1079.0,0.0
1699.0,0.0
2198.0,0.0
2105.0,0.0
1782.0,38.0
2481.0,1340.0
2641.0,2013.0
2440.0,1977.0
1820.0,2527.0
484.0,2396.0
1.0,2304.0
330.0,518.0
744.0,0.0
1118.0,0.0
1486.0,0.0
1431.0,0.0
1169.0,0.0
1757.0,198.0
2167.0,1264.0
2125.0,3529.0
1794.0,5200.0
1192.0,5208.0
546.0,3074.0
1047.0,0.0
1760.0,0.0
2241.0,392.0
2355.0,1884.0
2310.0,2650.0
2843.0,2735.0
2727.0,2298.0
2222.0,1834.0
1197.0,3008.0
64.0,2946.0
517.0,1412.0
991.0,0.0
1483.0,0.0
1766.0,0.0
1521.0,0.0
1388.0,0.0
1898.0,0.0
2202.0,181.0
1966.0,2297.0
1600.0,3967.0
672.0,4488.0
223.0,2294.0
670.0,19.0
1362.0,594.0
2050.0,1704.0
2597.0,2614.0
2885.0,2719.0
2898.0,2814.0
3331.0,2552.0
3010.0,3036.0
1268.0,4334.0
0.0,3556.0
439.0,728.0
982.0,0.0
1540.0,0.0
1608.0,0.0
1417.0,0.0
1367.0,0.0
2244.0,0.0
3085.0,856.0
2867.0,2828.0
1580.0,4365.0
237.0,3666.0
0.0,896.0
332.0,207.0
800.0,0.0
1259.0,0.0
1683.0,0.0
2449.0,0.0
2783.0,765.0
3252.0,4212.0
3183.0,7423.0
1968.0,8535.0
295.0,4881.0
140.0,0.0
701.0,0.0
1307.0,0.0
1893.0,0.0
2778.0,0.0
3361.0,0.0
3581.0,0.0
3618.0,2190.0
2305.0,4031.0
475.0,4456.0
0.0,2126.0
0.0,355.0
212.0,0.0
647.0,0.0
1130.0,0.0
1816.0,0.0
2422.0,0.0
2786.0,513.0
3086.0,3172.0
3155.0,6607.0
2027.0,7857.0
423.0,5417.0
2.0,0.0
509.0,0.0
1073.0,0.0
1662.0,0.0
2561.0,0.0
3307.0,0.0
3673.0,760.0
4138.0,3828.0
3185.0,5796.0
1009.0,6060.0
96.0,2183.0
66.0,1098.0
540.0,202.0
1065.0,0.0
1530.0,0.0
1802.0,0.0
1854.0,0.0
2138.0,0.0
2882.0,412.0
3108.0,1884.0
2143.0,4202.0
801.0,4284.0
31.0,2623.0
402.0,0.0
915.0,0.0
1446.0,0.0
2080.0,430.0
2542.0,2566.0
2836.0,5020.0
3361.0,5910.0
3129.0,6080.0
1973.0,2558.0
1495.0,743.0
286.0,887.0
816.0,1131.0
1410.0,830.0
1791.0,505.0
2022.0,0.0
2289.0,0.0
2949.0,0.0
3699.0,481.0
3301.0,3871.0
1543.0,5549.0
405.0,5448.0
0.0,1472.0
297.0,0.0
876.0,0.0
1347.0,0.0
1524.0,0.0
1781.0,0.0
1993.0,222.0
3009.0,2674.0
3585.0,5298.0
3198.0,6270.0
1494.0,5376.0
377.0,641.0
738.0,874.0
1416.0,939.0
1908.0,914.0
2437.0,564.0
2940.0,151.0
3321.0,0.0
4188.0,1615.0
3668.0,5472.0
1597.0,6993.0
270.0,5744.0
0.0,644.0
189.0,0.0
723.0,0.0
1290.0,0.0
1626.0,0.0
1775.0,0.0
1889.0,0.0
2598.0,0.0
3478.0,2494.0
3368.0,4774.0
1902.0,5854.0
360.0,3620.0
321.0,589.0
888.0,727.0
1509.0,732.0
2026.0,734.0
2893.0,603.0
3567.0,703.0
4038.0,1617.0
4178.0,5562.0
2648.0,7692.0
586.0,6581.0
0.0,839.0
165.0,0.0
768.0,0.0
1401.0,0.0
1846.0,0.0
2587.0,0.0
2984.0,0.0
3475.0,0.0
3618.0,2631.0
2472.0,5313.0
523.0,5806.0
0.0,3040.0
0.0,358.0
312.0,0.0
930.0,0.0
1749.0,0.0
3348.0,0.0
4452.0,0.0
4590.0,3794.0
3990.0,8134.0
2487.0,10120.0
263.0,7140.0
0.0,156.0
78.0,0.0
690.0,0.0
1317.0,0.0
2590.0,0.0
3862.0,0.0
4603.0,0.0
4323.0,0.0
3578.0,2696.0
1314.0,4120.0
0.0,4055.0
0.0,1239.0
0.0,0.0
120.0,0.0
651.0,0.0
1215.0,0.0
2528.0,0.0
3680.0,0.0
4580.0,4219.0
4033.0,8607.0
3377.0,10275.0
1227.0,8957.0
0.0,1419.0
0.0,0.0
519.0,0.0
1128.0,0.0
2033.0,0.0
3284.0,0.0
4460.0,0.0
4893.0,0.0
4532.0,1288.0
2910.0,4023.0
404.0,4402.0
0.0,2979.0
0.0,314.0
162.0,0.0
762.0,0.0
1272.0,0.0
1782.0,0.0
2557.0,0.0
3224.0,312.0
3737.0,4367.0
3823.0,8555.0
2689.0,10560.0
520.0,7285.0
0.0,566.0
435.0,0.0
1122.0,0.0
1713.0,0.0
2671.0,0.0
3572.0,0.0
4043.0,0.0
4393.0,0.0
3946.0,2294.0
1911.0,4330.0
174.0,4384.0
0.0,1840.0
552.0,70.0
1152.0,0.0
1752.0,0.0
2304.0,0.0
2856.0,0.0
3131.0,2522.0
3984.0,6767.0
3765.0,9773.0
2011.0,10156.0
458.0,4237.0
0.0,600.0
297.0,0.0
873.0,0.0
1461.0,0.0
1942.0,0.0
2776.0,0.0
3536.0,0.0
4265.0,0.0
4555.0,192.0
3377.0,2733.0
890.0,3603.0
222.0,3463.0
894.0,1394.0
1647.0,333.0
2160.0,0.0
2399.0,0.0
2656.0,1662.0
3334.0,4508.0
4196.0,8135.0
3875.0,9983.0
2003.0,8740.0
482.0,3428.0
0.0,655.0
165.0,0.0
714.0,0.0
1362.0,0.0
1854.0,0.0
2668.0,0.0
3077.0,0.0
3571.0,0.0
4123.0,0.0
3389.0,304.0
1343.0,1053.0
175.0,1088.0
480.0,1044.0
1188.0,954.0
1857.0,1508.0
2735.0,3059.0
3624.0,5689.0
3956.0,7680.0
4472.0,8904.0
4015.0,8856.0
2571.0,3952.0
561.0,2385.0
0.0,0.0
474.0,0.0
1125.0,0.0
1800.0,0.0
2112.0,0.0
2875.0,0.0
3097.0,0.0
3952.0,0.0
3888.0,206.0
2537.0,2346.0
458.0,2764.0
0.0,2418.0
189.0,453.0
816.0,0.0
1503.0,0.0
3024.0,0.0
4401.0,3685.0
5302.0,9162.0
4844.0,10975.0
4076.0,11350.0
1573.0,7623.0
1770.0,209.0
60.0,0.0
327.0,0.0
1008.0,0.0
1704.0,0.0
2040.0,0.0
2112.0,0.0
2551.0,0.0
3295.0,0.0
4303.0,0.0
3744.0,390.0
1889.0,2389.0
0.0,2254.0
0.0,1684.0
510.0,0.0
1140.0,0.0
1764.0,366.0
2489.0,1343.0
3470.0,4025.0
4070.0,7714.0
4776.0,11199.0
4267.0,10658.0
2350.0,7284.0
0.0,0.0
189.0,0.0
939.0,0.0
