agg_orders_level_0,agg_orders_level_1
4392.0,17568.0
4080.0,16944.0
4116.0,11808.0
4080.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
273.0,0.0
1393.0,0.0
2059.0,0.0
1899.0,0.0
959.0,0.0
42.0,0.0
205.0,0.0
1045.0,0.0
2022.0,0.0
2153.0,0.0
1037.0,0.0
0.0,0.0
0.0,0.0
853.0,0.0
1927.0,0.0
2040.0,0.0
992.0,0.0
95.0,0.0
183.0,0.0
1258.0,0.0
2285.0,0.0
2206.0,314.0
1022.0,1304.0
0.0,854.0
0.0,0.0
581.0,0.0
1598.0,719.0
1893.0,2684.0
1402.0,3379.0
608.0,1255.0
226.0,0.0
717.0,0.0
1745.0,0.0
2117.0,1426.0
1533.0,2995.0
542.0,2051.0
135.0,0.0
634.0,0.0
1567.0,0.0
1958.0,1275.0
1265.0,2540.0
239.0,1192.0
52.0,0.0
1019.0,0.0
2215.0,38.0
2411.0,2641.0
1348.0,3981.0
155.0,1585.0
0.0,0.0
781.0,0.0
1695.0,0.0
2072.0,915.0
1554.0,2565.0
486.0,2064.0
3.0,0.0
667.0,0.0
2194.0,143.0
2602.0,2937.0
1493.0,4395.0
151.0,1537.0
0.0,0.0
826.0,0.0
2021.0,0.0
2485.0,941.0
1656.0,2725.0
230.0,1966.0
0.0,0.0
712.0,0.0
1745.0,0.0
2354.0,2074.0
1806.0,4004.0
532.0,2398.0
0.0,0.0
523.0,0.0
1612.0,0.0
2137.0,176.0
1719.0,2035.0
773.0,2644.0
176.0,677.0
579.0,0.0
1540.0,0.0
2089.0,1588.0
1777.0,3485.0
879.0,2788.0
428.0,0.0
773.0,0.0
1647.0,0.0
2086.0,1365.0
1708.0,3193.0
651.0,2487.0
35.0,0.0
462.0,0.0
1708.0,0.0
2413.0,1385.0
1936.0,3473.0
698.0,2762.0
0.0,0.0
428.0,0.0
1748.0,0.0
2616.0,1215.0
2054.0,3433.0
559.0,2753.0
0.0,0.0
449.0,0.0
1676.0,0.0
2553.0,1153.0
2365.0,3706.0
1060.0,3637.0
0.0,0.0
122.0,0.0
1358.0,0.0
2426.0,22.0
2333.0,2521.0
1119.0,3646.0
22.0,999.0
275.0,0.0
1492.0,0.0
2336.0,421.0
2194.0,2783.0
1134.0,3532.0
136.0,765.0
457.0,0.0
1470.0,0.0
2396.0,767.0
