id,inv,demand,forecast,received_shipment,order,Order_Supplier_0,Forecast_Retailer_0,Forecast_Retailer_1,Demand_Retailer_0,Demand_Retailer_1
0.0,0.0,1655.0,1655.0,0.0,8275.0,8275.0,1160.0,495.0,1160.0,495.0
0.0,0.0,1665.0,1660.0,0.0,8300.0,8300.0,1162.0,498.0,1165.0,500.0
0.0,0.0,1690.0,1670.0,0.0,8350.0,8350.0,1170.0,500.0,1185.0,505.0
0.0,0.0,1605.0,1654.0,8275.0,6610.0,6610.0,1159.0,495.0,1125.0,480.0
0.0,1660.0,1630.0,1649.0,8300.0,0.0,0.0,1155.0,494.0,1140.0,490.0
0.0,8330.0,1670.0,1653.0,8350.0,0.0,0.0,1158.0,495.0,1170.0,500.0
0.0,15010.0,0.0,1416.0,6610.0,0.0,0.0,992.0,424.0,0.0,0.0
0.0,21620.0,0.0,1239.0,0.0,0.0,0.0,868.0,371.0,0.0,0.0
0.0,21620.0,0.0,1102.0,0.0,0.0,0.0,772.0,330.0,0.0,0.0
0.0,21620.0,0.0,991.0,0.0,0.0,0.0,694.0,297.0,0.0,0.0
0.0,21620.0,0.0,901.0,0.0,0.0,0.0,631.0,270.0,0.0,0.0
0.0,21620.0,0.0,827.0,0.0,0.0,0.0,579.0,248.0,0.0,0.0
0.0,21620.0,0.0,762.0,0.0,0.0,0.0,534.0,228.0,0.0,0.0
0.0,21620.0,0.0,708.0,0.0,0.0,0.0,496.0,212.0,0.0,0.0
0.0,21620.0,0.0,661.0,0.0,0.0,0.0,463.0,198.0,0.0,0.0
0.0,21620.0,0.0,620.0,0.0,0.0,0.0,434.0,186.0,0.0,0.0
0.0,21620.0,0.0,584.0,0.0,0.0,0.0,409.0,175.0,0.0,0.0
0.0,21620.0,0.0,551.0,0.0,0.0,0.0,386.0,165.0,0.0,0.0
0.0,21620.0,0.0,522.0,0.0,0.0,0.0,366.0,156.0,0.0,0.0
0.0,21620.0,0.0,495.0,0.0,0.0,0.0,347.0,148.0,0.0,0.0
0.0,21620.0,0.0,472.0,0.0,0.0,0.0,331.0,141.0,0.0,0.0
0.0,21620.0,0.0,451.0,0.0,0.0,0.0,316.0,135.0,0.0,0.0
0.0,21620.0,0.0,431.0,0.0,0.0,0.0,302.0,129.0,0.0,0.0
0.0,21620.0,12.0,414.0,0.0,0.0,0.0,290.0,124.0,5.0,7.0
0.0,21608.0,291.0,409.0,0.0,0.0,0.0,286.0,123.0,201.0,90.0
0.0,21317.0,607.0,416.0,0.0,0.0,0.0,291.0,125.0,422.0,185.0
0.0,20710.0,983.0,437.0,0.0,0.0,0.0,306.0,131.0,690.0,293.0
0.0,19727.0,1102.0,461.0,0.0,0.0,0.0,323.0,138.0,774.0,328.0
0.0,18625.0,877.0,475.0,0.0,0.0,0.0,333.0,142.0,621.0,256.0
0.0,17748.0,247.0,468.0,0.0,0.0,0.0,328.0,140.0,178.0,69.0
0.0,17501.0,0.0,452.0,0.0,0.0,0.0,317.0,135.0,0.0,0.0
0.0,17501.0,0.0,438.0,0.0,0.0,0.0,307.0,131.0,0.0,0.0
0.0,17501.0,0.0,425.0,0.0,0.0,0.0,298.0,127.0,0.0,0.0
0.0,17501.0,0.0,412.0,0.0,0.0,0.0,289.0,123.0,0.0,0.0
0.0,17501.0,0.0,401.0,0.0,0.0,0.0,281.0,120.0,0.0,0.0
0.0,17501.0,75.0,392.0,0.0,0.0,0.0,274.0,118.0,43.0,32.0
0.0,17426.0,417.0,393.0,0.0,0.0,0.0,275.0,118.0,282.0,135.0
0.0,17009.0,735.0,402.0,0.0,0.0,0.0,281.0,121.0,503.0,232.0
0.0,16274.0,1015.0,418.0,0.0,0.0,0.0,292.0,126.0,710.0,305.0
0.0,15259.0,997.0,432.0,0.0,0.0,0.0,302.0,130.0,709.0,288.0
0.0,14262.0,670.0,438.0,0.0,0.0,0.0,307.0,131.0,488.0,182.0
0.0,13592.0,31.0,428.0,0.0,0.0,0.0,300.0,128.0,31.0,0.0
0.0,13561.0,0.0,418.0,0.0,0.0,0.0,293.0,125.0,0.0,0.0
0.0,13561.0,0.0,408.0,0.0,0.0,0.0,286.0,122.0,0.0,0.0
0.0,13561.0,0.0,399.0,0.0,0.0,0.0,280.0,119.0,0.0,0.0
0.0,13561.0,0.0,391.0,0.0,0.0,0.0,274.0,117.0,0.0,0.0
0.0,13561.0,190.0,387.0,0.0,0.0,0.0,271.0,116.0,115.0,75.0
0.0,13371.0,525.0,389.0,0.0,0.0,0.0,272.0,117.0,348.0,177.0
0.0,12846.0,931.0,401.0,0.0,0.0,0.0,280.0,121.0,634.0,297.0
0.0,11915.0,1087.0,414.0,0.0,0.0,0.0,289.0,125.0,761.0,326.0
0.0,10828.0,980.0,425.0,0.0,0.0,0.0,297.0,128.0,707.0,273.0
0.0,9848.0,469.0,426.0,0.0,0.0,0.0,299.0,127.0,365.0,104.0
0.0,9379.0,0.0,394.0,0.0,0.0,0.0,276.0,118.0,0.0,0.0
0.0,9379.0,0.0,362.0,0.0,0.0,0.0,254.0,108.0,0.0,0.0
0.0,9379.0,0.0,330.0,0.0,0.0,0.0,231.0,99.0,0.0,0.0
0.0,9379.0,0.0,299.0,0.0,0.0,0.0,210.0,89.0,0.0,0.0
0.0,9379.0,0.0,268.0,0.0,0.0,0.0,188.0,80.0,0.0,0.0
0.0,9379.0,286.0,241.0,0.0,0.0,0.0,169.0,72.0,178.0,108.0
0.0,9093.0,615.0,252.0,0.0,0.0,0.0,176.0,76.0,408.0,207.0
0.0,8478.0,941.0,271.0,0.0,0.0,0.0,189.0,82.0,638.0,303.0
0.0,7537.0,1023.0,290.0,0.0,0.0,0.0,202.0,88.0,719.0,304.0
0.0,6514.0,808.0,306.0,0.0,0.0,0.0,214.0,92.0,589.0,219.0
0.0,5706.0,209.0,311.0,0.0,0.0,0.0,218.0,93.0,192.0,17.0
0.0,5497.0,0.0,311.0,0.0,0.0,0.0,218.0,93.0,0.0,0.0
0.0,5497.0,0.0,311.0,0.0,0.0,0.0,218.0,93.0,0.0,0.0
0.0,5497.0,0.0,311.0,0.0,0.0,0.0,218.0,93.0,0.0,0.0
0.0,5497.0,0.0,311.0,0.0,0.0,0.0,218.0,93.0,0.0,0.0
0.0,5497.0,39.0,311.0,0.0,0.0,0.0,218.0,93.0,0.0,39.0
0.0,5458.0,436.0,319.0,0.0,0.0,0.0,223.0,96.0,278.0,158.0
0.0,5022.0,850.0,336.0,0.0,0.0,0.0,234.0,102.0,568.0,282.0
0.0,4172.0,1261.0,360.0,0.0,0.0,0.0,251.0,109.0,881.0,380.0
0.0,2911.0,1194.0,382.0,0.0,193.0,193.0,267.0,115.0,863.0,331.0
0.0,1717.0,711.0,396.0,0.0,974.0,974.0,278.0,118.0,552.0,159.0
0.0,1006.0,0.0,396.0,0.0,974.0,974.0,278.0,118.0,0.0,0.0
0.0,1006.0,0.0,396.0,193.0,781.0,781.0,278.0,118.0,0.0,0.0
0.0,1199.0,0.0,396.0,974.0,0.0,0.0,278.0,118.0,0.0,0.0
0.0,2173.0,0.0,391.0,974.0,0.0,0.0,274.0,117.0,0.0,0.0
0.0,3147.0,0.0,379.0,781.0,0.0,0.0,266.0,113.0,0.0,0.0
0.0,3928.0,2.0,360.0,0.0,0.0,0.0,253.0,107.0,0.0,2.0
0.0,3926.0,281.0,344.0,0.0,0.0,0.0,241.0,103.0,168.0,113.0
0.0,3645.0,665.0,340.0,0.0,0.0,0.0,237.0,103.0,437.0,228.0
0.0,2980.0,1105.0,356.0,0.0,0.0,0.0,248.0,108.0,749.0,356.0
0.0,1875.0,1281.0,382.0,0.0,1316.0,1316.0,266.0,116.0,899.0,382.0
0.0,594.0,1014.0,401.0,0.0,2004.0,2004.0,280.0,121.0,742.0,272.0
0.0,1.0,275.0,406.0,0.0,2029.0,2029.0,285.0,121.0,249.0,26.0
0.0,1.0,0.0,406.0,1316.0,1409.0,1409.0,285.0,121.0,0.0,0.0
0.0,621.0,0.0,406.0,2004.0,0.0,0.0,285.0,121.0,0.0,0.0
0.0,2625.0,0.0,405.0,2029.0,0.0,0.0,284.0,121.0,0.0,0.0
0.0,4654.0,0.0,396.0,1409.0,0.0,0.0,278.0,118.0,0.0,0.0
0.0,6063.0,0.0,383.0,0.0,0.0,0.0,269.0,114.0,0.0,0.0
0.0,6063.0,1.0,363.0,0.0,0.0,0.0,255.0,108.0,0.0,1.0
0.0,6062.0,303.0,350.0,0.0,0.0,0.0,245.0,105.0,178.0,125.0
0.0,5759.0,702.0,350.0,0.0,0.0,0.0,244.0,106.0,457.0,245.0
0.0,5057.0,1087.0,371.0,0.0,0.0,0.0,258.0,113.0,727.0,360.0
0.0,3970.0,1123.0,392.0,0.0,0.0,0.0,273.0,119.0,786.0,337.0
0.0,2847.0,830.0,408.0,0.0,23.0,23.0,285.0,123.0,615.0,215.0
0.0,2017.0,199.0,411.0,0.0,237.0,237.0,288.0,123.0,199.0,0.0
