agg_orders_level_0,agg_orders_level_1
3804.0,15216.0
3852.0,15312.0
4068.0,12144.0
4188.0,1296.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
432.0,0.0
1536.0,0.0
1971.0,0.0
1557.0,0.0
489.0,0.0
172.0,0.0
1009.0,0.0
1806.0,0.0
1817.0,0.0
1265.0,0.0
477.0,0.0
34.0,0.0
472.0,0.0
1365.0,0.0
2039.0,0.0
1676.0,0.0
723.0,0.0
253.0,0.0
715.0,0.0
1474.0,0.0
1797.0,0.0
1547.0,1490.0
908.0,2350.0
429.0,1205.0
490.0,0.0
1018.0,0.0
1281.0,355.0
1397.0,1776.0
1252.0,2673.0
1084.0,1973.0
729.0,0.0
819.0,0.0
1464.0,299.0
1845.0,2192.0
1470.0,3399.0
675.0,1834.0
439.0,0.0
726.0,0.0
1289.0,0.0
1542.0,549.0
1440.0,2001.0
1120.0,2368.0
805.0,932.0
948.0,0.0
1478.0,0.0
1697.0,1443.0
1491.0,3042.0
913.0,2588.0
436.0,14.0
553.0,0.0
999.0,0.0
1458.0,650.0
1628.0,2374.0
1136.0,2828.0
762.0,1128.0
788.0,0.0
1256.0,0.0
1791.0,1131.0
1621.0,2796.0
1078.0,2683.0
888.0,715.0
929.0,0.0
1226.0,0.0
1380.0,984.0
1232.0,2264.0
1012.0,2268.0
890.0,810.0
1060.0,0.0
1412.0,216.0
1774.0,2102.0
1436.0,3378.0
889.0,2117.0
801.0,0.0
979.0,0.0
1258.0,0.0
1338.0,974.0
1128.0,2142.0
903.0,2067.0
888.0,789.0
1164.0,0.0
1617.0,726.0
1755.0,2529.0
1290.0,3129.0
888.0,1500.0
891.0,0.0
1183.0,0.0
1441.0,290.0
1615.0,1977.0
1337.0,3084.0
856.0,1987.0
663.0,0.0
1079.0,0.0
1460.0,30.0
1678.0,1752.0
1477.0,3247.0
1182.0,2689.0
950.0,352.0
1043.0,0.0
1164.0,0.0
1322.0,804.0
1510.0,2390.0
1362.0,3016.0
928.0,1554.0
679.0,0.0
913.0,0.0
1320.0,0.0
1605.0,1457.0
1494.0,3007.0
1131.0,2669.0
840.0,430.0
1114.0,0.0
1634.0,79.0
1705.0,1856.0
1338.0,3143.0
935.0,2194.0
932.0,44.0
1026.0,0.0
982.0,0.0
1084.0,805.0
1293.0,2122.0
1661.0,2986.0
1841.0,2717.0
1432.0,1163.0
995.0,0.0
886.0,0.0
1214.0,406.0
1489.0,1915.0
1517.0,3046.0
1220.0,2355.0
1032.0,345.0
1116.0,0.0
1254.0,83.0
1501.0,1536.0
1623.0,3064.0
1454.0,2994.0
1125.0,1079.0
1077.0,0.0
1288.0,0.0
1663.0,1070.0
1746.0,2824.0
1250.0,2996.0
701.0,865.0
735.0,0.0
1081.0,0.0
1618.0,446.0
1806.0,2264.0
1692.0,3534.0
