agg_orders_level_0,agg_orders_level_1
4080.0,16320.0
4080.0,16320.0
4348.0,12860.0
4320.0,1016.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
168.0,0.0
1092.0,0.0
2004.0,0.0
2001.0,0.0
1199.0,0.0
362.0,0.0
129.0,0.0
669.0,0.0
1822.0,0.0
2286.0,0.0
1477.0,0.0
305.0,0.0
0.0,0.0
811.0,0.0
1903.0,0.0
1990.0,0.0
1094.0,0.0
98.0,0.0
0.0,0.0
912.0,0.0
1989.0,0.0
2199.0,0.0
1171.0,997.0
3.0,860.0
0.0,0.0
999.0,0.0
2148.0,2086.0
2287.0,4493.0
1059.0,3454.0
0.0,0.0
0.0,0.0
815.0,0.0
1884.0,0.0
2224.0,322.0
1334.0,1656.0
198.0,1452.0
0.0,0.0
658.0,0.0
1694.0,608.0
2398.0,3090.0
1955.0,4509.0
718.0,1873.0
0.0,0.0
76.0,0.0
1000.0,0.0
1794.0,0.0
2113.0,0.0
1647.0,1645.0
671.0,2376.0
53.0,792.0
501.0,0.0
1546.0,0.0
2191.0,2174.0
1869.0,4095.0
977.0,2822.0
419.0,0.0
477.0,0.0
1165.0,0.0
1747.0,0.0
1789.0,1602.0
1091.0,2629.0
733.0,1640.0
867.0,0.0
1305.0,0.0
1632.0,1331.0
1293.0,2664.0
910.0,2167.0
961.0,380.0
1411.0,0.0
1601.0,985.0
1372.0,2465.0
878.0,2354.0
676.0,469.0
938.0,0.0
1462.0,16.0
1895.0,2005.0
1657.0,3782.0
965.0,2742.0
412.0,0.0
593.0,0.0
1396.0,0.0
1917.0,440.0
1822.0,2406.0
1087.0,3065.0
435.0,986.0
608.0,0.0
1415.0,0.0
2016.0,998.0
1913.0,3055.0
935.0,3008.0
474.0,339.0
658.0,0.0
1093.0,0.0
1686.0,309.0
1590.0,2019.0
1125.0,2911.0
586.0,1450.0
788.0,0.0
1270.0,0.0
1712.0,727.0
1693.0,2492.0
1124.0,2973.0
587.0,1072.0
570.0,0.0
1069.0,0.0
1880.0,386.0
1968.0,2430.0
1289.0,3405.0
634.0,1621.0
758.0,0.0
1639.0,0.0
2171.0,1143.0
1723.0,2918.0
689.0,2468.0
310.0,0.0
875.0,0.0
1874.0,77.0
2406.0,2567.0
1753.0,4307.0
688.0,2404.0
252.0,0.0
1013.0,0.0
2204.0,0.0
2412.0,1630.0
1660.0,3366.0
574.0,2282.0
424.0,0.0
1031.0,0.0
1813.0,0.0
1888.0,1718.0
1473.0,3275.0
938.0,2523.0
860.0,72.0
1272.0,0.0
1613.0,298.0
1613.0,1947.0
1111.0,2812.0
755.0,1632.0
1057.0,0.0
1601.0,0.0
1855.0,1637.0
1629.0,3314.0
1172.0,2909.0
808.0,407.0
1158.0,0.0
1851.0,120.0
1853.0,1997.0
1296.0,3185.0
426.0,1602.0
585.0,0.0
1326.0,0.0
1911.0,649.0
1974.0,2635.0
1314.0,3312.0
780.0,1481.0
829.0,0.0
1300.0,0.0
1869.0,722.0
2012.0,2734.0
1398.0,3422.0
600.0,1280.0
390.0,0.0
1005.0,0.0
1836.0,0.0
2244.0,1997.0
1972.0,4057.0
1145.0,3281.0
392.0,0.0
756.0,0.0
1570.0,0.0
2266.0,775.0
2025.0,2900.0
1049.0,3238.0
396.0,686.0
675.0,0.0
1458.0,0.0
2364.0,1111.0
2133.0,3376.0
978.0,3279.0
453.0,312.0
723.0,0.0
1587.0,0.0
2271.0,1258.0
2235.0,3593.0
1371.0,3754.0
547.0,640.0
736.0,0.0
1749.0,0.0
2528.0,1323.0
2165.0,3588.0
804.0,3057.0
163.0,0.0
925.0,0.0
2223.0,0.0
2612.0,2299.0
1778.0,4149.0
603.0,2417.0
145.0,0.0
1057.0,0.0
2410.0,0.0
2795.0,2338.0
1847.0,4285.0
422.0,2297.0
0.0,0.0
817.0,0.0
2149.0,0.0
2493.0,1126.0
1994.0,3216.0
1058.0,3124.0
366.0,166.0
748.0,0.0
1861.0,0.0
2340.0,1893.0
1730.0,3723.0
1013.0,2847.0
840.0,22.0
1324.0,0.0
1723.0,0.0
1683.0,1697.0
1466.0,3251.0
1211.0,2801.0
1342.0,860.0
1691.0,0.0
1960.0,810.0
1499.0,2353.0
931.0,2502.0
971.0,1144.0
1615.0,273.0
2154.0,1267.0
2066.0,3048.0
1529.0,3358.0
1009.0,1367.0
1016.0,0.0
1409.0,0.0
1794.0,825.0
1972.0,2773.0
1870.0,3862.0
1542.0,2707.0
1097.0,40.0
962.0,0.0
1494.0,0.0
2143.0,1682.0
2332.0,4134.0
1719.0,4283.0
959.0,1112.0
824.0,0.0
1171.0,0.0
1768.0,0.0
2250.0,1642.0
2084.0,3878.0
1454.0,3710.0
901.0,625.0
1267.0,0.0
1848.0,0.0
1949.0,1350.0
1668.0,3150.0
1321.0,3161.0
900.0,803.0
1163.0,0.0
1895.0,0.0
2115.0,1992.0
1735.0,3827.0
1120.0,2991.0
1132.0,240.0
1538.0,0.0
1945.0,440.0
1928.0,2448.0
1438.0,3482.0
966.0,1972.0
1037.0,0.0
1863.0,0.0
2389.0,1839.0
2068.0,3987.0
1221.0,3349.0
530.0,0.0
848.0,0.0
1915.0,0.0
2653.0,1947.0
2259.0,4310.0
1103.0,3422.0
194.0,0.0
444.0,0.0
2074.0,0.0
3271.0,1613.0
2607.0,4348.0
926.0,3625.0
0.0,0.0
372.0,0.0
1914.0,0.0
3042.0,832.0
2832.0,3792.0
1380.0,4376.0
141.0,625.0
279.0,0.0
1848.0,0.0
3192.0,875.0
2823.0,3850.0
1128.0,4115.0
30.0,203.0
696.0,0.0
2358.0,0.0
3373.0,2348.0
2497.0,4929.0
655.0,3208.0
0.0,0.0
818.0,0.0
2672.0,0.0
3333.0,1898.0
2188.0,4158.0
517.0,2749.0
0.0,0.0
983.0,0.0
2480.0,0.0
3207.0,2496.0
2342.0,4930.0
895.0,3313.0
197.0,0.0
1087.0,0.0
2609.0,0.0
3365.0,2360.0
2389.0,4853.0
765.0,3242.0
40.0,0.0
904.0,0.0
2397.0,0.0
3216.0,1628.0
2515.0,4283.0
990.0,3669.0
116.0,0.0
626.0,0.0
2205.0,0.0
3251.0,1783.0
2707.0,4682.0
1202.0,4157.0
34.0,0.0
467.0,0.0
2242.0,0.0
3437.0,1290.0
3001.0,4527.0
1397.0,4706.0
211.0,266.0
527.0,0.0
2050.0,0.0
3062.0,805.0
2680.0,3677.0
1310.0,4254.0
236.0,693.0
760.0,0.0
2386.0,0.0
3399.0,2255.0
2535.0,4982.0
692.0,3419.0
0.0,0.0
799.0,0.0
2608.0,0.0
3594.0,1867.0
2555.0,4622.0
719.0,3462.0
0.0,0.0
724.0,0.0
2390.0,0.0
3550.0,1890.0
2921.0,5027.0
1052.0,4209.0
0.0,0.0
556.0,0.0
2305.0,0.0
3540.0,1174.0
3017.0,4403.0
1412.0,4665.0
474.0,580.0
955.0,0.0
2164.0,0.0
3048.0,1470.0
2435.0,4093.0
1214.0,3849.0
385.0,6.0
1163.0,0.0
2552.0,0.0
3194.0,3063.0
2413.0,5648.0
1052.0,3673.0
613.0,0.0
1598.0,0.0
3064.0,0.0
3065.0,2616.0
1687.0,4427.0
350.0,2157.0
283.0,0.0
1715.0,0.0
3251.0,546.0
3449.0,4163.0
2025.0,5786.0
352.0,1963.0
0.0,0.0
1305.0,0.0
3219.0,0.0
3964.0,2642.0
2731.0,5569.0
558.0,3473.0
0.0,0.0
824.0,0.0
2516.0,0.0
3574.0,1185.0
2664.0,4053.0
954.0,3834.0
42.0,0.0
761.0,0.0
2603.0,0.0
3851.0,3036.0
3151.0,6427.0
1274.0,4705.0
136.0,0.0
490.0,0.0
2280.0,0.0
3630.0,0.0
3273.0,3378.0
1441.0,4891.0
0.0,1325.0
720.0,0.0
2562.0,0.0
3789.0,2108.0
3121.0,5433.0
1231.0,4580.0
4.0,0.0
561.0,0.0
2606.0,0.0
3787.0,1377.0
3066.0,4659.0
1004.0,4262.0
0.0,0.0
696.0,0.0
2584.0,0.0
3591.0,2044.0
2843.0,5055.0
1005.0,3968.0
163.0,0.0
1012.0,0.0
2752.0,0.0
3839.0,2679.0
