id,inv,demand,forecast,received_shipment,order,Order_Supplier_0,Forecast_Retailer_0,Forecast_Retailer_1,Demand_Retailer_0,Demand_Retailer_1
0.0,0.0,1197.0,1197.0,0.0,3591.0,3591.0,837.0,360.0,837.0,360.0
0.0,0.0,1038.0,1118.0,3591.0,1998.0,1998.0,782.0,336.0,726.0,312.0
0.0,1356.0,0.0,745.0,1998.0,0.0,0.0,521.0,224.0,0.0,0.0
0.0,3354.0,278.0,629.0,0.0,0.0,0.0,440.0,189.0,195.0,83.0
0.0,3076.0,216.0,546.0,0.0,0.0,0.0,382.0,164.0,153.0,63.0
0.0,2860.0,265.0,499.0,0.0,0.0,0.0,349.0,150.0,184.0,81.0
0.0,2595.0,294.0,470.0,0.0,0.0,0.0,329.0,141.0,205.0,89.0
0.0,2301.0,363.0,456.0,0.0,0.0,0.0,319.0,137.0,254.0,109.0
0.0,1938.0,340.0,443.0,0.0,0.0,0.0,310.0,133.0,239.0,101.0
0.0,1598.0,256.0,424.0,0.0,0.0,0.0,297.0,127.0,180.0,76.0
0.0,1342.0,315.0,414.0,0.0,215.0,215.0,290.0,124.0,220.0,95.0
0.0,1027.0,223.0,399.0,215.0,178.0,178.0,279.0,120.0,156.0,67.0
0.0,1019.0,303.0,391.0,178.0,279.0,279.0,274.0,117.0,214.0,89.0
0.0,894.0,300.0,384.0,279.0,279.0,279.0,269.0,115.0,209.0,91.0
0.0,873.0,318.0,380.0,279.0,306.0,306.0,266.0,114.0,223.0,95.0
0.0,834.0,404.0,381.0,306.0,407.0,407.0,267.0,114.0,283.0,121.0
0.0,736.0,336.0,379.0,407.0,330.0,330.0,265.0,114.0,234.0,102.0
0.0,807.0,330.0,377.0,330.0,324.0,324.0,264.0,113.0,231.0,99.0
0.0,807.0,382.0,377.0,324.0,382.0,382.0,264.0,113.0,267.0,115.0
0.0,749.0,264.0,371.0,382.0,246.0,246.0,260.0,111.0,185.0,79.0
0.0,867.0,336.0,370.0,246.0,333.0,333.0,259.0,111.0,235.0,101.0
0.0,777.0,342.0,368.0,333.0,336.0,336.0,258.0,110.0,240.0,102.0
0.0,768.0,380.0,369.0,336.0,383.0,383.0,258.0,111.0,265.0,115.0
0.0,724.0,421.0,371.0,383.0,427.0,427.0,260.0,111.0,295.0,126.0
