id,inv,demand,forecast,received_shipment,order,Order_Supplier_0,Forecast_Retailer_0,Forecast_Retailer_1,Demand_Retailer_0,Demand_Retailer_1
0.0,0.0,1348.0,1348.0,0.0,5392.0,5392.0,944.0,404.0,944.0,404.0
0.0,0.0,1336.0,1342.0,0.0,5368.0,5368.0,940.0,402.0,936.0,400.0
0.0,0.0,1336.0,1340.0,5392.0,3988.0,3988.0,939.0,401.0,936.0,400.0
0.0,1372.0,1348.0,1342.0,5368.0,0.0,0.0,940.0,402.0,944.0,404.0
0.0,5392.0,0.0,1074.0,3988.0,0.0,0.0,752.0,322.0,0.0,0.0
0.0,9380.0,0.0,895.0,0.0,0.0,0.0,627.0,268.0,0.0,0.0
0.0,9380.0,0.0,767.0,0.0,0.0,0.0,537.0,230.0,0.0,0.0
0.0,9380.0,0.0,671.0,0.0,0.0,0.0,470.0,201.0,0.0,0.0
0.0,9380.0,0.0,597.0,0.0,0.0,0.0,418.0,179.0,0.0,0.0
0.0,9380.0,0.0,537.0,0.0,0.0,0.0,376.0,161.0,0.0,0.0
0.0,9380.0,0.0,488.0,0.0,0.0,0.0,342.0,146.0,0.0,0.0
0.0,9380.0,182.0,463.0,0.0,0.0,0.0,324.0,139.0,126.0,56.0
0.0,9198.0,539.0,469.0,0.0,0.0,0.0,328.0,141.0,376.0,163.0
0.0,8659.0,718.0,486.0,0.0,0.0,0.0,340.0,146.0,504.0,214.0
0.0,7941.0,537.0,490.0,0.0,0.0,0.0,343.0,147.0,376.0,161.0
0.0,7404.0,173.0,470.0,0.0,0.0,0.0,329.0,141.0,120.0,53.0
0.0,7231.0,0.0,443.0,0.0,0.0,0.0,310.0,133.0,0.0,0.0
0.0,7231.0,187.0,428.0,0.0,0.0,0.0,300.0,128.0,132.0,55.0
0.0,7044.0,544.0,434.0,0.0,0.0,0.0,304.0,130.0,382.0,162.0
0.0,6500.0,715.0,448.0,0.0,0.0,0.0,314.0,134.0,502.0,213.0
0.0,5785.0,537.0,453.0,0.0,0.0,0.0,317.0,136.0,376.0,161.0
0.0,5248.0,178.0,440.0,0.0,0.0,0.0,308.0,132.0,123.0,55.0
0.0,5070.0,0.0,421.0,0.0,0.0,0.0,295.0,126.0,0.0,0.0
0.0,5070.0,175.0,410.0,0.0,0.0,0.0,287.0,123.0,120.0,55.0
0.0,4895.0,527.0,416.0,0.0,0.0,0.0,291.0,125.0,366.0,161.0
0.0,4368.0,705.0,426.0,0.0,0.0,0.0,298.0,128.0,493.0,212.0
0.0,3663.0,522.0,430.0,0.0,0.0,0.0,301.0,129.0,371.0,151.0
0.0,3141.0,167.0,421.0,0.0,0.0,0.0,295.0,126.0,123.0,44.0
0.0,2974.0,0.0,406.0,0.0,0.0,0.0,284.0,122.0,0.0,0.0
0.0,2974.0,174.0,398.0,0.0,0.0,0.0,279.0,119.0,116.0,58.0
0.0,2800.0,518.0,402.0,0.0,0.0,0.0,281.0,121.0,357.0,161.0
0.0,2282.0,691.0,411.0,0.0,53.0,53.0,288.0,123.0,484.0,207.0
0.0,1591.0,514.0,414.0,0.0,579.0,579.0,290.0,124.0,366.0,148.0
0.0,1077.0,160.0,407.0,53.0,658.0,658.0,285.0,122.0,117.0,43.0
0.0,970.0,0.0,395.0,579.0,31.0,31.0,277.0,118.0,0.0,0.0
0.0,1549.0,176.0,389.0,658.0,0.0,0.0,272.0,117.0,117.0,59.0
0.0,2031.0,516.0,393.0,31.0,26.0,26.0,275.0,118.0,355.0,161.0
0.0,1546.0,687.0,400.0,0.0,741.0,741.0,280.0,120.0,481.0,206.0
