agg_orders_level_0,agg_orders_level_1
4965.0,24825.0
5010.0,24945.0
5055.0,25050.0
5070.0,20400.0
5070.0,570.0
5100.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
365.0,0.0
1418.0,0.0
2442.0,0.0
3124.0,0.0
2744.0,0.0
1352.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
339.0,0.0
1386.0,0.0
2406.0,0.0
3087.0,0.0
2742.0,0.0
1365.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
364.0,0.0
1414.0,0.0
2512.0,0.0
3228.0,0.0
2876.0,0.0
1444.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
703.0,0.0
1831.0,0.0
2983.0,0.0
3456.0,0.0
2811.0,0.0
1001.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
867.0,0.0
2040.0,0.0
3243.0,0.0
3570.0,0.0
2718.0,56.0
654.0,780.0
0.0,780.0
0.0,724.0
0.0,0.0
0.0,0.0
0.0,0.0
765.0,0.0
1941.0,431.0
3072.0,3673.0
3426.0,5597.0
2643.0,5852.0
711.0,5922.0
307.0,1739.0
988.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
76.0,0.0
624.0,0.0
1782.0,0.0
2864.0,0.0
3386.0,0.0
2756.0,812.0
1187.0,2119.0
0.0,2119.0
0.0,1267.0
0.0,0.0
0.0,0.0
121.0,0.0
795.0,0.0
1986.0,0.0
3098.0,1232.0
3521.0,5103.0
2771.0,6217.0
1100.0,6322.0
0.0,3004.0
0.0,0.0
0.0,0.0
0.0,0.0
178.0,0.0
1047.0,0.0
2308.0,0.0
3438.0,0.0
3679.0,0.0
2682.0,848.0
863.0,1796.0
0.0,1796.0
0.0,858.0
0.0,0.0
0.0,0.0
187.0,0.0
1120.0,0.0
2397.0,0.0
3486.0,3118.0
3629.0,6237.0
2520.0,6482.0
731.0,6552.0
0.0,1303.0
467.0,0.0
0.0,0.0
0.0,0.0
178.0,0.0
577.0,0.0
1840.0,0.0
2895.0,0.0
3569.0,0.0
2968.0,0.0
1683.0,1178.0
0.0,1178.0
0.0,1163.0
0.0,0.0
0.0,0.0
187.0,0.0
584.0,0.0
1853.0,0.0
2934.0,2537.0
3638.0,6252.0
3059.0,6542.0
1730.0,6702.0
142.0,3137.0
1051.0,0.0
0.0,0.0
0.0,0.0
241.0,0.0
637.0,0.0
1046.0,0.0
2008.0,0.0
2714.0,0.0
3012.0,0.0
2840.0,315.0
2044.0,2559.0
354.0,2928.0
0.0,2523.0
0.0,120.0
307.0,0.0
721.0,0.0
1204.0,0.0
2178.0,0.0
2866.0,1114.0
3068.0,4467.0
2906.0,6875.0
1982.0,7070.0
238.0,4492.0
0.0,0.0
0.0,0.0
292.0,0.0
721.0,0.0
1157.0,0.0
2067.0,0.0
2696.0,0.0
2903.0,0.0
2843.0,0.0
2026.0,790.0
336.0,1151.0
0.0,1096.0
0.0,206.0
256.0,0.0
676.0,0.0
1075.0,0.0
1948.0,943.0
2614.0,3807.0
2871.0,6707.0
2809.0,6999.0
2078.0,7199.0
623.0,1516.0
602.0,0.0
0.0,0.0
262.0,0.0
685.0,0.0
1099.0,0.0
1387.0,0.0
2014.0,0.0
2292.0,0.0
2833.0,0.0
2788.0,56.0
1777.0,1581.0
184.0,1730.0
0.0,1569.0
337.0,191.0
769.0,0.0
1201.0,0.0
1611.0,94.0
2284.0,2085.0
2568.0,4868.0
3092.0,7013.0
2817.0,7310.0
1540.0,5753.0
637.0,447.0
42.0,0.0
421.0,0.0
868.0,0.0
1318.0,0.0
1362.0,0.0
1715.0,0.0
1896.0,0.0
2877.0,0.0
3155.0,0.0
2386.0,2239.0
555.0,2774.0
0.0,2659.0
385.0,640.0
823.0,0.0
1285.0,0.0
1341.0,0.0
1656.0,225.0
1814.0,1111.0
2743.0,4129.0
3061.0,6855.0
2366.0,7655.0
641.0,5217.0
0.0,0.0
316.0,0.0
763.0,0.0
1189.0,0.0
1305.0,0.0
1638.0,0.0
1906.0,0.0
2689.0,0.0
3062.0,0.0
2430.0,823.0
772.0,1610.0
0.0,1505.0
364.0,946.0
808.0,156.0
1255.0,269.0
1341.0,439.0
1783.0,1466.0
2042.0,3269.0
2909.0,5994.0
3189.0,7364.0
2429.0,6975.0
603.0,2084.0
0.0,0.0
439.0,0.0
913.0,0.0
1387.0,0.0
1435.0,0.0
2021.0,0.0
2215.0,0.0
3260.0,0.0
3356.0,962.0
2364.0,3058.0
215.0,3208.0
0.0,2116.0
454.0,344.0
928.0,0.0
1405.0,0.0
1443.0,0.0
