agg_orders_level_0,agg_orders_level_1
4032.0,16128.0
4056.0,16176.0
4080.0,12264.0
4096.0,224.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
857.0,0.0
2001.0,0.0
2279.0,0.0
1408.0,0.0
272.0,0.0
0.0,0.0
851.0,0.0
1982.0,0.0
2245.0,0.0
1381.0,0.0
246.0,0.0
0.0,0.0
794.0,0.0
1865.0,0.0
2134.0,0.0
1318.0,0.0
213.0,0.0
0.0,0.0
698.0,0.0
1686.0,0.0
1991.0,757.0
1300.0,2061.0
297.0,1489.0
0.0,0.0
616.0,0.0
1565.0,0.0
1918.0,1942.0
1319.0,3273.0
373.0,1620.0
42.0,0.0
655.0,0.0
1591.0,0.0
1936.0,891.0
1340.0,2255.0
424.0,1716.0
113.0,0.0
709.0,0.0
1634.0,117.0
1988.0,2165.0
1417.0,3489.0
536.0,1812.0
244.0,0.0
821.0,0.0
1713.0,0.0
2052.0,465.0
1500.0,2085.0
621.0,2289.0
300.0,528.0
894.0,0.0
1791.0,600.0
2139.0,2907.0
1581.0,4008.0
666.0,1743.0
318.0,0.0
866.0,0.0
1799.0,0.0
2170.0,1085.0
1603.0,2820.0
682.0,2405.0
311.0,0.0
846.0,0.0
1765.0,0.0
2128.0,2158.0
1579.0,3857.0
639.0,2330.0
239.0,0.0
782.0,0.0
1734.0,0.0
2130.0,976.0
1541.0,2637.0
538.0,2187.0
115.0,0.0
678.0,0.0
1685.0,0.0
2109.0,1902.0
1537.0,3559.0
526.0,2171.0
93.0,0.0
641.0,0.0
1649.0,0.0
2100.0,864.0
1543.0,2527.0
526.0,2177.0
79.0,0.0
663.0,0.0
1689.0,0.0
2162.0,2010.0
1605.0,3731.0
586.0,2299.0
146.0,0.0
729.0,0.0
1765.0,0.0
2251.0,1112.0
1708.0,2924.0
690.0,2502.0
203.0,0.0
785.0,0.0
1845.0,0.0
2346.0,2199.0
1790.0,4105.0
768.0,2662.0
286.0,0.0
857.0,0.0
1911.0,0.0
2381.0,1270.0
1808.0,3198.0
772.0,2688.0
283.0,0.0
852.0,0.0
1913.0,0.0
2384.0,2166.0
1821.0,4107.0
769.0,2706.0
269.0,0.0
790.0,0.0
1814.0,0.0
2338.0,1032.0
1784.0,2936.0
742.0,2646.0
227.0,0.0
728.0,0.0
1772.0,0.0
2287.0,2006.0
