agg_orders_level_0,agg_orders_level_1
4905.0,24525.0
4680.0,23970.0
4710.0,23835.0
4965.0,18810.0
5145.0,315.0
5205.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
1009.0,0.0
2068.0,0.0
3029.0,0.0
2932.0,0.0
2076.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
891.0,0.0
1836.0,0.0
2706.0,0.0
2823.0,0.0
1776.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
764.0,0.0
1677.0,0.0
2635.0,0.0
2834.0,0.0
2180.0,0.0
723.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
678.0,0.0
1821.0,0.0
2994.0,0.0
3578.0,0.0
2994.0,0.0
1413.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
1201.0,0.0
2503.0,0.0
3742.0,0.0
3918.0,416.0
2816.0,3517.0
208.0,3725.0
0.0,3309.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
1084.0,0.0
2305.0,0.0
3418.0,0.0
3438.0,2928.0
2321.0,5474.0
0.0,5474.0
0.0,2546.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
659.0,0.0
1709.0,0.0
2702.0,0.0
2946.0,0.0
2080.0,0.0
182.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
266.0,0.0
1238.0,519.0
2188.0,2632.0
3021.0,5592.0
2953.0,5802.0
1998.0,5997.0
172.0,2533.0
814.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
285.0,0.0
1824.0,0.0
3276.0,0.0
4380.0,0.0
3917.0,2812.0
2112.0,5119.0
0.0,5119.0
0.0,2307.0
0.0,0.0
0.0,0.0
0.0,0.0
787.0,0.0
2371.0,0.0
3835.0,0.0
4536.0,1021.0
3650.0,5016.0
1141.0,6262.0
0.0,5241.0
0.0,225.0
0.0,0.0
0.0,0.0
0.0,0.0
283.0,0.0
1609.0,0.0
2780.0,0.0
3775.0,0.0
3441.0,325.0
1909.0,2429.0
0.0,2429.0
0.0,2104.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
849.0,0.0
1992.0,0.0
3042.0,590.0
3436.0,4366.0
2587.0,6777.0
492.0,6822.0
0.0,2779.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
513.0,0.0
1752.0,0.0
3087.0,0.0
3909.0,0.0
3213.0,0.0
1419.0,414.0
0.0,414.0
0.0,384.0
0.0,0.0
0.0,0.0
315.0,0.0
1903.0,310.0
3403.0,3848.0
4667.0,6407.0
4306.0,6822.0
2471.0,7062.0
1871.0,7242.0
3177.0,4528.0
944.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
304.0,0.0
1570.0,0.0
2914.0,0.0
4012.0,0.0
3843.0,0.0
2277.0,1335.0
321.0,1426.0
0.0,1066.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
816.0,0.0
2005.0,122.0
3113.0,3223.0
3392.0,6758.0
2677.0,7282.0
843.0,6982.0
64.0,482.0
248.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
783.0,0.0
1789.0,0.0
3150.0,0.0
3666.0,0.0
3244.0,0.0
1577.0,462.0
606.0,828.0
152.0,615.0
0.0,178.0
0.0,0.0
188.0,0.0
1471.0,70.0
2776.0,2957.0
4046.0,7190.0
4012.0,7552.0
2949.0,7662.0
1130.0,5492.0
2341.0,290.0
1264.0,0.0
0.0,0.0
0.0,0.0
320.0,0.0
992.0,0.0
1757.0,0.0
2484.0,0.0
2801.0,0.0
2422.0,148.0
1630.0,382.0
1577.0,2109.0
978.0,2999.0
926.0,3478.0
900.0,2079.0
820.0,1724.0
984.0,796.0
1650.0,388.0
1944.0,754.0
1996.0,1722.0
1587.0,2090.0
1373.0,1336.0
1614.0,448.0
1427.0,1534.0
857.0,1698.0
772.0,1190.0
904.0,0.0
1128.0,76.0
1490.0,1536.0
1816.0,3482.0
1691.0,4880.0
1197.0,4286.0
963.0,804.0
1465.0,0.0
1587.0,932.0
1317.0,1619.0
815.0,1594.0
830.0,557.0
1088.0,0.0
1542.0,0.0
1990.0,0.0
2177.0,136.0
1876.0,1282.0
1479.0,1436.0
2066.0,2751.0
2082.0,3741.0
1500.0,3682.0
836.0,1832.0
1130.0,0.0
1542.0,0.0
2328.0,2342.0
2356.0,4840.0
2056.0,4950.0
1204.0,4106.0
1917.0,0.0
2418.0,0.0
2253.0,1363.0
1232.0,1559.0
940.0,1559.0
1264.0,156.0
1808.0,0.0
2404.0,0.0
2218.0,2038.0
1475.0,3266.0
898.0,3206.0
1568.0,1244.0
2163.0,1072.0
2186.0,2555.0
1488.0,2749.0
854.0,2000.0
1102.0,0.0
1482.0,0.0
2254.0,1504.0
2082.0,3786.0
1448.0,5242.0
569.0,3698.0
