agg_orders_level_0,agg_orders_level_1
3828.0,15312.0
3912.0,15480.0
4116.0,12348.0
3984.0,888.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
392.0,0.0
1349.0,0.0
2016.0,0.0
1881.0,0.0
831.0,0.0
66.0,0.0
222.0,0.0
1101.0,0.0
2064.0,0.0
2043.0,0.0
1089.0,0.0
30.0,0.0
0.0,0.0
900.0,0.0
1950.0,0.0
2058.0,0.0
1242.0,0.0
252.0,0.0
105.0,0.0
993.0,0.0
2076.0,0.0
2457.0,2053.0
1753.0,3854.0
547.0,2264.0
0.0,0.0
555.0,0.0
1733.0,0.0
2390.0,776.0
1732.0,2556.0
385.0,2081.0
0.0,0.0
150.0,0.0
1293.0,0.0
1998.0,753.0
1662.0,2451.0
567.0,2201.0
0.0,0.0
343.0,0.0
1461.0,0.0
2349.0,1650.0
1947.0,3653.0
777.0,2744.0
0.0,0.0
390.0,0.0
1635.0,0.0
2395.0,0.0
1999.0,2046.0
685.0,2791.0
0.0,745.0
527.0,0.0
1683.0,0.0
2383.0,2142.0
1796.0,4046.0
552.0,2404.0
67.0,0.0
548.0,0.0
1694.0,0.0
2162.0,401.0
1467.0,1952.0
271.0,1762.0
0.0,0.0
619.0,0.0
1657.0,100.0
2004.0,2260.0
1379.0,3647.0
558.0,1917.0
235.0,0.0
958.0,0.0
1905.0,0.0
2225.0,1664.0
1316.0,3068.0
348.0,1708.0
226.0,0.0
1259.0,0.0
2236.0,453.0
2255.0,2832.0
1333.0,3828.0
278.0,1238.0
230.0,0.0
1062.0,0.0
2197.0,0.0
2287.0,1916.0
1258.0,3278.0
104.0,1466.0
0.0,0.0
938.0,0.0
2099.0,0.0
2355.0,2094.0
1382.0,3584.0
397.0,1891.0
287.0,0.0
1114.0,0.0
2237.0,0.0
2275.0,2285.0
1142.0,3511.0
79.0,1289.0
227.0,0.0
1570.0,0.0
2508.0,654.0
2102.0,2868.0
915.0,3201.0
343.0,648.0
746.0,0.0
1705.0,0.0
2285.0,1455.0
1792.0,3343.0
820.0,2768.0
312.0,0.0
893.0,0.0
1721.0,0.0
1979.0,1486.0
1568.0,3154.0
702.0,2430.0
287.0,0.0
811.0,0.0
1779.0,0.0
2176.0,1851.0
1558.0,3489.0
525.0,2175.0
408.0,0.0
1076.0,0.0
1970.0,0.0
2408.0,2337.0
1789.0,4238.0
1131.0,3104.0
605.0,0.0
810.0,0.0
1699.0,0.0
2259.0,999.0
2123.0,3266.0
1452.0,3807.0
661.0,1174.0
483.0,0.0
805.0,0.0
1581.0,0.0
2126.0,1128.0
1688.0,2940.0
915.0,2723.0
508.0,171.0
865.0,0.0
1437.0,0.0
1810.0,1393.0
1515.0,2992.0
692.0,2263.0
470.0,0.0
1054.0,0.0
2078.0,446.0
2275.0,2901.0
1646.0,4209.0
685.0,1917.0
431.0,0.0
1156.0,0.0
2189.0,0.0
2419.0,2014.0
1643.0,3725.0
739.0,2382.0
524.0,0.0
1352.0,0.0
2289.0,388.0
2401.0,2945.0
1423.0,4020.0
319.0,1282.0
407.0,0.0
1420.0,0.0
2294.0,93.0
2153.0,2386.0
1214.0,3535.0
270.0,1319.0
307.0,0.0
1429.0,0.0
2427.0,608.0
2258.0,3018.0
1205.0,3619.0
453.0,930.0
715.0,0.0
1663.0,0.0
2514.0,1249.0
2324.0,3697.0
1355.0,3859.0
522.0,588.0
535.0,0.0
1625.0,0.0
2445.0,650.0
2303.0,3077.0
1328.0,3823.0
519.0,1237.0
604.0,0.0
1348.0,0.0
2004.0,35.0
2094.0,2207.0
1316.0,3548.0
500.0,1817.0
552.0,0.0
1207.0,0.0
1885.0,22.0
2112.0,2232.0
1778.0,4096.0
1095.0,2959.0
790.0,0.0
1096.0,0.0
1836.0,0.0
2219.0,1785.0
1917.0,3814.0
1218.0,3243.0
778.0,111.0
1178.0,0.0
1979.0,0.0
2242.0,2196.0
1723.0,4015.0
1095.0,2898.0
687.0,0.0
1023.0,0.0
1758.0,0.0
2139.0,1532.0
1746.0,3374.0
732.0,2514.0
270.0,0.0
895.0,0.0
2068.0,0.0
2757.0,2628.0
1880.0,4628.0
375.0,2303.0
0.0,0.0
960.0,0.0
2337.0,0.0
2952.0,1609.0
2032.0,3741.0
694.0,2750.0
190.0,0.0
977.0,0.0
2464.0,0.0
3221.0,3123.0
2308.0,5563.0
618.0,2986.0
0.0,0.0
419.0,0.0
1954.0,0.0
3016.0,0.0
2499.0,2377.0
1025.0,3382.0
77.0,926.0
444.0,0.0
1771.0,0.0
2714.0,1623.0
2422.0,4193.0
1163.0,3729.0
296.0,0.0
593.0,0.0
1752.0,0.0
