agg_orders_level_0,agg_orders_level_1
4224.0,16896.0
4080.0,16608.0
3984.0,11784.0
3852.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
597.0,0.0
1723.0,0.0
2233.0,0.0
1605.0,0.0
293.0,0.0
0.0,0.0
261.0,0.0
1230.0,0.0
2004.0,0.0
1780.0,0.0
663.0,0.0
0.0,0.0
6.0,0.0
1137.0,0.0
2073.0,0.0
2031.0,0.0
1182.0,0.0
193.0,0.0
4.0,0.0
762.0,0.0
1717.0,0.0
1978.0,0.0
1464.0,348.0
557.0,849.0
398.0,823.0
966.0,916.0
1567.0,1708.0
1570.0,2410.0
1077.0,1767.0
680.0,17.0
758.0,0.0
1107.0,58.0
1678.0,1784.0
1558.0,3320.0
909.0,2421.0
461.0,0.0
752.0,0.0
1080.0,0.0
1489.0,414.0
1390.0,1576.0
1143.0,2089.0
854.0,1127.0
884.0,0.0
1197.0,0.0
1573.0,1541.0
1384.0,3033.0
813.0,2377.0
461.0,0.0
560.0,0.0
1092.0,0.0
1612.0,980.0
1552.0,2652.0
1107.0,2815.0
878.0,969.0
1053.0,0.0
1408.0,0.0
1591.0,1237.0
1383.0,2728.0
953.0,2492.0
653.0,369.0
720.0,0.0
1297.0,0.0
1498.0,951.0
1323.0,2370.0
926.0,2417.0
692.0,715.0
1086.0,0.0
1570.0,131.0
1550.0,1701.0
1232.0,2878.0
952.0,2201.0
782.0,109.0
1105.0,0.0
1680.0,520.0
1627.0,2159.0
1048.0,2723.0
471.0,1047.0
806.0,0.0
1557.0,0.0
2110.0,1774.0
1843.0,3677.0
912.0,2827.0
117.0,0.0
548.0,0.0
1670.0,0.0
2424.0,1058.0
2026.0,3168.0
725.0,2859.0
0.0,0.0
289.0,0.0
1472.0,0.0
2322.0,871.0
2131.0,3070.0
1285.0,3520.0
459.0,873.0
479.0,0.0
1323.0,0.0
1965.0,223.0
1794.0,2089.0
900.0,2802.0
357.0,1058.0
651.0,0.0
1509.0,0.0
1951.0,1297.0
1642.0,2979.0
903.0,2581.0
414.0,30.0
656.0,0.0
1436.0,0.0
2092.0,1521.0
2194.0,3823.0
1326.0,3672.0
347.0,172.0
87.0,0.0
698.0,0.0
1874.0,0.0
2373.0,1360.0
1856.0,3300.0
760.0,2676.0
36.0,0.0
718.0,0.0
2026.0,0.0
2700.0,2192.0
1836.0,4112.0
409.0,2269.0
0.0,0.0
682.0,0.0
1963.0,0.0
2587.0,1160.0
2012.0,3264.0
658.0,2690.0
0.0,0.0
442.0,0.0
1732.0,0.0
2604.0,1502.0
2070.0,3680.0
529.0,2623.0
0.0,0.0
434.0,0.0
1658.0,0.0
2616.0,996.0
2134.0,3270.0
746.0,2960.0
19.0,0.0
500.0,0.0
1697.0,0.0
2457.0,1287.0
2041.0,3456.0
862.0,2991.0
276.0,0.0
853.0,0.0
1950.0,0.0
2484.0,2151.0
1743.0,3978.0
560.0,2319.0
140.0,0.0
1011.0,0.0
2128.0,0.0
2341.0,1694.0
1584.0,3342.0
482.0,2062.0
200.0,0.0
1167.0,0.0
2299.0,172.0
2312.0,2640.0
1395.0,3959.0
496.0,1799.0
484.0,0.0
1350.0,0.0
2207.0,0.0
2288.0,2330.0
1494.0,3932.0
667.0,2265.0
667.0,0.0
1428.0,0.0
2198.0,193.0
2093.0,2410.0
1293.0,3614.0
508.0,1700.0
517.0,0.0
1338.0,0.0
2030.0,55.0
2157.0,2332.0
1343.0,3728.0
734.0,2154.0
654.0,0.0
1249.0,0.0
2089.0,76.0
2337.0,2545.0
1568.0,4165.0
602.0,2234.0
208.0,0.0
922.0,0.0
2016.0,0.0
2537.0,1410.0
