id,inv,demand,forecast,received_shipment,order,Order_Supplier_0,Forecast_Retailer_0,Forecast_Retailer_1,Demand_Retailer_0,Demand_Retailer_1
0.0,0.0,1445.0,1445.0,0.0,7225.0,7225.0,1010.0,435.0,1010.0,435.0
0.0,0.0,1560.0,1502.0,0.0,7510.0,7510.0,1050.0,452.0,1090.0,470.0
0.0,0.0,1585.0,1530.0,0.0,7650.0,7650.0,1070.0,460.0,1110.0,475.0
0.0,0.0,1560.0,1537.0,7225.0,6610.0,6610.0,1075.0,462.0,1090.0,470.0
0.0,1075.0,1645.0,1559.0,7510.0,855.0,855.0,1090.0,469.0,1150.0,495.0
0.0,6940.0,1635.0,1571.0,7650.0,0.0,0.0,1099.0,472.0,1145.0,490.0
0.0,12955.0,0.0,1347.0,6610.0,0.0,0.0,942.0,405.0,0.0,0.0
0.0,19565.0,0.0,1178.0,855.0,0.0,0.0,824.0,354.0,0.0,0.0
0.0,20420.0,0.0,1048.0,0.0,0.0,0.0,733.0,315.0,0.0,0.0
0.0,20420.0,0.0,944.0,0.0,0.0,0.0,660.0,284.0,0.0,0.0
0.0,20420.0,0.0,858.0,0.0,0.0,0.0,600.0,258.0,0.0,0.0
0.0,20420.0,0.0,786.0,0.0,0.0,0.0,550.0,236.0,0.0,0.0
0.0,20420.0,0.0,725.0,0.0,0.0,0.0,507.0,218.0,0.0,0.0
0.0,20420.0,0.0,673.0,0.0,0.0,0.0,471.0,202.0,0.0,0.0
0.0,20420.0,0.0,629.0,0.0,0.0,0.0,440.0,189.0,0.0,0.0
0.0,20420.0,0.0,589.0,0.0,0.0,0.0,412.0,177.0,0.0,0.0
0.0,20420.0,0.0,555.0,0.0,0.0,0.0,388.0,167.0,0.0,0.0
0.0,20420.0,0.0,524.0,0.0,0.0,0.0,366.0,158.0,0.0,0.0
0.0,20420.0,0.0,496.0,0.0,0.0,0.0,347.0,149.0,0.0,0.0
0.0,20420.0,0.0,472.0,0.0,0.0,0.0,330.0,142.0,0.0,0.0
0.0,20420.0,0.0,449.0,0.0,0.0,0.0,314.0,135.0,0.0,0.0
0.0,20420.0,0.0,429.0,0.0,0.0,0.0,300.0,129.0,0.0,0.0
0.0,20420.0,0.0,410.0,0.0,0.0,0.0,287.0,123.0,0.0,0.0
0.0,20420.0,98.0,397.0,0.0,0.0,0.0,278.0,119.0,71.0,27.0
0.0,20322.0,474.0,400.0,0.0,0.0,0.0,280.0,120.0,336.0,138.0
0.0,19848.0,814.0,416.0,0.0,0.0,0.0,291.0,125.0,574.0,240.0
0.0,19034.0,1060.0,440.0,0.0,0.0,0.0,308.0,132.0,745.0,315.0
0.0,17974.0,950.0,458.0,0.0,0.0,0.0,321.0,137.0,660.0,290.0
