agg_orders_level_0,agg_orders_level_1
4000.0,16000.0
4176.0,16352.0
4336.0,13192.0
4468.0,1608.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
263.0,0.0
1277.0,0.0
2136.0,0.0
2110.0,0.0
1254.0,0.0
415.0,0.0
369.0,0.0
1036.0,0.0
1654.0,0.0
1524.0,0.0
707.0,0.0
8.0,0.0
160.0,0.0
1111.0,0.0
1995.0,0.0
2027.0,0.0
1290.0,0.0
549.0,0.0
522.0,0.0
1179.0,0.0
1764.0,0.0
1614.0,0.0
765.0,441.0
33.0,346.0
132.0,0.0
984.0,527.0
1830.0,2429.0
1929.0,3915.0
1279.0,2769.0
616.0,0.0
621.0,0.0
1307.0,0.0
1916.0,525.0
1749.0,2322.0
886.0,2651.0
106.0,351.0
120.0,0.0
893.0,0.0
1697.0,38.0
1804.0,1851.0
1231.0,2828.0
669.0,1370.0
728.0,0.0
1373.0,0.0
1935.0,836.0
1843.0,2831.0
1087.0,3170.0
331.0,694.0
212.0,0.0
843.0,0.0
1575.0,0.0
1710.0,1502.0
1177.0,2755.0
598.0,1783.0
654.0,0.0
1370.0,0.0
2058.0,1227.0
2029.0,3376.0
1241.0,3454.0
382.0,412.0
238.0,0.0
890.0,0.0
1606.0,0.0
1685.0,1005.0
1069.0,2150.0
467.0,1556.0
577.0,17.0
1379.0,0.0
2125.0,1826.0
2129.0,4083.0
1351.0,3660.0
548.0,81.0
415.0,0.0
1013.0,0.0
1631.0,0.0
1612.0,1051.0
988.0,2103.0
397.0,1405.0
503.0,0.0
1286.0,0.0
2077.0,1671.0
2147.0,3930.0
1465.0,3796.0
689.0,499.0
574.0,0.0
1148.0,0.0
1729.0,0.0
1643.0,1330.0
929.0,2331.0
296.0,1241.0
424.0,0.0
1264.0,0.0
2065.0,1354.0
2078.0,3544.0
1366.0,3596.0
693.0,697.0
760.0,0.0
1430.0,0.0
1941.0,479.0
1715.0,2306.0
883.0,2758.0
210.0,606.0
368.0,0.0
1221.0,0.0
1993.0,760.0
2002.0,2878.0
1350.0,3520.0
768.0,1354.0
854.0,0.0
1543.0,0.0
2084.0,909.0
1846.0,2859.0
962.0,2964.0
247.0,308.0
377.0,0.0
1171.0,0.0
1911.0,431.0
1898.0,2433.0
1247.0,3301.0
711.0,1531.0
895.0,0.0
1670.0,0.0
2233.0,1433.0
1988.0,3533.0
1078.0,3226.0
303.0,42.0
379.0,0.0
1162.0,0.0
1872.0,26.0
1838.0,1975.0
1161.0,3150.0
622.0,1753.0
874.0,0.0
1719.0,0.0
2348.0,1739.0
2112.0,3955.0
1195.0,3463.0
445.0,41.0
497.0,0.0
1233.0,0.0
1848.0,0.0
1724.0,1747.0
1025.0,2824.0
522.0,1531.0
808.0,0.0
1700.0,0.0
2380.0,2024.0
2216.0,4360.0
1328.0,3700.0
583.0,17.0
646.0,0.0
1330.0,0.0
1895.0,0.0
1696.0,1773.0
947.0,2756.0
419.0,1358.0
720.0,0.0
1645.0,0.0
2357.0,1914.0
2226.0,4248.0
1421.0,3791.0
736.0,231.0
803.0,0.0
1486.0,0.0
1982.0,432.0
1738.0,2274.0
923.0,2817.0
373.0,848.0
659.0,0.0
1579.0,0.0
2298.0,1679.0
2183.0,3982.0
1437.0,3776.0
823.0,549.0
958.0,0.0
1656.0,0.0
2141.0,939.0
1820.0,2879.0
900.0,2876.0
256.0,185.0
565.0,0.0
1527.0,0.0
2285.0,1461.0
2147.0,3724.0
1375.0,3690.0
776.0,658.0
1013.0,0.0
1842.0,0.0
2383.0,1520.0
1981.0,3621.0
963.0,3100.0
248.0,0.0
528.0,0.0
1488.0,0.0
2215.0,750.0
2053.0,2923.0
1261.0,3470.0
740.0,1211.0
1057.0,0.0
1940.0,0.0
2516.0,2003.0
2157.0,4288.0
1108.0,3429.0
364.0,0.0
567.0,0.0
1445.0,0.0
2120.0,104.0
1959.0,2179.0
1180.0,3283.0
685.0,1721.0
1029.0,0.0
1968.0,0.0
2577.0,2263.0
2254.0,4625.0
1278.0,3688.0
546.0,0.0
692.0,0.0
1463.0,0.0
2034.0,14.0
1840.0,1946.0
1097.0,3069.0
633.0,1676.0
1030.0,0.0
1987.0,0.0
2612.0,2540.0
2304.0,4964.0
1360.0,3812.0
700.0,0.0
852.0,0.0
1587.0,0.0
2073.0,140.0
1788.0,2056.0
1015.0,2959.0
559.0,1394.0
927.0,0.0
1854.0,0.0
2516.0,2294.0
2312.0,4730.0
1518.0,3990.0
892.0,100.0
1025.0,0.0
1683.0,0.0
2104.0,754.0
1828.0,2710.0
1050.0,3046.0
548.0,812.0
849.0,0.0
1741.0,0.0
2407.0,1915.0
2298.0,4321.0
1574.0,4016.0
1016.0,643.0
1146.0,0.0
1808.0,0.0
2251.0,1157.0
1938.0,3207.0
1106.0,3204.0
528.0,457.0
801.0,0.0
1660.0,0.0
2334.0,1551.0
2204.0,3875.0
1536.0,3896.0
1064.0,1017.0
1274.0,0.0
1963.0,0.0
2377.0,1678.0
2029.0,3823.0
1170.0,3343.0
582.0,74.0
792.0,0.0
1569.0,0.0
2212.0,1174.0
2107.0,3385.0
1485.0,3724.0
1055.0,1326.0
1342.0,0.0
2087.0,0.0
2516.0,2201.0
2156.0,4477.0
1277.0,3569.0
668.0,0.0
850.0,0.0
1621.0,0.0
2175.0,753.0
1985.0,2854.0
1324.0,3453.0
949.0,1480.0
1335.0,0.0
2138.0,0.0
2639.0,2643.0
2305.0,5052.0
1419.0,3856.0
782.0,0.0
935.0,0.0
1644.0,0.0
2164.0,389.0
1936.0,2429.0
1216.0,3284.0
821.0,1608.0
1217.0,0.0
2138.0,2.0
2691.0,2746.0
2387.0,5227.0
1517.0,4034.0
912.0,0.0
1081.0,0.0
1755.0,0.0
2185.0,610.0
1883.0,2609.0
1129.0,3144.0
737.0,1204.0
1184.0,0.0
2087.0,42.0
2657.0,2768.0
2399.0,5241.0
1595.0,4084.0
1068.0,27.0
1280.0,0.0
1939.0,0.0
2301.0,1248.0
1900.0,3252.0
1094.0,3126.0
684.0,486.0
1097.0,0.0
1990.0,0.0
2598.0,2547.0
2398.0,5049.0
1639.0,4165.0
1123.0,163.0
1368.0,0.0
2087.0,0.0
2450.0,1736.0
2000.0,3832.0
1118.0,3238.0
621.0,47.0
1018.0,0.0
1939.0,0.0
2553.0,2180.0
2312.0,4600.0
1562.0,3994.0
1119.0,441.0
1484.0,0.0
2275.0,0.0
2647.0,2412.0
2156.0,4672.0
1172.0,3444.0
617.0,0.0
966.0,0.0
1888.0,0.0
2500.0,1231.0
2253.0,3588.0
1484.0,3869.0
1079.0,1268.0
1507.0,0.0
2374.0,0.0
2796.0,2816.0
2306.0,5238.0
1310.0,3744.0
699.0,0.0
1012.0,0.0
1889.0,0.0
2417.0,711.0
2142.0,2957.0
1375.0,3633.0
997.0,1597.0
1485.0,0.0
2430.0,198.0
2913.0,3203.0
2448.0,5557.0
1434.0,3812.0
800.0,0.0
1081.0,0.0
1928.0,0.0
2440.0,612.0
2093.0,2809.0
1288.0,3509.0
875.0,1483.0
1372.0,0.0
2369.0,136.0
2942.0,3174.0
2564.0,5710.0
1584.0,4144.0
964.0,0.0
1219.0,0.0
2007.0,0.0
2456.0,852.0
2084.0,3056.0
1206.0,3418.0
742.0,1012.0
1238.0,0.0
2293.0,22.0
2951.0,3076.0
2650.0,5820.0
1730.0,4498.0
1096.0,0.0
1321.0,0.0
2105.0,0.0
2568.0,1166.0
2154.0,3448.0
1231.0,3537.0
705.0,702.0
1158.0,0.0
2205.0,0.0
2869.0,2695.0
2615.0,5418.0
1747.0,4494.0
1182.0,166.0
1466.0,0.0
2259.0,0.0
2688.0,1927.0
2236.0,4267.0
1267.0,3635.0
696.0,42.0
1083.0,0.0
2073.0,0.0
2784.0,2231.0
2604.0,4963.0
1791.0,4539.0
1219.0,703.0
1498.0,0.0
2337.0,0.0
2832.0,2124.0
2435.0,4687.0
1442.0,4033.0
768.0,48.0
1021.0,0.0
1954.0,0.0
2657.0,1557.0
2499.0,4176.0
1727.0,4382.0
1205.0,1319.0
1543.0,0.0
2428.0,0.0
2960.0,2545.0
2580.0,5233.0
1559.0,4283.0
845.0,0.0
1044.0,0.0
1901.0,0.0
2578.0,1027.0
2423.0,3570.0
1660.0,4239.0
1160.0,1749.0
1498.0,0.0
2429.0,0.0
3053.0,2713.0
2746.0,5591.0
1744.0,4642.0
964.0,0.0
1115.0,0.0
1964.0,0.0
2609.0,957.0
2380.0,3469.0
1540.0,4084.0
1003.0,1526.0
1423.0,0.0
2470.0,0.0
3168.0,2953.0
2867.0,5952.0
1838.0,4869.0
1079.0,0.0
1250.0,0.0
2087.0,0.0
2678.0,1038.0
2368.0,3538.0
1453.0,3973.0
877.0,1220.0
1301.0,0.0
2386.0,0.0
3135.0,2829.0
2911.0,5868.0
1940.0,5015.0
1191.0,254.0
1361.0,0.0
2191.0,0.0
2768.0,1269.0
2437.0,3838.0
1451.0,4052.0
791.0,913.0
1172.0,0.0
2267.0,0.0
3089.0,2452.0
2901.0,5481.0
1966.0,5023.0
1258.0,716.0
1494.0,0.0
2378.0,0.0
2945.0,1770.0
2526.0,4416.0
1474.0,4156.0
787.0,443.0
1146.0,0.0
2198.0,0.0
2987.0,2163.0
2808.0,5079.0
1954.0,4906.0
1327.0,1070.0
1626.0,0.0
2501.0,0.0
3026.0,2227.0
2626.0,4981.0
1574.0,4364.0
838.0,137.0
1119.0,0.0
2143.0,0.0
2912.0,1778.0
2719.0,4625.0
1844.0,4727.0
1270.0,1276.0
1628.0,0.0
2623.0,0.0
3257.0,2757.0
2807.0,5696.0
1659.0,4630.0
863.0,0.0
1155.0,0.0
2188.0,0.0
2896.0,1290.0
2595.0,4017.0
1664.0,4415.0
1127.0,1429.0
1659.0,0.0
2755.0,0.0
3371.0,3358.0
2883.0,6373.0
1765.0,4804.0
1016.0,0.0
1294.0,0.0
2240.0,0.0
2860.0,929.0
2525.0,3594.0
1600.0,4293.0
1083.0,1698.0
1589.0,0.0
2690.0,0.0
3375.0,3337.0
2968.0,6433.0
1874.0,4998.0
1137.0,0.0
1432.0,0.0
2368.0,0.0
2934.0,1330.0
2504.0,3954.0
1481.0,4137.0
939.0,1030.0
1471.0,0.0
2669.0,0.0
3414.0,3397.0
3029.0,6566.0
1943.0,5124.0
1231.0,0.0
1571.0,0.0
2521.0,0.0
3053.0,1718.0
2542.0,4388.0
1442.0,4136.0
841.0,481.0
1394.0,0.0
2599.0,0.0
3351.0,3208.0
3004.0,6344.0
1979.0,5139.0
1335.0,44.0
1694.0,0.0
2657.0,0.0
3147.0,2337.0
2623.0,5092.0
1525.0,4304.0
897.0,20.0
1340.0,0.0
2456.0,0.0
3186.0,2651.0
2914.0,5717.0
1987.0,5061.0
1428.0,676.0
1814.0,0.0
2750.0,0.0
3282.0,2769.0
2761.0,5670.0
1622.0,4547.0
922.0,0.0
1316.0,0.0
2374.0,0.0
3099.0,1921.0
2842.0,4907.0
1943.0,4953.0
1424.0,1362.0
1846.0,0.0
2830.0,0.0
3352.0,3075.0
2889.0,6096.0
1799.0,4844.0
1091.0,0.0
1372.0,0.0
2313.0,0.0
2943.0,1507.0
2718.0,4353.0
1914.0,4796.0
1408.0,1755.0
