id,inv,demand,forecast,received_shipment,order,Order_Supplier_0,Order_Supplier_1,Order_Supplier_2,Forecast_Retailer_0,Forecast_Retailer_1,Forecast_Retailer_2,Demand_Retailer_0,Demand_Retailer_1,Demand_Retailer_2,Inv_Product_0,Inv_Product_1,Inv_Product_2,Order_Product_0,Order_Product_1,Order_Product_2,Forecast_Product_0,Forecast_Product_1,Forecast_Product_2
0.0,0.0,699.0,699.0,0.0,2796.0,932.0,932.0,932.0,233.0,233.0,233.0,233.0,233.0,233.0,0.0,0.0,0.0,932.0,932.0,932.0,233.0,233.0,233.0
0.0,0.0,724.0,712.0,0.0,2848.0,948.0,948.0,952.0,237.0,237.0,238.0,241.0,241.0,242.0,0.0,0.0,0.0,948.0,948.0,952.0,237.0,237.0,238.0
0.0,0.0,735.0,720.0,0.0,2880.0,960.0,960.0,960.0,240.0,240.0,240.0,245.0,245.0,245.0,0.0,0.0,0.0,960.0,960.0,960.0,240.0,240.0,240.0
0.0,0.0,717.0,720.0,0.0,2880.0,960.0,960.0,960.0,240.0,240.0,240.0,239.0,239.0,239.0,0.0,0.0,0.0,960.0,960.0,960.0,240.0,240.0,240.0
0.0,0.0,696.0,714.0,8524.0,0.0,0.0,0.0,0.0,238.0,238.0,238.0,232.0,232.0,232.0,0.0,0.0,0.0,0.0,0.0,0.0,238.0,238.0,238.0
0.0,4953.0,678.0,708.0,2880.0,0.0,0.0,0.0,0.0,236.0,236.0,236.0,226.0,226.0,226.0,1650.0,1650.0,1653.0,0.0,0.0,0.0,236.0,236.0,236.0
0.0,7155.0,684.0,705.0,0.0,0.0,0.0,0.0,0.0,235.0,235.0,235.0,228.0,228.0,228.0,2384.0,2384.0,2387.0,0.0,0.0,0.0,235.0,235.0,235.0
0.0,6471.0,696.0,703.0,0.0,0.0,0.0,0.0,0.0,234.0,234.0,235.0,232.0,232.0,232.0,2156.0,2156.0,2159.0,0.0,0.0,0.0,234.0,234.0,235.0
0.0,5775.0,735.0,708.0,0.0,0.0,0.0,0.0,0.0,236.0,236.0,236.0,245.0,245.0,245.0,1924.0,1924.0,1927.0,0.0,0.0,0.0,236.0,236.0,236.0
0.0,5040.0,745.0,711.0,0.0,0.0,0.0,0.0,0.0,237.0,237.0,237.0,248.0,248.0,249.0,1679.0,1679.0,1682.0,0.0,0.0,0.0,237.0,237.0,237.0
0.0,4295.0,729.0,712.0,0.0,0.0,0.0,0.0,0.0,237.0,237.0,238.0,243.0,243.0,243.0,1431.0,1431.0,1433.0,0.0,0.0,0.0,237.0,237.0,238.0
0.0,3566.0,705.0,711.0,0.0,0.0,0.0,0.0,0.0,237.0,237.0,237.0,235.0,235.0,235.0,1188.0,1188.0,1190.0,0.0,0.0,0.0,237.0,237.0,237.0
0.0,2861.0,687.0,711.0,0.0,670.0,224.0,224.0,222.0,237.0,237.0,237.0,229.0,229.0,229.0,953.0,953.0,955.0,224.0,224.0,222.0,237.0,237.0,237.0
