agg_orders_level_0,agg_orders_level_1
4008.0,16032.0
4344.0,16704.0
4488.0,13932.0
4476.0,1896.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
471.0,0.0
1488.0,0.0
1983.0,0.0
1713.0,0.0
615.0,0.0
0.0,0.0
69.0,0.0
885.0,0.0
1395.0,0.0
1576.0,0.0
1384.0,0.0
789.0,0.0
165.0,0.0
393.0,0.0
1125.0,0.0
1857.0,0.0
1680.0,0.0
915.0,0.0
339.0,0.0
597.0,0.0
1449.0,0.0
1944.0,0.0
1515.0,0.0
654.0,0.0
267.0,0.0
870.0,0.0
1975.0,1533.0
2044.0,3661.0
1242.0,3370.0
176.0,0.0
0.0,0.0
834.0,0.0
2077.0,0.0
2566.0,1968.0
1485.0,3477.0
0.0,1405.0
0.0,0.0
119.0,0.0
1442.0,0.0
2565.0,609.0
2215.0,2692.0
598.0,2393.0
0.0,0.0
0.0,0.0
611.0,0.0
1586.0,0.0
2208.0,1365.0
1711.0,3196.0
550.0,2429.0
0.0,0.0
539.0,0.0
1643.0,0.0
2469.0,1779.0
2080.0,3895.0
727.0,2759.0
0.0,0.0
0.0,0.0
1023.0,0.0
2133.0,0.0
2418.0,1847.0
1629.0,3500.0
339.0,1896.0
0.0,0.0
522.0,0.0
1830.0,0.0
2310.0,1306.0
1722.0,3076.0
741.0,2427.0
192.0,0.0
579.0,0.0
1476.0,0.0
1926.0,1145.0
1686.0,2855.0
1119.0,2757.0
739.0,581.0
807.0,0.0
1247.0,0.0
1610.0,1051.0
1539.0,2566.0
1069.0,2512.0
802.0,704.0
1035.0,0.0
1556.0,271.0
1811.0,2150.0
1119.0,2938.0
517.0,1137.0
652.0,0.0
1437.0,0.0
2069.0,1436.0
1814.0,3370.0
885.0,2771.0
274.0,0.0
481.0,0.0
1443.0,0.0
2420.0,1188.0
2312.0,3692.0
1062.0,3590.0
18.0,0.0
214.0,0.0
1336.0,0.0
2253.0,0.0
2213.0,2354.0
1328.0,3730.0
414.0,1694.0
571.0,0.0
1264.0,0.0
1857.0,0.0
1637.0,1611.0
1115.0,2810.0
993.0,2180.0
1006.0,292.0
1213.0,0.0
1302.0,227.0
1037.0,1312.0
986.0,2143.0
1224.0,2115.0
1675.0,1635.0
1888.0,1384.0
1563.0,1288.0
830.0,746.0
437.0,0.0
942.0,139.0
1702.0,1853.0
2203.0,3941.0
1782.0,3882.0
866.0,783.0
341.0,0.0
612.0,0.0
1597.0,0.0
2275.0,971.0
2203.0,3230.0
1251.0,3522.0
248.0,504.0
38.0,0.0
843.0,0.0
2035.0,0.0
2751.0,2157.0
2239.0,4520.0
896.0,3279.0
0.0,0.0
64.0,0.0
1402.0,0.0
3003.0,0.0
3083.0,3116.0
1571.0,4771.0
213.0,1772.0
0.0,0.0
1075.0,0.0
2332.0,0.0
2649.0,1309.0
1835.0,3264.0
623.0,2530.0
252.0,0.0
877.0,0.0
1921.0,0.0
2214.0,1928.0
1802.0,3814.0
906.0,2768.0
709.0,0.0
1309.0,0.0
1902.0,46.0
1778.0,1896.0
1172.0,3034.0
805.0,1907.0
1046.0,0.0
1646.0,0.0
2005.0,1771.0
1542.0,3329.0
868.0,2374.0
594.0,0.0
1030.0,0.0
1865.0,100.0
2442.0,2686.0
2122.0,4804.0
1090.0,3160.0
202.0,0.0
291.0,0.0
1620.0,0.0
2835.0,132.0
2829.0,3129.0
1308.0,4269.0
0.0,972.0
59.0,0.0
1562.0,0.0
2786.0,202.0
2737.0,3143.0
1552.0,4549.0
396.0,1670.0
275.0,0.0
1034.0,0.0
2136.0,0.0
2556.0,1456.0
2015.0,3627.0
1175.0,3330.0
606.0,129.0
889.0,0.0
1771.0,0.0
2150.0,1472.0
1836.0,3440.0
1235.0,3223.0
950.0,625.0
1147.0,0.0
1487.0,0.0
1751.0,1114.0
1577.0,2787.0
1339.0,3048.0
1256.0,1469.0
1372.0,0.0
1607.0,1.0
1640.0,1539.0
1448.0,3054.0
1128.0,2619.0
1174.0,691.0
1579.0,0.0
1963.0,963.0
1934.0,2981.0
1333.0,3383.0
959.0,1301.0
1018.0,0.0
1715.0,0.0
2165.0,1551.0
1983.0,3646.0
1129.0,3224.0
538.0,82.0
808.0,0.0
1718.0,0.0
2375.0,1555.0
2163.0,3874.0
1350.0,3749.0
834.0,637.0
807.0,0.0
1249.0,0.0
1691.0,0.0
1827.0,1733.0
1447.0,3276.0
1298.0,2825.0
1320.0,757.0
1613.0,0.0
1505.0,205.0
1264.0,1541.0
1297.0,2693.0
1656.0,2864.0
2034.0,2201.0
1971.0,1260.0
1434.0,441.0
888.0,213.0
813.0,441.0
1540.0,1820.0
2553.0,3996.0
2717.0,4937.0
1898.0,2843.0
400.0,0.0
82.0,0.0
1045.0,0.0
2505.0,0.0
3040.0,2171.0
2122.0,4329.0
594.0,2708.0
32.0,0.0
890.0,0.0
2376.0,0.0
2983.0,1972.0
2263.0,4299.0
783.0,3086.0
189.0,0.0
792.0,0.0
2197.0,0.0
3066.0,1913.0
2361.0,4362.0
792.0,3221.0
304.0,0.0
1153.0,0.0
2430.0,0.0
2765.0,2282.0
1757.0,4079.0
573.0,2362.0
511.0,0.0
1591.0,0.0
2793.0,832.0
2688.0,3556.0
1453.0,4181.0
274.0,855.0
261.0,0.0
1793.0,0.0
3308.0,1305.0
3240.0,4653.0
1585.0,4941.0
12.0,204.0
274.0,0.0
1793.0,0.0
3270.0,464.0
3247.0,3863.0
1912.0,5363.0
136.0,1520.0
0.0,0.0
1201.0,0.0
2809.0,0.0
3357.0,2080.0
2324.0,4528.0
737.0,3117.0
24.0,0.0
854.0,0.0
2556.0,0.0
3338.0,2188.0
2585.0,4957.0
954.0,3727.0
112.0,0.0
826.0,0.0
2263.0,0.0
3034.0,1114.0
2387.0,3685.0
1087.0,3662.0
515.0,360.0
1174.0,0.0
2222.0,0.0
2770.0,2508.0
2384.0,5064.0
1246.0,3838.0
593.0,0.0
1049.0,0.0
2178.0,0.0
2648.0,1260.0
2200.0,3604.0
1175.0,3511.0
637.0,412.0
1265.0,0.0
2492.0,194.0
2846.0,3208.0
1867.0,4989.0
584.0,2285.0
359.0,0.0
1389.0,0.0
2666.0,0.0
3294.0,2763.0
2611.0,5542.0
943.0,3666.0
0.0,0.0
512.0,0.0
2261.0,0.0
3562.0,653.0
3149.0,4022.0
1487.0,4824.0
0.0,550.0
145.0,0.0
1825.0,0.0
3375.0,537.0
3425.0,4218.0
1814.0,5547.0
156.0,1281.0
0.0,0.0
1477.0,0.0
3166.0,0.0
3381.0,2593.0
2007.0,4696.0
670.0,2629.0
409.0,0.0
1423.0,0.0
2479.0,0.0
2541.0,2144.0
1976.0,4204.0
1214.0,3194.0
1181.0,32.0
1851.0,0.0
2371.0,1087.0
2251.0,3462.0
1599.0,4010.0
1301.0,1781.0
1343.0,0.0
1869.0,0.0
2305.0,1431.0
2269.0,3844.0
1429.0,3866.0
838.0,756.0
1173.0,0.0
2105.0,0.0
2880.0,2300.0
2767.0,5235.0
1900.0,4883.0
900.0,420.0
923.0,0.0
1923.0,0.0
2803.0,798.0
2709.0,3687.0
1736.0,4653.0
851.0,1669.0
687.0,0.0
1534.0,0.0
2740.0,164.0
2962.0,3362.0
1910.0,5212.0
742.0,2472.0
543.0,0.0
1436.0,0.0
2678.0,0.0
2995.0,2408.0
2045.0,4601.0
1073.0,3194.0
739.0,0.0
1435.0,0.0
2229.0,0.0
2342.0,1996.0
1836.0,3980.0
1417.0,3389.0
1601.0,890.0
2014.0,0.0
2219.0,748.0
1923.0,2767.0
1347.0,3450.0
1347.0,2018.0
1956.0,488.0
2596.0,1070.0
2546.0,3160.0
1690.0,3816.0
965.0,1609.0
1309.0,0.0
2138.0,0.0
2741.0,2360.0
2636.0,5068.0
1824.0,4568.0
974.0,450.0
853.0,0.0
1677.0,0.0
2693.0,563.0
2903.0,3582.0
2101.0,5204.0
947.0,2557.0
637.0,0.0
1374.0,0.0
2471.0,0.0
2942.0,2052.0
2584.0,4768.0
1653.0,4429.0
1054.0,635.0
1272.0,0.0
1988.0,0.0
2730.0,1473.0
2524.0,4129.0
1713.0,4445.0
1202.0,1482.0
1607.0,0.0
2178.0,0.0
2248.0,1476.0
1961.0,3525.0
1570.0,3711.0
1517.0,1703.0
1843.0,0.0
2165.0,165.0
2242.0,2431.0
1913.0,4239.0
1460.0,3320.0
1329.0,406.0
1830.0,0.0
2505.0,991.0
2626.0,3677.0
1880.0,4602.0
966.0,1855.0
803.0,0.0
1709.0,0.0
2787.0,625.0
3226.0,3995.0
2476.0,5930.0
1131.0,3006.0
476.0,0.0
1013.0,0.0
2503.0,0.0
3507.0,1545.0
2992.0,4657.0
1477.0,4541.0
276.0,28.0
810.0,0.0
2425.0,0.0
3603.0,2357.0
3245.0,5782.0
1685.0,5110.0
519.0,0.0
837.0,0.0
2057.0,0.0
3189.0,652.0
2926.0,3758.0
1771.0,4913.0
774.0,1797.0
1076.0,0.0
2207.0,0.0
3081.0,1391.0
2734.0,4253.0
1675.0,4565.0
1149.0,1401.0
1658.0,0.0
2736.0,0.0
2802.0,2655.0
1926.0,4629.0
1191.0,3129.0
1359.0,0.0
2214.0,0.0
3195.0,2175.0
3156.0,5451.0
2094.0,5406.0
1068.0,963.0
897.0,0.0
1851.0,0.0
3288.0,618.0
3471.0,4245.0
2157.0,5852.0
594.0,2097.0
267.0,0.0
1648.0,0.0
3478.0,0.0
3876.0,3513.0
2475.0,6120.0
685.0,3220.0
342.0,0.0
1643.0,0.0
3341.0,0.0
3925.0,3095.0
2948.0,6235.0
1216.0,4368.0
360.0,0.0
1309.0,0.0
2744.0,0.0
3442.0,1424.0
2960.0,4592.0
1612.0,4840.0
1028.0,1168.0
1606.0,0.0
2549.0,0.0
2965.0,2168.0
2477.0,4805.0
1559.0,4248.0
1233.0,612.0
1867.0,0.0
2950.0,473.0
3096.0,3665.0
2150.0,5450.0
1085.0,2870.0
1128.0,0.0
2368.0,0.0
3630.0,1604.0
3473.0,5209.0
1821.0,5486.0
414.0,595.0
597.0,0.0
2337.0,0.0
3888.0,1288.0
3894.0,5386.0
2157.0,6315.0
222.0,999.0
192.0,0.0
2049.0,0.0
3930.0,0.0
3972.0,3880.0
2242.0,6222.0
319.0,2545.0
166.0,0.0
1626.0,0.0
3577.0,0.0
4129.0,3284.0
2610.0,6074.0
819.0,3537.0
357.0,0.0
1670.0,0.0
3439.0,0.0
3809.0,3105.0
2569.0,5842.0
956.0,3645.0
499.0,0.0
1911.0,0.0
3506.0,0.0
3614.0,3532.0
2176.0,5864.0
683.0,2955.0
820.0,0.0
2249.0,0.0
3745.0,770.0
3668.0,4594.0
1975.0,5883.0
233.0,1414.0
388.0,0.0
2378.0,0.0
4201.0,1012.0
4214.0,5430.0
2317.0,6807.0
131.0,1376.0
5.0,0.0
2225.0,0.0
4593.0,0.0
4618.0,4802.0
2284.0,7170.0
6.0,2194.0
0.0,0.0
1761.0,0.0
3984.0,0.0
4459.0,3106.0
2768.0,6042.0
571.0,3375.0
24.0,0.0
1588.0,0.0
3665.0,0.0
4398.0,3585.0
2875.0,6664.0
898.0,3897.0
396.0,0.0
1754.0,0.0
3614.0,0.0
3936.0,2972.0
2482.0,5634.0
902.0,3504.0
1003.0,0.0
2349.0,0.0
3626.0,1092.0
3270.0,4554.0
1745.0,5315.0
971.0,1672.0
1425.0,0.0
3008.0,0.0
4083.0,3105.0
3351.0,6636.0
1326.0,4917.0
144.0,0.0
1020.0,0.0
3446.0,0.0
4843.0,2689.0
3731.0,6648.0
994.0,4973.0
0.0,0.0
478.0,0.0
2665.0,0.0
4633.0,832.0
4425.0,5577.0
1901.0,6754.0
0.0,997.0
0.0,0.0
2131.0,0.0
4468.0,0.0
4843.0,4740.0
2757.0,7709.0
315.0,3140.0
0.0,0.0
1641.0,0.0
4043.0,0.0
4721.0,2612.0
3078.0,5930.0
834.0,4072.0
6.0,0.0
1464.0,0.0
3747.0,0.0
4525.0,3656.0
3161.0,7057.0
1343.0,4728.0
540.0,0.0
1687.0,0.0
3491.0,0.0
4087.0,2584.0
2843.0,5619.0
1054.0,4037.0
528.0,0.0
1696.0,0.0
3494.0,0.0
4297.0,4324.0
3277.0,7773.0
1404.0,4789.0
638.0,0.0
1838.0,0.0
3744.0,0.0
4292.0,2799.0
2940.0,5859.0
729.0,3613.0
0.0,0.0
1417.0,0.0
3982.0,0.0
5077.0,4745.0
3376.0,8293.0
731.0,4071.0
0.0,0.0
1243.0,0.0
3724.0,0.0
4908.0,1610.0
3726.0,5584.0
1159.0,5013.0
0.0,0.0
909.0,0.0
3329.0,0.0
4803.0,3325.0
3994.0,7611.0
1508.0,5746.0
58.0,0.0
734.0,0.0
2743.0,0.0
4326.0,0.0
3962.0,4172.0
2211.0,6431.0
871.0,2882.0
1202.0,0.0
2722.0,0.0
3861.0,1290.0
3348.0,4902.0
1955.0,5603.0
1149.0,1646.0
1784.0,0.0
3164.0,0.0
3687.0,3008.0
2863.0,6039.0
1495.0,4514.0
930.0,0.0
2057.0,0.0
3563.0,223.0
3988.0,4427.0
2777.0,7149.0
1124.0,3814.0
676.0,0.0
2010.0,0.0
3757.0,0.0
4199.0,3345.0
2859.0,6372.0
1147.0,4126.0
770.0,0.0
1907.0,0.0
3465.0,0.0
4156.0,3818.0
3244.0,7302.0
1575.0,5083.0
878.0,0.0
1755.0,0.0
3064.0,0.0
3857.0,1976.0
3428.0,5656.0
2270.0,6034.0
1434.0,1636.0
1709.0,0.0
2498.0,0.0
3139.0,1128.0
3132.0,4500.0
2604.0,6112.0
1946.0,3446.0
1994.0,0.0
2390.0,0.0
2707.0,739.0
2722.0,3665.0
2517.0,5567.0
2306.0,4184.0
2372.0,833.0
2773.0,0.0
2788.0,1325.0
2533.0,4002.0
2180.0,4929.0
2285.0,3168.0
2920.0,1087.0
3213.0,1128.0
2807.0,2908.0
1901.0,3745.0
1537.0,2346.0
2089.0,606.0
3048.0,1260.0
3238.0,3928.0
2767.0,5531.0
2090.0,3781.0
1862.0,100.0
2232.0,0.0
2842.0,1109.0
3330.0,4463.0
3186.0,6708.0
2564.0,4953.0
2234.0,491.0
2139.0,0.0
2362.0,0.0
2684.0,1956.0
3160.0,5272.0
3063.0,6563.0
2508.0,3843.0
1965.0,0.0
2057.0,0.0
2612.0,0.0
3141.0,3008.0
3082.0,6258.0
2747.0,6073.0
2499.0,2274.0
2122.0,0.0
2231.0,0.0
2446.0,502.0
2686.0,3292.0
2631.0,5485.0
2562.0,4767.0
2663.0,1905.0
2679.0,0.0
2592.0,468.0
2493.0,3009.0
2459.0,5036.0
2638.0,4677.0
2931.0,2596.0
3027.0,970.0
2788.0,1186.0
2305.0,2521.0
1919.0,3218.0
2127.0,2768.0
2726.0,2272.0
3147.0,2699.0
3325.0,3836.0
2724.0,3901.0
1958.0,1951.0
1589.0,0.0
1998.0,0.0
3064.0,2650.0
3845.0,6667.0
3543.0,7668.0
2473.0,3434.0
1433.0,0.0
1367.0,0.0
2528.0,0.0
3851.0,1451.0
4251.0,5862.0
3240.0,7675.0
1583.0,3260.0
1098.0,0.0
2079.0,0.0
3534.0,0.0
4137.0,3237.0
3375.0,6684.0
1941.0,5328.0
1264.0,0.0
2085.0,0.0
3381.0,0.0
3883.0,3929.0
3123.0,7136.0
1985.0,5140.0
1638.0,0.0
2328.0,0.0
3321.0,23.0
3556.0,3663.0
2979.0,6679.0
2154.0,5166.0
1907.0,358.0
2534.0,0.0
3343.0,759.0
3446.0,4265.0
2738.0,6248.0
1952.0,3883.0
1794.0,0.0
2656.0,0.0
3518.0,1756.0
3379.0,5187.0
2672.0,6079.0
2088.0,2916.0
1858.0,0.0
2518.0,0.0
3483.0,1840.0
3788.0,5748.0
2987.0,6931.0
1882.0,2957.0
1533.0,0.0
2272.0,0.0
3652.0,490.0
4282.0,4976.0
3486.0,8084.0
1994.0,5018.0
1158.0,0.0
1964.0,0.0
3590.0,0.0
4335.0,2947.0
3521.0,6640.0
2167.0,5824.0
1410.0,410.0
2008.0,0.0
3244.0,0.0
3879.0,3311.0
3251.0,6718.0
2156.0,5575.0
1765.0,486.0
2372.0,0.0
3358.0,32.0
3642.0,3785.0
2954.0,6839.0
2148.0,5218.0
2115.0,394.0
2871.0,0.0
3478.0,1083.0
3418.0,4609.0
2616.0,6206.0
1865.0,3438.0
1916.0,0.0
3038.0,0.0
4022.0,2694.0
3760.0,6586.0
2425.0,6353.0
1471.0,1158.0
1694.0,0.0
3110.0,0.0
4230.0,2641.0
4097.0,6906.0
2636.0,6965.0
1323.0,1274.0
1309.0,0.0
2740.0,0.0
4194.0,1186.0
4241.0,5587.0
3195.0,7696.0
1877.0,3938.0
1364.0,0.0
2265.0,0.0
3704.0,0.0
4450.0,4059.0
3636.0,7851.0
2222.0,6014.0
1595.0,0.0
2287.0,0.0
3377.0,0.0
3780.0,3008.0
3228.0,6396.0
2386.0,5810.0
1948.0,1230.0
2512.0,0.0
3295.0,0.0
3431.0,3376.0
2781.0,6257.0
2197.0,5090.0
2287.0,1056.0
3037.0,0.0
3758.0,1681.0
3772.0,5561.0
2732.0,6688.0
1759.0,2838.0
1921.0,0.0
2952.0,0.0
4065.0,2174.0
4082.0,6412.0
2779.0,7057.0
1545.0,2102.0
1564.0,0.0
2963.0,0.0
4267.0,1677.0
4288.0,6149.0
2964.0,7516.0
1456.0,2703.0
1345.0,0.0
2739.0,0.0
4386.0,822.0
4598.0,5652.0
3161.0,8111.0
1537.0,3872.0
1184.0,0.0
2356.0,0.0
3989.0,0.0
4444.0,3842.0
3552.0,7562.0
2233.0,5917.0
1549.0,0.0
2097.0,0.0
3380.0,0.0
4193.0,3485.0
3843.0,7520.0
2669.0,6720.0
1829.0,893.0
2170.0,0.0
3362.0,0.0
4009.0,2761.0
3411.0,6316.0
2211.0,5758.0
1860.0,1182.0
2805.0,0.0
3960.0,991.0
4113.0,5236.0
3108.0,7441.0
1888.0,4057.0
1800.0,0.0
2924.0,0.0
4286.0,1525.0
4423.0,6120.0
2945.0,7580.0
1100.0,2416.0
1161.0,0.0
3045.0,0.0
5018.0,1568.0
4845.0,6641.0
2793.0,7938.0
768.0,1901.0
887.0,0.0
3032.0,0.0
5060.0,881.0
5233.0,6402.0
3121.0,8762.0
819.0,3015.0
743.0,0.0
2805.0,0.0
4789.0,0.0
4910.0,4505.0
3177.0,7818.0
1390.0,4615.0
1181.0,0.0
2842.0,0.0
4481.0,406.0
4477.0,5103.0
3176.0,8021.0
1775.0,4653.0
1650.0,0.0
3001.0,0.0
4235.0,625.0
4056.0,4813.0
2698.0,6982.0
1768.0,3913.0
2107.0,0.0
3414.0,0.0
4377.0,2796.0
3911.0,6803.0
2338.0,6393.0
1321.0,843.0
1789.0,0.0
3655.0,0.0
5090.0,4113.0
4546.0,8851.0
2445.0,7219.0
749.0,0.0
1177.0,0.0
3396.0,0.0
5302.0,1521.0
5124.0,6897.0
2790.0,8238.0
687.0,1852.0
985.0,0.0
3069.0,0.0
4969.0,577.0
5215.0,6116.0
3489.0,9208.0
1326.0,4278.0
894.0,0.0
2631.0,0.0
4710.0,0.0
5010.0,4033.0
3485.0,7710.0
1714.0,5287.0
1425.0,0.0
2492.0,0.0
4083.0,0.0
4662.0,4832.0
3467.0,8515.0
2044.0,5663.0
1835.0,0.0
2873.0,0.0
4204.0,101.0
4291.0,4616.0
3045.0,7696.0
1913.0,4929.0
2048.0,0.0
3285.0,0.0
4459.0,1916.0
4277.0,6377.0
2907.0,7472.0
1558.0,2537.0
1901.0,0.0
3661.0,0.0
4859.0,2909.0
4378.0,7491.0
2427.0,7033.0
1141.0,503.0
1690.0,0.0
3690.0,0.0
5376.0,3727.0
4870.0,8873.0
2588.0,7802.0
823.0,0.0
1136.0,0.0
3263.0,0.0
5388.0,1341.0
5181.0,6858.0
