agg_orders_level_0,agg_orders_level_1
4995.0,24975.0
5415.0,26025.0
5610.0,26700.0
5580.0,23625.0
5370.0,2940.0
5145.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
73.0,0.0
901.0,0.0
1777.0,0.0
2754.0,0.0
3098.0,0.0
2629.0,0.0
1063.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
625.0,0.0
1792.0,0.0
2794.0,0.0
3015.0,0.0
2141.0,0.0
409.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
532.0,0.0
1471.0,0.0
2542.0,0.0
3294.0,0.0
3150.0,0.0
1829.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
207.0,0.0
1444.0,0.0
2467.0,0.0
3148.0,0.0
2655.0,0.0
1330.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
78.0,0.0
1041.0,0.0
2196.0,0.0
3465.0,0.0
3786.0,0.0
2826.0,0.0
399.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
495.0,0.0
1551.0,0.0
2493.0,0.0
2982.0,1697.0
2617.0,4579.0
1498.0,5787.0
116.0,4636.0
0.0,174.0
0.0,0.0
0.0,0.0
136.0,0.0
1186.0,0.0
2578.0,0.0
3868.0,0.0
3984.0,1307.0
2482.0,4034.0
92.0,4136.0
0.0,2829.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
553.0,0.0
1540.0,0.0
2575.0,0.0
3255.0,0.0
3101.0,2674.0
1981.0,4850.0
139.0,4999.0
0.0,2325.0
0.0,0.0
0.0,0.0
0.0,0.0
631.0,0.0
2098.0,0.0
3445.0,0.0
3924.0,390.0
2852.0,3271.0
532.0,3853.0
0.0,3463.0
0.0,308.0
0.0,0.0
0.0,0.0
6.0,0.0
863.0,0.0
1955.0,0.0
3224.0,0.0
3819.0,2196.0
3358.0,5349.0
1448.0,6037.0
0.0,5135.0
0.0,598.0
0.0,0.0
0.0,0.0
0.0,0.0
378.0,0.0
1767.0,0.0
2946.0,0.0
3618.0,0.0
2949.0,379.0
1299.0,1073.0
0.0,1073.0
0.0,694.0
0.0,0.0
0.0,0.0
107.0,0.0
1197.0,0.0
2529.0,1684.0
