agg_orders_level_0,agg_orders_level_1
5055.0,25275.0
5025.0,25200.0
5040.0,25200.0
5010.0,20010.0
5040.0,0.0
5055.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
395.0,0.0
1442.0,0.0
2495.0,0.0
3151.0,0.0
2738.0,0.0
1275.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
325.0,0.0
1345.0,0.0
2374.0,0.0
3072.0,0.0
2744.0,0.0
1381.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
379.0,0.0
1435.0,0.0
2503.0,0.0
3190.0,0.0
2836.0,0.0
1424.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
738.0,0.0
1884.0,0.0
3057.0,0.0
3498.0,0.0
2793.0,0.0
915.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
856.0,0.0
2041.0,0.0
3228.0,0.0
3552.0,0.0
2682.0,33.0
642.0,735.0
0.0,735.0
0.0,702.0
0.0,0.0
0.0,0.0
0.0,0.0
783.0,0.0
1966.0,559.0
3120.0,3859.0
3490.0,5607.0
2664.0,5862.0
702.0,5922.0
436.0,1826.0
1014.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
364.0,0.0
1500.0,0.0
2638.0,0.0
3416.0,0.0
3078.0,311.0
1604.0,2055.0
0.0,2055.0
0.0,1714.0
0.0,0.0
0.0,0.0
0.0,0.0
535.0,0.0
1751.0,0.0
2951.0,537.0
3632.0,4514.0
3102.0,6212.0
1387.0,6337.0
0.0,4377.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
829.0,0.0
2125.0,0.0
3391.0,0.0
3867.0,0.0
3023.0,726.0
937.0,1758.0
0.0,1758.0
0.0,947.0
0.0,0.0
0.0,0.0
3.0,0.0
899.0,0.0
2190.0,0.0
3483.0,2514.0
3847.0,6227.0
2934.0,6507.0
745.0,6577.0
0.0,2034.0
176.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
638.0,0.0
1886.0,0.0
3128.0,0.0
3717.0,0.0
3103.0,0.0
1205.0,734.0
0.0,734.0
0.0,734.0
0.0,0.0
0.0,0.0
0.0,0.0
655.0,0.0
1899.0,271.0
3172.0,3598.0
3794.0,6252.0
3153.0,6557.0
1283.0,6672.0
503.0,3045.0
1283.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
334.0,0.0
724.0,0.0
1762.0,0.0
2769.0,0.0
3392.0,0.0
2995.0,118.0
2235.0,2480.0
702.0,3252.0
0.0,3039.0
0.0,396.0
0.0,0.0
394.0,0.0
826.0,0.0
2007.0,0.0
3012.0,0.0
3575.0,3361.0
2975.0,6523.0
2167.0,7075.0
433.0,6110.0
0.0,0.0
0.0,0.0
0.0,0.0
388.0,0.0
799.0,0.0
1935.0,0.0
2916.0,0.0
3479.0,0.0
2906.0,0.0
2122.0,972.0
454.0,1471.0
0.0,1406.0
0.0,260.0
0.0,0.0
367.0,0.0
769.0,0.0
1864.0,119.0
2857.0,2459.0
3449.0,5970.0
2936.0,7047.0
2130.0,7247.0
688.0,3999.0
766.0,0.0
0.0,0.0
0.0,0.0
370.0,0.0
778.0,0.0
1351.0,0.0
2061.0,0.0
2668.0,0.0
2706.0,0.0
2764.0,0.0
2001.0,1141.0
697.0,1873.0
73.0,1886.0
3.0,753.0
427.0,0.0
862.0,0.0
1606.0,0.0
2329.0,1304.0
2959.0,3884.0
2868.0,5636.0
2857.0,6955.0
1853.0,6389.0
1429.0,2556.0
200.0,764.0
31.0,0.0
478.0,0.0
946.0,0.0
1368.0,0.0
1436.0,0.0
1996.0,0.0
2182.0,0.0
3142.0,0.0
3044.0,1110.0
1894.0,3065.0
0.0,2990.0
4.0,1699.0
424.0,0.0
862.0,0.0
1299.0,0.0
1328.0,0.0
1936.0,656.0
2101.0,1525.0
3060.0,4778.0
3034.0,7105.0
1980.0,7435.0
54.0,3520.0
0.0,0.0
391.0,0.0
829.0,0.0
1261.0,0.0
1317.0,0.0
1901.0,0.0
2086.0,0.0
3025.0,0.0
3064.0,0.0
2116.0,1379.0
132.0,1456.0
5.0,1326.0
430.0,217.0
874.0,75.0
1331.0,141.0
1415.0,413.0
2048.0,2386.0
2230.0,4625.0
3170.0,7234.0
3150.0,7723.0
2039.0,6310.0
412.0,0.0
40.0,0.0
517.0,0.0
991.0,0.0
1434.0,0.0
1440.0,0.0
1899.0,0.0
2150.0,0.0
3241.0,0.0
3356.0,515.0
2328.0,2891.0
276.0,3097.0
61.0,2513.0
535.0,464.0
1018.0,0.0
1449.0,0.0
1418.0,0.0
1802.0,0.0
2089.0,1344.0
3178.0,4827.0
3339.0,7875.0
2357.0,8060.0
354.0,5161.0
34.0,0.0
517.0,0.0
979.0,0.0
1413.0,0.0
1358.0,0.0
1658.0,0.0
1910.0,0.0
2986.0,0.0
3262.0,0.0
2420.0,737.0
530.0,1237.0
21.0,1138.0
499.0,815.0
964.0,457.0
1411.0,675.0
1396.0,1096.0
1779.0,2293.0
1985.0,3598.0
3081.0,5858.0
3288.0,7173.0
2416.0,6171.0
492.0,1468.0
89.0,0.0
569.0,0.0
1061.0,0.0
1458.0,0.0
1452.0,0.0
1949.0,0.0
2271.0,0.0
3373.0,0.0
3401.0,1571.0
2319.0,4060.0
262.0,4247.0
182.0,2733.0
692.0,0.0
1202.0,0.0
1542.0,0.0
1476.0,0.0
1942.0,20.0
2471.0,968.0
3555.0,4408.0
3466.0,7543.0
2207.0,8490.0
102.0,5182.0
191.0,0.0
698.0,0.0
1220.0,0.0
1536.0,0.0
1466.0,0.0
1855.0,0.0
2402.0,0.0
3459.0,0.0
3415.0,234.0
2198.0,2587.0
136.0,2648.0
143.0,2437.0
659.0,439.0
1157.0,0.0
1509.0,0.0
1438.0,165.0
1828.0,807.0
2306.0,2768.0
3350.0,6201.0
3363.0,8530.0
2218.0,7848.0
228.0,3418.0
143.0,0.0
644.0,0.0
1148.0,0.0
1506.0,0.0
1502.0,0.0
2019.0,0.0
2477.0,0.0
3517.0,0.0
3438.0,68.0
2152.0,1621.0
112.0,1643.0
212.0,1662.0
734.0,710.0
1262.0,264.0
1578.0,180.0
1695.0,930.0
2190.0,2746.0
2792.0,5398.0
3726.0,8146.0
3458.0,8820.0
1923.0,6206.0
0.0,0.0
269.0,0.0
806.0,0.0
1346.0,0.0
1614.0,0.0
1772.0,0.0
2234.0,0.0
2956.0,0.0
3816.0,0.0
3408.0,1255.0
1721.0,3081.0
0.0,2961.0
272.0,1858.0
812.0,0.0
1352.0,0.0
1629.0,0.0
1654.0,164.0
2078.0,983.0
2797.0,3840.0
3718.0,7440.0
3410.0,9030.0
1861.0,7831.0
0.0,2316.0
218.0,0.0
749.0,0.0
1295.0,0.0
1602.0,0.0
1688.0,0.0
2169.0,0.0
2800.0,0.0
3727.0,0.0
3400.0,210.0
1857.0,1635.0
0.0,1525.0
221.0,1406.0
767.0,473.0
1307.0,260.0
1626.0,330.0
1848.0,1540.0
2345.0,3515.0
2973.0,6238.0
3811.0,8512.0
3409.0,9068.0
1727.0,4662.0
0.0,0.0
290.0,0.0
848.0,0.0
1409.0,0.0
1686.0,0.0
2093.0,0.0
2562.0,0.0
3317.0,0.0
3973.0,0.0
3339.0,1982.0
1363.0,3410.0
0.0,3285.0
332.0,1515.0
908.0,0.0
1475.0,0.0
1731.0,0.0
2137.0,0.0
2575.0,1596.0
3436.0,5197.0
4027.0,8973.0
3298.0,9585.0
1196.0,7655.0
0.0,0.0
317.0,0.0
896.0,0.0
1460.0,0.0
1707.0,0.0
1991.0,0.0
2393.0,0.0
3216.0,0.0
3908.0,0.0
3290.0,660.0
1397.0,2112.0
0.0,1992.0
287.0,1499.0
857.0,200.0
1418.0,0.0
1692.0,193.0
2069.0,1307.0
2542.0,3764.0
3313.0,7019.0
3970.0,9490.0
3290.0,9173.0
1321.0,4428.0
0.0,0.0
341.0,0.0
914.0,0.0
1484.0,0.0
1725.0,0.0
2202.0,0.0
2651.0,0.0
3507.0,0.0
4073.0,0.0
3298.0,1434.0
1172.0,2636.0
0.0,2501.0
422.0,1369.0
1022.0,284.0
1616.0,0.0
1794.0,0.0
2408.0,934.0
2784.0,3653.0
3847.0,7740.0
4233.0,9795.0
3238.0,10075.0
808.0,4377.0
0.0,0.0
464.0,0.0
1070.0,0.0
1676.0,0.0
1837.0,0.0
2404.0,0.0
2750.0,0.0
3855.0,0.0
4219.0,0.0
3175.0,1705.0
724.0,2409.0
0.0,2274.0
404.0,843.0
1001.0,0.0
1613.0,0.0
1797.0,0.0
2360.0,1623.0
2719.0,4297.0
3740.0,8239.0
4163.0,10030.0
3204.0,10105.0
863.0,3008.0
0.0,0.0
386.0,0.0
980.0,0.0
1574.0,0.0
1773.0,0.0
2296.0,0.0
2709.0,0.0
3700.0,0.0
4207.0,0.0
3303.0,888.0
1034.0,1932.0
0.0,1797.0
488.0,1277.0
1100.0,522.0
1718.0,486.0
1842.0,576.0
2458.0,2352.0
2813.0,4634.0
4011.0,8155.0
4392.0,10089.0
3324.0,9769.0
955.0,2564.0
0.0,0.0
563.0,0.0
1190.0,0.0
1829.0,0.0
1911.0,0.0
2345.0,0.0
2619.0,0.0
3958.0,0.0
4450.0,0.0
3464.0,2581.0
992.0,3568.0
0.0,3403.0
560.0,1262.0
1196.0,0.0
1841.0,0.0
1914.0,0.0
2370.0,164.0
2630.0,2350.0
3969.0,6634.0
4417.0,10490.0
3397.0,10785.0
874.0,6879.0
0.0,0.0
491.0,0.0
1109.0,0.0
1745.0,0.0
1869.0,0.0
2260.0,0.0
2607.0,0.0
3793.0,0.0
4367.0,0.0
3472.0,523.0
1141.0,1674.0
0.0,1519.0
494.0,1370.0
1112.0,703.0
1748.0,837.0
1887.0,1174.0
2344.0,2640.0
2712.0,4460.0
3910.0,7481.0
4460.0,9721.0
3526.0,9082.0
1119.0,2720.0
0.0,0.0
563.0,0.0
1220.0,0.0
1868.0,0.0
1956.0,0.0
2484.0,0.0
2811.0,0.0
4190.0,0.0
4631.0,745.0
3548.0,4583.0
902.0,5455.0
5.0,4545.0
656.0,522.0
1322.0,0.0
1986.0,0.0
1999.0,0.0
2540.0,0.0
2797.0,144.0
4306.0,4636.0
4669.0,9755.0
3465.0,11220.0
724.0,9404.0
3.0,0.0
644.0,0.0
1298.0,0.0
1955.0,0.0
1974.0,0.0
2485.0,0.0
2744.0,0.0
4204.0,0.0
4575.0,0.0
3402.0,2444.0
733.0,3142.0
0.0,2977.0
603.0,1016.0
1260.0,0.0
1914.0,0.0
1959.0,0.0
2547.0,1036.0
2812.0,3783.0
4247.0,8330.0
4613.0,11145.0
3436.0,11430.0
735.0,4665.0
5.0,0.0
636.0,0.0
1296.0,0.0
1972.0,0.0
2002.0,0.0
2658.0,0.0
2915.0,0.0
4439.0,0.0
4740.0,0.0
3485.0,1753.0
635.0,2328.0
