agg_orders_level_0,agg_orders_level_1
3600.0,14400.0
3960.0,15120.0
4276.0,13220.0
4044.0,2240.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
135.0,0.0
1266.0,0.0
2172.0,0.0
2028.0,0.0
859.0,0.0
0.0,0.0
320.0,0.0
1391.0,0.0
2430.0,0.0
1966.0,0.0
712.0,0.0
0.0,0.0
143.0,0.0
1128.0,0.0
2226.0,0.0
2097.0,0.0
1185.0,0.0
0.0,0.0
0.0,0.0
766.0,0.0
1681.0,0.0
1774.0,195.0
1251.0,1446.0
365.0,1520.0
185.0,139.0
744.0,0.0
1486.0,686.0
1690.0,2436.0
1152.0,2894.0
263.0,621.0
105.0,0.0
960.0,0.0
1837.0,0.0
1890.0,1898.0
1013.0,2899.0
131.0,1048.0
328.0,0.0
1244.0,0.0
1911.0,584.0
1822.0,2454.0
1060.0,2930.0
429.0,845.0
765.0,0.0
1389.0,0.0
1902.0,526.0
1668.0,2014.0
909.0,2469.0
483.0,962.0
768.0,0.0
1522.0,23.0
2100.0,2269.0
1775.0,4153.0
765.0,2705.0
457.0,0.0
850.0,0.0
1567.0,0.0
1985.0,590.0
1609.0,2319.0
887.0,2664.0
559.0,832.0
872.0,0.0
1534.0,0.0
1805.0,1487.0
1474.0,3069.0
767.0,2397.0
487.0,0.0
941.0,0.0
1597.0,0.0
1775.0,1587.0
1009.0,2680.0
335.0,1452.0
283.0,0.0
860.0,0.0
1732.0,87.0
1823.0,1958.0
1205.0,3136.0
594.0,1808.0
601.0,0.0
1132.0,0.0
1482.0,45.0
1574.0,1629.0
1205.0,2861.0
642.0,1918.0
637.0,0.0
1175.0,0.0
1655.0,506.0
1496.0,2038.0
867.0,2467.0
358.0,783.0
574.0,0.0
1380.0,0.0
2018.0,1429.0
1700.0,3177.0
1113.0,2917.0
671.0,407.0
725.0,0.0
1443.0,0.0
1840.0,1011.0
1861.0,2944.0
1305.0,3298.0
512.0,854.0
572.0,0.0
1227.0,0.0
2008.0,381.0
1978.0,2463.0
1296.0,3438.0
689.0,1648.0
731.0,0.0
1558.0,0.0
1993.0,776.0
1515.0,2331.0
744.0,2323.0
515.0,475.0
953.0,0.0
1864.0,458.0
2339.0,2865.0
1777.0,4268.0
