id,inv,demand,forecast,received_shipment,order,Order_Supplier_0,Forecast_Retailer_0,Forecast_Retailer_1,Demand_Retailer_0,Demand_Retailer_1
0.0,0.0,1720.0,1720.0,0.0,8600.0,8600.0,1205.0,515.0,1205.0,515.0
0.0,0.0,1830.0,1774.0,0.0,8870.0,8870.0,1242.0,532.0,1280.0,550.0
0.0,0.0,1735.0,1761.0,0.0,8805.0,8805.0,1233.0,528.0,1215.0,520.0
0.0,0.0,1785.0,1768.0,8600.0,7310.0,7310.0,1238.0,530.0,1250.0,535.0
0.0,1530.0,1780.0,1770.0,8870.0,230.0,230.0,1239.0,531.0,1245.0,535.0
0.0,8620.0,1785.0,1773.0,8805.0,0.0,0.0,1241.0,532.0,1250.0,535.0
0.0,15640.0,0.0,1520.0,7310.0,0.0,0.0,1064.0,456.0,0.0,0.0
0.0,22950.0,0.0,1330.0,230.0,0.0,0.0,931.0,399.0,0.0,0.0
0.0,23180.0,0.0,1181.0,0.0,0.0,0.0,827.0,354.0,0.0,0.0
0.0,23180.0,0.0,1063.0,0.0,0.0,0.0,744.0,319.0,0.0,0.0
0.0,23180.0,0.0,967.0,0.0,0.0,0.0,677.0,290.0,0.0,0.0
0.0,23180.0,0.0,886.0,0.0,0.0,0.0,620.0,266.0,0.0,0.0
0.0,23180.0,0.0,818.0,0.0,0.0,0.0,573.0,245.0,0.0,0.0
0.0,23180.0,0.0,760.0,0.0,0.0,0.0,532.0,228.0,0.0,0.0
0.0,23180.0,0.0,709.0,0.0,0.0,0.0,496.0,213.0,0.0,0.0
0.0,23180.0,0.0,664.0,0.0,0.0,0.0,465.0,199.0,0.0,0.0
0.0,23180.0,0.0,626.0,0.0,0.0,0.0,438.0,188.0,0.0,0.0
0.0,23180.0,0.0,591.0,0.0,0.0,0.0,414.0,177.0,0.0,0.0
0.0,23180.0,0.0,560.0,0.0,0.0,0.0,392.0,168.0,0.0,0.0
0.0,23180.0,0.0,532.0,0.0,0.0,0.0,372.0,160.0,0.0,0.0
0.0,23180.0,0.0,507.0,0.0,0.0,0.0,355.0,152.0,0.0,0.0
0.0,23180.0,0.0,483.0,0.0,0.0,0.0,338.0,145.0,0.0,0.0
0.0,23180.0,227.0,473.0,0.0,0.0,0.0,331.0,142.0,161.0,66.0
0.0,22953.0,652.0,480.0,0.0,0.0,0.0,336.0,144.0,455.0,197.0
0.0,22301.0,1029.0,502.0,0.0,0.0,0.0,351.0,151.0,719.0,310.0
0.0,21272.0,1145.0,526.0,0.0,0.0,0.0,368.0,158.0,800.0,345.0
0.0,20127.0,825.0,537.0,0.0,0.0,0.0,376.0,161.0,576.0,249.0
0.0,19302.0,192.0,526.0,0.0,0.0,0.0,368.0,158.0,134.0,58.0
0.0,19110.0,0.0,507.0,0.0,0.0,0.0,355.0,152.0,0.0,0.0
0.0,19110.0,0.0,490.0,0.0,0.0,0.0,343.0,147.0,0.0,0.0
0.0,19110.0,0.0,474.0,0.0,0.0,0.0,332.0,142.0,0.0,0.0
0.0,19110.0,0.0,460.0,0.0,0.0,0.0,322.0,138.0,0.0,0.0
0.0,19110.0,0.0,446.0,0.0,0.0,0.0,312.0,134.0,0.0,0.0
0.0,19110.0,0.0,433.0,0.0,0.0,0.0,303.0,130.0,0.0,0.0
0.0,19110.0,82.0,423.0,0.0,0.0,0.0,296.0,127.0,62.0,20.0
0.0,19028.0,370.0,421.0,0.0,0.0,0.0,295.0,126.0,264.0,106.0
0.0,18658.0,651.0,427.0,0.0,0.0,0.0,299.0,128.0,459.0,192.0
0.0,18007.0,935.0,441.0,0.0,0.0,0.0,309.0,132.0,653.0,282.0
0.0,17072.0,886.0,453.0,0.0,0.0,0.0,317.0,136.0,616.0,270.0
0.0,16186.0,559.0,454.0,0.0,0.0,0.0,318.0,136.0,384.0,175.0
0.0,15627.0,0.0,443.0,0.0,0.0,0.0,310.0,133.0,0.0,0.0
0.0,15627.0,0.0,433.0,0.0,0.0,0.0,303.0,130.0,0.0,0.0
0.0,15627.0,0.0,423.0,0.0,0.0,0.0,296.0,127.0,0.0,0.0
0.0,15627.0,0.0,413.0,0.0,0.0,0.0,289.0,124.0,0.0,0.0
0.0,15627.0,0.0,404.0,0.0,0.0,0.0,283.0,121.0,0.0,0.0
0.0,15627.0,0.0,396.0,0.0,0.0,0.0,277.0,119.0,0.0,0.0
0.0,15627.0,305.0,393.0,0.0,0.0,0.0,275.0,118.0,217.0,88.0
0.0,15322.0,584.0,397.0,0.0,0.0,0.0,278.0,119.0,414.0,170.0
0.0,14738.0,871.0,407.0,0.0,0.0,0.0,285.0,122.0,613.0,258.0
0.0,13867.0,896.0,417.0,0.0,0.0,0.0,292.0,125.0,627.0,269.0
0.0,12971.0,641.0,421.0,0.0,0.0,0.0,295.0,126.0,442.0,199.0
0.0,12330.0,108.0,416.0,0.0,0.0,0.0,291.0,125.0,66.0,42.0
0.0,12222.0,0.0,382.0,0.0,0.0,0.0,267.0,115.0,0.0,0.0
0.0,12222.0,0.0,347.0,0.0,0.0,0.0,243.0,104.0,0.0,0.0
0.0,12222.0,0.0,313.0,0.0,0.0,0.0,219.0,94.0,0.0,0.0
0.0,12222.0,88.0,281.0,0.0,0.0,0.0,197.0,84.0,69.0,19.0
0.0,12134.0,507.0,257.0,0.0,0.0,0.0,180.0,77.0,364.0,143.0
0.0,11627.0,891.0,239.0,0.0,0.0,0.0,168.0,71.0,633.0,258.0
0.0,10736.0,1197.0,262.0,0.0,0.0,0.0,184.0,78.0,840.0,357.0
0.0,9539.0,1110.0,284.0,0.0,0.0,0.0,199.0,85.0,770.0,340.0
0.0,8429.0,663.0,296.0,0.0,0.0,0.0,207.0,89.0,446.0,217.0
0.0,7766.0,4.0,296.0,0.0,0.0,0.0,207.0,89.0,0.0,4.0
0.0,7762.0,0.0,296.0,0.0,0.0,0.0,207.0,89.0,0.0,0.0
0.0,7762.0,0.0,296.0,0.0,0.0,0.0,207.0,89.0,0.0,0.0
0.0,7762.0,0.0,296.0,0.0,0.0,0.0,207.0,89.0,0.0,0.0
0.0,7762.0,0.0,296.0,0.0,0.0,0.0,207.0,89.0,0.0,0.0
0.0,7762.0,249.0,301.0,0.0,0.0,0.0,211.0,90.0,183.0,66.0
0.0,7513.0,751.0,316.0,0.0,0.0,0.0,221.0,95.0,536.0,215.0
0.0,6762.0,1232.0,339.0,0.0,0.0,0.0,238.0,101.0,871.0,361.0
0.0,5530.0,1472.0,368.0,0.0,0.0,0.0,258.0,110.0,1032.0,440.0
0.0,4058.0,1127.0,390.0,0.0,0.0,0.0,273.0,117.0,780.0,347.0
0.0,2931.0,303.0,396.0,0.0,0.0,0.0,277.0,119.0,195.0,108.0
0.0,2628.0,0.0,396.0,0.0,0.0,0.0,277.0,119.0,0.0,0.0
0.0,2628.0,0.0,396.0,0.0,0.0,0.0,277.0,119.0,0.0,0.0
0.0,2628.0,0.0,390.0,0.0,0.0,0.0,273.0,117.0,0.0,0.0
0.0,2628.0,0.0,379.0,0.0,0.0,0.0,265.0,114.0,0.0,0.0
0.0,2628.0,0.0,359.0,0.0,0.0,0.0,251.0,108.0,0.0,0.0
0.0,2628.0,0.0,337.0,0.0,0.0,0.0,236.0,101.0,0.0,0.0
0.0,2628.0,212.0,324.0,0.0,0.0,0.0,227.0,97.0,157.0,55.0
0.0,2416.0,556.0,331.0,0.0,0.0,0.0,232.0,99.0,396.0,160.0
0.0,1860.0,910.0,349.0,0.0,795.0,795.0,245.0,104.0,644.0,266.0
0.0,950.0,1045.0,369.0,0.0,1844.0,1844.0,259.0,110.0,730.0,315.0
0.0,1.0,866.0,386.0,0.0,1929.0,1929.0,270.0,116.0,596.0,270.0
0.0,1.0,281.0,392.0,795.0,1959.0,1959.0,274.0,118.0,181.0,100.0
0.0,1.0,0.0,392.0,1844.0,563.0,563.0,274.0,118.0,0.0,0.0
0.0,1397.0,113.0,393.0,1929.0,0.0,0.0,275.0,118.0,64.0,49.0
0.0,3213.0,0.0,392.0,1959.0,0.0,0.0,274.0,118.0,0.0,0.0
0.0,5172.0,0.0,385.0,563.0,0.0,0.0,269.0,116.0,0.0,0.0
0.0,5735.0,0.0,372.0,0.0,0.0,0.0,260.0,112.0,0.0,0.0
0.0,5735.0,0.0,354.0,0.0,0.0,0.0,247.0,107.0,0.0,0.0
0.0,5735.0,270.0,343.0,0.0,0.0,0.0,240.0,103.0,215.0,55.0
