id,inv,demand,forecast,received_shipment,order,Order_Supplier_0,Order_Supplier_1,Order_Supplier_2,Forecast_Retailer_0,Forecast_Retailer_1,Forecast_Retailer_2,Demand_Retailer_0,Demand_Retailer_1,Demand_Retailer_2,Inv_Product_0,Inv_Product_1,Inv_Product_2,Order_Product_0,Order_Product_1,Order_Product_2,Forecast_Product_0,Forecast_Product_1,Forecast_Product_2
0.0,0.0,705.0,705.0,0.0,3525.0,1175.0,1175.0,1175.0,235.0,235.0,235.0,235.0,235.0,235.0,0.0,0.0,0.0,1175.0,1175.0,1175.0,235.0,235.0,235.0
0.0,0.0,675.0,690.0,0.0,3450.0,1150.0,1150.0,1150.0,230.0,230.0,230.0,225.0,225.0,225.0,0.0,0.0,0.0,1150.0,1150.0,1150.0,230.0,230.0,230.0
0.0,0.0,855.0,744.0,0.0,3720.0,1240.0,1240.0,1240.0,248.0,248.0,248.0,285.0,285.0,285.0,0.0,0.0,0.0,1240.0,1240.0,1240.0,248.0,248.0,248.0
0.0,0.0,783.0,756.0,0.0,3780.0,1260.0,1260.0,1260.0,252.0,252.0,252.0,261.0,261.0,261.0,0.0,0.0,0.0,1260.0,1260.0,1260.0,252.0,252.0,252.0
0.0,0.0,765.0,756.0,0.0,3780.0,1260.0,1260.0,1260.0,252.0,252.0,252.0,255.0,255.0,255.0,0.0,0.0,0.0,1260.0,1260.0,1260.0,252.0,252.0,252.0
0.0,0.0,828.0,768.0,0.0,3840.0,1280.0,1280.0,1280.0,256.0,256.0,256.0,276.0,276.0,276.0,0.0,0.0,0.0,1280.0,1280.0,1280.0,256.0,256.0,256.0
0.0,0.0,603.0,744.0,14475.0,0.0,0.0,0.0,0.0,248.0,248.0,248.0,201.0,201.0,201.0,0.0,0.0,0.0,0.0,0.0,0.0,248.0,248.0,248.0
0.0,9261.0,883.0,762.0,3780.0,0.0,0.0,0.0,0.0,254.0,254.0,254.0,294.0,294.0,295.0,3087.0,3087.0,3087.0,0.0,0.0,0.0,254.0,254.0,254.0
0.0,12158.0,816.0,768.0,3840.0,0.0,0.0,0.0,0.0,256.0,256.0,256.0,272.0,272.0,272.0,4053.0,4053.0,4052.0,0.0,0.0,0.0,256.0,256.0,256.0
0.0,15182.0,943.0,786.0,0.0,0.0,0.0,0.0,0.0,262.0,262.0,262.0,314.0,314.0,315.0,5061.0,5061.0,5060.0,0.0,0.0,0.0,262.0,262.0,262.0
0.0,14239.0,918.0,798.0,0.0,0.0,0.0,0.0,0.0,266.0,266.0,266.0,306.0,306.0,306.0,4747.0,4747.0,4745.0,0.0,0.0,0.0,266.0,266.0,266.0
0.0,13321.0,1033.0,817.0,0.0,0.0,0.0,0.0,0.0,272.0,272.0,273.0,344.0,344.0,345.0,4441.0,4441.0,4439.0,0.0,0.0,0.0,272.0,272.0,273.0
0.0,12288.0,786.0,816.0,0.0,0.0,0.0,0.0,0.0,272.0,272.0,272.0,262.0,262.0,262.0,4097.0,4097.0,4094.0,0.0,0.0,0.0,272.0,272.0,272.0
