id,inv,demand,forecast,received_shipment,order,Order_Supplier_0,Forecast_Retailer_0,Forecast_Retailer_1,Demand_Retailer_0,Demand_Retailer_1
0.0,0.0,1670.0,1670.0,0.0,8350.0,8350.0,1170.0,500.0,1170.0,500.0
0.0,0.0,1670.0,1670.0,0.0,8350.0,8350.0,1170.0,500.0,1170.0,500.0
0.0,0.0,1665.0,1668.0,0.0,8340.0,8340.0,1168.0,500.0,1165.0,500.0
0.0,0.0,1670.0,1669.0,8350.0,6670.0,6670.0,1169.0,500.0,1170.0,500.0
0.0,1675.0,1685.0,1672.0,8350.0,20.0,20.0,1171.0,501.0,1180.0,505.0
0.0,8340.0,1685.0,1674.0,8340.0,0.0,0.0,1172.0,502.0,1180.0,505.0
0.0,14995.0,0.0,1435.0,6670.0,0.0,0.0,1005.0,430.0,0.0,0.0
0.0,21665.0,0.0,1255.0,20.0,0.0,0.0,879.0,376.0,0.0,0.0
0.0,21685.0,0.0,1116.0,0.0,0.0,0.0,782.0,334.0,0.0,0.0
0.0,21685.0,0.0,1005.0,0.0,0.0,0.0,704.0,301.0,0.0,0.0
0.0,21685.0,0.0,914.0,0.0,0.0,0.0,640.0,274.0,0.0,0.0
0.0,21685.0,0.0,837.0,0.0,0.0,0.0,586.0,251.0,0.0,0.0
0.0,21685.0,0.0,773.0,0.0,0.0,0.0,541.0,232.0,0.0,0.0
0.0,21685.0,0.0,717.0,0.0,0.0,0.0,502.0,215.0,0.0,0.0
0.0,21685.0,0.0,670.0,0.0,0.0,0.0,469.0,201.0,0.0,0.0
0.0,21685.0,0.0,628.0,0.0,0.0,0.0,440.0,188.0,0.0,0.0
0.0,21685.0,0.0,591.0,0.0,0.0,0.0,414.0,177.0,0.0,0.0
0.0,21685.0,0.0,558.0,0.0,0.0,0.0,391.0,167.0,0.0,0.0
0.0,21685.0,0.0,528.0,0.0,0.0,0.0,370.0,158.0,0.0,0.0
0.0,21685.0,0.0,502.0,0.0,0.0,0.0,352.0,150.0,0.0,0.0
0.0,21685.0,0.0,478.0,0.0,0.0,0.0,335.0,143.0,0.0,0.0
0.0,21685.0,0.0,457.0,0.0,0.0,0.0,320.0,137.0,0.0,0.0
0.0,21685.0,0.0,437.0,0.0,0.0,0.0,306.0,131.0,0.0,0.0
0.0,21685.0,175.0,426.0,0.0,0.0,0.0,298.0,128.0,118.0,57.0
0.0,21510.0,526.0,430.0,0.0,0.0,0.0,301.0,129.0,364.0,162.0
0.0,20984.0,880.0,447.0,0.0,0.0,0.0,313.0,134.0,612.0,268.0
0.0,20104.0,1056.0,469.0,0.0,0.0,0.0,328.0,141.0,740.0,316.0
0.0,19048.0,869.0,484.0,0.0,0.0,0.0,339.0,145.0,612.0,257.0
0.0,18179.0,328.0,478.0,0.0,0.0,0.0,335.0,143.0,241.0,87.0
0.0,17851.0,0.0,463.0,0.0,0.0,0.0,324.0,139.0,0.0,0.0
0.0,17851.0,0.0,448.0,0.0,0.0,0.0,314.0,134.0,0.0,0.0
0.0,17851.0,0.0,434.0,0.0,0.0,0.0,304.0,130.0,0.0,0.0
0.0,17851.0,0.0,421.0,0.0,0.0,0.0,295.0,126.0,0.0,0.0
0.0,17851.0,0.0,408.0,0.0,0.0,0.0,286.0,122.0,0.0,0.0
0.0,17851.0,142.0,400.0,0.0,0.0,0.0,280.0,120.0,93.0,49.0
0.0,17709.0,491.0,403.0,0.0,0.0,0.0,282.0,121.0,337.0,154.0
0.0,17218.0,838.0,415.0,0.0,0.0,0.0,290.0,125.0,580.0,258.0
0.0,16380.0,1039.0,432.0,0.0,0.0,0.0,302.0,130.0,727.0,312.0
0.0,15341.0,888.0,443.0,0.0,0.0,0.0,310.0,133.0,628.0,260.0
0.0,14453.0,390.0,441.0,0.0,0.0,0.0,309.0,132.0,286.0,104.0
0.0,14063.0,0.0,431.0,0.0,0.0,0.0,302.0,129.0,0.0,0.0
0.0,14063.0,0.0,421.0,0.0,0.0,0.0,295.0,126.0,0.0,0.0
0.0,14063.0,0.0,411.0,0.0,0.0,0.0,288.0,123.0,0.0,0.0
0.0,14063.0,0.0,401.0,0.0,0.0,0.0,281.0,120.0,0.0,0.0
0.0,14063.0,0.0,393.0,0.0,0.0,0.0,275.0,118.0,0.0,0.0
0.0,14063.0,146.0,387.0,0.0,0.0,0.0,271.0,116.0,94.0,52.0
0.0,13917.0,505.0,390.0,0.0,0.0,0.0,273.0,117.0,347.0,158.0
0.0,13412.0,865.0,399.0,0.0,0.0,0.0,279.0,120.0,599.0,266.0
0.0,12547.0,1075.0,413.0,0.0,0.0,0.0,289.0,124.0,754.0,321.0
0.0,11472.0,930.0,424.0,0.0,0.0,0.0,297.0,127.0,659.0,271.0
0.0,10542.0,425.0,424.0,0.0,0.0,0.0,297.0,127.0,312.0,113.0
0.0,10117.0,0.0,416.0,0.0,0.0,0.0,291.0,125.0,0.0,0.0
0.0,10117.0,0.0,384.0,0.0,0.0,0.0,269.0,115.0,0.0,0.0
0.0,10117.0,0.0,351.0,0.0,0.0,0.0,246.0,105.0,0.0,0.0
0.0,10117.0,0.0,320.0,0.0,0.0,0.0,224.0,96.0,0.0,0.0
0.0,10117.0,0.0,287.0,0.0,0.0,0.0,201.0,86.0,0.0,0.0
0.0,10117.0,250.0,260.0,0.0,0.0,0.0,182.0,78.0,167.0,83.0
0.0,9867.0,633.0,239.0,0.0,0.0,0.0,167.0,72.0,435.0,198.0
0.0,9234.0,1024.0,259.0,0.0,0.0,0.0,181.0,78.0,707.0,317.0
0.0,8210.0,1158.0,282.0,0.0,0.0,0.0,197.0,85.0,809.0,349.0
0.0,7052.0,921.0,299.0,0.0,0.0,0.0,209.0,90.0,653.0,268.0
0.0,6131.0,289.0,304.0,0.0,0.0,0.0,213.0,91.0,220.0,69.0
0.0,5842.0,0.0,304.0,0.0,0.0,0.0,213.0,91.0,0.0,0.0
0.0,5842.0,0.0,304.0,0.0,0.0,0.0,213.0,91.0,0.0,0.0
0.0,5842.0,0.0,304.0,0.0,0.0,0.0,213.0,91.0,0.0,0.0
0.0,5842.0,0.0,304.0,0.0,0.0,0.0,213.0,91.0,0.0,0.0
0.0,5842.0,0.0,304.0,0.0,0.0,0.0,213.0,91.0,0.0,0.0
0.0,5842.0,309.0,310.0,0.0,0.0,0.0,217.0,93.0,211.0,98.0
0.0,5533.0,709.0,324.0,0.0,0.0,0.0,227.0,97.0,489.0,220.0
0.0,4824.0,1109.0,346.0,0.0,0.0,0.0,242.0,104.0,769.0,340.0
0.0,3715.0,1194.0,369.0,0.0,0.0,0.0,258.0,111.0,834.0,360.0
0.0,2521.0,890.0,386.0,0.0,299.0,299.0,270.0,116.0,630.0,260.0
0.0,1631.0,174.0,389.0,0.0,488.0,488.0,272.0,117.0,136.0,38.0
0.0,1457.0,0.0,389.0,0.0,488.0,488.0,272.0,117.0,0.0,0.0
0.0,1457.0,0.0,389.0,299.0,189.0,189.0,272.0,117.0,0.0,0.0
0.0,1756.0,0.0,386.0,488.0,0.0,0.0,270.0,116.0,0.0,0.0
0.0,2244.0,0.0,375.0,488.0,0.0,0.0,263.0,112.0,0.0,0.0
