agg_orders_level_0,agg_orders_level_1
4128.0,16512.0
3820.0,15896.0
4128.0,11672.0
4176.0,96.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
713.0,0.0
1416.0,0.0
1929.0,0.0
1680.0,0.0
604.0,0.0
0.0,0.0
277.0,0.0
1309.0,0.0
2037.0,0.0
1803.0,0.0
813.0,0.0
65.0,0.0
134.0,0.0
906.0,0.0
1924.0,0.0
2156.0,0.0
1194.0,0.0
79.0,0.0
0.0,0.0
885.0,0.0
2151.0,0.0
2343.0,1418.0
1416.0,2866.0
130.0,1446.0
0.0,0.0
663.0,0.0
1801.0,0.0
2245.0,1831.0
1597.0,3464.0
365.0,1914.0
0.0,0.0
486.0,0.0
1464.0,0.0
1905.0,311.0
1383.0,1718.0
771.0,2150.0
364.0,724.0
714.0,0.0
1257.0,0.0
1664.0,1501.0
1567.0,3088.0
825.0,2164.0
277.0,0.0
439.0,0.0
1443.0,0.0
2255.0,734.0
1922.0,2804.0
1018.0,3168.0
287.0,663.0
607.0,0.0
1388.0,0.0
2006.0,1145.0
1835.0,3068.0
1104.0,2999.0
349.0,160.0
320.0,0.0
1050.0,0.0
1618.0,49.0
1867.0,2036.0
1150.0,3133.0
227.0,1172.0
76.0,0.0
821.0,0.0
2006.0,0.0
2528.0,2502.0
1503.0,4053.0
175.0,1594.0
0.0,0.0
967.0,0.0
2290.0,0.0
2613.0,2009.0
1504.0,3553.0
198.0,1594.0
0.0,0.0
980.0,0.0
2109.0,0.0
2080.0,1716.0
1123.0,2871.0
243.0,1278.0
209.0,0.0
1247.0,0.0
2352.0,913.0
2251.0,3332.0
1058.0,3517.0
10.0,83.0
0.0,0.0
881.0,0.0
2150.0,0.0
2475.0,2073.0
1466.0,3599.0
278.0,1732.0
118.0,0.0
1048.0,0.0
2244.0,0.0
2540.0,2471.0
1580.0,4135.0
423.0,2015.0
12.0,0.0
961.0,0.0
2370.0,0.0
2591.0,1827.0
1732.0,3651.0
489.0,2241.0
0.0,0.0
689.0,0.0
1816.0,0.0
2402.0,1232.0
1915.0,3267.0
890.0,2913.0
437.0,3.0
816.0,0.0
1771.0,0.0
2346.0,2148.0
1517.0,3761.0
711.0,2324.0
525.0,0.0
1095.0,0.0
2025.0,0.0
2028.0,1864.0
1245.0,3217.0
438.0,1743.0
681.0,0.0
1395.0,0.0
1941.0,620.0
1785.0,2525.0
1326.0,3339.0
792.0,1582.0
673.0,0.0
1084.0,0.0
1875.0,165.0
2084.0,2401.0
1714.0,4046.0
781.0,2390.0
466.0,0.0
875.0,0.0
1666.0,0.0
1922.0,835.0
1615.0,2570.0
692.0,2423.0
418.0,131.0
786.0,0.0
1679.0,0.0
2045.0,2111.0
1773.0,4004.0
1069.0,2970.0
595.0,0.0
756.0,0.0
1496.0,0.0
2172.0,875.0
2102.0,3145.0
1247.0,3529.0
460.0,700.0
638.0,0.0
1662.0,0.0
2518.0,1297.0
2393.0,3862.0
1319.0,3932.0
242.0,196.0
394.0,0.0
1343.0,0.0
2254.0,14.0
2364.0,2479.0
1382.0,3895.0
472.0,1780.0
284.0,0.0
1114.0,0.0
2081.0,0.0
2230.0,1874.0
1631.0,3541.0
781.0,2352.0
482.0,0.0
1186.0,0.0
2156.0,295.0
2236.0,2651.0
1623.0,3991.0
719.0,1963.0
599.0,0.0
1396.0,0.0
2095.0,116.0
2028.0,2255.0
1586.0,3753.0
783.0,2197.0
560.0,0.0
1132.0,0.0
1731.0,0.0
2030.0,1732.0
1739.0,3547.0
1003.0,2758.0
613.0,0.0
759.0,0.0
1487.0,0.0
2163.0,1499.0
1978.0,3585.0
1093.0,3119.0
513.0,5.0
830.0,0.0
1799.0,0.0
2371.0,1935.0
2020.0,4051.0
1062.0,3142.0
591.0,0.0
888.0,0.0
1914.0,0.0
2601.0,1943.0
2128.0,4191.0
1213.0,3425.0
573.0,0.0
849.0,0.0
1837.0,0.0
2548.0,1564.0
2058.0,3746.0
1145.0,3319.0
501.0,30.0
861.0,0.0
1804.0,0.0
2460.0,1782.0
2292.0,4230.0
1506.0,3986.0
378.0,40.0
325.0,0.0
1446.0,0.0
2454.0,169.0
2528.0,2845.0
1338.0,4030.0
330.0,1371.0
633.0,0.0
1812.0,0.0
2469.0,912.0
2178.0,3214.0
954.0,3220.0
414.0,292.0
1001.0,0.0
2080.0,0.0
2421.0,2362.0
1888.0,4358.0
1183.0,3191.0
717.0,0.0
894.0,0.0
1606.0,0.0
2082.0,845.0
2027.0,2976.0
1519.0,3702.0
838.0,1520.0
846.0,0.0
1322.0,0.0
1958.0,336.0
2115.0,2571.0
1657.0,3964.0
1073.0,2398.0
835.0,0.0
1427.0,0.0
1930.0,140.0
2070.0,2330.0
1832.0,4094.0
1410.0,3130.0
1206.0,134.0
1293.0,0.0
1647.0,0.0
1816.0,1694.0
1611.0,3365.0
1307.0,2934.0
1226.0,695.0
1488.0,0.0
1657.0,199.0
1567.0,1850.0
1432.0,3123.0
1365.0,2614.0
1292.0,695.0
1473.0,0.0
1635.0,434.0
1698.0,2228.0
1482.0,3376.0
1218.0,2354.0
1309.0,199.0
1549.0,0.0
1914.0,1073.0
2160.0,3373.0
1873.0,4261.0
1119.0,1951.0
741.0,0.0
1176.0,0.0
2109.0,0.0
2541.0,2358.0
2140.0,4578.0
1248.0,3408.0
911.0,0.0
1352.0,0.0
1959.0,0.0
2218.0,1882.0
1975.0,3941.0
1445.0,3492.0
1260.0,751.0
1436.0,0.0
1652.0,0.0
1767.0,1395.0
1789.0,3252.0
1684.0,3577.0
1374.0,1651.0
1185.0,0.0
1299.0,0.0
1607.0,450.0
1832.0,2366.0
1773.0,3717.0
1729.0,3064.0
1596.0,907.0
1601.0,0.0
1811.0,360.0
2013.0,2433.0
1897.0,4022.0
1645.0,3230.0
1290.0,462.0
1186.0,0.0
1512.0,0.0
1925.0,1417.0
2054.0,3523.0
1768.0,3882.0
1219.0,1542.0
981.0,0.0
1194.0,0.0
1833.0,130.0
2493.0,2703.0
2250.0,4859.0
1252.0,3372.0
570.0,0.0
1112.0,0.0
2061.0,0.0
2685.0,1645.0
2274.0,3951.0
1279.0,3513.0
643.0,105.0
1035.0,0.0
2130.0,0.0
2990.0,2890.0
2586.0,5512.0
1300.0,3822.0
199.0,0.0
598.0,0.0
2088.0,0.0
3287.0,700.0
2972.0,3752.0
1297.0,4277.0
120.0,509.0
380.0,0.0
1992.0,0.0
3232.0,1443.0
2807.0,4330.0
1233.0,4084.0
200.0,0.0
815.0,0.0
2055.0,0.0
3154.0,1898.0
2714.0,4728.0
1110.0,3904.0
116.0,0.0
623.0,0.0
2304.0,0.0
3446.0,1725.0
2744.0,4553.0
1332.0,4124.0
406.0,0.0
773.0,0.0
2098.0,0.0
2970.0,1650.0
2557.0,4311.0
1591.0,4252.0
589.0,430.0
630.0,0.0
1691.0,0.0
2864.0,953.0
2724.0,3805.0
1640.0,4528.0
799.0,1446.0
857.0,0.0
1789.0,0.0
2667.0,733.0
2814.0,3711.0
1938.0,4988.0
938.0,2119.0
950.0,0.0
1761.0,0.0
2606.0,269.0
2410.0,2803.0
1466.0,4044.0
860.0,1993.0
1334.0,0.0
2472.0,0.0
3113.0,2879.0
2682.0,5765.0
1578.0,4532.0
700.0,0.0
616.0,0.0
1796.0,0.0
3132.0,219.0
3064.0,3511.0
1615.0,4999.0
367.0,1723.0
704.0,0.0
2300.0,0.0
3372.0,1317.0
2824.0,4337.0
1352.0,4416.0
293.0,236.0
807.0,0.0
2408.0,0.0
3312.0,2083.0
3013.0,5320.0
1442.0,4739.0
320.0,0.0
771.0,0.0
2317.0,0.0
3304.0,1152.0
2817.0,4153.0
1517.0,4574.0
491.0,792.0
901.0,0.0
2473.0,0.0
3706.0,2494.0
3087.0,5777.0
1205.0,4532.0
122.0,0.0
825.0,0.0
2468.0,0.0
3476.0,958.0
2832.0,3950.0
1211.0,4235.0
136.0,289.0
755.0,0.0
2236.0,0.0
3281.0,1953.0
2899.0,4996.0
1568.0,4659.0
541.0,108.0
915.0,0.0
2143.0,0.0
3164.0,1551.0
3003.0,4710.0
1709.0,4896.0
698.0,748.0
990.0,0.0
2299.0,0.0
3239.0,1564.0
2902.0,4634.0
1395.0,4533.0
391.0,182.0
900.0,0.0
2512.0,0.0
3470.0,2281.0
2937.0,5410.0
1327.0,4512.0
409.0,0.0
973.0,0.0
2382.0,0.0
3251.0,1377.0
2726.0,4295.0
1497.0,4463.0
643.0,679.0
1141.0,0.0
2469.0,0.0
3404.0,2503.0
2864.0,5551.0
1500.0,4608.0
508.0,0.0
1045.0,0.0
2566.0,0.0
3562.0,1946.0
3051.0,5201.0
1431.0,4722.0
348.0,0.0
856.0,0.0
2427.0,0.0
3611.0,1793.0
3104.0,5125.0
1387.0,4775.0
127.0,0.0
513.0,0.0
2063.0,0.0
3167.0,421.0
2938.0,3575.0
1588.0,4806.0
525.0,1620.0
737.0,0.0
2234.0,0.0
3504.0,1573.0
3334.0,5123.0
1714.0,5324.0
435.0,504.0
599.0,0.0
2248.0,0.0
3857.0,1296.0
3601.0,5117.0
1853.0,5742.0
326.0,807.0
453.0,0.0
2048.0,0.0
3599.0,238.0
3537.0,4015.0
2021.0,5882.0
471.0,2182.0
648.0,0.0
2081.0,0.0
3354.0,81.0
3258.0,3559.0
1885.0,5431.0
727.0,2467.0
892.0,0.0
2115.0,0.0
3191.0,671.0
3188.0,4055.0
1986.0,5426.0
873.0,2136.0
818.0,0.0
1901.0,0.0
3279.0,428.0
3586.0,4254.0
2470.0,6408.0
981.0,3011.0
719.0,0.0
1989.0,0.0
3304.0,0.0
3499.0,3191.0
2206.0,5489.0
913.0,3103.0
807.0,0.0
2018.0,0.0
3377.0,569.0
3450.0,4271.0
2228.0,6062.0
640.0,2323.0
357.0,0.0
1723.0,0.0
3340.0,0.0
3750.0,3180.0
2334.0,5646.0
782.0,3128.0
665.0,0.0
1905.0,0.0
3313.0,33.0
3404.0,3665.0
2154.0,5898.0
999.0,3148.0
1212.0,0.0
2280.0,0.0
3513.0,923.0
3266.0,4417.0
1885.0,5491.0
702.0,1668.0
723.0,0.0
2061.0,0.0
3253.0,314.0
3307.0,3837.0
2183.0,5826.0
808.0,2693.0
854.0,0.0
2148.0,0.0
3518.0,546.0
3550.0,4312.0
2129.0,5983.0
662.0,2221.0
709.0,0.0
2147.0,0.0
3637.0,370.0
3576.0,4158.0
2158.0,6054.0
830.0,2630.0
853.0,0.0
2127.0,0.0
3390.0,92.0
3345.0,3617.0
2133.0,5766.0
1041.0,3126.0
1401.0,0.0
2580.0,0.0
3433.0,1516.0
2937.0,4613.0
1745.0,4914.0
950.0,1175.0
1344.0,0.0
2510.0,0.0
3376.0,2176.0
3221.0,5589.0
1935.0,5464.0
791.0,594.0
779.0,0.0
2237.0,0.0
3649.0,1001.0
3551.0,4756.0
1982.0,5841.0
635.0,1616.0
702.0,0.0
2341.0,0.0
3922.0,980.0
3772.0,4964.0
2268.0,6336.0
737.0,1989.0
771.0,0.0
2278.0,0.0
3562.0,123.0
3709.0,4060.0
2491.0,6568.0
752.0,3156.0
498.0,0.0
1773.0,0.0
3411.0,0.0
3771.0,2881.0
2698.0,5723.0
1338.0,4112.0
857.0,0.0
1671.0,0.0
3095.0,0.0
3482.0,3322.0
2483.0,5945.0
1314.0,3865.0
1000.0,0.0
2139.0,0.0
3496.0,486.0
3574.0,4268.0
2379.0,6277.0
1178.0,3115.0
989.0,0.0
2163.0,0.0
3598.0,317.0
3628.0,4137.0
2289.0,6181.0
1011.0,2935.0
1101.0,0.0
2290.0,0.0
3254.0,348.0
3260.0,3796.0
2247.0,5759.0
1027.0,2866.0
1027.0,0.0
2287.0,0.0
3496.0,923.0
3473.0,4600.0
2311.0,6116.0
1166.0,2594.0
1037.0,0.0
2010.0,0.0
3445.0,168.0
3662.0,4070.0
2407.0,6429.0
936.0,3183.0
779.0,0.0
2264.0,0.0
3809.0,199.0
3717.0,4140.0
2390.0,6463.0
853.0,3068.0
758.0,0.0
2203.0,0.0
3939.0,201.0
4108.0,4569.0
2545.0,7081.0
910.0,3350.0
780.0,0.0
1979.0,0.0
3518.0,0.0
3588.0,2680.0
2432.0,5228.0
1157.0,3669.0
1044.0,0.0
2443.0,0.0
3577.0,1680.0
3594.0,5458.0
2370.0,6252.0
1233.0,1955.0
1197.0,0.0
2083.0,0.0
3427.0,239.0
3819.0,4266.0
2849.0,7016.0
1520.0,4222.0
1243.0,0.0
2092.0,0.0
3211.0,0.0
3353.0,2827.0
2594.0,5549.0
1542.0,4204.0
1240.0,0.0
1985.0,0.0
3197.0,697.0
3526.0,4403.0
2561.0,6395.0
1595.0,3527.0
1296.0,0.0
1993.0,0.0
3121.0,5.0
3406.0,3377.0
2768.0,6268.0
1664.0,4527.0
1208.0,0.0
1938.0,0.0
3229.0,0.0
3671.0,3750.0
2794.0,6708.0
1586.0,4480.0
1327.0,0.0
2227.0,0.0
3227.0,9.0
3511.0,3552.0
2869.0,6580.0
2018.0,5022.0
1345.0,0.0
1727.0,0.0
2798.0,0.0
3642.0,2780.0
3289.0,6257.0
2248.0,5757.0
1384.0,720.0
1619.0,0.0
2464.0,0.0
3078.0,1396.0
3070.0,4630.0
2311.0,5529.0
1614.0,2369.0
1671.0,0.0
2587.0,0.0
3436.0,2197.0
3382.0,5747.0
2354.0,5924.0
1339.0,1356.0
1640.0,0.0
2701.0,0.0
3560.0,1953.0
3323.0,5440.0
2368.0,5875.0
1427.0,1726.0
1803.0,0.0
2887.0,0.0
3521.0,2392.0
3012.0,5544.0
1994.0,5146.0
1332.0,786.0
1693.0,0.0
2866.0,0.0
3645.0,3090.0
3180.0,6426.0
1863.0,5183.0
1035.0,0.0
1787.0,0.0
3118.0,0.0
3741.0,3151.0
2989.0,6280.0
1627.0,4744.0
1304.0,0.0
2104.0,0.0
3526.0,442.0
4088.0,4722.0
3343.0,7767.0
1958.0,4995.0
1232.0,0.0
1688.0,0.0
3138.0,0.0
4109.0,2276.0
3551.0,6003.0
2113.0,5872.0
1069.0,806.0
1275.0,0.0
2648.0,0.0
3995.0,1934.0
3747.0,5881.0
2108.0,6091.0
871.0,957.0
1386.0,0.0
3021.0,0.0
4049.0,2361.0
3538.0,6043.0
2066.0,5780.0
1126.0,743.0
1743.0,0.0
3238.0,0.0
4081.0,3282.0
3523.0,6973.0
2103.0,5830.0
1265.0,16.0
1796.0,0.0
2932.0,0.0
4024.0,2876.0
3789.0,6853.0
2271.0,6284.0
1086.0,381.0
1506.0,0.0
3015.0,0.0
4239.0,2492.0
3666.0,6330.0
1966.0,5832.0
880.0,218.0
1566.0,0.0
3089.0,0.0
4200.0,3039.0
3724.0,6975.0
1998.0,5954.0
804.0,0.0
1275.0,0.0
3147.0,0.0
4422.0,2525.0
3735.0,6448.0
1872.0,5783.0
787.0,0.0
1624.0,0.0
3508.0,0.0
4700.0,3983.0
3715.0,7898.0
1670.0,5585.0
637.0,0.0
1800.0,0.0
3889.0,0.0
4817.0,3105.0
3384.0,6665.0
1231.0,4791.0
443.0,0.0
1966.0,0.0
4527.0,51.0
5163.0,5402.0
3075.0,8590.0
579.0,3715.0
66.0,0.0
2050.0,0.0
4541.0,0.0
5107.0,3106.0
3269.0,6543.0
799.0,4148.0
303.0,0.0
2186.0,0.0
4664.0,342.0
5037.0,5595.0
3175.0,8580.0
766.0,3675.0
297.0,0.0
2186.0,0.0
4431.0,0.0
5009.0,3255.0
3348.0,6767.0
757.0,4217.0
253.0,0.0
2243.0,0.0
4777.0,226.0
5225.0,5699.0
3025.0,8666.0
287.0,3154.0
17.0,0.0
2253.0,0.0
4952.0,0.0
5359.0,3883.0
2900.0,6943.0
202.0,3174.0
158.0,0.0
2821.0,0.0
5237.0,1049.0
5129.0,6418.0
2792.0,8313.0
424.0,2231.0
353.0,0.0
2702.0,0.0
5039.0,0.0
5337.0,5114.0
3019.0,8309.0
374.0,3461.0
252.0,0.0
2536.0,0.0
4957.0,0.0
5272.0,4688.0
3154.0,8046.0
526.0,3772.0
3.0,0.0
2252.0,0.0
4943.0,0.0
5422.0,4522.0
3033.0,7779.0
485.0,3630.0
255.0,0.0
2633.0,0.0
5158.0,0.0
5370.0,5605.0
3288.0,9121.0
679.0,4083.0
200.0,0.0
2433.0,0.0
4969.0,0.0
5446.0,3871.0
3262.0,7373.0
641.0,4019.0
278.0,0.0
2649.0,0.0
5140.0,326.0
5421.0,6115.0
3098.0,9103.0
461.0,3305.0
54.0,0.0
2200.0,0.0
4769.0,0.0
5305.0,3157.0
3139.0,6544.0
705.0,3960.0
276.0,0.0
2325.0,0.0
4733.0,338.0
5134.0,5856.0
3290.0,9048.0
796.0,3836.0
321.0,0.0
2429.0,0.0
4917.0,0.0
5336.0,3903.0
3465.0,7616.0
970.0,4551.0
287.0,0.0
2177.0,0.0
4897.0,0.0
5503.0,5168.0
3482.0,8902.0
985.0,4603.0
310.0,0.0
2283.0,0.0
4545.0,0.0
5071.0,3171.0
3081.0,6500.0
873.0,4094.0
599.0,0.0
2628.0,0.0
4778.0,1089.0
4976.0,6413.0
3009.0,8545.0
930.0,2918.0
759.0,0.0
2628.0,0.0
4869.0,0.0
5185.0,4828.0
3060.0,8104.0
606.0,3734.0
677.0,0.0
3114.0,0.0
5391.0,746.0
5252.0,6346.0
2885.0,8677.0
502.0,2673.0
595.0,0.0
3126.0,0.0
5207.0,1.0
4935.0,5166.0
2650.0,8019.0
495.0,3212.0
811.0,0.0
3133.0,0.0
5116.0,733.0
4809.0,5846.0
2733.0,8034.0
867.0,2943.0
1047.0,0.0
2968.0,0.0
5081.0,754.0
4986.0,6064.0
2836.0,8338.0
832.0,2982.0
1102.0,0.0
3200.0,0.0
4915.0,535.0
4535.0,5346.0
2731.0,7722.0
1238.0,3538.0
1549.0,0.0
3427.0,0.0
4797.0,1743.0
4275.0,6270.0
2444.0,7139.0
1041.0,1806.0
1709.0,0.0
3768.0,0.0
5168.0,3358.0
4277.0,7899.0
2231.0,6892.0
843.0,0.0
1622.0,0.0
3780.0,0.0
5050.0,3084.0
4427.0,7779.0
2218.0,7029.0
704.0,0.0
1658.0,0.0
3862.0,0.0
5144.0,3253.0
4280.0,7809.0
2148.0,6812.0
757.0,0.0
1391.0,0.0
3702.0,0.0
5272.0,2893.0
4555.0,7760.0
2285.0,7284.0
736.0,76.0
1403.0,0.0
3655.0,0.0
5130.0,2700.0
4587.0,7607.0
2294.0,7309.0
737.0,282.0
1399.0,0.0
3722.0,0.0
5157.0,2762.0
4588.0,7638.0
2486.0,7470.0
940.0,624.0
1448.0,0.0
3740.0,0.0
