agg_orders_level_0,agg_orders_level_1
4995.0,24975.0
5055.0,25110.0
5145.0,25335.0
5190.0,20895.0
5240.0,1165.0
5295.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
833.0,0.0
1898.0,0.0
2981.0,0.0
3270.0,0.0
2510.0,0.0
697.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
115.0,0.0
1263.0,0.0
2386.0,0.0
3372.0,0.0
3183.0,0.0
1844.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
426.0,0.0
1446.0,0.0
2466.0,0.0
3111.0,0.0
2745.0,0.0
1395.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
35.0,0.0
1253.0,0.0
2495.0,0.0
3654.0,0.0
3628.0,0.0
2327.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
614.0,0.0
1646.0,0.0
2732.0,0.0
3151.0,0.0
2573.0,0.0
894.0,233.0
0.0,233.0
0.0,233.0
0.0,0.0
0.0,0.0
0.0,0.0
1137.0,0.0
2385.0,2306.0
3624.0,5367.0
3771.0,5742.0
2664.0,5997.0
1154.0,6102.0
2412.0,3761.0
1378.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
861.0,0.0
1968.0,0.0
3054.0,0.0
3287.0,0.0
2442.0,921.0
536.0,1372.0
0.0,1127.0
0.0,0.0
0.0,0.0
0.0,0.0
276.0,0.0
1541.0,0.0
2832.0,2116.0
3849.0,6162.0
3622.0,6507.0
2116.0,6597.0
0.0,3980.0
1097.0,0.0
304.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
248.0,0.0
1457.0,0.0
2684.0,0.0
3616.0,0.0
3299.0,0.0
1779.0,1630.0
0.0,1370.0
0.0,1060.0
0.0,0.0
0.0,0.0
0.0,0.0
149.0,0.0
1408.0,0.0
2683.0,1315.0
3821.0,5506.0
3746.0,6737.0
2386.0,6737.0
67.0,4794.0
344.0,0.0
412.0,0.0
0.0,0.0
0.0,0.0
119.0,0.0
1245.0,0.0
2574.0,0.0
3787.0,0.0
3856.0,0.0
2557.0,1760.0
412.0,2202.0
0.0,2202.0
0.0,367.0
0.0,0.0
0.0,0.0
0.0,0.0
510.0,0.0
1716.0,0.0
2980.0,217.0
3727.0,4304.0
3319.0,6782.0
1651.0,6942.0
97.0,5315.0
0.0,0.0
86.0,0.0
0.0,0.0
91.0,0.0
1143.0,0.0
2585.0,0.0
3935.0,0.0
4205.0,0.0
3040.0,1336.0
692.0,2093.0
0.0,2093.0
0.0,722.0
0.0,0.0
0.0,0.0
0.0,0.0
570.0,0.0
1693.0,0.0
2963.0,315.0
3664.0,4334.0
3241.0,6862.0
1567.0,7022.0
296.0,5274.0
0.0,0.0
165.0,0.0
0.0,0.0
0.0,0.0
967.0,0.0
2256.0,0.0
3723.0,0.0
4253.0,0.0
3491.0,956.0
1259.0,2340.0
335.0,2705.0
0.0,1734.0
0.0,7.0
0.0,0.0
0.0,0.0
815.0,0.0
1946.0,0.0
3292.0,248.0
3815.0,4376.0
3207.0,7047.0
1213.0,7157.0
472.0,5119.0
39.0,0.0
219.0,0.0
0.0,0.0
0.0,0.0
754.0,0.0
1852.0,0.0
3129.0,0.0
3788.0,0.0
3403.0,0.0
1777.0,956.0
816.0,1738.0
370.0,2128.0
139.0,1221.0
0.0,439.0
93.0,0.0
1170.0,0.0
2426.0,0.0
3687.0,2386.0
3914.0,6262.0
2955.0,7277.0
1034.0,7372.0
701.0,3167.0
915.0,0.0
197.0,0.0
0.0,0.0
0.0,0.0
585.0,0.0
1542.0,0.0
2517.0,0.0
2909.0,0.0
2738.0,0.0
1673.0,0.0
1242.0,17.0
1327.0,1151.0
974.0,2130.0
194.0,2102.0
41.0,627.0
1155.0,0.0
2253.0,0.0
3334.0,2290.0
3397.0,5982.0
2737.0,7349.0
1032.0,7429.0
1392.0,3371.0
1650.0,0.0
884.0,0.0
21.0,0.0
0.0,0.0
752.0,0.0
1766.0,0.0
2753.0,0.0
2994.0,0.0
2298.0,0.0
681.0,0.0
634.0,253.0
983.0,725.0
1216.0,1934.0
1026.0,2627.0
634.0,2311.0
1115.0,1910.0
2140.0,1528.0
3253.0,1707.0
3373.0,3405.0
2529.0,4621.0
698.0,3597.0
906.0,1837.0
1232.0,67.0
1370.0,0.0
890.0,0.0
462.0,0.0
1078.0,0.0
2168.0,788.0
3247.0,3086.0
3250.0,5010.0
2182.0,5090.0
205.0,3241.0
616.0,562.0
995.0,1050.0
1228.0,1278.0
1050.0,855.0
618.0,0.0
822.0,0.0
1819.0,0.0
2929.0,0.0
3274.0,490.0
2697.0,2343.0
1193.0,3566.0
870.0,4011.0
1266.0,3054.0
1392.0,1520.0
1026.0,420.0
494.0,0.0
1188.0,0.0
2362.0,0.0
3520.0,1614.0
3481.0,4058.0
2380.0,5883.0
361.0,4903.0
832.0,1757.0
1191.0,1252.0
1292.0,709.0
931.0,0.0
428.0,0.0
626.0,0.0
1679.0,0.0
2747.0,0.0
3192.0,99.0
2691.0,2220.0
