agg_orders_level_0,agg_orders_level_1
4404.0,17616.0
4152.0,17112.0
4452.0,12732.0
4392.0,72.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
1085.0,0.0
2210.0,0.0
1944.0,0.0
643.0,0.0
0.0,0.0
0.0,0.0
372.0,0.0
1092.0,0.0
1359.0,0.0
1212.0,0.0
855.0,0.0
486.0,0.0
762.0,0.0
1263.0,0.0
1185.0,0.0
894.0,0.0
753.0,0.0
1059.0,0.0
1479.0,0.0
1744.0,0.0
1447.0,0.0
1050.0,0.0
866.0,0.0
1016.0,0.0
1488.0,980.0
1949.0,3005.0
1664.0,3733.0
975.0,1691.0
509.0,0.0
512.0,0.0
1077.0,0.0
1423.0,0.0
1009.0,641.0
346.0,907.0
234.0,424.0
1097.0,602.0
1631.0,1849.0
1461.0,2740.0
628.0,1463.0
244.0,0.0
696.0,0.0
1443.0,0.0
2079.0,1230.0
1926.0,2960.0
1041.0,2519.0
375.0,0.0
894.0,0.0
1782.0,331.0
2179.0,2678.0
1798.0,4245.0
903.0,2574.0
257.0,0.0
518.0,0.0
1692.0,0.0
2245.0,419.0
1606.0,2109.0
372.0,2090.0
0.0,15.0
513.0,0.0
1534.0,0.0
1732.0,1723.0
1152.0,2875.0
320.0,1424.0
231.0,0.0
931.0,0.0
1600.0,0.0
1975.0,1946.0
1474.0,3460.0
583.0,2085.0
365.0,0.0
1087.0,0.0
2202.0,154.0
2396.0,2622.0
1535.0,4039.0
495.0,1880.0
370.0,0.0
1315.0,0.0
2133.0,0.0
2060.0,1811.0
1403.0,3254.0
495.0,1938.0
278.0,0.0
739.0,0.0
1641.0,0.0
1841.0,1277.0
1158.0,2507.0
403.0,1645.0
334.0,0.0
1035.0,0.0
1790.0,568.0
1940.0,2616.0
1162.0,3270.0
551.0,1205.0
760.0,0.0
1196.0,0.0
1628.0,158.0
1875.0,2105.0
1683.0,3738.0
1221.0,2870.0
847.0,0.0
1115.0,0.0
1782.0,0.0
2124.0,2078.0
1663.0,3849.0
766.0,2549.0
342.0,0.0
749.0,0.0
1359.0,0.0
1734.0,195.0
1656.0,1991.0
817.0,2625.0
334.0,884.0
580.0,0.0
1452.0,0.0
1930.0,1385.0
1516.0,3009.0
706.0,2318.0
551.0,0.0
1096.0,0.0
1769.0,275.0
2008.0,2391.0
1802.0,4038.0
1139.0,2786.0
752.0,0.0
852.0,0.0
1600.0,0.0
2164.0,1234.0
2043.0,3409.0
1424.0,3599.0
644.0,718.0
643.0,0.0
1241.0,0.0
1930.0,211.0
1890.0,2221.0
1298.0,3348.0
458.0,1501.0
270.0,0.0
916.0,0.0
1870.0,0.0
2170.0,1994.0
1214.0,3220.0
202.0,1308.0
260.0,0.0
1450.0,0.0
2522.0,1048.0
2512.0,3692.0
1376.0,4044.0
217.0,453.0
230.0,0.0
1471.0,0.0
2912.0,565.0
2968.0,3689.0
1455.0,4603.0
37.0,819.0
130.0,0.0
1443.0,0.0
2522.0,0.0
2414.0,2026.0
1233.0,3299.0
256.0,1445.0
154.0,0.0
1131.0,0.0
2249.0,183.0
2225.0,2552.0
1302.0,3731.0
304.0,1387.0
217.0,0.0
1050.0,0.0
2003.0,0.0
2219.0,1822.0
1497.0,3355.0
544.0,1977.0
421.0,0.0
1264.0,0.0
2326.0,592.0
2642.0,3370.0
1828.0,4682.0
785.0,2033.0
499.0,0.0
1427.0,0.0
2560.0,0.0
2666.0,2542.0
1553.0,4167.0
402.0,1955.0
160.0,0.0
1024.0,0.0
2205.0,0.0
2507.0,1757.0
1545.0,3394.0
205.0,1794.0
0.0,0.0
890.0,0.0
2152.0,0.0
2672.0,2344.0
1702.0,4154.0
358.0,2084.0
245.0,0.0
1354.0,0.0
2679.0,0.0
2777.0,2933.0
1739.0,4784.0
678.0,2469.0
469.0,0.0
1484.0,0.0
2697.0,0.0
2938.0,2828.0
1861.0,4813.0
525.0,2438.0
119.0,0.0
1034.0,0.0
2329.0,0.0
2641.0,1294.0
1720.0,3134.0
312.0,2084.0
11.0,0.0
984.0,0.0
2284.0,0.0
2527.0,2656.0
1515.0,4267.0
392.0,1955.0
191.0,0.0
1119.0,0.0
2317.0,0.0
2584.0,1944.0
1821.0,3873.0
797.0,2690.0
639.0,0.0
1545.0,0.0
2604.0,759.0
2800.0,3715.0
1981.0,5057.0
950.0,2256.0
718.0,0.0
1418.0,0.0
2356.0,0.0
2526.0,1949.0
1518.0,3563.0
447.0,2017.0
334.0,0.0
1196.0,0.0
2244.0,16.0
2497.0,2692.0
1606.0,4410.0
511.0,2197.0
126.0,0.0
