agg_orders_level_0,agg_orders_level_1
3996.0,15984.0
4152.0,16296.0
4236.0,12912.0
4236.0,960.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
672.0,0.0
1596.0,0.0
1965.0,0.0
1501.0,0.0
689.0,0.0
277.0,0.0
581.0,0.0
1222.0,0.0
1590.0,0.0
1409.0,0.0
953.0,0.0
711.0,0.0
862.0,0.0
1159.0,0.0
1239.0,0.0
1058.0,0.0
875.0,0.0
966.0,0.0
1273.0,0.0
1411.0,0.0
1158.0,0.0
704.0,0.0
524.0,0.0
895.0,418.0
1540.0,2002.0
1827.0,3471.0
1410.0,2915.0
616.0,0.0
183.0,0.0
569.0,0.0
1469.0,0.0
2076.0,1334.0
1806.0,3188.0
869.0,2703.0
113.0,0.0
243.0,0.0
1140.0,0.0
2003.0,211.0
2042.0,2325.0
1251.0,3365.0
382.0,1146.0
193.0,0.0
798.0,0.0
1637.0,0.0
1974.0,625.0
1540.0,2285.0
802.0,2522.0
435.0,696.0
710.0,0.0
1290.0,0.0
1623.0,1389.0
1473.0,2970.0
1080.0,2697.0
850.0,517.0
951.0,0.0
1193.0,0.0
1280.0,679.0
1146.0,1889.0
1018.0,2260.0
1117.0,1476.0
1365.0,557.0
1441.0,534.0
1176.0,1165.0
788.0,1423.0
686.0,928.0
1062.0,567.0
1621.0,1288.0
1837.0,2614.0
1431.0,2805.0
713.0,892.0
338.0,0.0
714.0,0.0
1556.0,0.0
2114.0,1921.0
1839.0,3856.0
967.0,2922.0
259.0,0.0
352.0,0.0
1194.0,0.0
2044.0,0.0
2123.0,2140.0
1396.0,3596.0
503.0,1899.0
256.0,0.0
846.0,0.0
1706.0,0.0
2057.0,1257.0
1665.0,3030.0
919.0,2680.0
509.0,39.0
743.0,0.0
1340.0,0.0
1728.0,1143.0
1621.0,2884.0
1195.0,2960.0
909.0,937.0
986.0,0.0
1250.0,0.0
1374.0,590.0
1267.0,1917.0
1129.0,2480.0
1176.0,1739.0
1394.0,641.0
1502.0,392.0
1297.0,1072.0
932.0,1612.0
785.0,1313.0
1100.0,801.0
1661.0,1185.0
1920.0,2356.0
1558.0,2773.0
841.0,1234.0
423.0,0.0
753.0,0.0
1597.0,0.0
2196.0,2220.0
1976.0,4284.0
1094.0,3154.0
328.0,0.0
394.0,0.0
1254.0,0.0
2138.0,0.0
2255.0,2133.0
1497.0,3690.0
568.0,2041.0
301.0,0.0
900.0,0.0
1799.0,0.0
2204.0,1526.0
1776.0,3410.0
980.0,2840.0
541.0,0.0
804.0,0.0
1454.0,0.0
1862.0,1143.0
1701.0,2952.0
1229.0,3074.0
953.0,1015.0
1065.0,0.0
1372.0,0.0
1516.0,831.0
1372.0,2263.0
1168.0,2636.0
1217.0,1578.0
1471.0,393.0
1637.0,460.0
1438.0,1517.0
998.0,2067.0
802.0,1340.0
1149.0,402.0
1760.0,858.0
2057.0,2573.0
1680.0,3439.0
910.0,1752.0
455.0,0.0
798.0,0.0
1693.0,0.0
2335.0,1854.0
2103.0,4053.0
1151.0,3362.0
350.0,0.0
448.0,0.0
1367.0,0.0
2281.0,277.0
2369.0,2786.0
1564.0,4141.0
598.0,1885.0
344.0,0.0
1009.0,0.0
1949.0,0.0
2314.0,1475.0
1820.0,3403.0
994.0,2898.0
599.0,16.0
934.0,0.0
1601.0,0.0
1966.0,1585.0
1755.0,3448.0
1271.0,3158.0
1007.0,657.0
1188.0,0.0
1522.0,0.0
1604.0,1096.0
1393.0,2561.0
1201.0,2690.0
1291.0,1420.0
1617.0,323.0
1766.0,673.0
1508.0,1890.0
1045.0,2262.0
863.0,1223.0
1225.0,174.0
1886.0,861.0
2182.0,2941.0
1753.0,3869.0
942.0,1846.0
505.0,0.0
904.0,0.0
1842.0,0.0
2450.0,1844.0
2153.0,4105.0
1185.0,3446.0
415.0,0.0
550.0,0.0
1488.0,0.0
2384.0,612.0
2420.0,3188.0
1593.0,4229.0
667.0,1624.0
473.0,0.0
1153.0,0.0
2040.0,0.0
2344.0,1793.0
1860.0,3761.0
1085.0,3029.0
734.0,0.0
1062.0,0.0
1678.0,0.0
1997.0,1602.0
1796.0,3514.0
1361.0,3301.0
1152.0,871.0
1315.0,0.0
1583.0,0.0
1638.0,1195.0
1453.0,2720.0
1303.0,2852.0
1431.0,1543.0
1718.0,397.0
1823.0,685.0
1545.0,1845.0
1099.0,2279.0
964.0,1366.0
1380.0,459.0
1997.0,1126.0
2235.0,2962.0
1785.0,3665.0
1003.0,1694.0
619.0,0.0
1038.0,0.0
1922.0,0.0
2484.0,2402.0
2197.0,4691.0
1268.0,3577.0
537.0,0.0
688.0,0.0
1589.0,0.0
2423.0,430.0
2465.0,3035.0
1674.0,4343.0
802.0,2026.0
610.0,0.0
1215.0,0.0
2057.0,0.0
2397.0,1948.0
1963.0,4019.0
1222.0,3261.0
852.0,2.0
1127.0,0.0
1710.0,0.0
2046.0,1626.0
1896.0,3618.0
1501.0,3521.0
1268.0,1119.0
1368.0,0.0
1612.0,0.0
1703.0,1114.0
1570.0,2744.0
1439.0,3105.0
1534.0,1883.0
1781.0,535.0
1860.0,524.0
1599.0,1612.0
1212.0,2300.0
1107.0,1783.0
1479.0,938.0
2037.0,1228.0
2256.0,2606.0
1854.0,3280.0
1137.0,1787.0
759.0,0.0
1131.0,0.0
1972.0,486.0
2533.0,3127.0
2262.0,5011.0
1391.0,3275.0
680.0,0.0
769.0,0.0
1610.0,0.0
2463.0,391.0
2546.0,3093.0
1820.0,4570.0
924.0,2341.0
673.0,0.0
1262.0,0.0
2125.0,0.0
2480.0,1958.0
2089.0,4155.0
1340.0,3525.0
926.0,176.0
1159.0,0.0
1759.0,0.0
2151.0,1556.0
2045.0,3721.0
1616.0,3805.0
1326.0,1362.0
1402.0,0.0
1669.0,0.0
1797.0,1003.0
1691.0,2754.0
1550.0,3325.0
1593.0,2164.0
1814.0,641.0
1921.0,386.0
1716.0,1485.0
1352.0,2451.0
1206.0,2160.0
1521.0,1230.0
2081.0,1187.0
2339.0,2348.0
1977.0,3182.0
1261.0,2071.0
844.0,0.0
1174.0,0.0
2017.0,757.0
2615.0,3492.0
2395.0,5218.0
