id,inv,demand,forecast,received_shipment,order,Order_Supplier_0,Forecast_Retailer_0,Forecast_Retailer_1,Demand_Retailer_0,Demand_Retailer_1
0.0,0.0,1320.0,1320.0,0.0,5280.0,5280.0,924.0,396.0,924.0,396.0
0.0,0.0,1336.0,1328.0,0.0,5312.0,5312.0,930.0,398.0,936.0,400.0
0.0,0.0,1352.0,1336.0,5280.0,4072.0,4072.0,936.0,400.0,948.0,404.0
0.0,1272.0,1360.0,1342.0,5312.0,144.0,144.0,940.0,402.0,952.0,408.0
0.0,5224.0,0.0,1074.0,4072.0,0.0,0.0,752.0,322.0,0.0,0.0
0.0,9296.0,0.0,895.0,144.0,0.0,0.0,627.0,268.0,0.0,0.0
0.0,9440.0,0.0,767.0,0.0,0.0,0.0,537.0,230.0,0.0,0.0
0.0,9440.0,0.0,671.0,0.0,0.0,0.0,470.0,201.0,0.0,0.0
0.0,9440.0,0.0,597.0,0.0,0.0,0.0,418.0,179.0,0.0,0.0
0.0,9440.0,0.0,537.0,0.0,0.0,0.0,376.0,161.0,0.0,0.0
0.0,9440.0,0.0,488.0,0.0,0.0,0.0,342.0,146.0,0.0,0.0
0.0,9440.0,314.0,474.0,0.0,0.0,0.0,332.0,142.0,221.0,93.0
0.0,9126.0,696.0,491.0,0.0,0.0,0.0,344.0,147.0,487.0,209.0
0.0,8430.0,762.0,510.0,0.0,0.0,0.0,357.0,153.0,533.0,229.0
0.0,7668.0,444.0,506.0,0.0,0.0,0.0,354.0,152.0,308.0,136.0
0.0,7224.0,63.0,477.0,0.0,0.0,0.0,334.0,143.0,43.0,20.0
0.0,7161.0,1.0,450.0,0.0,0.0,0.0,315.0,135.0,1.0,0.0
0.0,7160.0,304.0,441.0,0.0,0.0,0.0,309.0,132.0,217.0,87.0
0.0,6856.0,666.0,454.0,0.0,0.0,0.0,318.0,136.0,470.0,196.0
0.0,6190.0,731.0,468.0,0.0,0.0,0.0,328.0,140.0,511.0,220.0
0.0,5459.0,442.0,466.0,0.0,0.0,0.0,326.0,140.0,303.0,139.0
0.0,5017.0,77.0,449.0,0.0,0.0,0.0,314.0,135.0,48.0,29.0
0.0,4940.0,2.0,429.0,0.0,0.0,0.0,300.0,129.0,2.0,0.0
0.0,4938.0,289.0,423.0,0.0,0.0,0.0,296.0,127.0,209.0,80.0
0.0,4649.0,641.0,432.0,0.0,0.0,0.0,303.0,129.0,455.0,186.0
0.0,4008.0,709.0,442.0,0.0,0.0,0.0,310.0,132.0,496.0,213.0
0.0,3299.0,410.0,441.0,0.0,0.0,0.0,309.0,132.0,282.0,128.0
0.0,2889.0,45.0,427.0,0.0,0.0,0.0,299.0,128.0,27.0,18.0
0.0,2844.0,0.0,413.0,0.0,0.0,0.0,289.0,124.0,0.0,0.0
0.0,2844.0,271.0,408.0,0.0,0.0,0.0,286.0,122.0,194.0,77.0
0.0,2573.0,612.0,414.0,0.0,0.0,0.0,290.0,124.0,433.0,179.0
0.0,1961.0,667.0,422.0,0.0,394.0,394.0,296.0,126.0,469.0,198.0
0.0,1294.0,378.0,421.0,0.0,768.0,768.0,295.0,126.0,261.0,117.0
0.0,916.0,40.0,410.0,394.0,370.0,370.0,287.0,123.0,22.0,18.0
0.0,1270.0,0.0,398.0,768.0,0.0,0.0,279.0,119.0,0.0,0.0
0.0,2038.0,273.0,394.0,370.0,0.0,0.0,276.0,118.0,197.0,76.0
0.0,2135.0,595.0,400.0,0.0,60.0,60.0,280.0,120.0,421.0,174.0
0.0,1540.0,654.0,407.0,0.0,742.0,742.0,285.0,122.0,456.0,198.0
0.0,886.0,377.0,406.0,60.0,1055.0,1055.0,284.0,122.0,256.0,121.0
0.0,569.0,50.0,397.0,742.0,327.0,327.0,278.0,119.0,29.0,21.0
0.0,1261.0,0.0,387.0,1055.0,0.0,0.0,271.0,116.0,0.0,0.0
0.0,2316.0,269.0,384.0,327.0,0.0,0.0,269.0,115.0,198.0,71.0
0.0,2374.0,594.0,390.0,0.0,0.0,0.0,273.0,117.0,424.0,170.0
0.0,1780.0,657.0,395.0,0.0,457.0,457.0,277.0,118.0,458.0,199.0
0.0,1123.0,399.0,396.0,0.0,860.0,860.0,277.0,119.0,269.0,130.0
0.0,724.0,83.0,389.0,457.0,458.0,458.0,272.0,117.0,50.0,33.0
0.0,1098.0,21.0,381.0,860.0,0.0,0.0,267.0,114.0,17.0,4.0
0.0,1937.0,282.0,379.0,458.0,0.0,0.0,265.0,114.0,208.0,74.0
0.0,2113.0,603.0,384.0,0.0,26.0,26.0,269.0,115.0,429.0,174.0
0.0,1510.0,671.0,390.0,0.0,721.0,721.0,273.0,117.0,466.0,205.0
0.0,839.0,426.0,390.0,26.0,1121.0,1121.0,273.0,117.0,289.0,137.0
0.0,439.0,117.0,385.0,721.0,497.0,497.0,269.0,116.0,76.0,41.0
0.0,1043.0,64.0,360.0,1121.0,0.0,0.0,252.0,108.0,48.0,16.0
0.0,2100.0,328.0,341.0,497.0,0.0,0.0,239.0,102.0,240.0,88.0
0.0,2269.0,652.0,328.0,0.0,0.0,0.0,230.0,98.0,461.0,191.0
0.0,1617.0,710.0,315.0,0.0,353.0,353.0,221.0,94.0,492.0,218.0
0.0,907.0,445.0,323.0,0.0,830.0,830.0,226.0,97.0,302.0,143.0
0.0,462.0,128.0,326.0,353.0,617.0,617.0,228.0,98.0,86.0,42.0
0.0,687.0,71.0,327.0,830.0,0.0,0.0,229.0,98.0,56.0,15.0
0.0,1446.0,349.0,334.0,617.0,0.0,0.0,234.0,100.0,253.0,96.0
0.0,1714.0,685.0,347.0,0.0,359.0,359.0,243.0,104.0,482.0,203.0
0.0,1029.0,748.0,361.0,0.0,1163.0,1163.0,253.0,108.0,519.0,229.0
0.0,281.0,465.0,370.0,359.0,1305.0,1305.0,259.0,111.0,318.0,147.0
0.0,175.0,124.0,367.0,1163.0,254.0,254.0,257.0,110.0,85.0,39.0
0.0,1214.0,70.0,355.0,1305.0,0.0,0.0,248.0,107.0,52.0,18.0
0.0,2449.0,356.0,347.0,254.0,0.0,0.0,243.0,104.0,254.0,102.0
0.0,2347.0,697.0,353.0,0.0,0.0,0.0,247.0,106.0,491.0,206.0
0.0,1650.0,748.0,365.0,0.0,558.0,558.0,256.0,109.0,522.0,226.0
0.0,902.0,461.0,374.0,0.0,1055.0,1055.0,262.0,112.0,319.0,142.0
0.0,441.0,114.0,370.0,558.0,595.0,595.0,259.0,111.0,78.0,36.0
0.0,885.0,71.0,359.0,1055.0,0.0,0.0,251.0,108.0,50.0,21.0
0.0,1869.0,360.0,352.0,595.0,0.0,0.0,246.0,106.0,254.0,106.0
0.0,2104.0,700.0,357.0,0.0,24.0,24.0,250.0,107.0,493.0,207.0
0.0,1404.0,741.0,370.0,0.0,817.0,817.0,259.0,111.0,520.0,221.0
0.0,663.0,442.0,378.0,24.0,1267.0,1267.0,265.0,113.0,306.0,136.0
0.0,245.0,93.0,374.0,817.0,527.0,527.0,262.0,112.0,60.0,33.0
