agg_orders_level_0,agg_orders_level_1
5010.0,25050.0
5055.0,25155.0
5070.0,25215.0
5115.0,20505.0
5145.0,585.0
5160.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
205.0,0.0
1246.0,0.0
2311.0,0.0
3168.0,0.0
3005.0,0.0
1807.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
572.0,0.0
1673.0,0.0
2786.0,0.0
3294.0,0.0
2683.0,0.0
977.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
313.0,0.0
1354.0,0.0
2426.0,0.0
3185.0,0.0
2911.0,0.0
1579.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
778.0,0.0
1969.0,0.0
3127.0,0.0
3543.0,0.0
2735.0,0.0
775.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
518.0,0.0
1622.0,0.0
2708.0,0.0
3275.0,0.0
2765.0,0.0
1163.0,338.0
0.0,338.0
0.0,338.0
0.0,0.0
0.0,0.0
0.0,0.0
828.0,0.0
2041.0,1503.0
3251.0,4904.0
3630.0,5622.0
2799.0,5877.0
808.0,5967.0
1678.0,2635.0
1399.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
85.0,0.0
439.0,0.0
1363.0,0.0
2441.0,0.0
3134.0,0.0
2911.0,0.0
1833.0,1921.0
463.0,2404.0
0.0,2269.0
0.0,118.0
0.0,0.0
82.0,0.0
439.0,0.0
1579.0,0.0
2697.0,0.0
3530.0,3719.0
3199.0,6297.0
1896.0,6487.0
282.0,5817.0
0.0,0.0
188.0,0.0
0.0,0.0
151.0,0.0
544.0,0.0
1557.0,0.0
2657.0,0.0
3349.0,0.0
3004.0,0.0
1917.0,693.0
386.0,1074.0
0.0,914.0
0.0,0.0
0.0,0.0
64.0,0.0
442.0,0.0
1376.0,0.0
2533.0,2128.0
3346.0,5789.0
3210.0,6487.0
2083.0,6687.0
668.0,4323.0
1270.0,0.0
276.0,0.0
0.0,0.0
202.0,0.0
598.0,0.0
991.0,0.0
1415.0,0.0
2170.0,0.0
2520.0,0.0
2805.0,0.0
2527.0,1525.0
1332.0,2972.0
0.0,2927.0
0.0,1277.0
142.0,0.0
514.0,0.0
886.0,0.0
1128.0,0.0
1840.0,0.0
2184.0,405.0
2597.0,3242.0
2637.0,6134.0
1832.0,6820.0
144.0,4613.0
0.0,0.0
226.0,0.0
631.0,0.0
1033.0,0.0
1448.0,0.0
2227.0,0.0
2601.0,0.0
2928.0,0.0
2682.0,857.0
1451.0,2433.0
0.0,2383.0
0.0,1371.0
259.0,0.0
661.0,0.0
1075.0,0.0
1312.0,0.0
1978.0,220.0
2193.0,2307.0
2762.0,5324.0
2626.0,6910.0
1612.0,6938.0
0.0,2071.0
0.0,0.0
223.0,0.0
622.0,0.0
1027.0,0.0
1447.0,0.0
2238.0,0.0
2618.0,0.0
2958.0,0.0
2717.0,93.0
1531.0,1568.0
0.0,1518.0
0.0,1330.0
349.0,56.0
775.0,0.0
1201.0,0.0
1633.0,336.0
2266.0,2572.0
2467.0,5164.0
2942.0,6795.0
2565.0,7045.0
1233.0,4457.0
498.0,0.0
0.0,0.0
262.0,0.0
667.0,0.0
1090.0,0.0
1252.0,0.0
1719.0,0.0
2022.0,0.0
2679.0,0.0
2940.0,0.0
2227.0,1646.0
569.0,2200.0
0.0,2105.0
358.0,712.0
817.0,0.0
1258.0,0.0
1448.0,0.0
2005.0,758.0
2221.0,3049.0
3001.0,6027.0
3002.0,7245.0
1947.0,6929.0
263.0,2418.0
0.0,0.0
310.0,0.0
751.0,0.0
1174.0,0.0
1287.0,0.0
1697.0,0.0
1937.0,0.0
2716.0,0.0
2984.0,0.0
2248.0,770.0
564.0,1324.0
0.0,1229.0
373.0,727.0
817.0,228.0
1261.0,242.0
1391.0,511.0
2039.0,2242.0
2332.0,4417.0
3181.0,7094.0
3187.0,7500.0
2121.0,6506.0
319.0,30.0
6.0,0.0
424.0,0.0
874.0,0.0
1315.0,0.0
1335.0,0.0
1604.0,0.0
1786.0,0.0
2744.0,0.0
3092.0,0.0
2392.0,1277.0
681.0,1958.0
0.0,1858.0
374.0,865.0
818.0,52.0
1262.0,0.0
1341.0,0.0
1782.0,935.0
2056.0,2986.0
2957.0,6168.0
3270.0,7610.0
2512.0,7815.0
678.0,3054.0
41.0,0.0
521.0,0.0
995.0,0.0
1443.0,0.0
1393.0,0.0
1773.0,0.0
1996.0,0.0
3097.0,0.0
3264.0,0.0
2361.0,1579.0
332.0,1886.0
0.0,1766.0
398.0,495.0
872.0,3.0
1325.0,0.0
1386.0,0.0
1741.0,1294.0
1954.0,3218.0
2940.0,6393.0
3249.0,7830.0
2527.0,8017.0
691.0,2455.0
20.0,0.0
503.0,0.0
989.0,0.0
1464.0,0.0
1491.0,0.0
2053.0,0.0
2259.0,0.0
3345.0,0.0
3400.0,26.0
2268.0,2085.0
191.0,2206.0
15.0,2075.0
472.0,377.0
943.0,0.0
1402.0,0.0
1413.0,0.0
1809.0,941.0
2002.0,2903.0
3049.0,6182.0
3291.0,8050.0
2438.0,8250.0
520.0,2895.0
11.0,0.0
467.0,0.0
956.0,0.0
1452.0,0.0
1532.0,0.0
2169.0,0.0
2401.0,0.0
3454.0,0.0
3507.0,0.0
2362.0,2191.0
176.0,2287.0
36.0,2193.0
534.0,451.0
1035.0,0.0
1509.0,0.0
1485.0,0.0
1984.0,1138.0
2218.0,3336.0
3341.0,6972.0
3425.0,8320.0
2336.0,8464.0
198.0,1930.0
5.0,0.0
432.0,0.0
939.0,0.0
1426.0,0.0
1498.0,0.0
2115.0,0.0
2375.0,0.0
3420.0,0.0
3556.0,0.0
2506.0,1668.0
304.0,1917.0
50.0,1832.0
596.0,665.0
1115.0,141.0
1590.0,0.0
1634.0,280.0
2233.0,2257.0
2510.0,4792.0
3607.0,7969.0
3479.0,8580.0
2172.0,7399.0
217.0,630.0
18.0,0.0
482.0,0.0
977.0,0.0
1460.0,0.0
1482.0,0.0
1953.0,0.0
2202.0,0.0
3316.0,0.0
3548.0,0.0
2646.0,1354.0
530.0,1849.0
42.0,1756.0
567.0,874.0
1098.0,204.0
1587.0,219.0
1585.0,341.0
2275.0,2251.0
2559.0,4621.0
3777.0,8103.0
3767.0,8820.0
2498.0,8340.0
286.0,478.0
50.0,0.0
559.0,0.0
1084.0,0.0
1571.0,0.0
1528.0,0.0
1754.0,0.0
2032.0,0.0
3210.0,0.0
3640.0,46.0
2837.0,1200.0
851.0,2046.0
35.0,1905.0
526.0,1141.0
1069.0,506.0
1565.0,522.0
1584.0,502.0
2008.0,1264.0
2337.0,3054.0
3525.0,6387.0
3866.0,8735.0
2911.0,8867.0
697.0,3711.0
97.0,0.0
661.0,0.0
1213.0,0.0
1662.0,0.0
1556.0,0.0
1799.0,0.0
2194.0,0.0
3445.0,0.0
3789.0,0.0
2834.0,1773.0
664.0,2402.0
51.0,2318.0
562.0,1022.0
1096.0,0.0
1582.0,0.0
1557.0,108.0
1954.0,1004.0
2278.0,3242.0
3503.0,6922.0
3858.0,9190.0
2969.0,9156.0
777.0,3938.0
132.0,0.0
699.0,0.0
1269.0,0.0
1713.0,0.0
1649.0,0.0
2043.0,0.0
2499.0,0.0
3751.0,0.0
3921.0,261.0
2723.0,2188.0
412.0,2530.0
78.0,2202.0
630.0,590.0
1188.0,0.0
1662.0,0.0
1569.0,0.0
1869.0,1110.0
2235.0,3285.0
3517.0,7057.0
3883.0,9385.0
2941.0,9620.0
747.0,3746.0
111.0,0.0
690.0,0.0
1257.0,0.0
1722.0,0.0
1668.0,0.0
2165.0,0.0
2594.0,0.0
3905.0,0.0
4056.0,0.0
2816.0,2149.0
384.0,2448.0
162.0,2470.0
753.0,999.0
1326.0,12.0
1731.0,0.0
1567.0,0.0
1863.0,1102.0
2403.0,3460.0
3695.0,7440.0
3929.0,9615.0
2850.0,9845.0
514.0,3286.0
123.0,0.0
690.0,0.0
1263.0,0.0
1719.0,0.0
1665.0,0.0
2213.0,0.0
2644.0,0.0
3980.0,0.0
4109.0,0.0
2864.0,1995.0
386.0,2291.0
264.0,2415.0
861.0,1216.0
1458.0,313.0
1788.0,0.0
1634.0,80.0
2010.0,1351.0
2725.0,4081.0
3998.0,8344.0
4046.0,9885.0
2683.0,9802.0
258.0,2040.0
192.0,0.0
765.0,0.0
1338.0,0.0
1728.0,0.0
1591.0,0.0
1970.0,0.0
2552.0,0.0
3902.0,0.0
4128.0,0.0
2983.0,1652.0
538.0,2115.0
318.0,2303.0
927.0,1498.0
1554.0,882.0
1854.0,610.0
1674.0,464.0
2052.0,1309.0
2887.0,3581.0
4189.0,7676.0
4175.0,10130.0
2704.0,10195.0
216.0,2665.0
267.0,0.0
882.0,0.0
1473.0,0.0
1803.0,0.0
1582.0,0.0
1872.0,0.0
2616.0,0.0
3934.0,0.0
4115.0,0.0
2899.0,1313.0
514.0,1762.0
312.0,1934.0
927.0,1483.0
1545.0,1201.0
1854.0,1046.0
1700.0,1038.0
2178.0,1830.0
3015.0,3809.0
4326.0,7477.0
4258.0,9987.0
2725.0,9386.0
180.0,2188.0
384.0,0.0
1008.0,0.0
1635.0,0.0
1872.0,0.0
1617.0,0.0
1935.0,0.0
2895.0,0.0
4206.0,0.0
4170.0,410.0
2709.0,3069.0
214.0,3173.0
324.0,2957.0
939.0,767.0
1557.0,0.0
1869.0,0.0
1708.0,0.0
2181.0,670.0
3054.0,3729.0
4380.0,8479.0
4339.0,10590.0
2782.0,10497.0
194.0,3380.0
435.0,0.0
1077.0,0.0
1734.0,0.0
1947.0,0.0
1712.0,0.0
2095.0,0.0
3160.0,0.0
4441.0,0.0
4265.0,434.0
2580.0,2580.0
28.0,2468.0
360.0,2249.0
987.0,606.0
1608.0,114.0
1869.0,0.0
1646.0,86.0
2038.0,1810.0
2997.0,4817.0
4344.0,9440.0
4333.0,10805.0
2844.0,10518.0
278.0,1568.0
513.0,0.0
1170.0,0.0
1830.0,0.0
1977.0,0.0
1805.0,0.0
2192.0,0.0
3409.0,0.0
4656.0,0.0
4348.0,574.0
2472.0,3029.0
1.0,2870.0
495.0,2651.0
1146.0,760.0
1808.0,86.0
1958.0,0.0
1626.0,47.0
1872.0,1055.0
3085.0,4170.0
4398.0,8926.0
4322.0,11045.0
2759.0,10522.0
214.0,3006.0
473.0,0.0
1127.0,0.0
1799.0,0.0
1989.0,0.0
1829.0,0.0
2256.0,0.0
3460.0,0.0
4731.0,0.0
4456.0,526.0
2588.0,2890.0
7.0,2742.0
560.0,2631.0
1250.0,956.0
1921.0,418.0
2030.0,0.0
1751.0,180.0
2077.0,1393.0
3404.0,4877.0
4643.0,9678.0
4331.0,11315.0
2460.0,10167.0
0.0,2236.0
465.0,0.0
1128.0,0.0
1791.0,0.0
1992.0,0.0
1899.0,0.0
2350.0,0.0
3502.0,0.0
4754.0,0.0
4426.0,300.0
2539.0,2391.0
0.0,2216.0
573.0,2359.0
1269.0,1192.0
1965.0,911.0
2100.0,527.0
2085.0,1170.0
2428.0,2512.0
3766.0,5876.0
4819.0,9978.0
4236.0,11474.0
2076.0,8349.0
0.0,620.0
471.0,0.0
1137.0,0.0
1824.0,0.0
2025.0,0.0
1942.0,0.0
2375.0,0.0
3533.0,0.0
4750.0,0.0
4374.0,359.0
2445.0,2929.0
0.0,2754.0
534.0,2789.0
1233.0,1033.0
1950.0,225.0
2124.0,288.0
2318.0,901.0
2749.0,2823.0
4053.0,6733.0
4991.0,11258.0
4260.0,11457.0
1858.0,8270.0
0.0,0.0
525.0,0.0
1233.0,0.0
1932.0,0.0
2103.0,0.0
2109.0,0.0
2480.0,0.0
3772.0,0.0
4832.0,0.0
4272.0,688.0
2109.0,2767.0
0.0,2597.0
495.0,2259.0
1197.0,802.0
1893.0,352.0
2106.0,0.0
2339.0,889.0
2849.0,3231.0
4080.0,7461.0
5059.0,11548.0
4341.0,12050.0
1974.0,8174.0
10.0,0.0
639.0,0.0
1365.0,0.0
2075.0,0.0
2153.0,0.0
2212.0,0.0
2570.0,0.0
4057.0,0.0
5007.0,0.0
4262.0,792.0
1865.0,2732.0
0.0,2547.0
565.0,2185.0
1270.0,660.0
1978.0,96.0
2139.0,252.0
2242.0,1200.0
2634.0,3573.0
4016.0,7492.0
5031.0,11651.0
4423.0,11686.0
2114.0,7735.0
9.0,0.0
661.0,0.0
1405.0,0.0
2152.0,0.0
2229.0,0.0
2504.0,0.0
2839.0,0.0
4398.0,0.0
5180.0,116.0
4220.0,2335.0
1528.0,3893.0
0.0,3592.0
582.0,1694.0
1323.0,34.0
2040.0,0.0
2181.0,0.0
2309.0,58.0
2687.0,2346.0
4118.0,6659.0
5079.0,11995.0
4333.0,12515.0
1916.0,9854.0
0.0,0.0
636.0,0.0
1377.0,0.0
2121.0,0.0
2235.0,0.0
2630.0,0.0
3050.0,0.0
4553.0,0.0
5316.0,0.0
4285.0,1788.0
1512.0,3310.0
15.0,3125.0
693.0,1890.0
1443.0,154.0
2169.0,0.0
2217.0,0.0
2384.0,1084.0
2717.0,3656.0
4295.0,8181.0
5172.0,12285.0
4306.0,12614.0
1748.0,7386.0
0.0,0.0
639.0,0.0
1377.0,0.0
2121.0,0.0
2223.0,0.0
2534.0,0.0
2945.0,0.0
4475.0,0.0
5365.0,0.0
4466.0,1336.0
1791.0,3162.0
38.0,2990.0
792.0,2316.0
1563.0,722.0
2299.0,242.0
2293.0,0.0
2510.0,1186.0
2832.0,3646.0
4561.0,8502.0
5320.0,12513.0
4280.0,13010.0
1495.0,7143.0
4.0,0.0
666.0,0.0
1416.0,0.0
2171.0,0.0
2261.0,0.0
2535.0,0.0
2889.0,0.0
4461.0,0.0
5318.0,0.0
4410.0,683.0
1780.0,2508.0
31.0,2329.0
766.0,2277.0
1564.0,1238.0
2316.0,1145.0
2343.0,1001.0
2811.0,2339.0
3200.0,4294.0
4936.0,8549.0
5520.0,12265.0
4241.0,12136.0
1152.0,5596.0
22.0,0.0
740.0,0.0
1505.0,0.0
2251.0,0.0
2279.0,0.0
2535.0,0.0
2897.0,0.0
4587.0,0.0
5378.0,0.0
4407.0,1814.0
1630.0,3469.0
29.0,3293.0
782.0,2126.0
1562.0,620.0
2325.0,144.0
2335.0,0.0
2839.0,1089.0
3208.0,4018.0
4995.0,9318.0
5605.0,13130.0
4365.0,13485.0
1252.0,6975.0
63.0,0.0
865.0,0.0
1660.0,0.0
2389.0,0.0
2313.0,0.0
2667.0,0.0
3043.0,0.0
4885.0,0.0
5497.0,0.0
4271.0,1178.0
1214.0,2362.0
40.0,2192.0
773.0,1657.0
1562.0,767.0
2305.0,810.0
2336.0,1294.0
2824.0,3106.0
3236.0,5417.0
4996.0,9429.0
5630.0,12325.0
4407.0,11833.0
1326.0,4402.0
107.0,0.0
926.0,0.0
1745.0,0.0
2475.0,0.0
2405.0,0.0
2908.0,0.0
3376.0,0.0
5245.0,0.0
5678.0,198.0
4186.0,4376.0
906.0,5207.0
55.0,4859.0
821.0,1159.0
1619.0,0.0
2359.0,0.0
2330.0,0.0
2752.0,269.0
3201.0,1477.0
4991.0,6786.0
5639.0,12019.0
4399.0,13930.0
1335.0,10497.0
107.0,1176.0
929.0,0.0
1760.0,0.0
2481.0,0.0
2441.0,0.0
3060.0,0.0
3539.0,0.0
5436.0,0.0
5805.0,0.0
4215.0,2838.0
842.0,3595.0
140.0,3515.0
