agg_orders_level_0,agg_orders_level_1
3984.0,15936.0
4116.0,16200.0
4200.0,12768.0
4284.0,1032.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
656.0,0.0
1784.0,0.0
2173.0,0.0
1376.0,0.0
132.0,0.0
0.0,0.0
349.0,0.0
1183.0,0.0
1620.0,0.0
1253.0,0.0
438.0,0.0
10.0,0.0
447.0,0.0
1313.0,0.0
1814.0,0.0
1509.0,0.0
733.0,0.0
322.0,0.0
742.0,0.0
1639.0,0.0
2117.0,0.0
1750.0,0.0
920.0,0.0
454.0,246.0
812.0,1006.0
1597.0,2405.0
2021.0,3512.0
1606.0,2753.0
695.0,0.0
172.0,0.0
503.0,0.0
1318.0,0.0
1757.0,753.0
1348.0,2125.0
470.0,1770.0
3.0,0.0
407.0,0.0
1292.0,0.0
1791.0,1272.0
1450.0,2734.0
676.0,2102.0
276.0,0.0
710.0,0.0
1586.0,0.0
2109.0,1275.0
1774.0,2845.0
938.0,2592.0
474.0,257.0
856.0,0.0
1735.0,191.0
2199.0,2558.0
1766.0,4277.0
821.0,2552.0
288.0,0.0
658.0,0.0
1510.0,0.0
1953.0,48.0
1487.0,1655.0
537.0,2156.0
46.0,463.0
452.0,0.0
1327.0,0.0
1817.0,1464.0
1441.0,3001.0
647.0,2208.0
220.0,0.0
638.0,0.0
1531.0,0.0
2066.0,1382.0
1753.0,3251.0
941.0,2818.0
461.0,0.0
862.0,0.0
1733.0,0.0
2261.0,1978.0
1925.0,4023.0
1028.0,3085.0
429.0,0.0
718.0,0.0
1582.0,0.0
2082.0,704.0
1709.0,2533.0
758.0,2599.0
144.0,126.0
458.0,0.0
1335.0,0.0
1884.0,1090.0
1537.0,2747.0
654.0,2327.0
110.0,0.0
539.0,0.0
1500.0,0.0
2080.0,1398.0
1723.0,3237.0
876.0,2727.0
395.0,0.0
851.0,0.0
1827.0,0.0
2380.0,2144.0
1954.0,4206.0
988.0,3062.0
446.0,0.0
877.0,0.0
1826.0,0.0
2329.0,1188.0
1838.0,3158.0
778.0,2760.0
162.0,0.0
565.0,0.0
1546.0,0.0
2136.0,1167.0
1670.0,2957.0
596.0,2398.0
0.0,0.0
424.0,0.0
1504.0,0.0
2181.0,1068.0
1799.0,2987.0
791.0,2722.0
219.0,0.0
721.0,0.0
1819.0,0.0
2460.0,2148.0
2039.0,4307.0
1034.0,3205.0
453.0,0.0
910.0,0.0
1948.0,0.0
2520.0,1436.0
2021.0,3581.0
936.0,3105.0
283.0,0.0
697.0,0.0
1713.0,0.0
2268.0,1292.0
1767.0,3183.0
690.0,2593.0
63.0,0.0
510.0,0.0
1537.0,0.0
2131.0,970.0
1716.0,2810.0
734.0,2586.0
209.0,0.0
696.0,0.0
1756.0,0.0
2392.0,2155.0
2007.0,4286.0
1020.0,3167.0
479.0,0.0
923.0,0.0
1966.0,0.0
2570.0,1552.0
2140.0,3836.0
1100.0,3396.0
460.0,0.0
830.0,0.0
1801.0,0.0
2351.0,1498.0
1880.0,3510.0
825.0,2853.0
191.0,0.0
565.0,0.0
1565.0,0.0
2173.0,872.0
1748.0,2764.0
736.0,2644.0
158.0,16.0
647.0,0.0
1710.0,0.0
2339.0,1974.0
1948.0,4054.0
986.0,3090.0
482.0,0.0
963.0,0.0
1993.0,0.0
2584.0,1860.0
2151.0,4143.0
1148.0,3455.0
590.0,0.0
1011.0,0.0
1973.0,0.0
2497.0,1820.0
2028.0,3972.0
988.0,3172.0
362.0,0.0
723.0,0.0
1660.0,0.0
2212.0,865.0
1806.0,2803.0
806.0,2768.0
197.0,66.0
609.0,0.0
1615.0,0.0
2260.0,1704.0
1926.0,3762.0
995.0,3077.0
452.0,0.0
868.0,0.0
1913.0,0.0
2557.0,1916.0
2210.0,4262.0
1244.0,3614.0
637.0,0.0
1016.0,0.0
2029.0,0.0
2645.0,1965.0
2213.0,4302.0
1157.0,3530.0
487.0,0.0
820.0,0.0
1794.0,0.0
2366.0,1053.0
1914.0,3091.0
861.0,2927.0
216.0,0.0
609.0,0.0
1662.0,0.0
2316.0,1608.0
1938.0,3670.0
915.0,3005.0
315.0,0.0
775.0,0.0
1887.0,0.0
2588.0,1783.0
2234.0,4161.0
1194.0,3584.0
589.0,0.0
1036.0,0.0
2140.0,0.0
2796.0,2292.0
2348.0,4784.0
1232.0,3736.0
559.0,0.0
977.0,0.0
2023.0,0.0
2585.0,1264.0
2067.0,3463.0
933.0,3136.0
318.0,0.0
762.0,0.0
1786.0,0.0
2340.0,1655.0
1869.0,3644.0
857.0,2874.0
306.0,0.0
816.0,0.0
1895.0,0.0
2497.0,1770.0
2087.0,3977.0
1123.0,3354.0
614.0,0.0
1132.0,0.0
2162.0,0.0
2732.0,2563.0
2289.0,4988.0
1291.0,3728.0
742.0,0.0
1194.0,0.0
2175.0,0.0
2656.0,1683.0
2121.0,3936.0
1052.0,3309.0
482.0,0.0
942.0,0.0
1945.0,0.0
2429.0,1782.0
1896.0,3802.0
883.0,2931.0
349.0,0.0
831.0,0.0
1841.0,0.0
2450.0,1557.0
2050.0,3739.0
1092.0,3302.0
563.0,30.0
1044.0,0.0
2133.0,0.0
2749.0,2608.0
2347.0,5099.0
1333.0,3840.0
777.0,0.0
1235.0,0.0
2261.0,0.0
2814.0,1888.0
2344.0,4364.0
1259.0,3759.0
643.0,0.0
1034.0,0.0
2005.0,0.0
2525.0,1735.0
2021.0,3880.0
972.0,3141.0
397.0,0.0
