agg_orders_level_0,agg_orders_level_1
4080.0,16320.0
3636.0,15432.0
3708.0,10332.0
3732.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
838.0,0.0
1834.0,0.0
1986.0,0.0
971.0,0.0
0.0,0.0
96.0,0.0
1281.0,0.0
2313.0,0.0
1917.0,0.0
405.0,0.0
0.0,0.0
18.0,0.0
993.0,0.0
2139.0,0.0
2194.0,0.0
1005.0,0.0
0.0,0.0
0.0,0.0
1079.0,0.0
2129.0,0.0
2226.0,1464.0
1096.0,2548.0
0.0,940.0
0.0,0.0
546.0,0.0
1818.0,0.0
2319.0,2123.0
1581.0,3740.0
453.0,1998.0
96.0,0.0
732.0,0.0
1504.0,0.0
1689.0,201.0
1334.0,1555.0
977.0,2307.0
897.0,1625.0
898.0,204.0
1051.0,0.0
1317.0,743.0
1304.0,2059.0
1145.0,2457.0
930.0,1308.0
904.0,0.0
1036.0,0.0
1146.0,11.0
1337.0,1138.0
1193.0,2428.0
1071.0,2433.0
1129.0,1218.0
1232.0,113.0
1271.0,274.0
1188.0,1433.0
1027.0,2198.0
898.0,1603.0
1029.0,350.0
1385.0,156.0
1415.0,1341.0
1170.0,2427.0
646.0,1696.0
553.0,0.0
1059.0,0.0
1784.0,873.0
1868.0,2885.0
1158.0,3254.0
598.0,943.0
547.0,0.0
1000.0,0.0
1755.0,0.0
1850.0,1874.0
1283.0,3265.0
582.0,1925.0
487.0,0.0
1033.0,0.0
1719.0,0.0
2088.0,2050.0
1503.0,3673.0
579.0,2214.0
177.0,0.0
861.0,0.0
1791.0,0.0
2040.0,1088.0
1515.0,2711.0
694.0,2317.0
253.0,0.0
833.0,0.0
1617.0,0.0
1771.0,1679.0
1328.0,3035.0
957.0,2333.0
1013.0,299.0
1342.0,0.0
1640.0,673.0
1511.0,2220.0
1016.0,2563.0
759.0,1090.0
994.0,0.0
1508.0,0.0
1648.0,1639.0
1409.0,3060.0
1090.0,2511.0
941.0,388.0
1021.0,0.0
1215.0,0.0
1555.0,1280.0
1549.0,2869.0
1170.0,2791.0
707.0,593.0
758.0,0.0
1191.0,0.0
1598.0,720.0
1468.0,2260.0
1151.0,2739.0
835.0,1298.0
963.0,0.0
1370.0,0.0
1730.0,1260.0
1470.0,2802.0
1090.0,2676.0
949.0,811.0
1071.0,0.0
1368.0,0.0
1656.0,1359.0
1560.0,2995.0
1398.0,3114.0
1194.0,1313.0
1164.0,0.0
1431.0,0.0
1438.0,827.0
1306.0,2189.0
966.0,2388.0
642.0,829.0
1203.0,0.0
1858.0,605.0
1912.0,2553.0
1401.0,3405.0
959.0,1859.0
869.0,0.0
1414.0,0.0
1935.0,817.0
1722.0,2563.0
1229.0,2999.0
647.0,1055.0
561.0,0.0
1220.0,0.0
2129.0,863.0
2260.0,3223.0
1625.0,4057.0
819.0,1625.0
667.0,0.0
868.0,0.0
1266.0,0.0
1646.0,298.0
1694.0,2052.0
1583.0,3393.0
1349.0,2690.0
1362.0,647.0
1423.0,0.0
1327.0,152.0
1333.0,1445.0
1440.0,2781.0
1453.0,2817.0
1457.0,1481.0
1590.0,258.0
1654.0,471.0
1403.0,1652.0
1077.0,2278.0
1177.0,1791.0
1498.0,983.0
1729.0,949.0
1487.0,1469.0
1087.0,1619.0
851.0,997.0
1028.0,604.0
1518.0,891.0
1816.0,2115.0
1666.0,2906.0
1232.0,2035.0
864.0,26.0
926.0,0.0
1591.0,540.0
1943.0,2400.0
1811.0,3723.0
1412.0,2795.0
951.0,225.0
912.0,0.0
1452.0,0.0
1931.0,1210.0
1892.0,3178.0
1596.0,3612.0
1090.0,1508.0
946.0,0.0
1146.0,0.0
1481.0,0.0
1781.0,1722.0
1734.0,3552.0
1291.0,3129.0
1036.0,525.0
1287.0,0.0
1643.0,0.0
1625.0,1410.0
1470.0,2952.0
1210.0,2776.0
1223.0,1039.0
1669.0,36.0
1763.0,668.0
1393.0,2009.0
1097.0,2418.0
1156.0,1557.0
1655.0,802.0
1955.0,1248.0
1805.0,2287.0
1393.0,2428.0
988.0,1093.0
1035.0,0.0
1406.0,192.0
1605.0,1562.0
1648.0,3034.0
1306.0,2806.0
1089.0,849.0
1232.0,0.0
1550.0,112.0
1659.0,1615.0
1627.0,3170.0
1546.0,3153.0
1470.0,1493.0
1355.0,0.0
1296.0,0.0
1370.0,796.0
1313.0,2113.0
1272.0,2617.0
1562.0,2114.0
1584.0,1089.0
1543.0,478.0
1471.0,836.0
1525.0,1887.0
1752.0,2879.0
1790.0,2842.0
1628.0,1611.0
1398.0,248.0
1252.0,0.0
1432.0,876.0
1719.0,2647.0
1790.0,3629.0
1731.0,2757.0
1347.0,459.0
1017.0,0.0
1140.0,0.0
1668.0,1004.0
2166.0,3254.0
1923.0,4229.0
1356.0,2303.0
852.0,0.0
810.0,0.0
1731.0,0.0
2610.0,1818.0
2295.0,4145.0
1077.0,3352.0
522.0,0.0
1069.0,0.0
2031.0,0.0
2573.0,2118.0
2001.0,4139.0
956.0,2901.0
473.0,0.0
1219.0,0.0
2459.0,122.0
3064.0,3256.0
2210.0,5396.0
676.0,2740.0
0.0,0.0
1012.0,0.0
2635.0,0.0
3294.0,1685.0
2229.0,3950.0
264.0,2425.0
0.0,0.0
682.0,0.0
2203.0,0.0
3229.0,2200.0
2445.0,4733.0
903.0,3396.0
183.0,0.0
909.0,0.0
2076.0,0.0
2646.0,1069.0
2022.0,3143.0
955.0,2977.0
607.0,357.0
1194.0,0.0
1875.0,148.0
2366.0,2506.0
2177.0,4603.0
1575.0,3688.0
1030.0,198.0
1160.0,0.0
1489.0,0.0
1967.0,761.0
1867.0,2696.0
1256.0,3207.0
1079.0,1542.0
1464.0,0.0
2227.0,460.0
2248.0,2768.0
1584.0,3956.0
998.0,2206.0
1167.0,0.0
1782.0,0.0
2208.0,1077.0
2158.0,3319.0
1697.0,4035.0
1071.0,1779.0
1027.0,0.0
1675.0,0.0
2283.0,826.0
2360.0,3298.0
1898.0,4482.0
1332.0,2524.0
883.0,0.0
1030.0,0.0
1716.0,0.0
2594.0,1573.0
2756.0,4537.0
1965.0,4997.0
971.0,1311.0
512.0,0.0
1317.0,0.0
2537.0,0.0
2918.0,2403.0
2145.0,4660.0
893.0,3050.0
281.0,0.0
982.0,0.0
2548.0,0.0
3145.0,2308.0
2140.0,4540.0
798.0,2930.0
208.0,0.0
1283.0,0.0
2689.0,0.0
3014.0,2734.0
2032.0,4830.0
761.0,2761.0
460.0,0.0
1196.0,0.0
2467.0,0.0
3083.0,2396.0
2143.0,4603.0
519.0,2650.0
59.0,0.0
1349.0,0.0
3075.0,60.0
3496.0,3520.0
2087.0,5599.0
127.0,2038.0
0.0,0.0
1282.0,0.0
3124.0,0.0
3502.0,2465.0
1904.0,4373.0
18.0,1766.0
0.0,0.0
1551.0,0.0
3474.0,648.0
3713.0,4565.0
1846.0,5783.0
0.0,1046.0
0.0,0.0
1570.0,0.0
3265.0,0.0
3579.0,2771.0
2147.0,5010.0
224.0,2343.0
0.0,0.0
1021.0,0.0
2701.0,0.0
3575.0,2207.0
2644.0,5027.0
919.0,3699.0
36.0,0.0
957.0,0.0
2487.0,0.0
3253.0,1570.0
2573.0,4323.0
1314.0,4095.0
481.0,89.0
938.0,0.0
2385.0,0.0
3203.0,2467.0
2511.0,5158.0
808.0,3459.0
292.0,0.0
1377.0,0.0
2762.0,0.0
3249.0,2458.0
2364.0,4966.0
849.0,3337.0
234.0,0.0
1183.0,0.0
2854.0,0.0
3496.0,2773.0
2304.0,5241.0
809.0,3237.0
263.0,0.0
1261.0,0.0
3000.0,0.0
3599.0,2842.0
2321.0,5331.0
606.0,3043.0
0.0,0.0
877.0,0.0
2717.0,0.0
3754.0,1921.0
2808.0,4949.0
721.0,3689.0
0.0,0.0
783.0,0.0
2614.0,0.0
3814.0,2126.0
3120.0,5478.0
1062.0,4374.0
3.0,0.0
786.0,0.0
2541.0,0.0
3543.0,1215.0
2835.0,4270.0
1155.0,4218.0
295.0,67.0
1024.0,0.0
2645.0,0.0
3448.0,2883.0
2753.0,5852.0
1174.0,4159.0
396.0,0.0
1241.0,0.0
2706.0,0.0
3479.0,1822.0
2629.0,4631.0
983.0,3792.0
287.0,0.0
1294.0,0.0
2843.0,0.0
3350.0,3059.0
2475.0,5702.0
964.0,3563.0
260.0,0.0
1174.0,0.0
2648.0,0.0
3517.0,1781.0
2957.0,4946.0
1483.0,4672.0
455.0,5.0
644.0,0.0
2150.0,0.0
3294.0,1364.0
3022.0,4602.0
1859.0,5145.0
632.0,987.0
514.0,0.0
1651.0,0.0
2994.0,0.0
3290.0,3456.0
2211.0,5763.0
1131.0,3318.0
837.0,0.0
1684.0,0.0
2621.0,0.0
2889.0,2328.0
2160.0,4600.0
1058.0,3210.0
864.0,0.0
1736.0,0.0
2761.0,549.0
2844.0,3621.0
2313.0,5497.0
1536.0,3332.0
1002.0,0.0
1507.0,0.0
2551.0,0.0
2923.0,2502.0
2269.0,4871.0
1254.0,3507.0
1096.0,0.0
1868.0,0.0
2680.0,637.0
2937.0,3774.0
2240.0,5465.0
1311.0,2886.0
1090.0,0.0
2008.0,0.0
2877.0,422.0
2895.0,3517.0
1965.0,5112.0
1134.0,2601.0
1075.0,0.0
2086.0,0.0
3036.0,1041.0
3236.0,4505.0
2333.0,5885.0
1020.0,2272.0
646.0,0.0
1534.0,0.0
2845.0,0.0
3534.0,2678.0
2928.0,5790.0
1374.0,4430.0
450.0,0.0
869.0,0.0
2380.0,0.0
3865.0,1674.0
3738.0,5652.0
1986.0,5992.0
240.0,368.0
325.0,0.0
2140.0,0.0
3847.0,310.0
3792.0,4320.0
1853.0,5879.0
219.0,1590.0
411.0,0.0
2158.0,0.0
3627.0,321.0
3771.0,4320.0
2369.0,6420.0
584.0,2516.0
64.0,0.0
1556.0,0.0
3548.0,0.0
3929.0,2781.0
2440.0,5297.0
723.0,3095.0
489.0,0.0
1775.0,0.0
3372.0,271.0
3717.0,4196.0
2314.0,6279.0
730.0,2661.0
555.0,0.0
1972.0,0.0
3682.0,34.0
3814.0,3924.0
2353.0,6275.0
618.0,2793.0
476.0,0.0
1911.0,0.0
3543.0,0.0
3783.0,3642.0
2370.0,6040.0
730.0,2944.0
342.0,0.0
1625.0,0.0
3467.0,0.0
3993.0,3555.0
2837.0,6496.0
1118.0,3919.0
279.0,0.0
1260.0,0.0
3161.0,0.0
3887.0,2119.0
2940.0,5219.0
1477.0,4505.0
463.0,0.0
957.0,0.0
2591.0,0.0
3806.0,2446.0
3282.0,5952.0
1655.0,5125.0
576.0,0.0
1315.0,0.0
2971.0,0.0
3825.0,2655.0
3026.0,5881.0
1338.0,4508.0
559.0,0.0
1543.0,0.0
3132.0,0.0
3572.0,2797.0
2697.0,5710.0
1426.0,4319.0
1105.0,0.0
1852.0,0.0
3120.0,83.0
3614.0,3905.0
2616.0,6610.0
1196.0,3853.0
769.0,0.0
1806.0,0.0
3379.0,0.0
3754.0,3070.0
2523.0,5737.0
1019.0,3610.0
464.0,0.0
1686.0,0.0
3469.0,0.0
4210.0,4044.0
3067.0,7311.0
1140.0,4359.0
333.0,0.0
1290.0,0.0
2958.0,0.0
4150.0,1292.0
3523.0,5059.0
1788.0,5559.0
488.0,760.0
1038.0,0.0
2821.0,0.0
3927.0,2219.0
3146.0,5573.0
1453.0,4835.0
603.0,0.0
1300.0,0.0
2963.0,0.0
3918.0,2999.0
3316.0,6535.0
1565.0,5145.0
523.0,0.0
1257.0,0.0
3077.0,0.0
3873.0,1991.0
3063.0,5250.0
1516.0,4783.0
708.0,117.0
1502.0,0.0
3126.0,0.0
4051.0,3888.0
3206.0,7302.0
1500.0,4910.0
727.0,0.0
1558.0,0.0
