agg_orders_level_0,agg_orders_level_1
4950.0,24750.0
5010.0,24900.0
5045.0,25010.0
5100.0,20475.0
5130.0,820.0
5145.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
322.0,0.0
1360.0,0.0
2431.0,0.0
3195.0,0.0
2924.0,0.0
1587.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
611.0,0.0
1727.0,0.0
2819.0,0.0
3315.0,0.0
2665.0,0.0
917.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
326.0,0.0
1376.0,0.0
2444.0,0.0
3180.0,0.0
2884.0,0.0
1526.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
830.0,0.0
2030.0,0.0
3186.0,0.0
3535.0,0.0
2664.0,0.0
651.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
603.0,0.0
1707.0,0.0
2799.0,0.0
3297.0,0.0
2688.0,0.0
1038.0,897.0
0.0,897.0
0.0,897.0
0.0,0.0
0.0,0.0
0.0,0.0
876.0,0.0
2070.0,447.0
3270.0,3882.0
3598.0,5637.0
2764.0,5902.0
727.0,5967.0
529.0,2259.0
1318.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
284.0,0.0
1471.0,0.0
2666.0,0.0
3539.0,0.0
3212.0,661.0
1698.0,2524.0
0.0,2524.0
0.0,1838.0
0.0,0.0
0.0,0.0
0.0,0.0
267.0,0.0
1509.0,0.0
2718.0,0.0
3684.0,2820.0
3414.0,6207.0
1961.0,6407.0
0.0,5895.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
535.0,0.0
1831.0,0.0
3088.0,0.0
3807.0,0.0
3222.0,0.0
1400.0,1359.0
0.0,1359.0
0.0,1299.0
0.0,0.0
0.0,0.0
0.0,0.0
268.0,0.0
1477.0,0.0
2682.0,1019.0
3651.0,5030.0
3445.0,6442.0
2003.0,6632.0
0.0,4954.0
0.0,0.0
88.0,0.0
0.0,0.0
0.0,0.0
565.0,0.0
1898.0,0.0
3220.0,0.0
3991.0,0.0
3416.0,72.0
1540.0,1604.0
0.0,1604.0
0.0,1532.0
0.0,0.0
0.0,0.0
0.0,0.0
353.0,0.0
1621.0,0.0
2900.0,980.0
3795.0,5051.0
3437.0,6517.0
1788.0,6692.0
5.0,4760.0
0.0,27.0
69.0,0.0
0.0,0.0
0.0,0.0
542.0,0.0
1904.0,0.0
3251.0,0.0
4077.0,0.0
3547.0,348.0
1658.0,1947.0
40.0,1987.0
0.0,1639.0
0.0,30.0
0.0,0.0
0.0,0.0
628.0,0.0
1954.0,0.0
3326.0,1372.0
4029.0,5608.0
3405.0,6782.0
1405.0,6912.0
0.0,3888.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
519.0,0.0
1834.0,0.0
3182.0,0.0
4027.0,0.0
3586.0,0.0
1808.0,1397.0
104.0,1511.0
0.0,1511.0
0.0,104.0
0.0,0.0
0.0,0.0
868.0,0.0
2297.0,0.0
3757.0,3170.0
4300.0,6563.0
3401.0,7057.0
1060.0,7162.0
0.0,3043.0
