agg_orders_level_0,agg_orders_level_1
3600.0,14400.0
3748.0,14696.0
4116.0,12356.0
4008.0,1848.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
660.0,0.0
1578.0,0.0
2082.0,0.0
1521.0,0.0
489.0,0.0
0.0,0.0
561.0,0.0
1587.0,0.0
2199.0,0.0
1725.0,0.0
438.0,0.0
0.0,0.0
363.0,0.0
1434.0,0.0
2211.0,0.0
1668.0,0.0
576.0,0.0
138.0,0.0
876.0,0.0
2076.0,0.0
2320.0,1666.0
1213.0,2879.0
46.0,1115.0
0.0,0.0
833.0,0.0
1841.0,0.0
2106.0,1889.0
1204.0,3093.0
136.0,1232.0
315.0,0.0
1484.0,0.0
2184.0,930.0
2064.0,3074.0
1060.0,3192.0
147.0,181.0
168.0,0.0
951.0,0.0
1882.0,0.0
2044.0,1865.0
1202.0,3071.0
232.0,1362.0
152.0,0.0
1032.0,0.0
1961.0,0.0
2023.0,1317.0
1145.0,2546.0
310.0,1555.0
272.0,0.0
1021.0,0.0
1887.0,894.0
2017.0,3055.0
940.0,3173.0
0.0,70.0
122.0,0.0
1214.0,0.0
2175.0,206.0
2209.0,2547.0
1258.0,3695.0
276.0,1412.0
249.0,0.0
1212.0,0.0
1965.0,0.0
1858.0,1541.0
1199.0,2824.0
366.0,1649.0
139.0,0.0
718.0,0.0
1734.0,0.0
2057.0,1728.0
1541.0,3377.0
931.0,2580.0
569.0,0.0
1039.0,0.0
1718.0,0.0
1807.0,1720.0
1170.0,2986.0
469.0,1703.0
325.0,0.0
1053.0,0.0
1781.0,30.0
1994.0,2163.0
1503.0,3720.0
685.0,2174.0
274.0,0.0
813.0,0.0
1709.0,0.0
2036.0,1072.0
1269.0,2417.0
445.0,1754.0
469.0,0.0
1254.0,0.0
1949.0,1151.0
2045.0,3332.0
1098.0,3351.0
187.0,138.0
439.0,0.0
1506.0,0.0
2333.0,871.0
2249.0,3256.0
1191.0,3648.0
106.0,430.0
0.0,0.0
931.0,0.0
2320.0,0.0
2586.0,2265.0
1508.0,3885.0
278.0,1826.0
42.0,0.0
904.0,0.0
2374.0,0.0
2577.0,2008.0
1628.0,3748.0
449.0,2121.0
43.0,0.0
940.0,0.0
2184.0,0.0
2477.0,1924.0
1496.0,3520.0
414.0,1990.0
52.0,0.0
1030.0,0.0
2392.0,0.0
2960.0,2922.0
