id,inv,demand,forecast,received_shipment,order,Order_Supplier_0,Order_Supplier_1,Order_Supplier_2,Forecast_Retailer_0,Forecast_Retailer_1,Forecast_Retailer_2,Demand_Retailer_0,Demand_Retailer_1,Demand_Retailer_2,Inv_Product_0,Inv_Product_1,Inv_Product_2,Order_Product_0,Order_Product_1,Order_Product_2,Forecast_Product_0,Forecast_Product_1,Forecast_Product_2
0.0,0.0,786.0,786.0,0.0,3144.0,1048.0,1048.0,1048.0,262.0,262.0,262.0,262.0,262.0,262.0,0.0,0.0,0.0,1048.0,1048.0,1048.0,262.0,262.0,262.0
0.0,0.0,651.0,720.0,0.0,2880.0,960.0,960.0,960.0,240.0,240.0,240.0,217.0,217.0,217.0,0.0,0.0,0.0,960.0,960.0,960.0,240.0,240.0,240.0
0.0,0.0,762.0,732.0,0.0,2928.0,976.0,976.0,976.0,244.0,244.0,244.0,254.0,254.0,254.0,0.0,0.0,0.0,976.0,976.0,976.0,244.0,244.0,244.0
0.0,0.0,804.0,750.0,0.0,3000.0,1000.0,1000.0,1000.0,250.0,250.0,250.0,268.0,268.0,268.0,0.0,0.0,0.0,1000.0,1000.0,1000.0,250.0,250.0,250.0
0.0,0.0,711.0,744.0,8952.0,0.0,0.0,0.0,0.0,248.0,248.0,248.0,237.0,237.0,237.0,0.0,0.0,0.0,0.0,0.0,0.0,248.0,248.0,248.0
0.0,5238.0,786.0,750.0,3000.0,0.0,0.0,0.0,0.0,250.0,250.0,250.0,262.0,262.0,262.0,1746.0,1746.0,1746.0,0.0,0.0,0.0,250.0,250.0,250.0
0.0,7452.0,639.0,735.0,0.0,0.0,0.0,0.0,0.0,245.0,245.0,245.0,213.0,213.0,213.0,2484.0,2484.0,2484.0,0.0,0.0,0.0,245.0,245.0,245.0
0.0,6813.0,738.0,735.0,0.0,0.0,0.0,0.0,0.0,245.0,245.0,245.0,246.0,246.0,246.0,2271.0,2271.0,2271.0,0.0,0.0,0.0,245.0,245.0,245.0
0.0,6075.0,768.0,738.0,0.0,0.0,0.0,0.0,0.0,246.0,246.0,246.0,256.0,256.0,256.0,2025.0,2025.0,2025.0,0.0,0.0,0.0,246.0,246.0,246.0
0.0,5307.0,570.0,720.0,0.0,0.0,0.0,0.0,0.0,240.0,240.0,240.0,190.0,190.0,190.0,1769.0,1769.0,1769.0,0.0,0.0,0.0,240.0,240.0,240.0
0.0,4737.0,615.0,711.0,0.0,0.0,0.0,0.0,0.0,237.0,237.0,237.0,205.0,205.0,205.0,1579.0,1579.0,1579.0,0.0,0.0,0.0,237.0,237.0,237.0
0.0,4122.0,735.0,714.0,0.0,0.0,0.0,0.0,0.0,238.0,238.0,238.0,245.0,245.0,245.0,1374.0,1374.0,1374.0,0.0,0.0,0.0,238.0,238.0,238.0
0.0,3387.0,723.0,714.0,0.0,192.0,64.0,64.0,64.0,238.0,238.0,238.0,241.0,241.0,241.0,1129.0,1129.0,1129.0,64.0,64.0,64.0,238.0,238.0,238.0
0.0,2664.0,747.0,717.0,0.0,951.0,317.0,317.0,317.0,239.0,239.0,239.0,249.0,249.0,249.0,888.0,888.0,888.0,317.0,317.0,317.0,239.0,239.0,239.0
0.0,1917.0,708.0,717.0,192.0,1467.0,489.0,489.0,489.0,239.0,239.0,239.0,236.0,236.0,236.0,639.0,639.0,639.0,489.0,489.0,489.0,239.0,239.0,239.0
0.0,1401.0,909.0,729.0,951.0,1473.0,491.0,491.0,491.0,243.0,243.0,243.0,303.0,303.0,303.0,467.0,467.0,467.0,491.0,491.0,491.0,243.0,243.0,243.0
0.0,1443.0,777.0,732.0,1467.0,795.0,265.0,265.0,265.0,244.0,244.0,244.0,259.0,259.0,259.0,481.0,481.0,481.0,265.0,265.0,265.0,244.0,244.0,244.0
0.0,2133.0,777.0,735.0,1473.0,111.0,37.0,37.0,37.0,245.0,245.0,245.0,259.0,259.0,259.0,711.0,711.0,711.0,37.0,37.0,37.0,245.0,245.0,245.0
0.0,2829.0,855.0,741.0,795.0,195.0,65.0,65.0,65.0,247.0,247.0,247.0,285.0,285.0,285.0,943.0,943.0,943.0,65.0,65.0,65.0,247.0,247.0,247.0
0.0,2769.0,711.0,738.0,111.0,783.0,261.0,261.0,261.0,246.0,246.0,246.0,237.0,237.0,237.0,923.0,923.0,923.0,261.0,261.0,261.0,246.0,246.0,246.0
0.0,2169.0,723.0,738.0,195.0,1311.0,437.0,437.0,437.0,246.0,246.0,246.0,241.0,241.0,241.0,723.0,723.0,723.0,437.0,437.0,437.0,246.0,246.0,246.0
0.0,1641.0,726.0,738.0,783.0,1254.0,418.0,418.0,418.0,246.0,246.0,246.0,242.0,242.0,242.0,547.0,547.0,547.0,418.0,418.0,418.0,246.0,246.0,246.0
0.0,1698.0,657.0,735.0,1311.0,588.0,196.0,196.0,196.0,245.0,245.0,245.0,219.0,219.0,219.0,566.0,566.0,566.0,196.0,196.0,196.0,245.0,245.0,245.0
0.0,2352.0,756.0,735.0,1254.0,90.0,30.0,30.0,30.0,245.0,245.0,245.0,252.0,252.0,252.0,784.0,784.0,784.0,30.0,30.0,30.0,245.0,245.0,245.0
0.0,2850.0,663.0,732.0,588.0,153.0,51.0,51.0,51.0,244.0,244.0,244.0,221.0,221.0,221.0,950.0,950.0,950.0,51.0,51.0,51.0,244.0,244.0,244.0
0.0,2775.0,636.0,729.0,90.0,687.0,229.0,229.0,229.0,243.0,243.0,243.0,212.0,212.0,212.0,925.0,925.0,925.0,229.0,229.0,229.0,243.0,243.0,243.0
