agg_orders_level_0,agg_orders_level_1
4128.0,16512.0
4116.0,16488.0
4032.0,12132.0
4152.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
747.0,0.0
1926.0,0.0
2437.0,0.0
1633.0,0.0
318.0,0.0
8.0,0.0
591.0,0.0
1498.0,0.0
1876.0,0.0
1131.0,0.0
248.0,0.0
188.0,0.0
609.0,0.0
1369.0,0.0
2077.0,0.0
1965.0,0.0
1043.0,0.0
308.0,0.0
409.0,0.0
1220.0,0.0
1975.0,0.0
1844.0,1504.0
967.0,2439.0
38.0,849.0
55.0,0.0
1093.0,0.0
2045.0,722.0
1891.0,2693.0
842.0,2777.0
299.0,299.0
800.0,0.0
1725.0,0.0
1897.0,1729.0
1222.0,2975.0
228.0,1390.0
56.0,0.0
708.0,0.0
1497.0,0.0
1668.0,894.0
1173.0,1851.0
690.0,1383.0
666.0,0.0
1311.0,0.0
1860.0,1650.0
1722.0,3504.0
1125.0,3063.0
471.0,76.0
420.0,0.0
1005.0,0.0
1605.0,197.0
1641.0,1958.0
1218.0,3063.0
720.0,1825.0
630.0,0.0
1239.0,0.0
1695.0,313.0
1800.0,2229.0
1467.0,3491.0
1011.0,2309.0
627.0,0.0
549.0,0.0
903.0,0.0
1473.0,13.0
1734.0,1831.0
1332.0,3198.0
861.0,2192.0
817.0,0.0
1147.0,0.0
1464.0,110.0
1517.0,1711.0
1181.0,2842.0
996.0,2103.0
976.0,165.0
1060.0,0.0
1182.0,95.0
1235.0,1434.0
965.0,2364.0
819.0,1733.0
1087.0,376.0
1531.0,150.0
1515.0,1349.0
1205.0,2464.0
1070.0,2209.0
1200.0,905.0
1336.0,36.0
1327.0,422.0
1074.0,1524.0
722.0,1868.0
794.0,1146.0
1401.0,671.0
1540.0,1065.0
1390.0,1796.0
1167.0,1934.0
1169.0,1343.0
1151.0,548.0
1170.0,315.0
1217.0,948.0
1150.0,1787.0
937.0,1812.0
825.0,882.0
956.0,132.0
1322.0,450.0
1389.0,1675.0
1145.0,2370.0
1044.0,1763.0
1121.0,550.0
1226.0,88.0
1434.0,873.0
1409.0,2170.0
1312.0,2601.0
1157.0,1596.0
1093.0,124.0
938.0,0.0
1219.0,609.0
1523.0,2132.0
1375.0,2878.0
1252.0,1986.0
1001.0,129.0
992.0,0.0
1386.0,424.0
1950.0,2414.0
1922.0,3928.0
1385.0,2931.0
864.0,0.0
773.0,0.0
1031.0,0.0
1452.0,180.0
1522.0,1718.0
1190.0,2740.0
868.0,1898.0
887.0,33.0
1552.0,0.0
2004.0,1694.0
1789.0,3523.0
1267.0,3120.0
1110.0,691.0
1151.0,0.0
1326.0,0.0
1314.0,687.0
1098.0,1809.0
1116.0,2262.0
1083.0,1508.0
1281.0,515.0
1539.0,554.0
1689.0,1768.0
1491.0,2733.0
1138.0,2103.0
1005.0,359.0
1259.0,0.0
1655.0,859.0
1941.0,2872.0
1595.0,3668.0
980.0,1780.0
671.0,0.0
966.0,0.0
1606.0,0.0
2002.0,1597.0
1818.0,3467.0
1400.0,3282.0
1047.0,834.0
1195.0,0.0
1555.0,0.0
1540.0,1044.0
1377.0,2445.0
1181.0,2598.0
1061.0,1210.0
1089.0,0.0
1151.0,0.0
1422.0,1016.0
1681.0,2761.0
1652.0,3445.0
1530.0,2222.0
1550.0,291.0
1610.0,0.0
1491.0,867.0
1294.0,2197.0
1191.0,2549.0
1157.0,1529.0
1209.0,214.0
1348.0,18.0
1444.0,1226.0
1411.0,2659.0
1283.0,2740.0
1274.0,1327.0
1359.0,56.0
1786.0,353.0
1786.0,2123.0
1491.0,3289.0
1259.0,2437.0
1199.0,343.0
1260.0,0.0
1214.0,122.0
1366.0,1427.0
1585.0,2930.0
1488.0,3003.0
1280.0,1329.0
1274.0,0.0
1621.0,0.0
1828.0,1752.0
1729.0,3545.0
1362.0,3159.0
1019.0,577.0
953.0,0.0
1268.0,0.0
1469.0,471.0
1479.0,2014.0
1381.0,2948.0
1297.0,2219.0
1404.0,619.0
1590.0,8.0
1806.0,1193.0
1899.0,3160.0
1538.0,3521.0
1207.0,1540.0
1079.0,0.0
1364.0,0.0
1646.0,576.0
1671.0,2287.0
1462.0,3209.0
1123.0,2041.0
1038.0,0.0
1568.0,0.0
2042.0,1439.0
1945.0,3400.0
1469.0,3430.0
1102.0,1096.0
1098.0,0.0
1631.0,0.0
2058.0,1425.0
1741.0,3206.0
1271.0,3064.0
817.0,615.0
895.0,0.0
1872.0,0.0
2469.0,2264.0
2322.0,4674.0
1378.0,3788.0
612.0,0.0
776.0,0.0
1617.0,0.0
2341.0,584.0
2328.0,3000.0
1521.0,3961.0
676.0,1597.0
553.0,0.0
1376.0,0.0
2275.0,219.0
2429.0,2736.0
1676.0,4233.0
726.0,2147.0
580.0,0.0
1297.0,0.0
2193.0,0.0
2456.0,2353.0
1889.0,4302.0
765.0,2678.0
478.0,0.0
1361.0,0.0
2322.0,0.0
2665.0,2620.0
1834.0,4478.0
976.0,2794.0
662.0,0.0
1573.0,0.0
2613.0,342.0
2630.0,3076.0
1532.0,4302.0
97.0,1223.0
21.0,0.0
1303.0,0.0
2728.0,0.0
2879.0,2713.0
1929.0,4706.0
628.0,2549.0
391.0,0.0
1420.0,0.0
2516.0,0.0
2597.0,2254.0
1863.0,4177.0
997.0,2860.0
778.0,0.0
1224.0,0.0
1922.0,0.0
2138.0,1897.0
1878.0,3859.0
1246.0,3156.0
1048.0,245.0
1540.0,0.0
2238.0,626.0
2411.0,3169.0
1733.0,4352.0
954.0,2089.0
793.0,0.0
1519.0,0.0
2205.0,29.0
2184.0,2333.0
1464.0,3832.0
831.0,2294.0
1038.0,0.0
1873.0,0.0
2451.0,1450.0
2288.0,3862.0
1460.0,3936.0
780.0,818.0
1012.0,0.0
2048.0,0.0
2626.0,1674.0
2219.0,4013.0
1199.0,3602.0
488.0,8.0
954.0,0.0
1975.0,0.0
2665.0,1889.0
2436.0,4437.0
1445.0,4053.0
878.0,442.0
1245.0,0.0
2239.0,0.0
2728.0,2111.0
2274.0,4553.0
1262.0,3800.0
480.0,0.0
970.0,0.0
2170.0,0.0
2721.0,1600.0
2474.0,4214.0
1535.0,4233.0
930.0,917.0
1099.0,0.0
1876.0,0.0
2397.0,1019.0
2228.0,3339.0
1674.0,4058.0
1057.0,1760.0
1156.0,0.0
1872.0,0.0
2394.0,1328.0
2130.0,3530.0
1497.0,3735.0
1095.0,1264.0
1645.0,0.0
2361.0,223.0
2429.0,2700.0
1994.0,4555.0
1480.0,3383.0
1106.0,0.0
1519.0,0.0
1913.0,0.0
2149.0,2084.0
1887.0,4047.0
1397.0,3396.0
1195.0,492.0
1415.0,0.0
2287.0,222.0
2646.0,2964.0
2252.0,5106.0
1349.0,3515.0
846.0,0.0
1310.0,0.0
2196.0,0.0
2476.0,1622.0
2024.0,3766.0
1254.0,3422.0
853.0,413.0
1411.0,0.0
2337.0,230.0
2789.0,3119.0
2242.0,5239.0
1262.0,3390.0
863.0,0.0
1370.0,0.0
2169.0,0.0
2590.0,1633.0
2011.0,3756.0
1029.0,3164.0
605.0,0.0
1221.0,0.0
2347.0,161.0
2815.0,3084.0
2196.0,5215.0
