agg_orders_level_0,agg_orders_level_1
5040.0,25200.0
5205.0,25605.0
5295.0,25890.0
5265.0,21615.0
5160.0,1125.0
5085.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
936.0,0.0
1864.0,0.0
2845.0,0.0
2972.0,0.0
2260.0,0.0
618.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
1065.0,0.0
2262.0,0.0
3399.0,0.0
3357.0,0.0
2052.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
883.0,0.0
1902.0,0.0
3013.0,0.0
3318.0,0.0
2626.0,0.0
777.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
713.0,0.0
1904.0,0.0
2993.0,0.0
3312.0,0.0
2448.0,0.0
599.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
45.0,0.0
1088.0,0.0
2257.0,0.0
3458.0,0.0
3663.0,0.0
2612.0,0.0
261.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
748.0,0.0
1852.0,832.0
2899.0,3956.0
3234.0,5642.0
2555.0,5882.0
944.0,5982.0
856.0,1840.0
1277.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
174.0,0.0
549.0,0.0
1716.0,0.0
2786.0,0.0
3378.0,0.0
2737.0,808.0
1559.0,2517.0
4.0,2521.0
0.0,1623.0
0.0,0.0
0.0,0.0
117.0,0.0
703.0,0.0
1837.0,0.0
2971.0,35.0
3573.0,3933.0
3068.0,6232.0
1444.0,6377.0
0.0,4907.0
0.0,0.0
0.0,0.0
0.0,0.0
132.0,0.0
657.0,0.0
1927.0,0.0
2984.0,0.0
3476.0,0.0
2716.0,0.0
1376.0,789.0
0.0,774.0
0.0,669.0
0.0,0.0
0.0,0.0
177.0,0.0
936.0,0.0
2207.0,902.0
3384.0,4616.0
3828.0,6222.0
2916.0,6512.0
1039.0,6612.0
923.0,2422.0
1042.0,0.0
0.0,0.0
0.0,0.0
96.0,0.0
492.0,0.0
858.0,0.0
1113.0,0.0
1666.0,0.0
2095.0,0.0
2551.0,0.0
2853.0,0.0
2204.0,1876.0
523.0,2399.0
0.0,2239.0
240.0,358.0
642.0,0.0
1050.0,0.0
1245.0,0.0
1467.0,0.0
1686.0,1292.0
2197.0,3699.0
2599.0,6517.0
2175.0,6835.0
966.0,4928.0
0.0,0.0
147.0,0.0
528.0,0.0
882.0,0.0
1110.0,0.0
1743.0,0.0
2254.0,0.0
2749.0,0.0
2974.0,0.0
2139.0,1314.0
245.0,1519.0
0.0,1339.0
291.0,51.0
732.0,0.0
1164.0,0.0
1290.0,59.0
1596.0,1659.0
1680.0,3509.0
2390.0,6070.0
2703.0,6905.0
2197.0,6242.0
855.0,1022.0
0.0,0.0
246.0,0.0
624.0,0.0
1008.0,0.0
1176.0,0.0
1770.0,0.0
2232.0,0.0
2798.0,0.0
2945.0,0.0
2022.0,1614.0
133.0,1717.0
0.0,1632.0
297.0,235.0
738.0,0.0
1179.0,0.0
1304.0,0.0
1834.0,1311.0
1961.0,3257.0
2787.0,6259.0
2903.0,6915.0
2134.0,6913.0
376.0,1275.0
0.0,0.0
372.0,0.0
762.0,0.0
1176.0,0.0
1254.0,0.0
1794.0,0.0
2080.0,0.0
2822.0,0.0
2890.0,0.0
1968.0,1445.0
152.0,1562.0
0.0,1472.0
348.0,305.0
807.0,0.0
1221.0,0.0
1536.0,225.0
2076.0,2211.0
2319.0,4550.0
3054.0,6920.0
2940.0,7205.0
