agg_orders_level_0,agg_orders_level_1
4680.0,18720.0
4392.0,18144.0
4236.0,12336.0
4248.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
905.0,0.0
2066.0,0.0
2115.0,0.0
1119.0,0.0
380.0,0.0
429.0,0.0
1113.0,0.0
1876.0,0.0
1885.0,0.0
1133.0,0.0
429.0,0.0
496.0,0.0
1288.0,0.0
1905.0,0.0
1680.0,0.0
815.0,0.0
6.0,0.0
247.0,0.0
1441.0,0.0
2229.0,0.0
1844.0,0.0
657.0,0.0
0.0,0.0
285.0,0.0
1221.0,800.0
1812.0,2676.0
1446.0,3338.0
606.0,1204.0
180.0,0.0
513.0,0.0
1392.0,0.0
1878.0,541.0
1671.0,2248.0
931.0,2626.0
147.0,421.0
314.0,0.0
1250.0,0.0
1948.0,882.0
1741.0,2671.0
1035.0,2812.0
300.0,109.0
438.0,0.0
1314.0,0.0
2151.0,391.0
1869.0,2416.0
1005.0,3102.0
353.0,1075.0
463.0,0.0
1440.0,0.0
2261.0,1382.0
2024.0,3566.0
1155.0,3423.0
287.0,96.0
220.0,0.0
1346.0,0.0
2536.0,579.0
2258.0,2985.0
952.0,3398.0
0.0,329.0
256.0,0.0
1525.0,0.0
2416.0,747.0
2189.0,3068.0
1016.0,3385.0
0.0,209.0
3.0,0.0
973.0,0.0
2120.0,0.0
2221.0,2000.0
1193.0,3269.0
49.0,1210.0
12.0,0.0
1102.0,0.0
2168.0,0.0
2158.0,2231.0
990.0,3269.0
47.0,1001.0
0.0,0.0
1080.0,0.0
2181.0,0.0
2172.0,2272.0
1126.0,3434.0
70.0,1140.0
3.0,0.0
1118.0,0.0
2186.0,0.0
2104.0,2033.0
962.0,3043.0
16.0,922.0
131.0,0.0
1297.0,0.0
2229.0,538.0
2160.0,2842.0
1190.0,3554.0
161.0,781.0
252.0,0.0
1459.0,0.0
2443.0,544.0
2278.0,2958.0
1046.0,3508.0
0.0,434.0
167.0,0.0
1499.0,0.0
2736.0,826.0
2770.0,3780.0
1192.0,4222.0
0.0,346.0
0.0,0.0
1480.0,0.0
2766.0,0.0
2600.0,2704.0
1307.0,4095.0
0.0,1271.0
0.0,0.0
1033.0,0.0
2213.0,0.0
2695.0,1870.0
1808.0,3810.0
490.0,2394.0
0.0,0.0
936.0,0.0
2221.0,0.0
2642.0,2013.0
1676.0,3821.0
375.0,2123.0
0.0,0.0
758.0,0.0
1856.0,0.0
2487.0,1256.0
1952.0,3364.0
596.0,2656.0
0.0,0.0
426.0,0.0
1613.0,0.0
2401.0,1004.0
2159.0,3327.0
871.0,3174.0
0.0,0.0
385.0,0.0
1774.0,0.0
2610.0,1394.0
2240.0,3802.0
1095.0,3491.0
190.0,0.0
