id,inv,demand,forecast,received_shipment,order,Order_Supplier_0,Forecast_Retailer_0,Forecast_Retailer_1,Demand_Retailer_0,Demand_Retailer_1
0.0,0.0,1328.0,1328.0,0.0,5312.0,5312.0,928.0,400.0,928.0,400.0
0.0,0.0,1336.0,1332.0,0.0,5328.0,5328.0,932.0,400.0,936.0,400.0
0.0,0.0,1348.0,1337.0,5312.0,4048.0,4048.0,936.0,401.0,944.0,404.0
0.0,1300.0,1356.0,1342.0,5328.0,96.0,96.0,939.0,403.0,948.0,408.0
0.0,5272.0,0.0,1073.0,4048.0,0.0,0.0,751.0,322.0,0.0,0.0
0.0,9320.0,0.0,895.0,96.0,0.0,0.0,626.0,269.0,0.0,0.0
0.0,9416.0,0.0,767.0,0.0,0.0,0.0,537.0,230.0,0.0,0.0
0.0,9416.0,0.0,672.0,0.0,0.0,0.0,470.0,202.0,0.0,0.0
0.0,9416.0,0.0,596.0,0.0,0.0,0.0,417.0,179.0,0.0,0.0
0.0,9416.0,0.0,537.0,0.0,0.0,0.0,376.0,161.0,0.0,0.0
0.0,9416.0,0.0,488.0,0.0,0.0,0.0,341.0,147.0,0.0,0.0
0.0,9416.0,200.0,464.0,0.0,0.0,0.0,325.0,139.0,143.0,57.0
0.0,9216.0,542.0,470.0,0.0,0.0,0.0,329.0,141.0,381.0,161.0
0.0,8674.0,686.0,486.0,0.0,0.0,0.0,340.0,146.0,479.0,207.0
0.0,7988.0,485.0,486.0,0.0,0.0,0.0,340.0,146.0,337.0,148.0
0.0,7503.0,129.0,463.0,0.0,0.0,0.0,324.0,139.0,88.0,41.0
0.0,7374.0,0.0,436.0,0.0,0.0,0.0,305.0,131.0,0.0,0.0
0.0,7374.0,163.0,421.0,0.0,0.0,0.0,295.0,126.0,118.0,45.0
0.0,7211.0,494.0,424.0,0.0,0.0,0.0,297.0,127.0,350.0,144.0
0.0,6717.0,657.0,437.0,0.0,0.0,0.0,306.0,131.0,459.0,198.0
0.0,6060.0,493.0,439.0,0.0,0.0,0.0,307.0,132.0,340.0,153.0
0.0,5567.0,165.0,426.0,0.0,0.0,0.0,298.0,128.0,110.0,55.0
0.0,5402.0,2.0,408.0,0.0,0.0,0.0,285.0,123.0,2.0,0.0
0.0,5400.0,168.0,398.0,0.0,0.0,0.0,279.0,119.0,126.0,42.0
0.0,5232.0,507.0,402.0,0.0,0.0,0.0,282.0,120.0,363.0,144.0
0.0,4725.0,678.0,413.0,0.0,0.0,0.0,289.0,124.0,474.0,204.0
0.0,4047.0,525.0,417.0,0.0,0.0,0.0,292.0,125.0,359.0,166.0
0.0,3522.0,205.0,409.0,0.0,0.0,0.0,286.0,123.0,133.0,72.0
0.0,3317.0,46.0,397.0,0.0,0.0,0.0,278.0,119.0,31.0,15.0
0.0,3271.0,207.0,390.0,0.0,0.0,0.0,273.0,117.0,154.0,53.0
