agg_orders_level_0,agg_orders_level_1
4000.0,16000.0
4060.0,16120.0
4108.0,12396.0
4144.0,504.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
967.0,0.0
1987.0,0.0
2052.0,0.0
1139.0,0.0
167.0,0.0
124.0,0.0
1045.0,0.0
1969.0,0.0
1947.0,0.0
980.0,0.0
35.0,0.0
49.0,0.0
1006.0,0.0
1965.0,0.0
2021.0,0.0
1148.0,0.0
241.0,0.0
224.0,0.0
1100.0,0.0
1983.0,0.0
1945.0,278.0
1025.0,1283.0
124.0,1013.0
109.0,0.0
1005.0,0.0
1928.0,1691.0
1985.0,3760.0
1147.0,3208.0
272.0,0.0
251.0,0.0
1115.0,0.0
2004.0,0.0
2023.0,1889.0
1117.0,2998.0
174.0,1191.0
107.0,0.0
989.0,0.0
1926.0,34.0
1999.0,2055.0
1159.0,3180.0
300.0,1141.0
275.0,0.0
1124.0,0.0
2010.0,0.0
2041.0,1746.0
1159.0,2993.0
237.0,1496.0
212.0,0.0
1073.0,0.0
1953.0,505.0
1948.0,2597.0
1087.0,3255.0
264.0,878.0
332.0,0.0
1232.0,0.0
2103.0,288.0
2071.0,2511.0
1189.0,3496.0
300.0,1221.0
272.0,0.0
1115.0,0.0
1980.0,0.0
1954.0,1853.0
1105.0,3042.0
255.0,1392.0
290.0,0.0
1200.0,0.0
2095.0,419.0
2083.0,2642.0
1200.0,3499.0
341.0,1150.0
354.0,0.0
1192.0,0.0
2005.0,0.0
1977.0,2061.0
1103.0,3228.0
278.0,1397.0
306.0,0.0
1192.0,0.0
2068.0,218.0
2081.0,2443.0
1266.0,3571.0
429.0,1501.0
419.0,0.0
1230.0,0.0
2010.0,32.0
1965.0,2073.0
1149.0,3274.0
312.0,1469.0
321.0,0.0
1167.0,0.0
2052.0,146.0
2094.0,2368.0
1288.0,3594.0
453.0,1627.0
432.0,0.0
1229.0,0.0
2074.0,66.0
2086.0,2255.0
1225.0,3498.0
356.0,1535.0
322.0,0.0
1151.0,0.0
2020.0,0.0
2072.0,2095.0
1300.0,3471.0
524.0,1844.0
496.0,0.0
1275.0,0.0
2072.0,248.0
2081.0,2469.0
1294.0,3599.0
464.0,1538.0
409.0,0.0
1167.0,0.0
1964.0,0.0
2018.0,1979.0
1317.0,3380.0
572.0,1929.0
557.0,0.0
1297.0,0.0
2077.0,431.0
2083.0,2642.0
1329.0,3624.0
545.0,1483.0
506.0,0.0
1213.0,0.0
1940.0,0.0
1951.0,2006.0
1256.0,3326.0
574.0,1850.0
600.0,0.0
1345.0,0.0
2068.0,583.0
2073.0,2776.0
1343.0,3608.0
600.0,1388.0
572.0,0.0
1275.0,0.0
1990.0,125.0
1987.0,2248.0
1263.0,3446.0
560.0,1714.0
608.0,0.0
1368.0,0.0
2090.0,520.0
2079.0,2719.0
1374.0,3649.0
684.0,1578.0
690.0,0.0
1368.0,0.0
1995.0,296.0
1924.0,2336.0
1218.0,3330.0
579.0,1533.0
650.0,0.0
1391.0,0.0
2085.0,696.0
2054.0,2870.0
1370.0,3612.0
714.0,1416.0
740.0,0.0
1424.0,0.0
2065.0,517.0
1981.0,2614.0
1233.0,3394.0
584.0,1328.0
659.0,0.0
1396.0,0.0
2083.0,648.0
2040.0,2804.0
1343.0,3559.0
707.0,1418.0
778.0,0.0
1501.0,0.0
2128.0,752.0
2018.0,2890.0
1276.0,3470.0
611.0,1147.0
676.0,0.0
1418.0,0.0
2104.0,656.0
2078.0,2850.0
1382.0,3636.0
740.0,1482.0
796.0,0.0
1525.0,0.0
2160.0,761.0
2069.0,2950.0
1322.0,3567.0
658.0,1231.0
698.0,0.0
1423.0,0.0
2084.0,554.0
2056.0,2726.0
1361.0,3593.0
716.0,1527.0
810.0,0.0
1558.0,0.0
2218.0,921.0
2131.0,3168.0
1360.0,3659.0
686.0,1117.0
770.0,0.0
1493.0,0.0
2116.0,672.0
2017.0,2793.0
1302.0,3471.0
725.0,1347.0
879.0,0.0
1635.0,0.0
2244.0,1239.0
2121.0,3464.0
1386.0,3659.0
756.0,907.0
834.0,0.0
1536.0,0.0
2142.0,793.0
2025.0,2922.0
1293.0,3470.0
696.0,1200.0
831.0,0.0
1630.0,0.0
2310.0,1245.0
2201.0,3558.0
1421.0,3782.0
756.0,924.0
856.0,0.0
1594.0,0.0
2220.0,828.0
2082.0,3018.0
1334.0,3580.0
680.0,1186.0
807.0,0.0
1588.0,0.0
2290.0,1045.0
2226.0,3375.0
1482.0,3872.0
821.0,1250.0
891.0,0.0
1617.0,0.0
2263.0,851.0
2148.0,3115.0
1377.0,3689.0
689.0,1207.0
764.0,0.0
1555.0,0.0
2291.0,849.0
2269.0,3238.0
1511.0,3956.0
823.0,1485.0
882.0,0.0
1676.0,0.0
2378.0,920.0
2253.0,3301.0
1414.0,3839.0
695.0,1169.0
781.0,0.0
1580.0,0.0
2300.0,762.0
2271.0,3161.0
1525.0,3960.0
817.0,1560.0
885.0,0.0
1686.0,0.0
2412.0,963.0
2338.0,3429.0
1528.0,4042.0
729.0,1286.0
752.0,0.0
1541.0,0.0
2334.0,513.0
2335.0,2976.0
1576.0,4099.0
826.0,1881.0
858.0,0.0
1677.0,0.0
2456.0,820.0
2405.0,3365.0
1582.0,4171.0
776.0,1518.0
784.0,0.0
1568.0,0.0
2335.0,448.0
2315.0,2887.0
1561.0,4048.0
836.0,1953.0
868.0,0.0
1650.0,0.0
2427.0,817.0
2435.0,3376.0
1661.0,4280.0
891.0,1739.0
859.0,0.0
1582.0,0.0
2296.0,373.0
2316.0,2817.0
1593.0,4097.0
858.0,2082.0
867.0,0.0
1671.0,0.0
2485.0,846.0
2491.0,3461.0
1690.0,4365.0
888.0,1736.0
869.0,0.0
1626.0,0.0
2406.0,444.0
2401.0,2973.0
1605.0,4214.0
810.0,1995.0
830.0,0.0
1634.0,0.0
2469.0,615.0
2504.0,3247.0
1760.0,4472.0
966.0,2135.0
938.0,0.0
1673.0,0.0
2428.0,459.0
2408.0,3007.0
1613.0,4221.0
816.0,1974.0
823.0,0.0
1657.0,0.0
2481.0,636.0
2528.0,3304.0
1745.0,4481.0
927.0,2036.0
923.0,0.0
1730.0,0.0
2553.0,633.0
2494.0,3267.0
1624.0,4314.0
798.0,1789.0
807.0,0.0
1685.0,0.0
2535.0,629.0
2544.0,3301.0
1723.0,4455.0
900.0,1998.0
938.0,0.0
1790.0,0.0
2604.0,793.0
2541.0,3454.0
1685.0,4406.0
855.0,1747.0
883.0,0.0
1691.0,0.0
2496.0,584.0
2485.0,3193.0
1700.0,4369.0
947.0,2079.0
1023.0,0.0
1876.0,0.0
2644.0,1082.0
2547.0,3753.0
1689.0,4432.0
899.0,1522.0
929.0,0.0
1752.0,0.0
2521.0,674.0
2492.0,3294.0
1675.0,4367.0
917.0,1934.0
1000.0,0.0
1851.0,0.0
2668.0,1048.0
2620.0,3804.0
1785.0,4605.0
954.0,1695.0
960.0,0.0
1758.0,0.0
2542.0,571.0
2520.0,3219.0
1689.0,4397.0
899.0,2021.0
971.0,0.0
1887.0,0.0
2722.0,1099.0
2674.0,3901.0
1785.0,4647.0
941.0,1643.0
1001.0,0.0
1881.0,0.0
2662.0,801.0
2539.0,3468.0
1639.0,4378.0
864.0,1718.0
974.0,0.0
1913.0,0.0
2742.0,1155.0
2686.0,3981.0
1795.0,4681.0
970.0,1606.0
1023.0,0.0
1911.0,0.0
2709.0,874.0
2619.0,3633.0
1711.0,4530.0
853.0,1682.0
927.0,0.0
1856.0,0.0
2783.0,956.0
2749.0,3841.0
1838.0,4783.0
949.0,1823.0
1004.0,0.0
1966.0,0.0
2832.0,935.0
2735.0,3810.0
1754.0,4701.0
840.0,1651.0
907.0,0.0
1891.0,0.0
2793.0,806.0
2747.0,3705.0
1844.0,4803.0
987.0,2017.0
1036.0,0.0
1970.0,0.0
2833.0,940.0
2760.0,3840.0
1816.0,4776.0
913.0,1781.0
951.0,0.0
1866.0,0.0
2739.0,696.0
2718.0,3554.0
1854.0,4772.0
1014.0,2164.0
1071.0,0.0
2007.0,0.0
2901.0,1115.0
2844.0,4107.0
1873.0,4937.0
937.0,1699.0
949.0,0.0
1895.0,0.0
2810.0,621.0
2762.0,3523.0
1837.0,4811.0
964.0,2184.0
1054.0,0.0
2048.0,0.0
2953.0,1148.0
2876.0,4176.0
1894.0,4982.0
968.0,1706.0
1003.0,0.0
1938.0,0.0
2822.0,685.0
2798.0,3635.0
1855.0,4877.0
940.0,2114.0
1001.0,0.0
2003.0,0.0
2952.0,959.0
2923.0,4034.0
1964.0,5111.0
1039.0,2048.0
1073.0,0.0
1987.0,0.0
2868.0,709.0
2812.0,3673.0
1850.0,4886.0
936.0,2081.0
1016.0,0.0
2034.0,0.0
2990.0,1046.0
2970.0,4168.0
1973.0,5167.0
1035.0,1966.0
1093.0,0.0
2071.0,0.0
2988.0,889.0
2897.0,3938.0
1862.0,4971.0
909.0,1874.0
979.0,0.0
2029.0,0.0
3024.0,965.0
3012.0,4129.0
2011.0,5251.0
1050.0,2100.0
1082.0,0.0
2075.0,0.0
3034.0,832.0
2955.0,3931.0
1903.0,5082.0
926.0,2001.0
984.0,0.0
2045.0,0.0
3028.0,867.0
2989.0,4020.0
1976.0,5189.0
1027.0,2124.0
1124.0,0.0
2177.0,0.0
3118.0,1122.0
2998.0,4288.0
1951.0,5177.0
984.0,1805.0
1046.0,0.0
2045.0,0.0
2965.0,767.0
2929.0,3860.0
1978.0,5147.0
1106.0,2321.0
1219.0,0.0
2214.0,0.0
3110.0,1292.0
2999.0,4443.0
1998.0,5221.0
1057.0,1763.0
1120.0,0.0
2103.0,0.0
3014.0,912.0
2939.0,4015.0
1968.0,5131.0
1067.0,2111.0
1211.0,0.0
2253.0,0.0
3181.0,1422.0
3037.0,4611.0
2007.0,5268.0
1073.0,1646.0
1149.0,0.0
2145.0,0.0
3057.0,987.0
2943.0,4082.0
1947.0,5118.0
1086.0,2050.0
1218.0,0.0
2233.0,0.0
3124.0,1349.0
3064.0,4557.0
2091.0,5379.0
1191.0,1945.0
1239.0,0.0
2184.0,0.0
3033.0,969.0
2917.0,4030.0
1965.0,5106.0
1102.0,2102.0
1233.0,0.0
2228.0,0.0
3119.0,1370.0
3033.0,4559.0
2086.0,5351.0
1234.0,1946.0
1321.0,0.0
2245.0,0.0
3084.0,1187.0
2957.0,4308.0
1999.0,5196.0
1142.0,1958.0
1238.0,0.0
2201.0,0.0
3085.0,1220.0
3055.0,4427.0
2153.0,5432.0
1299.0,2236.0
1334.0,0.0
2237.0,0.0
3103.0,1134.0
3033.0,4311.0
2069.0,5318.0
1171.0,2110.0
1240.0,0.0
2187.0,0.0
3092.0,1089.0
3056.0,4297.0
2128.0,5412.0
1264.0,2299.0
1347.0,0.0
2316.0,0.0
3204.0,1355.0
3129.0,4648.0
2107.0,5476.0
1163.0,1899.0
1204.0,0.0
2204.0,0.0
3133.0,965.0
3081.0,4202.0
2134.0,5431.0
1231.0,2392.0
1359.0,0.0
2400.0,0.0
3309.0,1537.0
3166.0,4859.0
2101.0,5495.0
1155.0,1699.0
1239.0,0.0
2264.0,0.0
3202.0,1130.0
3124.0,4402.0
2107.0,5451.0
1169.0,2126.0
1273.0,0.0
2376.0,0.0
3356.0,1466.0
3294.0,4912.0
2232.0,5754.0
1217.0,1979.0
1217.0,0.0
2226.0,0.0
3220.0,805.0
3189.0,4142.0
2164.0,5573.0
1166.0,2529.0
1227.0,0.0
2354.0,0.0
3388.0,1292.0
3317.0,4765.0
2242.0,5779.0
1233.0,2179.0
1316.0,0.0
2363.0,0.0
3321.0,1117.0
3197.0,4474.0
2109.0,5538.0
1144.0,2116.0
1289.0,0.0
2413.0,0.0
3414.0,1502.0
3293.0,4947.0
2243.0,5752.0
1290.0,2027.0
1402.0,0.0
2425.0,0.0
3348.0,1319.0
3203.0,4682.0
2114.0,5549.0
1153.0,1932.0
1301.0,0.0
2419.0,0.0
3408.0,1483.0
3270.0,4913.0
2198.0,5700.0
1294.0,1989.0
1491.0,0.0
2563.0,0.0
3413.0,1687.0
3190.0,5025.0
2079.0,5489.0
1192.0,1564.0
1391.0,0.0
2479.0,0.0
3381.0,1682.0
3199.0,5025.0
2153.0,5572.0
1333.0,1800.0
1545.0,0.0
2599.0,0.0
3443.0,1915.0
3247.0,5314.0
2151.0,5618.0
1235.0,1467.0
1385.0,0.0
2484.0,0.0
3400.0,1551.0
3241.0,4956.0
2161.0,5642.0
1273.0,1867.0
1520.0,0.0
2642.0,0.0
3542.0,1962.0
3305.0,5431.0
2172.0,5709.0
1284.0,1478.0
1463.0,0.0
2508.0,0.0
3385.0,1555.0
3199.0,4910.0
2138.0,5557.0
1320.0,1879.0
1556.0,0.0
2653.0,0.0
3534.0,2102.0
3331.0,5577.0
2236.0,5787.0
1329.0,1447.0
1500.0,0.0
2566.0,0.0
3433.0,1632.0
3226.0,5002.0
2148.0,5586.0
1293.0,1797.0
1532.0,0.0
2652.0,0.0
3570.0,2084.0
3357.0,5597.0
2233.0,5798.0
1347.0,1468.0
1566.0,0.0
2666.0,0.0
3496.0,1838.0
3220.0,5226.0
2085.0,5521.0
1238.0,1433.0
1544.0,0.0
2751.0,0.0
