id,inv,demand,forecast,received_shipment,order,Order_Supplier_0,Order_Supplier_1,Order_Supplier_2,Forecast_Retailer_0,Forecast_Retailer_1,Forecast_Retailer_2,Demand_Retailer_0,Demand_Retailer_1,Demand_Retailer_2,Inv_Product_0,Inv_Product_1,Inv_Product_2,Order_Product_0,Order_Product_1,Order_Product_2,Forecast_Product_0,Forecast_Product_1,Forecast_Product_2
0.0,0.0,708.0,708.0,0.0,2832.0,944.0,944.0,944.0,236.0,236.0,236.0,236.0,236.0,236.0,0.0,0.0,0.0,944.0,944.0,944.0,236.0,236.0,236.0
0.0,0.0,720.0,714.0,0.0,2856.0,952.0,952.0,952.0,238.0,238.0,238.0,240.0,240.0,240.0,0.0,0.0,0.0,952.0,952.0,952.0,238.0,238.0,238.0
0.0,0.0,726.0,717.0,0.0,2868.0,956.0,956.0,956.0,239.0,239.0,239.0,242.0,242.0,242.0,0.0,0.0,0.0,956.0,956.0,956.0,239.0,239.0,239.0
0.0,0.0,715.0,717.0,0.0,2868.0,956.0,956.0,956.0,239.0,239.0,239.0,238.0,238.0,239.0,0.0,0.0,0.0,956.0,956.0,956.0,239.0,239.0,239.0
0.0,0.0,693.0,712.0,8556.0,0.0,0.0,0.0,0.0,237.0,237.0,238.0,231.0,231.0,231.0,0.0,0.0,0.0,0.0,0.0,0.0,237.0,237.0,238.0
0.0,4994.0,675.0,706.0,2868.0,0.0,0.0,0.0,0.0,235.0,235.0,236.0,225.0,225.0,225.0,1665.0,1665.0,1664.0,0.0,0.0,0.0,235.0,235.0,236.0
0.0,7187.0,690.0,705.0,0.0,0.0,0.0,0.0,0.0,235.0,235.0,235.0,230.0,230.0,230.0,2396.0,2396.0,2395.0,0.0,0.0,0.0,235.0,235.0,235.0
0.0,6497.0,699.0,702.0,0.0,0.0,0.0,0.0,0.0,234.0,234.0,234.0,233.0,233.0,233.0,2166.0,2166.0,2165.0,0.0,0.0,0.0,234.0,234.0,234.0
0.0,5798.0,747.0,708.0,0.0,0.0,0.0,0.0,0.0,236.0,236.0,236.0,249.0,249.0,249.0,1933.0,1933.0,1932.0,0.0,0.0,0.0,236.0,236.0,236.0
0.0,5051.0,753.0,714.0,0.0,0.0,0.0,0.0,0.0,238.0,238.0,238.0,251.0,251.0,251.0,1684.0,1684.0,1683.0,0.0,0.0,0.0,238.0,238.0,238.0
0.0,4298.0,744.0,715.0,0.0,0.0,0.0,0.0,0.0,238.0,238.0,239.0,248.0,248.0,248.0,1433.0,1433.0,1432.0,0.0,0.0,0.0,238.0,238.0,239.0
0.0,3554.0,705.0,714.0,0.0,7.0,2.0,2.0,3.0,238.0,238.0,238.0,235.0,235.0,235.0,1185.0,1185.0,1184.0,2.0,2.0,3.0,238.0,238.0,238.0
0.0,2849.0,678.0,711.0,0.0,673.0,224.0,224.0,225.0,237.0,237.0,237.0,226.0,226.0,226.0,950.0,950.0,949.0,224.0,224.0,225.0,237.0,237.0,237.0
0.0,2171.0,703.0,711.0,7.0,1369.0,456.0,456.0,457.0,237.0,237.0,237.0,234.0,234.0,235.0,724.0,724.0,723.0,456.0,456.0,457.0,237.0,237.0,237.0
0.0,1475.0,711.0,711.0,673.0,1407.0,469.0,469.0,469.0,237.0,237.0,237.0,237.0,237.0,237.0,492.0,492.0,491.0,469.0,469.0,469.0,237.0,237.0,237.0
0.0,1437.0,754.0,714.0,1369.0,804.0,268.0,268.0,268.0,238.0,238.0,238.0,251.0,251.0,252.0,479.0,479.0,479.0,268.0,268.0,268.0,238.0,238.0,238.0
0.0,2052.0,756.0,717.0,1407.0,165.0,55.0,55.0,55.0,239.0,239.0,239.0,252.0,252.0,252.0,684.0,684.0,684.0,55.0,55.0,55.0,239.0,239.0,239.0
0.0,2703.0,747.0,717.0,804.0,108.0,36.0,36.0,36.0,239.0,239.0,239.0,249.0,249.0,249.0,901.0,901.0,901.0,36.0,36.0,36.0,239.0,239.0,239.0
0.0,2760.0,711.0,717.0,165.0,654.0,218.0,218.0,218.0,239.0,239.0,239.0,237.0,237.0,237.0,920.0,920.0,920.0,218.0,218.0,218.0,239.0,239.0,239.0
0.0,2214.0,690.0,717.0,108.0,1236.0,412.0,412.0,412.0,239.0,239.0,239.0,230.0,230.0,230.0,738.0,738.0,738.0,412.0,412.0,412.0,239.0,239.0,239.0
0.0,1632.0,699.0,715.0,654.0,1273.0,423.0,423.0,427.0,238.0,238.0,239.0,233.0,233.0,233.0,544.0,544.0,544.0,423.0,423.0,427.0,238.0,238.0,239.0
0.0,1587.0,732.0,717.0,1236.0,777.0,259.0,259.0,259.0,239.0,239.0,239.0,244.0,244.0,244.0,529.0,529.0,529.0,259.0,259.0,259.0,239.0,239.0,239.0
0.0,2091.0,753.0,717.0,1273.0,257.0,87.0,87.0,83.0,239.0,239.0,239.0,251.0,251.0,251.0,697.0,697.0,697.0,87.0,87.0,83.0,239.0,239.0,239.0
0.0,2611.0,777.0,720.0,777.0,269.0,91.0,91.0,87.0,240.0,240.0,240.0,259.0,259.0,259.0,869.0,869.0,873.0,91.0,91.0,87.0,240.0,240.0,240.0
0.0,2611.0,756.0,723.0,257.0,780.0,260.0,260.0,260.0,241.0,241.0,241.0,252.0,252.0,252.0,869.0,869.0,873.0,260.0,260.0,260.0,241.0,241.0,241.0
0.0,2112.0,714.0,721.0,269.0,1217.0,403.0,403.0,411.0,240.0,240.0,241.0,238.0,238.0,238.0,704.0,704.0,704.0,403.0,403.0,411.0,240.0,240.0,241.0
0.0,1667.0,699.0,720.0,780.0,1132.0,376.0,376.0,380.0,240.0,240.0,240.0,233.0,233.0,233.0,557.0,557.0,553.0,376.0,376.0,380.0,240.0,240.0,240.0
