agg_orders_level_0,agg_orders_level_1
4272.0,17088.0
4032.0,16608.0
4152.0,11976.0
4152.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
541.0,0.0
1351.0,0.0
1884.0,0.0
1758.0,0.0
1125.0,0.0
423.0,0.0
418.0,0.0
883.0,0.0
1627.0,0.0
1680.0,0.0
966.0,0.0
353.0,0.0
395.0,0.0
1125.0,0.0
1741.0,0.0
1789.0,0.0
1194.0,0.0
453.0,0.0
231.0,0.0
952.0,0.0
1698.0,0.0
1778.0,113.0
1112.0,1225.0
401.0,1421.0
395.0,507.0
1278.0,372.0
1864.0,1801.0
1798.0,3299.0
1005.0,2479.0
168.0,0.0
312.0,0.0
1389.0,0.0
2169.0,667.0
1839.0,2578.0
906.0,2781.0
0.0,111.0
12.0,0.0
1059.0,0.0
2176.0,438.0
2377.0,2923.0
1597.0,3866.0
219.0,874.0
0.0,0.0
255.0,0.0
1127.0,0.0
2165.0,0.0
2277.0,1766.0
1351.0,3225.0
22.0,1481.0
0.0,0.0
858.0,0.0
2144.0,7.0
2429.0,2590.0
1461.0,4044.0
295.0,1629.0
0.0,0.0
462.0,0.0
1381.0,0.0
2146.0,0.0
2001.0,2042.0
1196.0,3214.0
275.0,1339.0
147.0,0.0
805.0,0.0
1645.0,0.0
2031.0,1546.0
1700.0,3246.0
923.0,2551.0
500.0,0.0
605.0,0.0
1287.0,0.0
1873.0,1127.0
1792.0,2943.0
1227.0,2983.0
711.0,727.0
923.0,0.0
1463.0,0.0
1587.0,1134.0
1225.0,2311.0
922.0,2027.0
849.0,565.0
1208.0,0.0
1532.0,881.0
1278.0,2147.0
685.0,1839.0
628.0,228.0
1125.0,0.0
2057.0,1515.0
2654.0,4381.0
1851.0,4777.0
436.0,700.0
0.0,0.0
579.0,0.0
1698.0,0.0
2577.0,125.0
2244.0,2525.0
1104.0,3504.0
3.0,814.0
29.0,0.0
1198.0,0.0
2375.0,86.0
2416.0,2694.0
1616.0,4284.0
463.0,1917.0
50.0,0.0
907.0,0.0
2085.0,0.0
2531.0,1401.0
1656.0,3141.0
514.0,2194.0
19.0,0.0
798.0,0.0
2015.0,0.0
2543.0,2210.0
1770.0,4100.0
604.0,2482.0
115.0,0.0
936.0,0.0
1955.0,0.0
2081.0,891.0
1234.0,2185.0
312.0,1594.0
461.0,0.0
1469.0,0.0
2211.0,1888.0
1871.0,3803.0
827.0,2750.0
216.0,0.0
947.0,0.0
2048.0,0.0
2360.0,1800.0
1590.0,3446.0
529.0,2151.0
20.0,0.0
492.0,0.0
1777.0,0.0
2791.0,1658.0
2262.0,4052.0
878.0,3244.0
0.0,0.0
192.0,0.0
1551.0,0.0
2658.0,153.0
2601.0,2954.0
1264.0,4113.0
222.0,1273.0
249.0,0.0
1209.0,0.0
2109.0,0.0
2004.0,1434.0
1260.0,2778.0
675.0,1979.0
910.0,40.0
1423.0,0.0
1708.0,1051.0
1400.0,2519.0
919.0,2455.0
896.0,832.0
1300.0,0.0
1742.0,463.0
1762.0,2237.0
1232.0,3066.0
713.0,1586.0
664.0,0.0
1387.0,0.0
2118.0,1019.0
1962.0,2985.0
1155.0,3169.0
381.0,593.0
408.0,0.0
1584.0,0.0
2715.0,1510.0
2544.0,4162.0
1401.0,4133.0
219.0,196.0
75.0,0.0
1272.0,0.0
2655.0,0.0
2796.0,2663.0
1526.0,4293.0
190.0,1760.0
0.0,0.0
916.0,0.0
2467.0,0.0
3159.0,2253.0
2025.0,4434.0
573.0,2762.0
0.0,0.0
669.0,0.0
1959.0,0.0
2703.0,721.0
2230.0,3119.0
975.0,3429.0
213.0,423.0
851.0,0.0
2015.0,0.0
2649.0,2010.0
1903.0,4033.0
715.0,2782.0
294.0,0.0
1244.0,0.0
2439.0,0.0
2761.0,2709.0
1614.0,4395.0
290.0,1936.0
122.0,0.0
1326.0,0.0
2818.0,1.0
2954.0,2949.0
1510.0,4506.0
2.0,1471.0
0.0,0.0
1431.0,0.0
2889.0,0.0
3216.0,3186.0
2001.0,5295.0
286.0,2299.0
0.0,0.0
783.0,0.0
2295.0,0.0
2997.0,820.0
2301.0,3265.0
972.0,3377.0
3.0,0.0
207.0,0.0
1777.0,0.0
3142.0,1724.0
2880.0,4820.0
1293.0,4397.0
0.0,0.0
56.0,0.0
1323.0,0.0
2516.0,0.0
2719.0,1750.0
1718.0,3524.0
758.0,2400.0
535.0,0.0
1198.0,0.0
2100.0,165.0
2315.0,2660.0
1700.0,4271.0
1120.0,2667.0
1187.0,0.0
1519.0,0.0
1793.0,124.0
1781.0,2025.0
1316.0,3241.0
1101.0,2261.0
1627.0,567.0
2341.0,671.0
2193.0,2409.0
1385.0,3219.0
625.0,1375.0
658.0,0.0
1545.0,0.0
2517.0,1341.0
2600.0,4125.0
1715.0,4619.0
670.0,1124.0
433.0,0.0
1161.0,0.0
2189.0,0.0
2481.0,1561.0
1915.0,3620.0
1084.0,3119.0
760.0,91.0
1058.0,0.0
1951.0,0.0
2633.0,2535.0
2187.0,4890.0
1335.0,3730.0
915.0,0.0
1213.0,0.0
1624.0,0.0
1810.0,440.0
1872.0,2460.0
1730.0,3870.0
1793.0,3203.0
1623.0,844.0
1273.0,0.0
1166.0,0.0
1436.0,640.0
2072.0,2868.0
2328.0,4636.0
2021.0,3753.0
1455.0,476.0
967.0,0.0
1000.0,0.0
1638.0,28.0
2256.0,2228.0
2327.0,4539.0
1736.0,4011.0
1275.0,711.0
1069.0,0.0
1390.0,0.0
1941.0,441.0
2141.0,2602.0
1979.0,4152.0
1717.0,3303.0
1433.0,608.0
1246.0,0.0
1332.0,0.0
1467.0,586.0
1958.0,2580.0
2124.0,4238.0
1846.0,3588.0
1423.0,765.0
1387.0,0.0
1465.0,0.0
1643.0,723.0
1969.0,2800.0
1853.0,4042.0
1417.0,2671.0
1244.0,0.0
1373.0,0.0
1702.0,120.0
1933.0,2102.0
2227.0,4325.0
2121.0,4432.0
1473.0,1532.0
1017.0,0.0
1065.0,0.0
1650.0,0.0
2242.0,1458.0
2335.0,3889.0
