agg_orders_level_0,agg_orders_level_1
5040.0,25200.0
4995.0,25080.0
5010.0,25080.0
5040.0,19980.0
5070.0,30.0
5085.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
441.0,0.0
1482.0,0.0
2544.0,0.0
3165.0,0.0
2733.0,0.0
1220.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
307.0,0.0
1303.0,0.0
2319.0,0.0
3032.0,0.0
2743.0,0.0
1460.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
464.0,0.0
1536.0,0.0
2613.0,0.0
3238.0,0.0
2768.0,0.0
1247.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
747.0,0.0
1888.0,0.0
3061.0,0.0
3463.0,0.0
2757.0,0.0
854.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
900.0,0.0
2103.0,0.0
3291.0,0.0
3570.0,0.0
2643.0,522.0
550.0,1117.0
0.0,1117.0
0.0,595.0
0.0,0.0
0.0,0.0
0.0,0.0
874.0,0.0
2038.0,0.0
3202.0,3370.0
3471.0,5607.0
2570.0,5862.0
532.0,5907.0
0.0,1581.0
846.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
1049.0,0.0
2195.0,0.0
3326.0,0.0
3423.0,0.0
2369.0,1639.0
198.0,1862.0
0.0,1862.0
0.0,178.0
0.0,0.0
0.0,0.0
67.0,0.0
1258.0,0.0
2464.0,0.0
3594.0,3274.0
3523.0,6042.0
2314.0,6252.0
0.0,6252.0
0.0,345.0
23.0,0.0
0.0,0.0
0.0,0.0
364.0,0.0
1645.0,0.0
2923.0,0.0
3834.0,0.0
3476.0,0.0
1816.0,1712.0
0.0,1712.0
0.0,1712.0
0.0,0.0
0.0,0.0
0.0,0.0
480.0,0.0
1769.0,0.0
3072.0,1152.0
3882.0,5414.0
3404.0,6342.0
1616.0,6492.0
0.0,4338.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
352.0,0.0
1628.0,0.0
2885.0,0.0
3790.0,0.0
3389.0,0.0
1776.0,1021.0
0.0,1021.0
0.0,1021.0
0.0,0.0
0.0,0.0
0.0,0.0
256.0,0.0
1527.0,0.0
2781.0,1777.0
3776.0,5888.0
3496.0,6462.0
2009.0,6647.0
0.0,4258.0
549.0,0.0
44.0,0.0
0.0,0.0
0.0,0.0
30.0,0.0
1189.0,0.0
2527.0,0.0
3862.0,0.0
4026.0,0.0
2858.0,2161.0
407.0,2598.0
0.0,2598.0
0.0,407.0
0.0,0.0
0.0,0.0
100.0,0.0
1407.0,0.0
2810.0,0.0
4091.0,2702.0
4085.0,6717.0
2661.0,6977.0
157.0,6987.0
