agg_orders_level_0,agg_orders_level_1
3960.0,15840.0
4020.0,15960.0
4080.0,12300.0
4116.0,552.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
534.0,0.0
1783.0,0.0
2494.0,0.0
1944.0,0.0
702.0,0.0
20.0,0.0
551.0,0.0
1738.0,0.0
2419.0,0.0
1873.0,0.0
644.0,0.0
0.0,0.0
422.0,0.0
1511.0,0.0
2154.0,0.0
1723.0,0.0
607.0,0.0
0.0,0.0
293.0,0.0
1268.0,0.0
1935.0,1395.0
1594.0,3025.0
583.0,2129.0
0.0,0.0
179.0,0.0
1046.0,0.0
1714.0,0.0
1543.0,1245.0
693.0,1874.0
21.0,530.0
162.0,0.0
1009.0,0.0
1711.0,948.0
1604.0,2592.0
811.0,2415.0
134.0,0.0
280.0,0.0
1124.0,0.0
1843.0,681.0
1763.0,2492.0
979.0,2778.0
291.0,505.0
424.0,0.0
1309.0,0.0
2061.0,380.0
1970.0,2182.0
1106.0,2992.0
354.0,1188.0
508.0,0.0
1427.0,0.0
2226.0,1493.0
2107.0,3768.0
1216.0,3539.0
447.0,118.0
566.0,0.0
1436.0,0.0
2193.0,588.0
2095.0,2839.0
1234.0,3533.0
450.0,1048.0
503.0,0.0
1368.0,0.0
2135.0,401.0
2042.0,2599.0
1149.0,3395.0
337.0,1049.0
406.0,0.0
1266.0,0.0
2000.0,209.0
1861.0,2222.0
988.0,3061.0
241.0,996.0
359.0,0.0
1159.0,0.0
1853.0,250.0
1702.0,2084.0
872.0,2766.0
163.0,773.0
303.0,0.0
1109.0,0.0
1801.0,379.0
1678.0,2197.0
850.0,2716.0
186.0,645.0
326.0,0.0
1184.0,0.0
1884.0,618.0
1762.0,2504.0
958.0,2888.0
288.0,612.0
443.0,0.0
1307.0,0.0
2025.0,827.0
1915.0,2866.0
1090.0,3185.0
426.0,673.0
606.0,0.0
1452.0,0.0
2161.0,966.0
2029.0,3123.0
1225.0,3442.0
566.0,813.0
730.0,0.0
1584.0,0.0
2282.0,1082.0
2129.0,3335.0
1281.0,3594.0
623.0,826.0
761.0,0.0
1581.0,0.0
2248.0,916.0
2092.0,3144.0
1257.0,3529.0
567.0,900.0
700.0,0.0
1534.0,0.0
2178.0,815.0
1985.0,2924.0
1115.0,3268.0
433.0,717.0
589.0,0.0
1381.0,0.0
2018.0,660.0
1825.0,2605.0
1010.0,3003.0
353.0,691.0
504.0,0.0
1279.0,0.0
1927.0,647.0
1765.0,2532.0
947.0,2892.0
284.0,572.0
452.0,0.0
1267.0,0.0
1915.0,694.0
1735.0,2549.0
932.0,2835.0
301.0,515.0
524.0,0.0
1381.0,0.0
2027.0,1049.0
1846.0,3015.0
1049.0,3063.0
436.0,420.0
651.0,0.0
1513.0,0.0
2184.0,1221.0
1999.0,3348.0
1189.0,3352.0
585.0,529.0
809.0,0.0
1676.0,0.0
2319.0,1404.0
2146.0,3670.0
1318.0,3636.0
693.0,583.0
906.0,0.0
1752.0,0.0
2385.0,1359.0
2196.0,3687.0
1371.0,3735.0
711.0,699.0
882.0,0.0
1728.0,0.0
2355.0,1182.0
2130.0,3424.0
1243.0,3529.0
574.0,595.0
801.0,0.0
1649.0,0.0
2270.0,1155.0
1999.0,3278.0
1115.0,3282.0
478.0,410.0
707.0,0.0
1510.0,0.0
2079.0,966.0
1834.0,2920.0
1018.0,3008.0
420.0,448.0
623.0,0.0
1424.0,0.0
1992.0,975.0
1754.0,2849.0
976.0,2882.0
398.0,371.0
625.0,0.0
1436.0,0.0
2026.0,1161.0
1803.0,3084.0
1031.0,2986.0
488.0,330.0
759.0,0.0
1579.0,0.0
2152.0,1472.0
1905.0,3493.0
1124.0,3181.0
596.0,212.0
894.0,0.0
1763.0,0.0
2315.0,1759.0
2055.0,3930.0
1249.0,3456.0
754.0,196.0
1077.0,0.0
1931.0,0.0
2465.0,1997.0
2178.0,4291.0
1334.0,3664.0
806.0,124.0
1101.0,0.0
1949.0,0.0
2485.0,1818.0
2165.0,4095.0
1348.0,3657.0
800.0,302.0
1085.0,0.0
1893.0,0.0
2413.0,1710.0
2111.0,3933.0
1250.0,3509.0
672.0,184.0
946.0,0.0
1753.0,0.0
2287.0,1433.0
1973.0,3526.0
1117.0,3242.0
557.0,200.0
817.0,0.0
1625.0,0.0
2149.0,1318.0
1865.0,3291.0
1024.0,3029.0
473.0,178.0
766.0,0.0
1592.0,0.0
2128.0,1394.0
1829.0,3335.0
1004.0,2977.0
501.0,102.0
829.0,0.0
1648.0,0.0
2169.0,1626.0
1883.0,3609.0
1130.0,3145.0
636.0,122.0
940.0,0.0
1744.0,0.0
2269.0,1774.0
2024.0,3898.0
1276.0,3432.0
803.0,265.0
1085.0,0.0
1884.0,0.0
2428.0,1945.0
2206.0,4271.0
1440.0,3790.0
938.0,381.0
1191.0,0.0
1964.0,0.0
2528.0,1869.0
2286.0,4267.0
1523.0,3957.0
978.0,592.0
1204.0,0.0
1981.0,0.0
2530.0,1734.0
2283.0,4129.0
1508.0,3939.0
947.0,681.0
1153.0,0.0
1895.0,0.0
2402.0,1479.0
2127.0,3726.0
1360.0,3639.0
845.0,686.0
1066.0,0.0
1770.0,0.0
2255.0,1432.0
2006.0,3546.0
1225.0,3371.0
665.0,426.0
903.0,0.0
1665.0,0.0
2201.0,1370.0
1963.0,3453.0
1185.0,3300.0
628.0,399.0
832.0,0.0
1621.0,0.0
2187.0,1312.0
1991.0,3415.0
1211.0,3346.0
652.0,507.0
919.0,0.0
