id,inv,demand,forecast,received_shipment,order,Order_Supplier_0,Forecast_Retailer_0,Forecast_Retailer_1,Demand_Retailer_0,Demand_Retailer_1
0.0,0.0,1332.0,1332.0,0.0,5328.0,5328.0,932.0,400.0,932.0,400.0
0.0,0.0,1356.0,1344.0,0.0,5376.0,5376.0,940.0,404.0,948.0,408.0
0.0,0.0,1372.0,1354.0,5328.0,4148.0,4148.0,947.0,407.0,960.0,412.0
0.0,1268.0,1384.0,1361.0,5376.0,184.0,184.0,952.0,409.0,968.0,416.0
0.0,5260.0,0.0,1089.0,4148.0,0.0,0.0,762.0,327.0,0.0,0.0
0.0,9408.0,0.0,908.0,184.0,0.0,0.0,635.0,273.0,0.0,0.0
0.0,9592.0,0.0,778.0,0.0,0.0,0.0,544.0,234.0,0.0,0.0
0.0,9592.0,0.0,680.0,0.0,0.0,0.0,476.0,204.0,0.0,0.0
0.0,9592.0,0.0,605.0,0.0,0.0,0.0,423.0,182.0,0.0,0.0
0.0,9592.0,0.0,545.0,0.0,0.0,0.0,381.0,164.0,0.0,0.0
0.0,9592.0,0.0,495.0,0.0,0.0,0.0,346.0,149.0,0.0,0.0
0.0,9592.0,306.0,480.0,0.0,0.0,0.0,336.0,144.0,218.0,88.0
0.0,9286.0,648.0,492.0,0.0,0.0,0.0,345.0,147.0,459.0,189.0
0.0,8638.0,681.0,505.0,0.0,0.0,0.0,354.0,151.0,477.0,204.0
0.0,7957.0,366.0,496.0,0.0,0.0,0.0,347.0,149.0,250.0,116.0
0.0,7591.0,14.0,466.0,0.0,0.0,0.0,326.0,140.0,5.0,9.0
0.0,7577.0,0.0,439.0,0.0,0.0,0.0,307.0,132.0,0.0,0.0
0.0,7577.0,265.0,429.0,0.0,0.0,0.0,300.0,129.0,192.0,73.0
0.0,7312.0,571.0,437.0,0.0,0.0,0.0,306.0,131.0,404.0,167.0
0.0,6741.0,611.0,445.0,0.0,0.0,0.0,312.0,133.0,427.0,184.0
0.0,6130.0,353.0,441.0,0.0,0.0,0.0,309.0,132.0,241.0,112.0
0.0,5777.0,51.0,423.0,0.0,0.0,0.0,296.0,127.0,32.0,19.0
0.0,5726.0,12.0,406.0,0.0,0.0,0.0,284.0,122.0,10.0,2.0
0.0,5714.0,284.0,400.0,0.0,0.0,0.0,280.0,120.0,204.0,80.0
0.0,5430.0,605.0,408.0,0.0,0.0,0.0,286.0,122.0,427.0,178.0
0.0,4825.0,659.0,418.0,0.0,0.0,0.0,293.0,125.0,460.0,199.0
0.0,4166.0,401.0,417.0,0.0,0.0,0.0,292.0,125.0,276.0,125.0
0.0,3765.0,99.0,406.0,0.0,0.0,0.0,284.0,122.0,66.0,33.0
0.0,3666.0,69.0,394.0,0.0,0.0,0.0,276.0,118.0,51.0,18.0
0.0,3597.0,340.0,393.0,0.0,0.0,0.0,275.0,118.0,244.0,96.0
0.0,3257.0,659.0,401.0,0.0,0.0,0.0,281.0,120.0,463.0,196.0
0.0,2598.0,709.0,411.0,0.0,0.0,0.0,288.0,123.0,493.0,216.0
0.0,1889.0,435.0,411.0,0.0,190.0,190.0,288.0,123.0,301.0,134.0
0.0,1454.0,127.0,403.0,0.0,285.0,285.0,282.0,121.0,87.0,40.0
0.0,1327.0,78.0,394.0,190.0,137.0,137.0,276.0,118.0,56.0,22.0
