agg_orders_level_0,agg_orders_level_1
5685.0,28425.0
5490.0,27930.0
5400.0,27615.0
5205.0,20580.0
5175.0,0.0
5295.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
662.0,0.0
1664.0,0.0
2723.0,0.0
2955.0,0.0
2473.0,0.0
908.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
576.0,0.0
1923.0,0.0
2982.0,0.0
3495.0,0.0
2493.0,0.0
570.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
32.0,0.0
1196.0,0.0
2111.0,0.0
3102.0,0.0
2936.0,0.0
2124.0,0.0
59.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
902.0,0.0
2097.0,0.0
3251.0,0.0
3757.0,0.0
2914.0,0.0
917.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
175.0,0.0
1295.0,0.0
2333.0,0.0
3141.0,0.0
2923.0,0.0
1520.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
774.0,0.0
1773.0,0.0
2916.0,0.0
3519.0,2456.0
3024.0,5765.0
1317.0,5982.0
0.0,4761.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
838.0,0.0
2169.0,0.0
3073.0,0.0
3440.0,0.0
2403.0,161.0
499.0,690.0
0.0,690.0
0.0,529.0
0.0,0.0
0.0,0.0
129.0,0.0
1347.0,0.0
2562.0,2163.0
3857.0,5672.0
3759.0,6017.0
2709.0,6282.0
430.0,5898.0
1834.0,1900.0
1027.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
459.0,0.0
1333.0,0.0
2602.0,0.0
3640.0,0.0
3470.0,324.0
1973.0,2379.0
457.0,2856.0
0.0,2422.0
0.0,106.0
0.0,0.0
0.0,0.0
218.0,0.0
966.0,0.0
2106.0,0.0
3193.0,802.0
3418.0,4550.0
2625.0,6717.0
893.0,6727.0
103.0,2929.0
0.0,0.0
0.0,0.0
0.0,0.0
530.0,0.0
1480.0,0.0
2704.0,0.0
3593.0,0.0
3376.0,0.0
2075.0,599.0
734.0,1318.0
74.0,1182.0
0.0,298.0
0.0,0.0
0.0,0.0
274.0,0.0
1090.0,0.0
1965.0,558.0
2895.0,3714.0
2945.0,6547.0
2388.0,6837.0
1060.0,6003.0
607.0,638.0
713.0,0.0
0.0,0.0
78.0,0.0
829.0,0.0
1792.0,0.0
2707.0,0.0
2886.0,0.0
2527.0,0.0
1427.0,0.0
1227.0,948.0
1398.0,2481.0
966.0,3497.0
227.0,2671.0
24.0,515.0
633.0,0.0
1599.0,0.0
2470.0,0.0
2725.0,836.0
2058.0,2746.0
838.0,3674.0
613.0,3506.0
1003.0,1858.0
1137.0,247.0
938.0,0.0
330.0,0.0
622.0,0.0
1627.0,0.0
2513.0,358.0
2881.0,2414.0
2261.0,4777.0
1065.0,5589.0
853.0,4108.0
1290.0,1424.0
1328.0,246.0
973.0,0.0
538.0,0.0
1249.0,0.0
2326.0,0.0
2863.0,0.0
2533.0,1256.0
1118.0,2137.0
412.0,2589.0
