id,inv,demand,forecast,received_shipment,order,Order_Supplier_0,Order_Supplier_1,Order_Supplier_2,Forecast_Retailer_0,Forecast_Retailer_1,Forecast_Retailer_2,Demand_Retailer_0,Demand_Retailer_1,Demand_Retailer_2,Inv_Product_0,Inv_Product_1,Inv_Product_2,Order_Product_0,Order_Product_1,Order_Product_2,Forecast_Product_0,Forecast_Product_1,Forecast_Product_2
0.0,0.0,765.0,765.0,0.0,3060.0,1020.0,1020.0,1020.0,255.0,255.0,255.0,255.0,255.0,255.0,0.0,0.0,0.0,1020.0,1020.0,1020.0,255.0,255.0,255.0
0.0,0.0,636.0,702.0,0.0,2808.0,936.0,936.0,936.0,234.0,234.0,234.0,212.0,212.0,212.0,0.0,0.0,0.0,936.0,936.0,936.0,234.0,234.0,234.0
0.0,0.0,753.0,717.0,0.0,2868.0,956.0,956.0,956.0,239.0,239.0,239.0,251.0,251.0,251.0,0.0,0.0,0.0,956.0,956.0,956.0,239.0,239.0,239.0
0.0,0.0,954.0,777.0,0.0,3108.0,1036.0,1036.0,1036.0,259.0,259.0,259.0,318.0,318.0,318.0,0.0,0.0,0.0,1036.0,1036.0,1036.0,259.0,259.0,259.0
0.0,0.0,762.0,774.0,8736.0,0.0,0.0,0.0,0.0,258.0,258.0,258.0,254.0,254.0,254.0,0.0,0.0,0.0,0.0,0.0,0.0,258.0,258.0,258.0
0.0,4866.0,741.0,768.0,3108.0,0.0,0.0,0.0,0.0,256.0,256.0,256.0,247.0,247.0,247.0,1622.0,1622.0,1622.0,0.0,0.0,0.0,256.0,256.0,256.0
0.0,7233.0,714.0,762.0,0.0,0.0,0.0,0.0,0.0,254.0,254.0,254.0,238.0,238.0,238.0,2411.0,2411.0,2411.0,0.0,0.0,0.0,254.0,254.0,254.0
0.0,6519.0,687.0,750.0,0.0,0.0,0.0,0.0,0.0,250.0,250.0,250.0,229.0,229.0,229.0,2173.0,2173.0,2173.0,0.0,0.0,0.0,250.0,250.0,250.0
0.0,5832.0,625.0,738.0,0.0,0.0,0.0,0.0,0.0,246.0,246.0,246.0,208.0,208.0,209.0,1944.0,1944.0,1944.0,0.0,0.0,0.0,246.0,246.0,246.0
0.0,5207.0,504.0,714.0,0.0,0.0,0.0,0.0,0.0,238.0,238.0,238.0,168.0,168.0,168.0,1736.0,1736.0,1735.0,0.0,0.0,0.0,238.0,238.0,238.0
0.0,4703.0,663.0,709.0,0.0,0.0,0.0,0.0,0.0,236.0,236.0,237.0,221.0,221.0,221.0,1568.0,1568.0,1567.0,0.0,0.0,0.0,236.0,236.0,237.0
0.0,4040.0,525.0,693.0,0.0,0.0,0.0,0.0,0.0,231.0,231.0,231.0,175.0,175.0,175.0,1347.0,1347.0,1346.0,0.0,0.0,0.0,231.0,231.0,231.0
0.0,3515.0,645.0,690.0,0.0,0.0,0.0,0.0,0.0,230.0,230.0,230.0,215.0,215.0,215.0,1172.0,1172.0,1171.0,0.0,0.0,0.0,230.0,230.0,230.0
0.0,2870.0,654.0,687.0,0.0,532.0,177.0,177.0,178.0,229.0,229.0,229.0,218.0,218.0,218.0,957.0,957.0,956.0,177.0,177.0,178.0,229.0,229.0,229.0
0.0,2216.0,756.0,693.0,0.0,1312.0,437.0,437.0,438.0,231.0,231.0,231.0,252.0,252.0,252.0,739.0,739.0,738.0,437.0,437.0,438.0,231.0,231.0,231.0
