agg_orders_level_0,agg_orders_level_1
3924.0,15696.0
4116.0,16080.0
4200.0,12864.0
4204.0,1112.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
821.0,0.0
1746.0,0.0
1948.0,0.0
1318.0,0.0
516.0,0.0
306.0,0.0
773.0,0.0
1394.0,0.0
1573.0,0.0
1234.0,0.0
789.0,0.0
728.0,0.0
1030.0,0.0
1334.0,0.0
1272.0,0.0
925.0,0.0
712.0,0.0
927.0,0.0
1372.0,0.0
1563.0,0.0
1220.0,0.0
598.0,0.0
352.0,0.0
813.0,588.0
1637.0,2277.0
2025.0,3810.0
1529.0,3086.0
524.0,0.0
2.0,0.0
447.0,0.0
1532.0,0.0
2249.0,832.0
1911.0,2815.0
796.0,2743.0
0.0,0.0
130.0,0.0
1149.0,0.0
2138.0,506.0
2162.0,2740.0
1230.0,3468.0
253.0,701.0
100.0,0.0
834.0,0.0
1745.0,0.0
2045.0,656.0
1524.0,2288.0
737.0,2429.0
370.0,547.0
695.0,0.0
1345.0,0.0
1676.0,1571.0
1462.0,3145.0
1022.0,2608.0
817.0,208.0
989.0,0.0
1261.0,0.0
1292.0,922.0
1102.0,2072.0
959.0,2133.0
1108.0,1145.0
1403.0,403.0
1469.0,739.0
1163.0,1535.0
738.0,1534.0
652.0,615.0
1051.0,120.0
1659.0,1188.0
1883.0,3023.0
1406.0,3301.0
654.0,908.0
319.0,0.0
752.0,0.0
1598.0,0.0
2117.0,1485.0
1794.0,3391.0
919.0,2833.0
209.0,0.0
360.0,0.0
1255.0,0.0
2093.0,394.0
2131.0,2689.0
1343.0,3690.0
440.0,1361.0
231.0,0.0
862.0,0.0
1738.0,0.0
2085.0,1230.0
1631.0,2973.0
872.0,2603.0
492.0,20.0
787.0,0.0
1406.0,0.0
1737.0,1321.0
1564.0,2993.0
1150.0,2846.0
912.0,705.0
1034.0,0.0
1301.0,0.0
1372.0,813.0
1214.0,2087.0
1072.0,2382.0
1184.0,1467.0
1457.0,518.0
1527.0,590.0
1252.0,1336.0
836.0,1594.0
730.0,956.0
1143.0,501.0
1758.0,1339.0
1976.0,2886.0
1512.0,3095.0
741.0,926.0
372.0,0.0
804.0,0.0
1695.0,0.0
2226.0,2026.0
1890.0,4012.0
964.0,2938.0
283.0,0.0
465.0,0.0
1385.0,0.0
2183.0,208.0
2137.0,2489.0
1328.0,3645.0
520.0,1604.0
434.0,0.0
1092.0,0.0
1845.0,0.0
2055.0,1805.0
1575.0,3476.0
921.0,2556.0
687.0,0.0
1014.0,0.0
1506.0,0.0
1710.0,1357.0
1479.0,2944.0
1152.0,2751.0
1077.0,836.0
1282.0,0.0
1456.0,0.0
1382.0,1333.0
1145.0,2526.0
1086.0,2303.0
1375.0,1152.0
1711.0,560.0
1719.0,1131.0
1286.0,1869.0
764.0,1498.0
720.0,313.0
1276.0,103.0
1978.0,1816.0
2142.0,3927.0
1557.0,3692.0
705.0,434.0
361.0,0.0
905.0,0.0
1893.0,0.0
2425.0,1940.0
1975.0,4011.0
946.0,2993.0
275.0,0.0
575.0,0.0
1561.0,0.0
2340.0,648.0
2224.0,3024.0
1348.0,3748.0
549.0,1189.0
518.0,0.0
1214.0,0.0
1989.0,0.0
2176.0,2197.0
1639.0,3932.0
969.0,2668.0
752.0,0.0
1103.0,0.0
1611.0,0.0
1799.0,1261.0
1572.0,2917.0
1278.0,2958.0
1191.0,1184.0
1371.0,0.0
1527.0,0.0
1431.0,1347.0
1212.0,2607.0
1215.0,2475.0
1485.0,1365.0
1780.0,670.0
1741.0,1062.0
1320.0,1724.0
893.0,1551.0
893.0,684.0
1392.0,513.0
1997.0,1886.0
2132.0,3569.0
1588.0,3315.0
814.0,524.0
564.0,0.0
1091.0,0.0
1928.0,172.0
2376.0,2672.0
1999.0,4595.0
1105.0,3024.0
487.0,0.0
711.0,0.0
1574.0,0.0
2315.0,388.0
2262.0,2794.0
1507.0,3957.0
730.0,1809.0
633.0,0.0
1227.0,0.0
1941.0,0.0
2169.0,2041.0
1779.0,3912.0
1191.0,3026.0
924.0,0.0
1152.0,0.0
1566.0,0.0
1803.0,1461.0
1690.0,3235.0
1439.0,3237.0
1344.0,1294.0
1405.0,0.0
1492.0,0.0
1468.0,1096.0
1365.0,2509.0
1367.0,2804.0
1589.0,1872.0
1815.0,883.0
1759.0,786.0
1363.0,1278.0
990.0,1466.0
1049.0,1213.0
1571.0,1330.0
2127.0,2284.0
2158.0,3192.0
1597.0,2529.0
901.0,202.0
713.0,0.0
1239.0,0.0
2030.0,1381.0
2387.0,3888.0
1997.0,4580.0
1157.0,1845.0
624.0,0.0
871.0,0.0
1699.0,0.0
2362.0,896.0
2288.0,3312.0
1540.0,3992.0
848.0,1444.0
782.0,0.0
1319.0,0.0
1984.0,21.0
2208.0,2329.0
1853.0,4253.0
1307.0,3195.0
1048.0,0.0
1215.0,0.0
1610.0,0.0
1872.0,1412.0
1837.0,3341.0
1618.0,3579.0
1425.0,1631.0
1427.0,0.0
1511.0,0.0
1535.0,838.0
1482.0,2364.0
1521.0,3079.0
1729.0,2460.0
1908.0,1289.0
1782.0,615.0
1413.0,739.0
1104.0,1212.0
1207.0,1668.0
1699.0,2167.0
2167.0,2714.0
2173.0,2796.0
1646.0,1740.0
1015.0,0.0
857.0,0.0
1346.0,282.0
2102.0,2428.0
2441.0,4707.0
2075.0,4434.0
1270.0,973.0
756.0,0.0
982.0,0.0
1747.0,0.0
2368.0,1339.0
2312.0,3771.0
1636.0,4112.0
971.0,1224.0
904.0,0.0
1433.0,0.0
2068.0,205.0
2259.0,2592.0
1915.0,4386.0
1399.0,3169.0
1153.0,0.0
1351.0,0.0
1728.0,0.0
1919.0,1697.0
1847.0,3628.0
1632.0,3583.0
1550.0,1469.0
1594.0,0.0
1634.0,0.0
1562.0,1171.0
1488.0,2683.0
1575.0,3111.0
1852.0,2312.0
2049.0,1254.0
1886.0,840.0
1457.0,1031.0
1143.0,1310.0
1267.0,1530.0
1790.0,2038.0
2298.0,2854.0
2293.0,3173.0
1729.0,2068.0
1068.0,0.0
911.0,0.0
1412.0,140.0
2196.0,2318.0
2542.0,4828.0
2149.0,4735.0
1332.0,1211.0
815.0,0.0
1070.0,0.0
1867.0,0.0
2516.0,1477.0
2444.0,4041.0
1730.0,4318.0
1034.0,1235.0
975.0,0.0
1537.0,0.0
2179.0,281.0
2352.0,2765.0
1975.0,4531.0
1455.0,3197.0
1232.0,0.0
1455.0,0.0
1839.0,0.0
2016.0,1951.0
1896.0,3931.0
1704.0,3704.0
1632.0,1369.0
1713.0,0.0
1758.0,0.0
1654.0,1389.0
1549.0,2974.0
1626.0,3231.0
1910.0,2175.0
2136.0,1096.0
2004.0,941.0
1557.0,1390.0
1182.0,1603.0
1294.0,1483.0
1858.0,1762.0
2427.0,2774.0
2414.0,3490.0
1780.0,2512.0
1069.0,31.0
960.0,0.0
1574.0,46.0
2355.0,2349.0
2661.0,5072.0
2166.0,4965.0
1345.0,1198.0
890.0,0.0
1221.0,0.0
2002.0,0.0
2558.0,1646.0
2436.0,4206.0
1769.0,4349.0
1172.0,1243.0
1137.0,0.0
1624.0,0.0
2206.0,534.0
2367.0,3025.0
2045.0,4604.0
1581.0,3136.0
1387.0,0.0
1555.0,0.0
1864.0,70.0
2046.0,2180.0
1993.0,4187.0
1867.0,3894.0
1821.0,1512.0
1802.0,0.0
1748.0,0.0
1653.0,1257.0
1654.0,2955.0
1823.0,3541.0
2091.0,2701.0
2200.0,1376.0
1981.0,656.0
1572.0,832.0
1296.0,1448.0
1476.0,2088.0
1986.0,2634.0
2448.0,3058.0
2403.0,2887.0
1870.0,1715.0
1249.0,71.0
1083.0,0.0
1601.0,823.0
2384.0,3271.0
2715.0,5275.0
2296.0,4384.0
1487.0,568.0
1000.0,0.0
1262.0,0.0
2032.0,2.0
2630.0,2480.0
2566.0,5168.0
1910.0,4622.0
1285.0,663.0
1208.0,0.0
1672.0,0.0
2250.0,424.0
2481.0,3017.0
2193.0,4870.0
1713.0,3538.0
1441.0,50.0
1570.0,0.0
1920.0,0.0
2136.0,2079.0
2133.0,4296.0
1984.0,4221.0
1858.0,1767.0
1785.0,0.0
1764.0,0.0
1761.0,1037.0
1827.0,2888.0
1978.0,3865.0
2175.0,3184.0
2201.0,1520.0
1972.0,308.0
1633.0,409.0
1479.0,1556.0
1688.0,2815.0
2130.0,3421.0
2442.0,3108.0
2364.0,2111.0
1893.0,900.0
1399.0,136.0
1332.0,496.0
1785.0,2133.0
2376.0,4081.0
2592.0,4628.0
2265.0,2884.0
1689.0,63.0
1320.0,0.0
1450.0,0.0
1983.0,1567.0
2504.0,4171.0
2543.0,5267.0
2098.0,3222.0
1570.0,0.0
1363.0,0.0
1653.0,0.0
2162.0,1321.0
2468.0,3897.0
2400.0,5064.0
1978.0,3141.0
1591.0,0.0
1516.0,0.0
1790.0,0.0
2170.0,1907.0
2352.0,4347.0
2257.0,4741.0
1976.0,2346.0
1765.0,0.0
1718.0,0.0
1819.0,481.0
2000.0,2517.0
2170.0,4250.0
2219.0,3976.0
2161.0,1895.0
1985.0,0.0
1783.0,0.0
1664.0,1412.0
1798.0,3210.0
2133.0,3967.0
2438.0,3239.0
2405.0,1729.0
2040.0,534.0
1582.0,335.0
1436.0,1189.0
1770.0,2600.0
2365.0,3836.0
2680.0,4000.0
2448.0,2676.0
1832.0,484.0
1346.0,0.0
1414.0,8.0
2040.0,1976.0
2678.0,4742.0
2741.0,5627.0
2209.0,3118.0
1558.0,0.0
1338.0,0.0
1712.0,0.0
2330.0,1167.0
2658.0,3921.0
2482.0,5312.0
1978.0,3377.0
1591.0,0.0
1614.0,0.0
1963.0,0.0
2329.0,2089.0
2446.0,4619.0
2250.0,4828.0
1985.0,2182.0
1847.0,0.0
1875.0,0.0
1978.0,788.0
2074.0,2886.0
2169.0,4327.0
2261.0,3738.0
2253.0,1664.0
2122.0,24.0
1900.0,248.0
1753.0,1953.0
1838.0,3543.0
2179.0,3805.0
2543.0,2865.0
2557.0,1665.0
2150.0,950.0
1642.0,867.0
1478.0,1347.0
1864.0,2332.0
2475.0,3516.0
2798.0,4070.0
2544.0,3158.0
1885.0,949.0
1389.0,0.0
1519.0,0.0
2152.0,1770.0
2767.0,4621.0
2811.0,5770.0
2274.0,3463.0
1647.0,0.0
1413.0,0.0
1756.0,0.0
2382.0,1268.0
2780.0,4156.0
2613.0,5597.0
2083.0,3524.0
1635.0,0.0
1652.0,0.0
2043.0,0.0
2435.0,2060.0
2533.0,4677.0
2338.0,5007.0
2063.0,2369.0
1907.0,0.0
1941.0,0.0
2093.0,846.0
2213.0,3107.0
2275.0,4584.0
2312.0,3817.0
2296.0,1525.0
2202.0,0.0
2025.0,374.0
1857.0,2231.0
1929.0,3790.0
2248.0,3839.0
2572.0,2657.0
2628.0,1494.0
2279.0,1120.0
1769.0,1359.0
1559.0,1750.0
1887.0,2250.0
2512.0,3072.0
2900.0,3806.0
2663.0,3457.0
2003.0,1642.0
1464.0,0.0
1539.0,0.0
2184.0,1566.0
2862.0,4520.0
2974.0,6048.0
2454.0,4022.0
1734.0,0.0
1450.0,0.0
1824.0,0.0
2501.0,1297.0
2876.0,4285.0
2679.0,5755.0
2107.0,3577.0
1682.0,0.0
1770.0,0.0
2179.0,0.0
2569.0,2353.0
2604.0,5045.0
2360.0,5092.0
2110.0,2145.0
2030.0,0.0
2107.0,0.0
2237.0,1190.0
2287.0,3521.0
2293.0,4684.0
2333.0,3520.0
2396.0,1228.0
2336.0,78.0
2127.0,915.0
1935.0,2752.0
1966.0,3819.0
2285.0,3364.0
2677.0,2278.0
2745.0,1691.0
2373.0,1790.0
1839.0,1902.0
1617.0,1685.0
1965.0,1724.0
2644.0,2731.0
3058.0,4157.0
2800.0,4298.0
2060.0,2189.0
1492.0,0.0
1616.0,0.0
2292.0,946.0
2964.0,3994.0
3052.0,6220.0
2499.0,4773.0
1791.0,290.0
1533.0,0.0
1910.0,0.0
2594.0,1146.0
3000.0,4266.0
2806.0,6014.0
2197.0,3949.0
1746.0,0.0
1790.0,0.0
2238.0,0.0
2677.0,2313.0
2752.0,5173.0
2490.0,5398.0
2148.0,2341.0
2013.0,0.0
2125.0,0.0
2321.0,973.0
2438.0,3459.0
2453.0,5003.0
2446.0,4002.0
2446.0,1441.0
2381.0,0.0
2215.0,558.0
2053.0,2611.0
2104.0,4161.0
2381.0,3955.0
2692.0,2522.0
2783.0,1394.0
2474.0,1358.0
1983.0,1911.0
1732.0,2237.0
1990.0,2284.0
2605.0,2696.0
3069.0,3565.0
2903.0,3844.0
2243.0,2522.0
1666.0,264.0
1681.0,0.0
2271.0,1342.0
2978.0,4404.0
3140.0,6322.0
2638.0,4604.0
1922.0,156.0
1612.0,0.0
1960.0,0.0
2656.0,1492.0
3095.0,4715.0
