agg_orders_level_0,agg_orders_level_1
4845.0,24225.0
5220.0,25155.0
5565.0,26055.0
5430.0,23160.0
5160.0,3060.0
4965.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
547.0,0.0
1486.0,0.0
2340.0,0.0
2913.0,0.0
2407.0,0.0
1229.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
1121.0,0.0
2516.0,0.0
3797.0,0.0
3894.0,0.0
2169.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
24.0,0.0
975.0,0.0
1587.0,0.0
2550.0,0.0
2766.0,0.0
2507.0,0.0
1069.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
1264.0,0.0
2536.0,0.0
3706.0,0.0
3334.0,0.0
1701.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
586.0,0.0
1768.0,0.0
2935.0,0.0
3715.0,0.0
3276.0,0.0
1391.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
59.0,0.0
1001.0,0.0
2050.0,13.0
2913.0,3167.0
3193.0,5807.0
2400.0,6042.0
930.0,6127.0
69.0,1297.0
1015.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
187.0,0.0
1639.0,0.0
3007.0,0.0
3933.0,0.0
3458.0,1140.0
1390.0,2675.0
0.0,2675.0
0.0,1430.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
691.0,0.0
1855.0,0.0
3187.0,206.0
3774.0,4067.0
3077.0,6337.0
1039.0,6447.0
0.0,4195.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
473.0,0.0
1508.0,0.0
2453.0,0.0
3099.0,0.0
2668.0,0.0
1607.0,0.0
316.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
172.0,0.0
1304.0,0.0
2687.0,2663.0
3958.0,5867.0
4127.0,6267.0
2682.0,6537.0
1053.0,6632.0
2001.0,3007.0
563.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
139.0,0.0
424.0,0.0
769.0,0.0
1041.0,0.0
1786.0,0.0
2376.0,0.0
2943.0,0.0
2886.0,0.0
1912.0,1625.0
167.0,1517.0
0.0,1137.0
127.0,0.0
498.0,0.0
945.0,0.0
1190.0,274.0
1759.0,1342.0
2001.0,3538.0
2367.0,5856.0
2716.0,6591.0
2369.0,6262.0
959.0,1499.0
236.0,0.0
129.0,0.0
486.0,0.0
876.0,0.0
1206.0,0.0
1228.0,0.0
1694.0,0.0
1775.0,0.0
2443.0,0.0
2264.0,439.0
1521.0,1085.0
240.0,1105.0
63.0,444.0
510.0,140.0
786.0,278.0
1129.0,850.0
1321.0,1536.0
1957.0,3205.0
2466.0,5056.0
3153.0,6582.0
2804.0,6202.0
1049.0,2540.0
165.0,0.0
510.0,0.0
915.0,0.0
1236.0,0.0
1161.0,0.0
852.0,0.0
631.0,0.0
1504.0,0.0
2233.0,0.0
2601.0,0.0
2327.0,1266.0
1457.0,2803.0
641.0,3399.0
927.0,2975.0
1080.0,1127.0
888.0,481.0
698.0,300.0
808.0,342.0
2023.0,1048.0
2735.0,2022.0
2908.0,2609.0
2028.0,3883.0
1443.0,3588.0
1053.0,4050.0
1233.0,2524.0
987.0,0.0
426.0,0.0
22.0,0.0
403.0,0.0
1336.0,0.0
2286.0,0.0
3014.0,0.0
3421.0,878.0
2773.0,3834.0
1399.0,5258.0
1179.0,5554.0
684.0,2309.0
0.0,0.0
0.0,0.0
277.0,0.0
1237.0,0.0
2164.0,0.0
2974.0,0.0
3138.0,459.0
2543.0,1781.0
1902.0,3748.0
1194.0,4478.0
426.0,2973.0
0.0,0.0
161.0,0.0
422.0,0.0
1520.0,0.0
2448.0,0.0
3214.0,656.0
3053.0,2567.0
2027.0,4674.0
1089.0,5097.0
1188.0,3748.0
879.0,906.0
282.0,0.0
9.0,0.0
396.0,0.0
1038.0,0.0
1836.0,0.0
2153.0,613.0
2925.0,1347.0
2693.0,1663.0
2620.0,3586.0
1464.0,3788.0
886.0,3724.0
0.0,1604.0
204.0,0.0
570.0,0.0
1499.0,0.0
2488.0,0.0
3051.0,990.0
2876.0,1438.0
2198.0,3050.0
1167.0,3297.0
1257.0,3236.0
1136.0,2598.0
574.0,706.0
25.0,0.0
486.0,0.0
1393.0,0.0
2346.0,0.0
2898.0,796.0
3033.0,1865.0
2499.0,4534.0
1558.0,5451.0
1377.0,5098.0
905.0,2640.0
0.0,0.0
26.0,0.0
430.0,0.0
1415.0,0.0
2448.0,0.0
2946.0,0.0
3038.0,666.0
2279.0,972.0
1571.0,2353.0
1442.0,3254.0
1077.0,3424.0
218.0,1908.0
82.0,0.0
401.0,0.0
1431.0,0.0
2501.0,0.0
3399.0,324.0
3438.0,3660.0
2732.0,6577.0
1249.0,7171.0
1353.0,5400.0
1034.0,274.0
689.0,0.0
0.0,0.0
286.0,0.0
1107.0,0.0
2089.0,0.0
2806.0,0.0
2754.0,468.0
2114.0,798.0
1920.0,1338.0
1520.0,1854.0
1469.0,2605.0
774.0,2414.0
256.0,1846.0
837.0,242.0
2061.0,0.0
3038.0,296.0
3491.0,2493.0
2749.0,5377.0
1763.0,6909.0
947.0,5398.0
1227.0,1782.0
1228.0,0.0
911.0,0.0
622.0,0.0
681.0,0.0
1879.0,0.0
2701.0,196.0
3142.0,1183.0
2624.0,1670.0
2218.0,3044.0
1502.0,3508.0
1616.0,3599.0
1360.0,3440.0
698.0,1950.0
349.0,0.0
807.0,0.0
2197.0,0.0
3295.0,530.0
3698.0,1564.0
2898.0,3340.0
1843.0,4728.0
954.0,4188.0
1348.0,3166.0
1438.0,1230.0
1063.0,0.0
533.0,0.0
501.0,0.0
1078.0,0.0
1897.0,0.0
2643.0,834.0
3020.0,1485.0
2720.0,3642.0
2347.0,5310.0
1225.0,5170.0
1321.0,3812.0
904.0,850.0
954.0,0.0
874.0,0.0
1334.0,0.0
2154.0,1147.0
2352.0,1977.0
2432.0,2112.0
2759.0,1291.0
2529.0,1110.0
1496.0,2192.0
1479.0,3390.0
901.0,3108.0
415.0,966.0
564.0,0.0
1087.0,0.0
2031.0,0.0
2871.0,894.0
3254.0,1567.0
2723.0,3532.0
2091.0,4844.0
1215.0,4547.0
1308.0,3490.0
963.0,1034.0
950.0,0.0
888.0,0.0
1316.0,0.0
2094.0,896.0
2384.0,1797.0
2408.0,1982.0
2824.0,1482.0
2735.0,2222.0
1814.0,3406.0
1433.0,4640.0
878.0,3532.0
357.0,136.0
528.0,0.0
959.0,0.0
2049.0,73.0
3041.0,1353.0
3533.0,2242.0
3016.0,2510.0
2536.0,3565.0
1264.0,2706.0
1335.0,3838.0
942.0,2970.0
527.0,738.0
460.0,0.0
852.0,0.0
1543.0,0.0
2189.0,0.0
2677.0,371.0
2824.0,778.0
3200.0,2769.0
2538.0,5101.0
1409.0,5772.0
998.0,4450.0
820.0,1404.0
724.0,0.0
1199.0,0.0
1910.0,658.0
2617.0,1906.0
2752.0,2451.0
3045.0,2162.0
2938.0,813.0
1800.0,1294.0
1414.0,2492.0
1028.0,3578.0
584.0,2764.0
445.0,82.0
796.0,0.0
1787.0,0.0
2768.0,0.0
3427.0,792.0
3545.0,2638.0
3096.0,5934.0
1699.0,6916.0
1249.0,5562.0
976.0,2278.0
646.0,0.0
607.0,0.0
1129.0,0.0
1824.0,0.0
2637.0,719.0
2919.0,1557.0
3208.0,1957.0
3300.0,1816.0
2529.0,2511.0
1519.0,3020.0
900.0,4010.0
110.0,2342.0
197.0,0.0
613.0,0.0
1524.0,0.0
2805.0,0.0
3898.0,1194.0
4116.0,2332.0
3355.0,5887.0
2096.0,6929.0
1229.0,5901.0
