agg_orders_level_0,agg_orders_level_1
4024.0,16096.0
4216.0,16480.0
4588.0,13836.0
4488.0,2056.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
105.0,0.0
1113.0,0.0
2158.0,0.0
2133.0,0.0
1097.0,0.0
12.0,0.0
117.0,0.0
1188.0,0.0
2229.0,0.0
1941.0,0.0
519.0,0.0
0.0,0.0
21.0,0.0
1089.0,0.0
2229.0,0.0
2241.0,0.0
1119.0,0.0
0.0,0.0
0.0,0.0
1338.0,0.0
2352.0,0.0
1989.0,0.0
879.0,0.0
21.0,0.0
219.0,0.0
1020.0,657.0
1740.0,2445.0
1657.0,3505.0
934.0,1958.0
396.0,0.0
710.0,0.0
1517.0,0.0
1930.0,1036.0
1481.0,2541.0
637.0,2094.0
366.0,0.0
913.0,0.0
1615.0,305.0
1581.0,1910.0
1043.0,2636.0
425.0,875.0
570.0,0.0
1414.0,0.0
2149.0,801.0
2050.0,3015.0
1083.0,3373.0
284.0,666.0
305.0,0.0
1059.0,0.0
1771.0,2.0
1820.0,1966.0
979.0,3015.0
446.0,1519.0
700.0,0.0
1436.0,0.0
1813.0,826.0
1715.0,2589.0
1138.0,2985.0
695.0,1139.0
595.0,0.0
977.0,0.0
1468.0,0.0
1394.0,1329.0
1024.0,2437.0
596.0,1740.0
529.0,0.0
1184.0,0.0
2060.0,1204.0
2127.0,3415.0
1423.0,3742.0
733.0,1120.0
660.0,0.0
938.0,0.0
1238.0,0.0
1374.0,276.0
1126.0,1486.0
892.0,2162.0
918.0,1586.0
1088.0,464.0
1307.0,157.0
1533.0,1274.0
1582.0,2783.0
1309.0,2866.0
1143.0,1202.0
941.0,0.0
819.0,0.0
900.0,0.0
1230.0,976.0
1458.0,2470.0
1239.0,2713.0
771.0,954.0
591.0,0.0
966.0,0.0
1636.0,560.0
1972.0,2592.0
1785.0,3781.0
1089.0,2198.0
645.0,0.0
876.0,0.0
1332.0,0.0
1646.0,858.0
1552.0,2390.0
905.0,2365.0
547.0,494.0
926.0,0.0
1708.0,377.0
1979.0,2404.0
1807.0,3834.0
1400.0,2806.0
955.0,0.0
803.0,0.0
1212.0,0.0
1758.0,990.0
1758.0,2776.0
1125.0,2883.0
684.0,767.0
813.0,0.0
1297.0,0.0
1705.0,1052.0
1728.0,2756.0
1370.0,3018.0
1328.0,1586.0
1206.0,0.0
1159.0,0.0
1237.0,680.0
1183.0,1851.0
1157.0,2308.0
1024.0,1477.0
1118.0,311.0
1366.0,224.0
1559.0,1520.0
1504.0,2804.0
1320.0,2588.0
1261.0,1021.0
1285.0,0.0
1416.0,137.0
1394.0,1567.0
1383.0,2861.0
1122.0,2420.0
906.0,449.0
802.0,0.0
889.0,0.0
1283.0,518.0
1615.0,2217.0
1631.0,3370.0
1387.0,2524.0
1067.0,149.0
1348.0,0.0
1764.0,604.0
1655.0,2339.0
1352.0,3123.0
990.0,1750.0
769.0,0.0
1081.0,0.0
1596.0,275.0
1886.0,2257.0
1751.0,3797.0
1231.0,2743.0
756.0,0.0
922.0,0.0
1516.0,0.0
2148.0,1485.0
2135.0,3708.0
1361.0,3604.0
675.0,483.0
328.0,0.0
1003.0,0.0
1824.0,0.0
2375.0,2018.0
2024.0,4098.0
1071.0,3103.0
526.0,0.0
937.0,0.0
1857.0,0.0
2435.0,1661.0
2009.0,3738.0
1188.0,3261.0
342.0,0.0
401.0,0.0
1256.0,0.0
2187.0,428.0
2239.0,2727.0
1166.0,3441.0
298.0,916.0
647.0,0.0
1963.0,0.0
2696.0,1985.0
2189.0,4234.0
927.0,3136.0
271.0,0.0
809.0,0.0
1750.0,0.0
2306.0,970.0
1951.0,3013.0
1130.0,3149.0
538.0,590.0
725.0,0.0
1846.0,0.0
2652.0,2170.0
2381.0,4623.0
1382.0,3811.0
573.0,0.0
667.0,0.0
1417.0,0.0
2344.0,390.0
2147.0,2621.0
964.0,3147.0
114.0,508.0
568.0,0.0
1883.0,0.0
2714.0,2130.0
2440.0,4686.0
1197.0,3729.0
253.0,0.0
533.0,0.0
1894.0,0.0
2802.0,724.0
2171.0,3039.0
923.0,3226.0
262.0,329.0
610.0,0.0
1673.0,0.0
2606.0,1627.0
2412.0,4183.0
1495.0,4087.0
693.0,513.0
863.0,0.0
1647.0,0.0
2228.0,591.0
2132.0,2847.0
1444.0,3780.0
631.0,1516.0
603.0,0.0
1517.0,0.0
2409.0,677.0
2332.0,3165.0
1576.0,4136.0
711.0,1574.0
650.0,0.0
1448.0,0.0
2502.0,380.0
2746.0,3318.0
1774.0,4784.0
429.0,1787.0
24.0,0.0
1012.0,0.0
2614.0,0.0
3165.0,2103.0
2051.0,4250.0
485.0,2536.0
90.0,0.0
1084.0,0.0
2521.0,0.0
3052.0,2473.0
2069.0,4650.0
622.0,2739.0
0.0,0.0
754.0,0.0
2204.0,0.0
3005.0,1341.0
2180.0,3649.0
798.0,3022.0
220.0,0.0
1214.0,0.0
2725.0,346.0
3206.0,3780.0
1960.0,5498.0
413.0,2011.0
0.0,0.0
1220.0,0.0
2798.0,0.0
3009.0,1601.0
1888.0,3597.0
472.0,2368.0
48.0,0.0
1457.0,0.0
3234.0,1006.0
3317.0,4523.0
1549.0,5114.0
0.0,471.0
6.0,0.0
1415.0,0.0
3149.0,0.0
3348.0,2924.0
1610.0,4606.0
0.0,1562.0
0.0,0.0
1224.0,0.0
2813.0,0.0
3080.0,2523.0
2288.0,4931.0
837.0,3197.0
71.0,0.0
961.0,0.0
2276.0,0.0
2704.0,973.0
2165.0,3298.0
994.0,3315.0
428.0,289.0
