agg_orders_level_0,agg_orders_level_1
4995.0,24975.0
5100.0,25245.0
5160.0,25425.0
5145.0,20925.0
5100.0,780.0
5055.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
294.0,0.0
1323.0,0.0
2325.0,0.0
3045.0,0.0
2778.0,0.0
1551.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
548.0,0.0
1683.0,0.0
2810.0,0.0
3370.0,0.0
2743.0,0.0
965.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
488.0,0.0
1532.0,0.0
2591.0,0.0
3211.0,0.0
2819.0,0.0
1395.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
619.0,0.0
1813.0,0.0
2958.0,0.0
3447.0,0.0
2705.0,0.0
830.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
734.0,0.0
1833.0,0.0
3003.0,0.0
3466.0,0.0
2829.0,0.0
1019.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
662.0,0.0
1844.0,1583.0
2989.0,4712.0
3440.0,5602.0
2734.0,5867.0
913.0,5948.0
1582.0,2304.0
1235.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
550.0,0.0
1813.0,0.0
3037.0,0.0
3655.0,0.0
2985.0,1585.0
1101.0,2786.0
0.0,2741.0
0.0,1001.0
0.0,0.0
0.0,0.0
0.0,0.0
669.0,0.0
1844.0,0.0
3078.0,1.0
3675.0,3679.0
3109.0,6352.0
1285.0,6487.0
0.0,4743.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
590.0,0.0
1856.0,0.0
3065.0,0.0
3658.0,0.0
2999.0,0.0
1188.0,672.0
0.0,602.0
0.0,422.0
0.0,0.0
0.0,0.0
0.0,0.0
874.0,0.0
2140.0,1045.0
3448.0,4828.0
3907.0,6337.0
3048.0,6632.0
839.0,6712.0
917.0,2099.0
1101.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
265.0,0.0
1203.0,0.0
2442.0,0.0
3473.0,0.0
3605.0,0.0
2510.0,1240.0
765.0,2080.0
0.0,2030.0
0.0,610.0
0.0,0.0
0.0,0.0
311.0,0.0
1272.0,0.0
2608.0,104.0
3578.0,3369.0
3560.0,6622.0
2221.0,6832.0
689.0,6715.0
149.0,468.0
316.0,0.0
0.0,0.0
0.0,0.0
375.0,0.0
1345.0,0.0
2534.0,0.0
3400.0,0.0
3381.0,0.0
2202.0,504.0
796.0,1010.0
394.0,1311.0
324.0,981.0
128.0,663.0
0.0,217.0
350.0,0.0
1295.0,0.0
2484.0,416.0
3303.0,4039.0
3279.0,6688.0
2175.0,7007.0
966.0,6472.0
549.0,450.0
1004.0,0.0
91.0,0.0
0.0,0.0
464.0,0.0
1059.0,0.0
2094.0,0.0
2932.0,0.0
3126.0,0.0
2371.0,172.0
1727.0,1339.0
751.0,2160.0
404.0,2407.0
300.0,1283.0
58.0,87.0
401.0,0.0
1001.0,0.0
2072.0,0.0
2886.0,1149.0
3143.0,4597.0
2498.0,6234.0
1800.0,6402.0
844.0,4488.0
565.0,0.0
286.0,0.0
2.0,0.0
511.0,0.0
1154.0,0.0
2118.0,0.0
2908.0,242.0
3011.0,1054.0
2261.0,1335.0
1885.0,1823.0
1044.0,1913.0
427.0,1088.0
295.0,582.0
23.0,0.0
509.0,0.0
1107.0,0.0
2162.0,0.0
2944.0,2009.0
3178.0,5452.0
2520.0,6605.0
1928.0,6421.0
912.0,3821.0
997.0,0.0
282.0,0.0
0.0,0.0
581.0,0.0
1231.0,0.0
1876.0,0.0
2406.0,321.0
2475.0,1117.0
2055.0,1355.0
2333.0,1378.0
2026.0,1873.0
913.0,1646.0
251.0,1596.0
0.0,352.0
589.0,0.0
1215.0,0.0
1855.0,0.0
2469.0,921.0
2675.0,3200.0
2323.0,5713.0
2443.0,6415.0
1974.0,5300.0
660.0,2806.0
235.0,0.0
0.0,0.0
555.0,0.0
1228.0,0.0
1868.0,0.0
2524.0,197.0
2668.0,1012.0
2318.0,1279.0
2475.0,1448.0
2051.0,1638.0
745.0,1129.0
199.0,976.0
19.0,176.0
660.0,0.0
1323.0,0.0
1995.0,0.0
2591.0,1914.0
2704.0,4788.0
2227.0,6949.0
2460.0,6474.0
1980.0,5298.0
887.0,864.0
554.0,0.0
0.0,0.0
634.0,0.0
1292.0,0.0
1938.0,0.0
2083.0,476.0
2255.0,1271.0
1929.0,1482.0
2618.0,1406.0
2603.0,804.0
1640.0,1464.0
165.0,1404.0
67.0,1190.0
758.0,0.0
1457.0,0.0
2093.0,26.0
2094.0,1164.0
2098.0,2976.0
1712.0,4742.0
