agg_orders_level_0,agg_orders_level_1
3984.0,15936.0
4068.0,16104.0
4116.0,12456.0
4164.0,624.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
937.0,0.0
1987.0,0.0
2094.0,0.0
1101.0,0.0
0.0,0.0
0.0,0.0
720.0,0.0
1632.0,0.0
1839.0,0.0
1146.0,0.0
216.0,0.0
18.0,0.0
795.0,0.0
1780.0,0.0
2014.0,0.0
1275.0,0.0
344.0,0.0
194.0,0.0
987.0,0.0
1946.0,0.0
2150.0,0.0
1394.0,737.0
424.0,1077.0
194.0,414.0
952.0,253.0
1898.0,1821.0
2063.0,3715.0
1277.0,3175.0
285.0,0.0
79.0,0.0
823.0,0.0
1758.0,0.0
1953.0,1083.0
1182.0,2265.0
220.0,1306.0
31.0,0.0
795.0,0.0
1790.0,291.0
2024.0,2375.0
1281.0,3377.0
328.0,1258.0
157.0,0.0
990.0,0.0
1985.0,0.0
2180.0,1095.0
1395.0,2586.0
421.0,1948.0
262.0,0.0
1044.0,0.0
2027.0,1011.0
2192.0,3371.0
1360.0,3816.0
353.0,754.0
157.0,0.0
932.0,0.0
1877.0,0.0
2054.0,1200.0
1267.0,2555.0
292.0,1623.0
87.0,0.0
845.0,0.0
1800.0,29.0
2016.0,2177.0
1312.0,3568.0
381.0,1736.0
173.0,0.0
932.0,0.0
1932.0,0.0
2203.0,1660.0
1489.0,3245.0
540.0,2089.0
302.0,0.0
1016.0,0.0
1995.0,0.0
2263.0,2311.0
1546.0,3953.0
564.0,2190.0
272.0,0.0
948.0,0.0
1889.0,0.0
2147.0,1271.0
1422.0,2801.0
406.0,1908.0
107.0,0.0
811.0,0.0
1817.0,0.0
2104.0,2014.0
1424.0,3546.0
436.0,1932.0
143.0,0.0
847.0,0.0
1889.0,0.0
2225.0,1546.0
1557.0,3203.0
553.0,2182.0
277.0,0.0
1003.0,0.0
2053.0,0.0
2366.0,2472.0
1649.0,4233.0
614.0,2335.0
310.0,0.0
1015.0,0.0
2008.0,0.0
2282.0,1358.0
1522.0,2988.0
500.0,2094.0
190.0,0.0
899.0,0.0
1880.0,0.0
2160.0,2109.0
1459.0,3676.0
452.0,1991.0
130.0,0.0
831.0,0.0
1879.0,0.0
2261.0,1389.0
1612.0,3113.0
593.0,2301.0
250.0,0.0
938.0,0.0
2014.0,0.0
2415.0,2448.0
1772.0,4336.0
728.0,2596.0
339.0,0.0
1003.0,0.0
2030.0,0.0
2394.0,1390.0
1723.0,3213.0
682.0,2489.0
279.0,0.0
905.0,0.0
1880.0,0.0
2248.0,2063.0
1604.0,3779.0
592.0,2284.0
170.0,0.0
778.0,0.0
1796.0,0.0
2221.0,1134.0
1682.0,2936.0
700.0,2478.0
299.0,0.0
907.0,0.0
1937.0,31.0
2374.0,2533.0
1817.0,4439.0
823.0,2717.0
408.0,0.0
982.0,0.0
1990.0,0.0
2460.0,1333.0
1901.0,3354.0
857.0,2866.0
345.0,0.0
881.0,0.0
1919.0,0.0
2383.0,2114.0
1780.0,4014.0
704.0,2592.0
204.0,0.0
769.0,0.0
1828.0,0.0
2307.0,1022.0
1754.0,2904.0
716.0,2590.0
258.0,0.0
820.0,0.0
1903.0,0.0
2406.0,2411.0
1853.0,4384.0
860.0,2829.0
405.0,0.0
976.0,0.0
2032.0,0.0
2508.0,1457.0
1970.0,3555.0
950.0,3040.0
453.0,0.0
973.0,0.0
1984.0,0.0
2460.0,2255.0
1904.0,4279.0
851.0,2871.0
309.0,0.0
805.0,0.0
1822.0,0.0
2358.0,935.0
1859.0,2926.0
803.0,2790.0
268.0,56.0
793.0,0.0
1845.0,0.0
2408.0,2252.0
1934.0,4314.0
931.0,2993.0
410.0,0.0
934.0,0.0
2004.0,0.0
2573.0,1527.0
2078.0,3733.0
1035.0,3241.0
490.0,0.0
972.0,0.0
2020.0,0.0
2557.0,2222.0
2046.0,4392.0
980.0,3170.0
425.0,0.0
888.0,0.0
1888.0,0.0
2392.0,1097.0
1890.0,3115.0
860.0,2890.0
359.0,38.0
849.0,0.0
1847.0,0.0
2365.0,2175.0
1901.0,4208.0
946.0,2987.0
468.0,0.0
962.0,0.0
1976.0,0.0
2523.0,1641.0
2071.0,3840.0
1108.0,3307.0
595.0,0.0
1089.0,0.0
2075.0,0.0
2588.0,2427.0
2101.0,4656.0
1118.0,3347.0
599.0,0.0
1019.0,0.0
1938.0,0.0
2425.0,1241.0
1960.0,3325.0
978.0,3082.0
464.0,109.0
920.0,0.0
1866.0,0.0
2362.0,2082.0
1906.0,4108.0
963.0,3009.0
497.0,0.0
974.0,0.0
1960.0,0.0
2516.0,1739.0
2086.0,3965.0
1109.0,3335.0
598.0,0.0
1077.0,0.0
2132.0,0.0
2676.0,2438.0
2194.0,4760.0
1147.0,3489.0
598.0,0.0
1076.0,0.0
2107.0,0.0
2612.0,1533.0
2082.0,3743.0
1032.0,3254.0
484.0,0.0
969.0,0.0
1962.0,0.0
2469.0,2049.0
1953.0,4122.0
945.0,3038.0
453.0,0.0
988.0,0.0
