agg_orders_level_0,agg_orders_level_1
5595.0,27975.0
5715.0,28275.0
5520.0,28050.0
5610.0,22515.0
5550.0,0.0
5625.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
3.0,0.0
1179.0,0.0
2211.0,0.0
3375.0,0.0
3373.0,0.0
2234.0,0.0
68.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
471.0,0.0
1594.0,0.0
2626.0,0.0
3271.0,0.0
2844.0,0.0
1178.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
334.0,0.0
1419.0,0.0
2473.0,0.0
3131.0,0.0
2862.0,0.0
1450.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
2.0,0.0
1058.0,0.0
1877.0,0.0
3136.0,0.0
3274.0,0.0
2628.0,0.0
689.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
45.0,0.0
1263.0,0.0
2436.0,0.0
3618.0,0.0
3288.0,0.0
1989.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
615.0,0.0
1797.0,0.0
2994.0,0.0
3393.0,2553.0
2586.0,5389.0
663.0,5862.0
0.0,3559.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
1063.0,0.0
2494.0,0.0
3841.0,0.0
3870.0,7.0
2564.0,2766.0
0.0,2766.0
0.0,2759.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
896.0,0.0
2135.0,0.0
3522.0,666.0
3896.0,4802.0
3030.0,6207.0
711.0,6272.0
0.0,3415.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
629.0,0.0
2111.0,0.0
3284.0,0.0
3997.0,0.0
3164.0,776.0
1299.0,2185.0
0.0,2185.0
0.0,1409.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
1042.0,0.0
2344.0,0.0
3646.0,2132.0
3837.0,6245.0
3011.0,6582.0
622.0,6647.0
0.0,1875.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
829.0,0.0
2096.0,0.0
3218.0,0.0
3700.0,0.0
2897.0,0.0
1062.0,813.0
0.0,708.0
0.0,463.0
0.0,0.0
0.0,0.0
213.0,0.0
1293.0,0.0
2514.0,1904.0
3468.0,5692.0
3477.0,6532.0
2090.0,6737.0
25.0,4238.0
738.0,0.0
199.0,0.0
0.0,0.0
0.0,0.0
567.0,0.0
1944.0,0.0
3335.0,0.0
3855.0,0.0
3003.0,328.0
976.0,1383.0
0.0,1383.0
0.0,1055.0
0.0,0.0
0.0,0.0
7.0,0.0
972.0,0.0
2394.0,0.0
3656.0,3553.0
4052.0,6452.0
3135.0,6752.0
834.0,6832.0
6.0,2345.0
824.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
229.0,0.0
1192.0,0.0
2590.0,0.0
3888.0,0.0
4028.0,0.0
3016.0,2303.0
982.0,3380.0
0.0,3380.0
0.0,1077.0
0.0,0.0
0.0,0.0
21.0,0.0
361.0,0.0
1632.0,0.0
2817.0,0.0
3756.0,1327.0
3522.0,5189.0
2207.0,7098.0
551.0,6880.0
0.0,1676.0
0.0,0.0
0.0,0.0
149.0,0.0
577.0,0.0
1772.0,0.0
3070.0,0.0
3998.0,0.0
3769.0,0.0
2328.0,1855.0
449.0,2354.0
0.0,2294.0
0.0,259.0
14.0,0.0
282.0,0.0
705.0,0.0
1553.0,0.0
2472.0,0.0
3138.0,3226.0
3032.0,6548.0
2522.0,7360.0
1402.0,7490.0
47.0,1030.0
484.0,0.0
372.0,0.0
894.0,0.0
1341.0,0.0
2015.0,0.0
2658.0,0.0
2678.0,0.0
2993.0,0.0
2108.0,758.0
494.0,1297.0
0.0,1277.0
0.0,418.0
417.0,0.0
888.0,0.0
1549.0,81.0
2810.0,2321.0
3275.0,5683.0
3370.0,7162.0
2876.0,7442.0
1619.0,6351.0
1429.0,892.0
336.0,0.0
0.0,0.0
276.0,0.0
774.0,0.0
1302.0,0.0
1512.0,0.0
2026.0,0.0
2252.0,0.0
2859.0,0.0
3215.0,600.0
2319.0,3134.0
426.0,3590.0
0.0,2930.0
0.0,0.0
267.0,0.0
789.0,0.0
1251.0,0.0
2296.0,0.0
3382.0,1054.0
3652.0,4558.0
3507.0,7388.0
2432.0,8115.0
478.0,5943.0
0.0,229.0
0.0,0.0
66.0,0.0
483.0,0.0
921.0,0.0
1564.0,0.0
2639.0,0.0
3428.0,0.0
3547.0,0.0
3318.0,273.0
1833.0,2192.0
0.0,2067.0
0.0,1594.0
216.0,0.0
660.0,0.0
1092.0,0.0
1290.0,0.0
1781.0,742.0
2321.0,2756.0
2978.0,6024.0
3503.0,8150.0
2863.0,8340.0
1191.0,4499.0
202.0,0.0
629.0,0.0
1097.0,0.0
1358.0,0.0
1230.0,0.0
650.0,0.0
1250.0,0.0
2296.0,0.0
3310.0,0.0
3343.0,0.0
2229.0,1069.0
451.0,1410.0
855.0,2160.0
1392.0,2398.0
1536.0,2394.0
1194.0,1228.0
477.0,145.0
1346.0,0.0
2429.0,142.0
3287.0,3077.0
2995.0,6327.0
1615.0,7816.0
116.0,4809.0
627.0,0.0
1110.0,0.0
1492.0,0.0
1426.0,0.0
1746.0,0.0
2243.0,0.0
3352.0,0.0
3435.0,1444.0
2331.0,3804.0
122.0,3891.0
0.0,2362.0
334.0,91.0
853.0,0.0
1399.0,0.0
1615.0,0.0
2500.0,96.0
2850.0,1188.0
3681.0,5146.0
3461.0,7944.0
2129.0,8620.0
0.0,4766.0
22.0,0.0
156.0,0.0
682.0,0.0
1222.0,0.0
1586.0,0.0
2627.0,0.0
3129.0,0.0
3604.0,0.0
3699.0,326.0
2492.0,2775.0
59.0,2739.0
0.0,2283.0
94.0,0.0
545.0,0.0
1040.0,0.0
1510.0,0.0
2580.0,233.0
3277.0,3242.0
3603.0,6975.0
3757.0,8615.0
2775.0,8805.0
592.0,4074.0
319.0,0.0
150.0,0.0
608.0,0.0
1124.0,0.0
1484.0,0.0
1737.0,0.0
2104.0,0.0
2779.0,0.0
3465.0,0.0
3369.0,310.0
1917.0,1861.0
410.0,2176.0
369.0,2130.0
912.0,1091.0
1410.0,338.0
1581.0,162.0
1607.0,690.0
1617.0,1556.0
2596.0,3750.0
3279.0,6659.0
3235.0,8567.0
1872.0,6323.0
659.0,2989.0
509.0,519.0
1019.0,0.0
1478.0,0.0
1407.0,0.0
1480.0,0.0
1524.0,0.0
2580.0,0.0
3381.0,0.0
3289.0,740.0
1942.0,1462.0
957.0,2058.0
696.0,1924.0
1227.0,1549.0
1614.0,960.0
1476.0,794.0
1419.0,177.0
1471.0,1150.0
2693.0,3622.0
3353.0,5980.0
3045.0,7144.0
1477.0,6153.0
692.0,2947.0
