agg_orders_level_0,agg_orders_level_1
3552.0,14208.0
3636.0,14376.0
3864.0,11580.0
4152.0,1824.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
574.0,0.0
1417.0,0.0
2100.0,0.0
1821.0,0.0
881.0,0.0
476.0,0.0
996.0,0.0
1948.0,0.0
1954.0,0.0
987.0,0.0
71.0,0.0
0.0,0.0
651.0,0.0
1509.0,0.0
1674.0,0.0
990.0,0.0
345.0,0.0
688.0,0.0
1498.0,0.0
2090.0,770.0
1842.0,2696.0
832.0,2710.0
0.0,0.0
0.0,0.0
666.0,0.0
1540.0,0.0
1815.0,1097.0
1223.0,2320.0
305.0,1444.0
294.0,0.0
1100.0,0.0
2123.0,1197.0
2280.0,3585.0
1420.0,3824.0
367.0,542.0
96.0,0.0
707.0,0.0
1436.0,0.0
1639.0,8.0
1177.0,1171.0
723.0,1850.0
608.0,1067.0
980.0,4.0
1563.0,301.0
1895.0,2028.0
1592.0,3439.0
1041.0,2532.0
337.0,0.0
316.0,0.0
849.0,0.0
1569.0,0.0
1533.0,1525.0
852.0,2389.0
309.0,1089.0
574.0,0.0
1322.0,0.0
1966.0,1401.0
2042.0,3563.0
1430.0,3628.0
725.0,694.0
429.0,0.0
733.0,0.0
1180.0,0.0
1392.0,158.0
1179.0,1381.0
963.0,2138.0
688.0,1373.0
727.0,0.0
1320.0,9.0
1793.0,1846.0
1775.0,3624.0
1177.0,2895.0
866.0,65.0
1028.0,0.0
1250.0,0.0
1332.0,923.0
938.0,1893.0
577.0,1463.0
638.0,112.0
1222.0,0.0
1878.0,1757.0
1933.0,3826.0
1406.0,3495.0
902.0,475.0
675.0,0.0
1089.0,0.0
1685.0,0.0
1556.0,1574.0
903.0,2497.0
308.0,1147.0
387.0,0.0
1078.0,0.0
2014.0,962.0
2106.0,3188.0
1433.0,3695.0
677.0,1120.0
777.0,0.0
1438.0,0.0
2002.0,498.0
1818.0,2436.0
956.0,2942.0
494.0,964.0
405.0,0.0
974.0,0.0
1680.0,61.0
1725.0,1882.0
1278.0,3167.0
798.0,2035.0
961.0,0.0
1624.0,0.0
2133.0,1491.0
2003.0,3602.0
1166.0,3325.0
378.0,122.0
394.0,0.0
1009.0,0.0
1593.0,0.0
1577.0,1191.0
1145.0,2372.0
696.0,1873.0
1004.0,485.0
1797.0,409.0
2437.0,2413.0
2212.0,4296.0
1371.0,3290.0
585.0,0.0
525.0,0.0
1062.0,0.0
1718.0,0.0
1565.0,1175.0
945.0,2152.0
602.0,1531.0
862.0,157.0
1772.0,398.0
2401.0,2706.0
2285.0,4709.0
1276.0,3315.0
359.0,0.0
635.0,0.0
1582.0,0.0
2164.0,55.0
1857.0,1972.0
740.0,2693.0
0.0,633.0
174.0,0.0
1659.0,0.0
2704.0,1764.0
2611.0,4531.0
1438.0,4253.0
471.0,144.0
514.0,0.0
