id,inv,demand,forecast,received_shipment,order,Order_Supplier_0,Forecast_Retailer_0,Forecast_Retailer_1,Demand_Retailer_0,Demand_Retailer_1
0.0,0.0,1158.0,1158.0,0.0,3474.0,3474.0,810.0,348.0,810.0,348.0
0.0,0.0,1131.0,1145.0,3474.0,2250.0,2250.0,801.0,344.0,792.0,339.0
0.0,1185.0,0.0,763.0,2250.0,0.0,0.0,534.0,229.0,0.0,0.0
0.0,3435.0,333.0,655.0,0.0,0.0,0.0,459.0,196.0,234.0,99.0
0.0,3102.0,203.0,565.0,0.0,0.0,0.0,395.0,170.0,141.0,62.0
0.0,2899.0,286.0,519.0,0.0,0.0,0.0,363.0,156.0,200.0,86.0
0.0,2613.0,302.0,487.0,0.0,0.0,0.0,341.0,146.0,213.0,89.0
0.0,2311.0,294.0,463.0,0.0,0.0,0.0,324.0,139.0,205.0,89.0
0.0,2017.0,328.0,449.0,0.0,0.0,0.0,314.0,135.0,229.0,99.0
0.0,1689.0,389.0,443.0,0.0,29.0,29.0,310.0,133.0,273.0,116.0
0.0,1300.0,321.0,431.0,29.0,285.0,285.0,302.0,129.0,224.0,97.0
0.0,1008.0,393.0,428.0,285.0,384.0,384.0,300.0,128.0,276.0,117.0
0.0,900.0,249.0,414.0,384.0,207.0,207.0,290.0,124.0,175.0,74.0
0.0,1035.0,357.0,410.0,207.0,345.0,345.0,287.0,123.0,251.0,106.0
0.0,885.0,301.0,403.0,345.0,280.0,280.0,282.0,121.0,209.0,92.0
0.0,929.0,367.0,401.0,280.0,361.0,361.0,281.0,120.0,258.0,109.0
0.0,842.0,408.0,401.0,361.0,408.0,408.0,281.0,120.0,286.0,122.0
0.0,795.0,351.0,398.0,408.0,342.0,342.0,279.0,119.0,246.0,105.0
0.0,852.0,314.0,394.0,342.0,302.0,302.0,276.0,118.0,219.0,95.0
0.0,880.0,313.0,390.0,302.0,301.0,301.0,273.0,117.0,218.0,95.0
0.0,869.0,383.0,390.0,301.0,383.0,383.0,273.0,117.0,270.0,113.0
0.0,787.0,350.0,388.0,383.0,344.0,344.0,272.0,116.0,245.0,105.0
0.0,820.0,413.0,389.0,344.0,416.0,416.0,272.0,117.0,289.0,124.0
0.0,751.0,358.0,387.0,416.0,352.0,352.0,271.0,116.0,251.0,107.0
