agg_orders_level_0,agg_orders_level_1
5040.0,25200.0
5100.0,25350.0
5145.0,25470.0
5190.0,20865.0
5250.0,900.0
5310.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
801.0,0.0
1861.0,0.0
2923.0,0.0
3238.0,0.0
2513.0,0.0
755.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
107.0,0.0
1277.0,0.0
2390.0,0.0
3384.0,0.0
3187.0,0.0
1873.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
405.0,0.0
1429.0,0.0
2428.0,0.0
3070.0,0.0
2730.0,0.0
1427.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
119.0,0.0
1382.0,0.0
2588.0,0.0
3702.0,0.0
3508.0,0.0
2122.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
681.0,0.0
1732.0,0.0
2785.0,0.0
3184.0,0.0
2542.0,0.0
807.0,55.0
0.0,55.0
0.0,55.0
0.0,0.0
0.0,0.0
4.0,0.0
1186.0,355.0
2404.0,2744.0
3657.0,5397.0
3746.0,5757.0
2626.0,5997.0
1536.0,6147.0
2459.0,3790.0
987.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
978.0,0.0
2079.0,0.0
3183.0,0.0
3342.0,0.0
2367.0,822.0
327.0,1049.0
0.0,809.0
0.0,0.0
0.0,0.0
0.0,0.0
259.0,0.0
1518.0,0.0
2824.0,2485.0
3865.0,6192.0
3664.0,6552.0
2184.0,6617.0
205.0,4286.0
1513.0,0.0
336.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
28.0,0.0
781.0,0.0
1908.0,0.0
3060.0,0.0
3431.0,0.0
2699.0,777.0
890.0,1482.0
140.0,1332.0
0.0,354.0
0.0,0.0
0.0,0.0
9.0,0.0
835.0,0.0
2073.0,264.0
3364.0,3953.0
3900.0,6647.0
3156.0,6727.0
1166.0,6482.0
502.0,1593.0
1214.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
641.0,0.0
1589.0,0.0
2511.0,0.0
2845.0,0.0
2467.0,0.0
1228.0,28.0
1064.0,915.0
1038.0,1968.0
649.0,2449.0
90.0,1324.0
0.0,0.0
240.0,0.0
1117.0,0.0
1978.0,0.0
2711.0,1634.0
2866.0,4770.0
2184.0,6797.0
1146.0,6744.0
1145.0,3096.0
916.0,0.0
138.0,0.0
0.0,0.0
765.0,0.0
1770.0,0.0
2760.0,0.0
3000.0,0.0
2593.0,0.0
1240.0,0.0
1222.0,858.0
1236.0,2214.0
830.0,3039.0
8.0,1994.0
0.0,0.0
298.0,0.0
1184.0,0.0
2054.0,0.0
2644.0,542.0
2538.0,3335.0
1747.0,5247.0
975.0,5780.0
1173.0,3728.0
999.0,0.0
438.0,0.0
0.0,0.0
741.0,0.0
1761.0,0.0
2772.0,0.0
3065.0,0.0
2778.0,1177.0
1488.0,2800.0
1320.0,4250.0
1332.0,4530.0
885.0,2640.0
2.0,0.0
0.0,0.0
659.0,0.0
1631.0,0.0
2562.0,0.0
2841.0,0.0
2367.0,1017.0
1116.0,2178.0
1027.0,3300.0
1185.0,3583.0
947.0,2427.0
313.0,0.0
0.0,0.0
618.0,0.0
1587.0,0.0
2592.0,0.0
2979.0,826.0
2836.0,3822.0
1750.0,5657.0
1312.0,6253.0
1362.0,3928.0
959.0,194.0
124.0,0.0
40.0,0.0
1021.0,0.0
2092.0,0.0
3087.0,0.0
3100.0,0.0
2414.0,563.0
896.0,1469.0
1237.0,2826.0
1269.0,3652.0
881.0,3104.0
52.0,318.0
0.0,0.0
563.0,0.0
1518.0,0.0
2517.0,0.0
2917.0,431.0
2747.0,3333.0
1673.0,5076.0
1234.0,5954.0
1338.0,4079.0
1016.0,328.0
247.0,0.0
38.0,0.0
1151.0,0.0
2260.0,0.0
3348.0,0.0
3334.0,97.0
2662.0,2593.0
979.0,3572.0
1413.0,5023.0
1355.0,3920.0
823.0,1181.0
0.0,0.0
0.0,0.0
707.0,0.0
1706.0,0.0
2690.0,0.0
2982.0,0.0
2513.0,1455.0
1241.0,2721.0
1108.0,3919.0
1287.0,3871.0
1061.0,2261.0
400.0,0.0
8.0,0.0
1047.0,0.0
2155.0,0.0
3271.0,0.0
3390.0,2201.0
2851.0,5197.0
1228.0,6460.0
1458.0,5837.0
1451.0,2221.0
934.0,0.0
0.0,0.0
18.0,0.0
1045.0,0.0
2143.0,0.0
3190.0,0.0
3211.0,0.0
2456.0,500.0
844.0,1329.0
1231.0,2680.0
1329.0,3634.0
965.0,3320.0
169.0,720.0
0.0,0.0
777.0,0.0
1833.0,0.0
2926.0,0.0
3268.0,1589.0
3038.0,4787.0
1755.0,6617.0
1479.0,6627.0
1499.0,3469.0
1024.0,0.0
46.0,0.0
66.0,0.0
1239.0,0.0
2405.0,0.0
3507.0,0.0
3415.0,0.0
2628.0,881.0
948.0,1844.0
1437.0,3416.0
1440.0,4110.0
954.0,3245.0
0.0,114.0
0.0,0.0
714.0,0.0
1785.0,0.0
2856.0,0.0
3235.0,605.0
2878.0,3638.0
1615.0,5313.0
1308.0,6091.0
1440.0,4038.0
1110.0,0.0
315.0,0.0
39.0,0.0
1241.0,0.0
2475.0,0.0
3653.0,0.0
3673.0,822.0
2934.0,3891.0
1083.0,4989.0
1548.0,5865.0
1491.0,3615.0
918.0,0.0
0.0,0.0
0.0,0.0
948.0,0.0
2067.0,0.0
3186.0,0.0
3336.0,0.0
2715.0,2086.0
1110.0,3211.0
1296.0,4612.0
1434.0,4095.0
1101.0,2025.0
294.0,0.0
0.0,0.0
1126.0,0.0
2327.0,0.0
3542.0,0.0
3684.0,1956.0
3140.0,5246.0
1409.0,6685.0
1623.0,6502.0
1593.0,3014.0
1011.0,0.0
0.0,0.0
47.0,0.0
1283.0,0.0
2489.0,0.0
3652.0,0.0
3546.0,0.0
2665.0,1266.0
927.0,2193.0
1413.0,3741.0
1464.0,4089.0
1020.0,2936.0
111.0,0.0
0.0,0.0
789.0,0.0
1951.0,0.0
3135.0,0.0
3538.0,1299.0
3321.0,4800.0
1935.0,6825.0
1575.0,7221.0
1590.0,4151.0
1086.0,0.0
78.0,0.0
21.0,0.0
1308.0,0.0
2610.0,0.0
3858.0,0.0
3903.0,0.0
3096.0,1699.0
1152.0,2881.0
1596.0,4627.0
1497.0,4575.0
870.0,2549.0
0.0,0.0
0.0,0.0
774.0,0.0
1956.0,0.0
3132.0,0.0
3541.0,0.0
3211.0,3172.0
1801.0,5033.0
1479.0,6632.0
1551.0,5161.0
1131.0,1259.0
189.0,0.0
0.0,0.0
1240.0,0.0
2564.0,0.0
3879.0,0.0
4093.0,0.0
3432.0,3424.0
1437.0,4906.0
1689.0,6760.0
1548.0,5024.0
852.0,925.0
0.0,0.0
0.0,0.0
1036.0,0.0
2302.0,0.0
3520.0,0.0
3692.0,0.0
3099.0,1630.0
1289.0,2939.0
1527.0,4601.0
1563.0,4684.0
1083.0,2858.0
84.0,0.0
0.0,0.0
1130.0,0.0
2423.0,0.0
3716.0,0.0
4026.0,1699.0
3503.0,5387.0
1731.0,7178.0
1734.0,7378.0
1635.0,3786.0
954.0,0.0
0.0,0.0
56.0,0.0
1425.0,0.0
2754.0,0.0
4034.0,0.0
4008.0,0.0
3105.0,1520.0
1197.0,2747.0
1650.0,4547.0
1539.0,4716.0
876.0,2860.0
0.0,0.0
0.0,0.0
837.0,0.0
2096.0,0.0
3375.0,0.0
3890.0,460.0
3643.0,4313.0
2166.0,6574.0
1692.0,7951.0
1653.0,5446.0
1068.0,5.0
0.0,0.0
0.0,0.0
1373.0,0.0
2776.0,0.0
