id,inv,demand,forecast,received_shipment,order,Order_Supplier_0,Forecast_Retailer_0,Forecast_Retailer_1,Demand_Retailer_0,Demand_Retailer_1
0.0,0.0,1660.0,1660.0,0.0,8300.0,8300.0,1160.0,500.0,1160.0,500.0
0.0,0.0,1730.0,1695.0,0.0,8475.0,8475.0,1185.0,510.0,1210.0,520.0
0.0,0.0,1770.0,1720.0,0.0,8600.0,8600.0,1203.0,517.0,1240.0,530.0
0.0,0.0,1770.0,1732.0,8300.0,7290.0,7290.0,1212.0,520.0,1240.0,530.0
0.0,1370.0,1735.0,1733.0,8475.0,555.0,555.0,1213.0,520.0,1215.0,520.0
0.0,8110.0,1700.0,1727.0,8600.0,0.0,0.0,1209.0,518.0,1190.0,510.0
0.0,15010.0,0.0,1480.0,7290.0,0.0,0.0,1036.0,444.0,0.0,0.0
0.0,22300.0,0.0,1296.0,555.0,0.0,0.0,907.0,389.0,0.0,0.0
0.0,22855.0,0.0,1152.0,0.0,0.0,0.0,806.0,346.0,0.0,0.0
0.0,22855.0,0.0,1037.0,0.0,0.0,0.0,726.0,311.0,0.0,0.0
0.0,22855.0,0.0,943.0,0.0,0.0,0.0,660.0,283.0,0.0,0.0
0.0,22855.0,0.0,864.0,0.0,0.0,0.0,605.0,259.0,0.0,0.0
0.0,22855.0,0.0,797.0,0.0,0.0,0.0,558.0,239.0,0.0,0.0
0.0,22855.0,0.0,740.0,0.0,0.0,0.0,518.0,222.0,0.0,0.0
0.0,22855.0,0.0,691.0,0.0,0.0,0.0,484.0,207.0,0.0,0.0
0.0,22855.0,0.0,647.0,0.0,0.0,0.0,453.0,194.0,0.0,0.0
0.0,22855.0,0.0,610.0,0.0,0.0,0.0,427.0,183.0,0.0,0.0
0.0,22855.0,0.0,576.0,0.0,0.0,0.0,403.0,173.0,0.0,0.0
0.0,22855.0,0.0,546.0,0.0,0.0,0.0,382.0,164.0,0.0,0.0
0.0,22855.0,0.0,519.0,0.0,0.0,0.0,363.0,156.0,0.0,0.0
0.0,22855.0,0.0,493.0,0.0,0.0,0.0,345.0,148.0,0.0,0.0
0.0,22855.0,0.0,471.0,0.0,0.0,0.0,330.0,141.0,0.0,0.0
0.0,22855.0,0.0,450.0,0.0,0.0,0.0,315.0,135.0,0.0,0.0
0.0,22855.0,0.0,432.0,0.0,0.0,0.0,302.0,130.0,0.0,0.0
0.0,22855.0,0.0,414.0,0.0,0.0,0.0,290.0,124.0,0.0,0.0
0.0,22855.0,296.0,410.0,0.0,0.0,0.0,287.0,123.0,209.0,87.0
0.0,22559.0,614.0,417.0,0.0,0.0,0.0,292.0,125.0,430.0,184.0
0.0,21945.0,940.0,436.0,0.0,0.0,0.0,305.0,131.0,658.0,282.0
0.0,21005.0,996.0,456.0,0.0,0.0,0.0,319.0,137.0,695.0,301.0
0.0,20009.0,767.0,466.0,0.0,0.0,0.0,326.0,140.0,536.0,231.0
0.0,19242.0,231.0,459.0,0.0,0.0,0.0,321.0,138.0,159.0,72.0
0.0,19011.0,0.0,444.0,0.0,0.0,0.0,311.0,133.0,0.0,0.0
0.0,19011.0,0.0,430.0,0.0,0.0,0.0,301.0,129.0,0.0,0.0
0.0,19011.0,0.0,418.0,0.0,0.0,0.0,292.0,126.0,0.0,0.0
0.0,19011.0,0.0,406.0,0.0,0.0,0.0,284.0,122.0,0.0,0.0
0.0,19011.0,0.0,395.0,0.0,0.0,0.0,276.0,119.0,0.0,0.0
0.0,19011.0,328.0,393.0,0.0,0.0,0.0,275.0,118.0,233.0,95.0
0.0,18683.0,723.0,401.0,0.0,0.0,0.0,281.0,120.0,511.0,212.0
0.0,17960.0,1106.0,420.0,0.0,0.0,0.0,294.0,126.0,781.0,325.0
0.0,16854.0,1121.0,437.0,0.0,0.0,0.0,306.0,131.0,788.0,333.0
0.0,15733.0,715.0,444.0,0.0,0.0,0.0,311.0,133.0,497.0,218.0
0.0,15018.0,0.0,434.0,0.0,0.0,0.0,304.0,130.0,0.0,0.0
0.0,15018.0,0.0,424.0,0.0,0.0,0.0,297.0,127.0,0.0,0.0
0.0,15018.0,0.0,414.0,0.0,0.0,0.0,290.0,124.0,0.0,0.0
0.0,15018.0,0.0,404.0,0.0,0.0,0.0,283.0,121.0,0.0,0.0
0.0,15018.0,0.0,395.0,0.0,0.0,0.0,277.0,118.0,0.0,0.0
0.0,15018.0,8.0,387.0,0.0,0.0,0.0,271.0,116.0,0.0,8.0
0.0,15010.0,327.0,386.0,0.0,0.0,0.0,270.0,116.0,218.0,109.0
