agg_orders_level_0,agg_orders_level_1
3516.0,14064.0
3744.0,14520.0
3876.0,11916.0
3936.0,1560.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
321.0,0.0
1448.0,0.0
2366.0,0.0
2182.0,0.0
1103.0,0.0
147.0,0.0
433.0,0.0
1569.0,0.0
2078.0,0.0
1676.0,0.0
921.0,0.0
442.0,0.0
710.0,0.0
1269.0,0.0
1720.0,0.0
1256.0,0.0
676.0,0.0
361.0,0.0
739.0,0.0
1403.0,1064.0
1666.0,2778.0
1182.0,2868.0
448.0,434.0
224.0,0.0
631.0,0.0
1361.0,0.0
1687.0,891.0
1295.0,2194.0
424.0,1635.0
0.0,0.0
592.0,0.0
1246.0,0.0
1521.0,1033.0
1073.0,2082.0
398.0,1375.0
33.0,0.0
460.0,0.0
1315.0,0.0
1737.0,1367.0
1307.0,2686.0
617.0,1900.0
208.0,0.0
688.0,0.0
1701.0,0.0
2205.0,1744.0
1624.0,3200.0
495.0,1687.0
143.0,0.0
866.0,0.0
1839.0,0.0
2251.0,2283.0
1802.0,4229.0
880.0,2862.0
494.0,0.0
835.0,0.0
1682.0,0.0
2014.0,652.0
1742.0,2514.0
1243.0,3165.0
809.0,1400.0
943.0,0.0
1544.0,0.0
1933.0,1231.0
1667.0,2994.0
1087.0,2882.0
732.0,576.0
827.0,0.0
1301.0,0.0
1786.0,1056.0
1541.0,2681.0
916.0,2553.0
506.0,318.0
871.0,0.0
1514.0,0.0
1642.0,1522.0
1247.0,2853.0
808.0,2151.0
602.0,0.0
763.0,0.0
1064.0,0.0
1372.0,876.0
1298.0,2270.0
1015.0,2445.0
861.0,1000.0
920.0,0.0
899.0,0.0
1053.0,427.0
1126.0,1637.0
1081.0,2339.0
1371.0,2073.0
1319.0,1029.0
1398.0,354.0
1150.0,515.0
865.0,1082.0
879.0,1458.0
1292.0,1632.0
1583.0,1709.0
1536.0,1601.0
1387.0,1355.0
1039.0,865.0
795.0,289.0
1160.0,536.0
1982.0,2217.0
2448.0,4177.0
1849.0,3881.0
790.0,510.0
234.0,0.0
857.0,0.0
2027.0,0.0
2568.0,1765.0
1943.0,3768.0
896.0,2903.0
390.0,0.0
956.0,0.0
1925.0,0.0
2285.0,1748.0
1557.0,3341.0
553.0,2134.0
290.0,0.0
864.0,0.0
1834.0,0.0
2434.0,2069.0
1854.0,3995.0
825.0,2775.0
95.0,0.0
575.0,0.0
1590.0,0.0
2143.0,348.0
1726.0,2146.0
817.0,2627.0
213.0,658.0
476.0,0.0
1394.0,0.0
2058.0,1313.0
1597.0,2946.0
647.0,2268.0
268.0,0.0
777.0,0.0
1803.0,0.0
2127.0,2101.0
1474.0,3611.0
739.0,2201.0
579.0,0.0
1041.0,0.0
1803.0,0.0
2010.0,1870.0
1509.0,3427.0
930.0,2463.0
846.0,0.0
1266.0,0.0
1863.0,512.0
2040.0,2624.0
1639.0,3823.0
1147.0,2346.0
885.0,0.0
1308.0,0.0
1872.0,62.0
2199.0,2381.0
1827.0,4254.0
1209.0,3118.0
1050.0,0.0
1224.0,0.0
1749.0,0.0
2196.0,1869.0
1806.0,3787.0
1255.0,3193.0
1043.0,381.0
1241.0,0.0
1743.0,0.0
1964.0,1799.0
1661.0,3560.0
1185.0,2970.0
922.0,260.0
1051.0,0.0
1368.0,0.0
1863.0,1260.0
1739.0,3119.0
1220.0,3127.0
910.0,870.0
940.0,0.0
1044.0,0.0
1301.0,50.0
1355.0,1489.0
1329.0,2840.0
1156.0,2487.0
934.0,493.0
894.0,0.0
999.0,0.0
1424.0,894.0
1499.0,2437.0
1254.0,2761.0
1009.0,1241.0
1090.0,0.0
1479.0,0.0
1718.0,1654.0
1445.0,3123.0
1134.0,2555.0
1084.0,444.0
1249.0,0.0
1441.0,151.0
1643.0,1850.0
1777.0,3524.0
1757.0,3419.0
1357.0,1192.0
1190.0,0.0
1267.0,0.0
1835.0,933.0
2156.0,3149.0
1894.0,4110.0
1300.0,2201.0
1086.0,0.0
1481.0,0.0
2013.0,506.0
2052.0,2618.0
1842.0,3966.0
1461.0,2749.0
1085.0,0.0
1330.0,0.0
1808.0,269.0
2230.0,2571.0
2067.0,4393.0
1502.0,3300.0
1088.0,0.0
885.0,0.0
1318.0,0.0
2000.0,934.0
2072.0,3054.0
1351.0,3435.0
779.0,1088.0
805.0,0.0
1484.0,0.0
2065.0,1015.0
2039.0,3126.0
1184.0,3283.0
465.0,554.0
604.0,0.0
1408.0,0.0
2203.0,988.0
2021.0,3105.0
991.0,3108.0
359.0,282.0
703.0,0.0
1668.0,0.0
2251.0,1574.0
1792.0,3422.0
912.0,2712.0
488.0,0.0
1054.0,0.0
2162.0,246.0
2642.0,2996.0
1822.0,4620.0
761.0,2337.0
520.0,0.0
1511.0,0.0
2561.0,0.0
2702.0,2734.0
1800.0,4570.0
665.0,2465.0
664.0,0.0
1599.0,0.0
2872.0,509.0
3060.0,3697.0
1870.0,5118.0
609.0,1970.0
569.0,0.0
1503.0,0.0
2843.0,0.0
3196.0,3045.0
2063.0,5188.0
724.0,2819.0
464.0,0.0
1441.0,0.0
2550.0,0.0
2828.0,2071.0
1881.0,4012.0
574.0,2491.0
253.0,0.0
1362.0,0.0
2766.0,285.0
2736.0,3133.0
1404.0,4296.0
146.0,1261.0
155.0,0.0
1360.0,0.0
2519.0,0.0
2584.0,2302.0
1428.0,3822.0
137.0,1609.0
143.0,0.0
1413.0,0.0
2530.0,148.0
2473.0,2729.0
1303.0,3956.0
