agg_orders_level_0,agg_orders_level_1
3972.0,15888.0
4116.0,16176.0
4236.0,12876.0
4284.0,1152.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
664.0,0.0
1702.0,0.0
2118.0,0.0
1547.0,0.0
596.0,0.0
201.0,0.0
718.0,0.0
1621.0,0.0
1944.0,0.0
1283.0,0.0
284.0,0.0
0.0,0.0
622.0,0.0
1612.0,0.0
2034.0,0.0
1544.0,0.0
686.0,0.0
306.0,0.0
808.0,0.0
1654.0,0.0
1926.0,0.0
1322.0,628.0
419.0,963.0
54.0,245.0
601.0,0.0
1519.0,1145.0
1926.0,3143.0
1487.0,3509.0
671.0,989.0
345.0,0.0
874.0,0.0
1705.0,0.0
1984.0,1423.0
1392.0,2827.0
476.0,1820.0
107.0,0.0
622.0,0.0
1505.0,0.0
1871.0,1230.0
1425.0,2679.0
660.0,1857.0
420.0,0.0
960.0,0.0
1749.0,0.0
2010.0,1876.0
1431.0,3423.0
570.0,2153.0
243.0,0.0
718.0,0.0
1501.0,0.0
1806.0,1173.0
1367.0,2656.0
656.0,2131.0
441.0,0.0
967.0,0.0
1750.0,330.0
2014.0,2452.0
1512.0,3742.0
701.0,1991.0
341.0,0.0
774.0,0.0
1513.0,0.0
1810.0,636.0
1359.0,2103.0
644.0,2111.0
404.0,316.0
936.0,0.0
1730.0,487.0
2048.0,2639.0
1596.0,3848.0
805.0,2010.0
451.0,0.0
847.0,0.0
1569.0,0.0
1796.0,771.0
1298.0,2161.0
588.0,1978.0
394.0,123.0
959.0,0.0
1753.0,690.0
2036.0,2822.0
1548.0,3768.0
804.0,1746.0
559.0,0.0
1032.0,0.0
1678.0,0.0
1845.0,1310.0
1320.0,2730.0
581.0,1997.0
378.0,0.0
934.0,0.0
1735.0,173.0
2031.0,2324.0
1551.0,3786.0
812.0,2262.0
588.0,0.0
1083.0,0.0
1809.0,0.0
1999.0,1669.0
1385.0,3138.0
564.0,2021.0
323.0,0.0
895.0,0.0
1735.0,0.0
2039.0,1830.0
1525.0,3431.0
809.0,2406.0
613.0,0.0
1145.0,0.0
1853.0,48.0
2040.0,2200.0
1468.0,3704.0
667.0,2167.0
397.0,0.0
903.0,0.0
1676.0,0.0
1973.0,1213.0
1509.0,2806.0
809.0,2390.0
619.0,115.0
1152.0,0.0
1936.0,662.0
2156.0,2918.0
1557.0,3897.0
700.0,1663.0
397.0,0.0
912.0,0.0
1703.0,0.0
1961.0,1056.0
1476.0,2624.0
776.0,2332.0
590.0,202.0
1143.0,0.0
1942.0,717.0
2200.0,3025.0
1654.0,4046.0
821.0,1822.0
492.0,0.0
942.0,0.0
1692.0,0.0
1980.0,1044.0
1500.0,2620.0
760.0,2324.0
523.0,139.0
1069.0,0.0
1922.0,619.0
2279.0,3018.0
1775.0,4250.0
922.0,2154.0
544.0,0.0
951.0,0.0
1748.0,0.0
2070.0,1023.0
1558.0,2681.0
731.0,2377.0
436.0,24.0
998.0,0.0
1904.0,473.0
2315.0,2908.0
1853.0,4384.0
1010.0,2478.0
639.0,0.0
1063.0,0.0
1828.0,0.0
2097.0,1203.0
1595.0,2898.0
785.0,2468.0
444.0,0.0
949.0,0.0
1817.0,164.0
2238.0,2510.0
1831.0,4273.0
1054.0,2805.0
714.0,0.0
1140.0,0.0
1860.0,0.0
2142.0,1551.0
1650.0,3285.0
828.0,2570.0
456.0,0.0
933.0,0.0
1785.0,0.0
2194.0,2035.0
1809.0,3944.0
1056.0,2953.0
737.0,0.0
1181.0,0.0
1938.0,0.0
2209.0,2081.0
1714.0,3891.0
894.0,2696.0
539.0,0.0
965.0,0.0
1737.0,0.0
2101.0,1411.0
1724.0,3223.0
1062.0,2870.0
796.0,359.0
1249.0,0.0
1981.0,300.0
2244.0,2640.0
1754.0,4194.0
983.0,2537.0
628.0,0.0
1008.0,0.0
1721.0,0.0
2075.0,1186.0
1716.0,2998.0
1045.0,2861.0
799.0,574.0
1237.0,0.0
1986.0,290.0
2297.0,2683.0
1892.0,4385.0
1107.0,2817.0
683.0,0.0
1049.0,0.0
1764.0,0.0
2078.0,1129.0
1681.0,2906.0
965.0,2746.0
715.0,467.0
1248.0,0.0
2044.0,486.0
2350.0,2944.0
1887.0,4421.0
1109.0,2594.0
788.0,0.0
1197.0,0.0
1885.0,0.0
2122.0,1535.0
1662.0,3293.0
932.0,2678.0
683.0,0.0
1194.0,0.0
2023.0,471.0
2368.0,2939.0
1959.0,4515.0
1184.0,2756.0
839.0,0.0
1218.0,0.0
1918.0,0.0
2212.0,1628.0
1774.0,3498.0
990.0,2868.0
629.0,0.0
1070.0,0.0
1929.0,0.0
2368.0,2438.0
2012.0,4550.0
1263.0,3383.0
908.0,0.0
1274.0,0.0
1960.0,0.0
2263.0,1807.0
1810.0,3705.0
1028.0,2934.0
652.0,0.0
1088.0,0.0
1885.0,0.0
2288.0,2160.0
1972.0,4216.0
1295.0,3355.0
955.0,46.0
1312.0,0.0
2006.0,0.0
2339.0,2302.0
1926.0,4324.0
1129.0,3163.0
715.0,0.0
1068.0,0.0
1841.0,0.0
2255.0,1503.0
1956.0,3555.0
1273.0,3325.0
943.0,629.0
1341.0,0.0
2078.0,30.0
2417.0,2551.0
2019.0,4624.0
1219.0,3300.0
759.0,0.0
1060.0,0.0
1801.0,0.0
2244.0,1192.0
1970.0,3250.0
1310.0,3376.0
939.0,981.0
1309.0,0.0
2059.0,0.0
2460.0,2488.0
2105.0,4689.0
1331.0,3532.0
870.0,0.0
1150.0,0.0
1829.0,0.0
2182.0,1282.0
1901.0,3283.0
1249.0,3262.0
921.0,824.0
1295.0,0.0
2075.0,24.0
2499.0,2619.0
2155.0,4850.0
1384.0,3623.0
948.0,0.0
1227.0,0.0
1935.0,0.0
2292.0,1492.0
1900.0,3492.0
1150.0,3158.0
835.0,417.0
1301.0,0.0
2127.0,210.0
2526.0,2832.0
2155.0,4865.0
1389.0,3430.0
991.0,0.0
1341.0,0.0
2048.0,0.0
2369.0,1836.0
1935.0,3855.0
1159.0,3190.0
781.0,44.0
1206.0,0.0
2072.0,16.0
2570.0,2682.0
2229.0,4991.0
1444.0,3765.0
988.0,0.0
1300.0,0.0
2090.0,0.0
2518.0,1833.0
2111.0,4052.0
1220.0,3451.0
693.0,12.0
1084.0,0.0
2012.0,0.0
2587.0,2240.0
2277.0,4617.0
1450.0,3839.0
946.0,82.0
1332.0,0.0
2204.0,0.0
2657.0,2376.0
2211.0,4687.0
1279.0,3598.0
725.0,0.0
1099.0,0.0
2021.0,0.0
2608.0,1718.0
2280.0,4106.0
1399.0,3791.0
889.0,486.0
1302.0,0.0
2234.0,0.0
2786.0,2555.0
2341.0,4996.0
1329.0,3778.0
688.0,0.0
1039.0,0.0
2032.0,0.0
2637.0,1328.0
2297.0,3749.0
1359.0,3776.0
815.0,746.0
1288.0,0.0
2314.0,0.0
2877.0,2727.0
2405.0,5252.0
1343.0,3860.0
726.0,0.0
1146.0,0.0
2129.0,0.0
2651.0,1340.0
2202.0,3650.0
1252.0,3558.0
793.0,605.0
1320.0,0.0
2352.0,30.0
2903.0,3053.0
2418.0,5549.0
1436.0,3944.0
882.0,0.0
1281.0,0.0
2182.0,0.0
2637.0,1353.0
2178.0,3647.0
1247.0,3553.0
779.0,589.0
1296.0,0.0
2314.0,3.0
2905.0,2978.0
2460.0,5543.0
1496.0,4081.0
947.0,0.0
1312.0,0.0
2212.0,0.0
2691.0,1527.0
2232.0,3875.0
1301.0,3661.0
822.0,524.0
1281.0,0.0
2244.0,0.0
2805.0,2669.0
2442.0,5223.0
1551.0,4125.0
1059.0,0.0
1480.0,0.0
2320.0,0.0
2712.0,2264.0
2216.0,4600.0
1319.0,3679.0
855.0,0.0
1297.0,0.0
2206.0,0.0
2734.0,2396.0
2379.0,4895.0
1590.0,4113.0
1170.0,304.0
1551.0,0.0
2340.0,0.0
2745.0,2523.0
2298.0,4929.0
1398.0,3828.0
907.0,0.0
1312.0,0.0
2185.0,0.0
2688.0,2079.0
2334.0,4533.0
1528.0,3994.0
1129.0,498.0
1580.0,0.0
2440.0,0.0
2828.0,2854.0
2369.0,5351.0
1464.0,3961.0
1018.0,0.0
1397.0,0.0
2209.0,0.0
2633.0,1846.0
2266.0,4220.0
1512.0,3902.0
1153.0,747.0
1609.0,0.0
2460.0,59.0
2864.0,3043.0
2438.0,5530.0
1554.0,4057.0
1057.0,0.0
1403.0,0.0
2209.0,0.0
2636.0,1687.0
2254.0,4049.0
1493.0,3871.0
1142.0,888.0
1589.0,0.0
2442.0,56.0
2878.0,3038.0
2473.0,5575.0
1628.0,4165.0
1164.0,0.0
1520.0,0.0
2297.0,0.0
2637.0,1971.0
2203.0,4282.0
1429.0,3752.0
1140.0,526.0
1613.0,0.0
2442.0,219.0
2833.0,3152.0
2444.0,5469.0
1710.0,4039.0
1334.0,0.0
1672.0,0.0
2334.0,0.0
2611.0,2422.0
2185.0,4715.0
1501.0,3806.0
1197.0,208.0
1595.0,0.0
2316.0,16.0
2725.0,2838.0
2450.0,5368.0
1793.0,4347.0
1451.0,350.0
1773.0,0.0
2422.0,0.0
2690.0,2546.0
2248.0,4890.0
1503.0,3859.0
1174.0,77.0
1571.0,0.0
2344.0,6.0
2726.0,2788.0
2405.0,5283.0
