agg_orders_level_0,agg_orders_level_1
3984.0,15936.0
4128.0,16224.0
4308.0,13044.0
4428.0,1536.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
326.0,0.0
1346.0,0.0
2157.0,0.0
2053.0,0.0
1171.0,0.0
375.0,0.0
399.0,0.0
1130.0,0.0
1679.0,0.0
1428.0,0.0
578.0,0.0
0.0,0.0
260.0,0.0
1211.0,0.0
1984.0,0.0
1937.0,0.0
1202.0,0.0
551.0,0.0
636.0,0.0
1306.0,0.0
1801.0,0.0
1497.0,59.0
623.0,618.0
9.0,424.0
234.0,0.0
1113.0,621.0
1842.0,2547.0
1812.0,3798.0
1146.0,2397.0
606.0,0.0
756.0,0.0
1438.0,0.0
1908.0,898.0
1623.0,2557.0
765.0,2400.0
90.0,0.0
223.0,0.0
1026.0,0.0
1733.0,371.0
1724.0,2143.0
1110.0,2666.0
589.0,836.0
775.0,0.0
1494.0,0.0
2039.0,1294.0
1793.0,3231.0
915.0,2924.0
197.0,0.0
272.0,0.0
1005.0,0.0
1654.0,141.0
1621.0,1890.0
1017.0,2814.0
527.0,1391.0
738.0,0.0
1514.0,0.0
2115.0,1469.0
1957.0,3546.0
1096.0,3233.0
330.0,0.0
335.0,0.0
1013.0,0.0
1653.0,0.0
1597.0,1382.0
943.0,2385.0
405.0,1336.0
635.0,0.0
1500.0,0.0
2191.0,1881.0
2059.0,4060.0
1236.0,3463.0
456.0,0.0
444.0,0.0
1122.0,0.0
1719.0,0.0
1587.0,1280.0
849.0,2177.0
304.0,1141.0
563.0,0.0
1454.0,0.0
2163.0,1943.0
2065.0,4128.0
1300.0,3521.0
627.0,0.0
647.0,0.0
1263.0,0.0
1747.0,48.0
1583.0,1751.0
855.0,2594.0
274.0,1069.0
469.0,0.0
1294.0,0.0
2050.0,1151.0
2052.0,3319.0
1392.0,3608.0
758.0,987.0
767.0,0.0
1371.0,0.0
1885.0,371.0
1699.0,2174.0
913.0,2776.0
276.0,806.0
404.0,0.0
1220.0,0.0
1947.0,751.0
1972.0,2839.0
1388.0,3524.0
825.0,1462.0
902.0,0.0
1528.0,0.0
2010.0,848.0
1810.0,2778.0
1013.0,2987.0
363.0,524.0
442.0,0.0
1129.0,0.0
1818.0,342.0
1847.0,2297.0
1299.0,3314.0
814.0,1783.0
950.0,0.0
1615.0,0.0
2127.0,1310.0
1933.0,3359.0
1124.0,3221.0
447.0,261.0
473.0,0.0
1135.0,0.0
