id,inv,demand,forecast,received_shipment,order,Order_Supplier_0,Forecast_Retailer_0,Forecast_Retailer_1,Demand_Retailer_0,Demand_Retailer_1
0.0,0.0,1005.0,1005.0,0.0,3015.0,3015.0,714.0,291.0,714.0,291.0
0.0,0.0,1086.0,1046.0,3015.0,2214.0,2214.0,744.0,302.0,774.0,312.0
0.0,924.0,35.0,709.0,2214.0,0.0,0.0,508.0,201.0,35.0,0.0
0.0,3103.0,315.0,611.0,0.0,0.0,0.0,441.0,170.0,240.0,75.0
0.0,2788.0,367.0,562.0,0.0,0.0,0.0,404.0,158.0,255.0,112.0
0.0,2421.0,354.0,528.0,0.0,0.0,0.0,380.0,148.0,259.0,95.0
0.0,2067.0,395.0,508.0,0.0,0.0,0.0,365.0,143.0,281.0,114.0
0.0,1672.0,315.0,484.0,0.0,95.0,95.0,349.0,135.0,236.0,79.0
0.0,1357.0,338.0,468.0,95.0,290.0,290.0,336.0,132.0,228.0,110.0
0.0,1114.0,298.0,451.0,290.0,247.0,247.0,321.0,130.0,191.0,107.0
0.0,1106.0,300.0,437.0,247.0,258.0,258.0,311.0,126.0,207.0,93.0
0.0,1053.0,350.0,430.0,258.0,329.0,329.0,305.0,125.0,237.0,113.0
0.0,961.0,287.0,418.0,329.0,251.0,251.0,295.0,123.0,183.0,104.0
0.0,1003.0,346.0,413.0,251.0,331.0,331.0,291.0,122.0,239.0,107.0
0.0,908.0,289.0,405.0,331.0,265.0,265.0,285.0,120.0,199.0,90.0
0.0,950.0,325.0,400.0,265.0,310.0,310.0,281.0,119.0,225.0,100.0
0.0,890.0,374.0,398.0,310.0,368.0,368.0,280.0,118.0,264.0,110.0
0.0,826.0,393.0,398.0,368.0,393.0,393.0,280.0,118.0,276.0,117.0
0.0,801.0,344.0,395.0,393.0,335.0,335.0,278.0,117.0,244.0,100.0
0.0,850.0,345.0,393.0,335.0,339.0,339.0,276.0,117.0,238.0,107.0
0.0,840.0,296.0,388.0,339.0,281.0,281.0,273.0,115.0,208.0,88.0
0.0,883.0,347.0,386.0,281.0,341.0,341.0,271.0,115.0,236.0,111.0
0.0,817.0,297.0,383.0,341.0,288.0,288.0,269.0,114.0,208.0,89.0
0.0,861.0,303.0,380.0,288.0,294.0,294.0,266.0,114.0,203.0,100.0
0.0,846.0,375.0,379.0,294.0,372.0,372.0,266.0,113.0,265.0,110.0
0.0,765.0,391.0,380.0,372.0,394.0,394.0,266.0,114.0,267.0,124.0
