agg_orders_level_0,agg_orders_level_1
5645.0,28225.0
5485.0,27825.0
5460.0,27645.0
5395.0,21245.0
5175.0,0.0
5155.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
178.0,0.0
661.0,0.0
1410.0,0.0
2357.0,0.0
2731.0,0.0
2325.0,0.0
1345.0,0.0
545.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
15.0,0.0
353.0,0.0
958.0,0.0
1878.0,0.0
2633.0,0.0
2872.0,0.0
2058.0,0.0
977.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
233.0,0.0
707.0,0.0
1325.0,0.0
2060.0,0.0
2461.0,0.0
2202.0,0.0
1622.0,0.0
875.0,0.0
179.0,0.0
0.0,0.0
0.0,0.0
394.0,0.0
949.0,0.0
1794.0,0.0
2546.0,0.0
2614.0,0.0
1988.0,0.0
1395.0,0.0
592.0,0.0
0.0,0.0
0.0,0.0
104.0,0.0
579.0,0.0
1145.0,0.0
1966.0,0.0
2520.0,0.0
2672.0,0.0
2077.0,0.0
1615.0,0.0
506.0,0.0
0.0,0.0
0.0,0.0
76.0,0.0
416.0,0.0
1022.0,0.0
1764.0,0.0
2470.0,898.0
2798.0,2751.0
2281.0,3977.0
1518.0,4697.0
749.0,3676.0
18.0,1671.0
0.0,380.0
91.0,0.0
352.0,0.0
1028.0,0.0
1831.0,0.0
2539.0,0.0
2641.0,267.0
2292.0,790.0
1527.0,1407.0
866.0,1848.0
321.0,1676.0
0.0,1054.0
56.0,341.0
338.0,0.0
838.0,0.0
1592.0,0.0
2407.0,1368.0
2620.0,3097.0
2413.0,4226.0
1714.0,5133.0
971.0,3877.0
502.0,2104.0
9.0,1220.0
261.0,0.0
543.0,0.0
1097.0,0.0
1724.0,0.0
2259.0,0.0
2472.0,0.0
2500.0,311.0
1739.0,1031.0
904.0,1302.0
336.0,1307.0
0.0,592.0
165.0,346.0
432.0,0.0
1003.0,0.0
1853.0,563.0
2590.0,2604.0
2831.0,4546.0
2559.0,5891.0
1720.0,5898.0
1183.0,2684.0
686.0,1750.0
248.0,0.0
153.0,0.0
344.0,0.0
766.0,0.0
1444.0,0.0
1966.0,0.0
2295.0,0.0
2309.0,314.0
2140.0,855.0
1695.0,1720.0
1092.0,2273.0
249.0,1941.0
97.0,922.0
451.0,278.0
905.0,0.0
1514.0,0.0
1903.0,548.0
2226.0,1650.0
2346.0,3221.0
2420.0,5287.0
1719.0,5530.0
984.0,4615.0
0.0,1857.0
56.0,0.0
179.0,0.0
547.0,0.0
1158.0,0.0
1833.0,0.0
2609.0,0.0
2966.0,0.0
2736.0,389.0
2016.0,941.0
1038.0,1778.0
144.0,1443.0
30.0,856.0
169.0,0.0
422.0,0.0
941.0,0.0
1598.0,777.0
2164.0,1910.0
2709.0,3327.0
2804.0,5567.0
2228.0,5955.0
1842.0,4729.0
702.0,3200.0
192.0,451.0
131.0,0.0
376.0,0.0
737.0,0.0
1039.0,0.0
1508.0,0.0
1920.0,0.0
2597.0,0.0
2913.0,0.0
2734.0,1491.0
1550.0,2085.0
641.0,2656.0
170.0,1160.0
421.0,646.0
780.0,95.0
983.0,0.0
971.0,0.0
1208.0,0.0
1513.0,429.0
2214.0,2443.0
2629.0,5106.0
2554.0,6696.0
1588.0,6056.0
1059.0,2732.0
629.0,1299.0
923.0,0.0
998.0,0.0
811.0,0.0
1059.0,0.0
1366.0,0.0
1945.0,0.0
2407.0,0.0
2298.0,597.0
1678.0,1197.0
1405.0,1521.0
1448.0,2257.0
1001.0,2085.0
1043.0,1587.0
