agg_orders_level_0,agg_orders_level_1
5025.0,25125.0
5140.0,25415.0
5250.0,25695.0
5240.0,21350.0
5240.0,1250.0
5205.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
133.0,0.0
642.0,0.0
1643.0,0.0
2620.0,0.0
3148.0,0.0
2654.0,0.0
1352.0,0.0
203.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
77.0,0.0
401.0,0.0
991.0,0.0
1939.0,0.0
2639.0,0.0
2781.0,0.0
2045.0,0.0
990.0,0.0
0.0,0.0
0.0,0.0
36.0,0.0
330.0,0.0
805.0,0.0
1406.0,0.0
2046.0,0.0
2232.0,0.0
1964.0,0.0
1532.0,0.0
952.0,0.0
220.0,0.0
0.0,0.0
203.0,0.0
734.0,0.0
1345.0,0.0
2049.0,0.0
2385.0,0.0
2151.0,0.0
1756.0,0.0
1186.0,0.0
383.0,0.0
0.0,0.0
0.0,0.0
199.0,0.0
728.0,0.0
1544.0,0.0
2458.0,0.0
2902.0,0.0
2537.0,0.0
1680.0,0.0
934.0,0.0
224.0,0.0
0.0,0.0
0.0,0.0
29.0,0.0
320.0,0.0
1130.0,542.0
2165.0,2338.0
3110.0,4419.0
3191.0,5642.0
2280.0,5867.0
1687.0,4895.0
1464.0,2054.0
677.0,512.0
175.0,0.0
0.0,0.0
42.0,0.0
320.0,0.0
698.0,0.0
1036.0,0.0
1421.0,0.0
1716.0,0.0
1957.0,0.0
2314.0,350.0
2217.0,1842.0
1250.0,2614.0
541.0,2730.0
10.0,935.0
194.0,476.0
458.0,0.0
802.0,0.0
1178.0,0.0
1734.0,0.0
2200.0,1066.0
2588.0,3297.0
2440.0,5534.0
1609.0,6318.0
622.0,3199.0
72.0,1309.0
264.0,0.0
516.0,0.0
814.0,0.0
962.0,0.0
1410.0,0.0
1851.0,0.0
2534.0,0.0
2566.0,157.0
2109.0,1240.0
765.0,1258.0
434.0,1300.0
389.0,371.0
663.0,86.0
914.0,0.0
872.0,373.0
899.0,801.0
1221.0,1968.0
1956.0,3731.0
2324.0,5454.0
2378.0,5643.0
1573.0,4057.0
830.0,1490.0
496.0,0.0
784.0,0.0
978.0,0.0
934.0,0.0
1019.0,0.0
1304.0,0.0
1825.0,0.0
2216.0,355.0
2059.0,1144.0
1237.0,1463.0
967.0,1411.0
874.0,1286.0
908.0,1332.0
1129.0,1220.0
1079.0,714.0
1232.0,321.0
1473.0,571.0
2011.0,2315.0
2179.0,3882.0
1754.0,4480.0
901.0,3314.0
907.0,1775.0
697.0,2113.0
754.0,1275.0
1036.0,0.0
1223.0,0.0
1521.0,0.0
1808.0,0.0
2155.0,0.0
2305.0,739.0
1782.0,1803.0
906.0,1753.0
827.0,1757.0
517.0,923.0
601.0,933.0
910.0,377.0
1175.0,0.0
1508.0,0.0
1876.0,1226.0
2338.0,3244.0
2458.0,4732.0
2092.0,5820.0
1206.0,4527.0
667.0,2310.0
189.0,1429.0
485.0,0.0
856.0,0.0
1094.0,0.0
1363.0,0.0
1808.0,0.0
2383.0,0.0
2816.0,18.0
2693.0,823.0
1538.0,1761.0
445.0,2133.0
200.0,1445.0
453.0,340.0
781.0,0.0
980.0,0.0
1079.0,0.0
1372.0,354.0
2032.0,2168.0
2577.0,4897.0
2950.0,6912.0
2337.0,6849.0
1239.0,4368.0
434.0,52.0
665.0,0.0
897.0,0.0
956.0,0.0
825.0,0.0
885.0,0.0
1050.0,0.0
1864.0,0.0
2564.0,0.0
2756.0,545.0
2167.0,1339.0
1413.0,2777.0
847.0,3009.0
1089.0,2689.0
1075.0,1274.0
879.0,45.0
782.0,0.0
746.0,0.0
1529.0,274.0
2103.0,1190.0
2388.0,2432.0
2210.0,4493.0
1890.0,5263.0
1061.0,4541.0
1137.0,2166.0
1250.0,0.0
1257.0,0.0
1085.0,0.0
1009.0,168.0
1511.0,1259.0
1838.0,1972.0
1867.0,1809.0
2007.0,516.0
1672.0,485.0
914.0,672.0
965.0,1128.0
1342.0,1417.0
1612.0,1570.0
1444.0,1003.0
1344.0,369.0
1667.0,1166.0
1948.0,2189.0
1842.0,3132.0
1846.0,3587.0
1273.0,3959.0
706.0,2984.0
834.0,1551.0
1264.0,264.0
1700.0,0.0
1737.0,0.0
1781.0,438.0
2025.0,1566.0
2254.0,2179.0
2023.0,1948.0
1750.0,1344.0
926.0,2026.0
525.0,1966.0
801.0,1248.0
1105.0,567.0
1522.0,0.0
1559.0,0.0
1917.0,0.0
2145.0,1663.0
2538.0,3620.0
2270.0,4902.0
1914.0,5153.0
1041.0,3827.0
554.0,2212.0
863.0,809.0
1108.0,0.0
1313.0,0.0
1293.0,0.0
1457.0,0.0
1851.0,676.0
2429.0,1621.0
2476.0,1987.0
2110.0,1782.0
1563.0,1125.0
1106.0,1853.0
1146.0,2080.0
1336.0,1951.0
1330.0,1009.0
1100.0,0.0
955.0,0.0
1461.0,876.0
1961.0,2036.0
2195.0,3517.0
2255.0,3702.0
2086.0,3303.0
1395.0,3378.0
1184.0,1992.0
1496.0,1846.0
1592.0,663.0
1339.0,0.0
1125.0,494.0
1322.0,1576.0
1558.0,2130.0
1759.0,1611.0
2200.0,31.0
2138.0,449.0
1688.0,1346.0
1355.0,2193.0
1676.0,2772.0
1784.0,2347.0
1456.0,552.0
1135.0,916.0
1376.0,1927.0
1509.0,2289.0
1902.0,1696.0
2203.0,1571.0
1904.0,2533.0
1195.0,3085.0
1044.0,2066.0
1657.0,1573.0
2033.0,1159.0
1889.0,276.0
1477.0,622.0
1724.0,1636.0
1868.0,1968.0
2207.0,1311.0
2133.0,1187.0
1369.0,2538.0
420.0,2654.0
843.0,1873.0
1401.0,483.0
1964.0,0.0
2054.0,0.0
1984.0,1086.0
2249.0,2247.0
